COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Cochise "11 DO CASTRO PARK" 0 62 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "12 DO GADSDEN" 0 36 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "13 DO SUNNYSIDE" 0 38 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "14 GREATER SAN PEDRO" 0 30 228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "15 HEREFORD" 0 31 191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "16 HUACHUCA" 0 37 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "17 MCNEAL" 0 10 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "18 NACO" 0 22 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "19 PALOMINAS" 0 24 134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "20 PIRTLEVILLE" 0 43 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "21 POMERENE" 0 14 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "22 PORTAL" 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "23 SAN SIMON" 0 5 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "24 ST DAVID" 0 25 331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "25 SUNIZONA" 0 12 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "26 SV AVENIDA DEL SOL" 0 49 208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "27 SV BUFFALO SOLDIER" 0 52 324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "28 SV BUSBY" 0 55 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "29 SV CARMELITA" 0 31 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "30 SV CLOUD" 0 28 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "31 SV COLLEGE" 0 54 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "32 SV COUNTRY CLUB" 0 12 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "33 SV ESTATES" 0 40 185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "34 SV HOPI" 0 33 153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "35 SV MOSON" 0 31 289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "36 SV PUEBLO DEL SOL" 0 34 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "37 SV RAMSEY" 0 19 163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "38 SV SNYDER" 0 23 123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "39 SV SOLDIER CREEK" 0 101 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "40 SV TOWN & COUNTRY" 0 32 181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "41 SV VILLAGE MEADOWS" 0 43 217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "42 SV VISTA VILLAGE" 0 46 214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "43 SV YAQUI" 0 27 217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "44 TOMBSTONE" 0 51 322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "45 WEBB" 0 19 113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "46 WHETSTONE" 0 54 348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "47 WI KANSAS SETTLEMENT" 0 48 270 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "48 WI STEWART" 0 33 238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "49 WI WILLCOX" 0 31 159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BELLEMONT 40" 0 15 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BLUE RIDGE 41" 0 5 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BODAWAY 42" 0 222 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "CAMERON 43" 0 165 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COALMINE 48" 0 32 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COPPERMINE 47" 0 141 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "DONEY PARK 50" 0 79 253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 1" 0 76 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 10" 0 46 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 11" 0 56 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 12" 0 122 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 13" 0 61 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 14" 0 149 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 15" 0 162 167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
