DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Panola 3650026 0 30 74 0 0 0
1 Panola 3650027 0 231 308 0 0 0
1 Panola 3650028 0 171 940 6 0 0
1 Panola 3650029 0 10 188 2 0 0
1 Rusk 4010111 0 77 429 6 0 0
1 Rusk 4010112 0 156 786 11 0 0
1 Rusk 4010113 0 301 1198 18 0 0
1 Rusk 4010114 0 134 665 10 0 0
1 Rusk 4010201 0 83 384 6 0 0
1 Rusk 4010212 0 76 429 7 0 0
1 Rusk 4010213 0 177 835 7 0 0
1 Rusk 4010214 0 347 1139 15 0 0
1 Rusk 4010215 0 289 821 9 0 0
1 Rusk 4010302 0 254 294 3 0 0
1 Rusk 4010303 0 309 382 12 0 0
1 Rusk 4010314A 0 52 484 5 0 0
1 Rusk 4010314B 0 3 44 0 0 0
1 Rusk 4010315 0 37 410 5 0 0
1 Rusk 4010316 0 16 244 5 0 0
1 Rusk 4010317 0 117 178 3 0 0
1 Rusk 4010318 0 124 474 10 0 0
1 Rusk 4010319 0 86 114 4 0 0
1 Rusk 4010404 0 151 821 14 0 0
1 Rusk 4010405 0 126 580 18 0 0
1 Rusk 4010416 0 78 405 9 0 0
1 Rusk 4010417 0 154 581 8 0 0
1 Rusk 4010418 0 227 967 7 0 0
1 Sabine 4030001 0 96 918 7 0 0
1 Sabine 4030002 0 81 758 5 0 0
1 Sabine 4030003 0 71 153 5 0 0
1 Sabine 4030004 0 8 137 1 0 0
1 Sabine 4030005 0 45 486 1 0 0
1 Sabine 4030006 0 121 778 4 0 0
1 Sabine 4030007 0 49 45 0 0 0
1 Sabine 4030008 0 16 146 1 0 0
1 "San Augustine" 4050001 0 216 430 8 0 0
1 "San Augustine" 4050002 0 85 107 2 0 0
1 "San Augustine" 4050003 0 35 96 0 0 0
1 "San Augustine" 4050004 0 56 155 1 0 0
1 "San Augustine" 4050005 0 25 168 2 0 0
1 "San Augustine" 4050006 0 25 149 2 0 0
1 "San Augustine" 4050007 0 35 161 0 0 0
1 "San Augustine" 4050008 0 25 338 2 0 0
1 "San Augustine" 4050009 0 54 446 3 0 0
1 "San Augustine" 4050010 0 19 192 1 0 0
1 "San Augustine" 4050011 0 151 5 1 0 0
1 Shelby 4190002 0 41 391 0 0 0
1 Shelby 4190003 0 11 167 0 0 0
1 Shelby 4190004 0 53 337 2 0 0
1 Shelby 4190005 0 87 917 6 0 0
