COUNTY AREA TOTAL DEM REP Linn Savage Others
COUNTY AREA TOTAL GIDEON COLLINS Linn Savage Others
FRA Temple 337 134 166 9 22 0
FRA Weld 309 114 169 5 15 0
FRA "Wilton/Washington Twp" 2201 773 1264 39 92 0
FRA "Wyman Twp" 39 19 18 0 2 0
HAN Amherst 191 51 130 1 6 0
HAN Aurora 72 22 45 2 3 0
HAN "Bar Harbor" 3608 2271 1035 55 221 0
HAN "Blue Hill" 1993 1083 752 23 118 0
HAN Brooklin 632 351 231 12 36 0
HAN Brooksville 697 344 277 7 64 0
HAN Bucksport 2874 949 1697 75 129 0
HAN Castine 501 287 179 7 23 0
HAN "Cranberry Isles" 140 70 52 6 12 0
HAN Dedham 1177 424 677 27 39 0
HAN "Deer Isle" 1339 656 589 16 65 0
HAN Eastbrook 224 42 162 13 7 0
HAN Ellsworth 4891 1809 2650 136 240 2
HAN "Franklin/T9 T10 SD" 871 288 499 22 46 0
HAN Frenchboro 33 11 22 0 0 0
HAN Gouldsboro 1128 378 683 18 35 0
HAN "Great Pond" 43 14 27 0 2 0
HAN Hancock 1486 482 877 34 66 0
HAN Lamoine 1221 482 638 22 57 0
HAN Mariaville 311 84 203 12 7 0
HAN "Mount Desert" 1511 887 506 21 86 2
HAN Orland 1438 537 791 24 74 1
HAN Osborn 44 5 35 1 2 0
HAN Otis 491 110 358 10 7 0
HAN Penobscot 852 372 383 15 78 2
HAN Sedgwick 851 412 371 8 47 0
HAN Sorrento 191 72 103 3 10 0
HAN "Southwest Harbor" 1141 584 449 29 65 0
HAN Stonington 646 326 265 8 42 0
HAN Sullivan 730 276 391 18 31 0
HAN Surry 1106 471 545 25 58 0
HAN "Swans Island" 268 96 154 8 6 0
HAN "T22 MD Twp" 8 3 3 1 1 0
HAN "T3 ND Twp" 5 2 2 0 1 0
HAN Tremont 1049 467 484 34 54 0
HAN Trenton 996 379 533 22 54 1
HAN "Verona Island" 353 114 211 9 15 0
HAN Waltham 231 52 170 5 3 0
HAN "Winter Harbor" 333 116 192 7 11 0
KEN Albion 1225 286 857 22 49 0
KEN Augusta 9855 4251 4803 207 468 3
KEN Belgrade 2234 781 1305 33 96 2
KEN Benton 1643 467 1053 35 77 0
KEN Chelsea 1586 459 1002 29 74 0
KEN China 2616 859 1579 42 114 0
KEN Clinton 1820 502 1161 38 93 0
KEN Farmingdale 1755 713 917 38 79 0
KEN Fayette 832 318 458 13 43 0
KEN Gardiner 3309 1389 1680 52 159 0
KEN Hallowell 1797 1041 574 17 150 0
KEN Litchfield 2192 623 1395 45 102 1
KEN Manchester 1709 624 983 32 54 0
KEN Monmouth 2597 859 1563 40 113 0
KEN "Mount Vernon" 1166 463 630 11 54 0
KEN Oakland 3667 1261 2109 64 192 0
KEN Pittston 1800 539 1156 29 60 0
KEN Randolph 1043 378 599 22 37 0
KEN Readfield 1840 761 944 31 89 1
KEN Rome 719 258 409 15 29 0
KEN Sidney 2981 897 1891 53 113 0
KEN Vassalboro 2575 833 1574 50 94 0
KEN Vienna 409 143 216 8 35 0
KEN Waterville 8013 4210 3071 153 460 3
KEN Wayne 877 403 410 13 46 0
