COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
"Black Hawk" "WL W4 P3" 347 273 71 2 1 0
"Black Hawk" "WL W4 P4" 585 420 144 12 9 0
"Black Hawk" "WL W4 P5" 702 577 117 5 3 0
"Black Hawk" "WL W4 P6" 425 267 143 7 8 0
"Black Hawk" "WL W5 P1" 301 204 84 10 3 0
"Black Hawk" "WL W5 P2" 770 476 279 13 2 0
"Black Hawk" "WL W5 P3" 625 405 200 12 8 0
"Black Hawk" "WL W5 P4" 948 563 366 12 6 1
"Black Hawk" "WL W5 P5" 1176 648 513 11 4 0
"Black Hawk" "WL W5 P6" 918 507 393 13 5 0
Boone "Boone 1st Ward" 1026 542 459 18 6 1
Boone "Boone 2nd Ward" 1138 553 567 13 4 1
Boone "Boone 3rd Ward" 1140 607 510 17 6 0
Boone "Boone 4th Ward &amp; DSM Twp" 1433 714 666 37 16 0
Boone "Boone 5th Ward" 1048 569 448 23 8 0
Boone "Madrid 1st Ward" 397 200 187 8 2 0
Boone "Madrid 2nd Ward" 441 225 210 4 2 0
Boone "Madrid 3rd Ward" 390 198 185 5 1 1
Boone Ogden 888 397 474 14 3 0
Boone "Rural Precinct 1" 601 271 312 15 1 2
Boone "Rural Precinct 2" 985 469 498 8 10 0
Boone "Rural Precinct 3" 384 150 223 9 2 0
Boone "Rural Precinct 4" 1030 397 617 12 4 0
Boone "Rural Precinct 5" 361 152 194 11 4 0
Boone "Rural Precinct 6" 939 366 557 14 2 0
Bremer "City of Denver/Jefferson Twp" 1604 642 945 14 3 0
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 237 89 140 7 1 0
Bremer "City of Janesville/Jackson Twp" 831 359 449 13 10 0
Bremer "Lafayette Twp/Warren Twp" 644 277 362 4 1 0
Bremer "City of Plainfield/Polk Twp/Douglas Twp" 594 193 392 7 2 0
Bremer "City of Readlyn" 758 232 512 12 2 0
Bremer "City of Sumner/Dayton Twp/Sumner Twp" 1188 402 755 24 7 0
Bremer "City of Tripoli/Fremont Twp" 703 320 366 10 7 0
Bremer "Waverly Ward I/ East Washington Twp" 1277 613 640 19 5 0
Bremer "Waverly Ward II/ NE 1/4 Sec 36 Washington Twp" 998 467 508 17 6 0
