COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
Dubuque "Epworth Council Chambers" 1310 581 698 21 9 1
Dubuque "SS Peter and Paul School" 1443 551 843 24 24 1
Dubuque "Key West Fire Station" 1643 728 878 19 17 1
Dubuque "Bernard Fire Station" 297 104 180 3 10 0
Dubuque "Swiss Valley Nature Center" 1147 481 639 9 18 0
Emmet AG-IL-Armstrong 497 137 351 4 5 0
Emmet CN-SL-Gruver 200 47 148 3 2 0
Emmet DM-JC-Ringsted 248 73 171 4 0 0
Emmet EL-LN-Dolliver 153 41 108 4 0 0
Emmet Emmet-Estherville 278 71 206 1 0 0
Emmet "Estherville Ward 1" 556 218 330 6 2 0
Emmet "Estherville Ward 2" 448 184 251 7 6 0
Emmet "Estherville Ward 3" 469 233 221 10 5 0
Emmet "Estherville Ward 4" 330 164 161 5 0 0
Emmet "Estherville Ward 5" 311 126 169 14 2 0
Emmet HL-TM-Wallingford 279 89 182 4 4 0
Fayette "AUBURN TWP." 247 88 151 5 3 0
Fayette "BANKS-FREMONT TWP." 398 129 258 7 3 1
Fayette "BETHEL-WINDSOR TWP." 429 135 281 7 6 0
Fayette "CENTER TWP." 124 35 85 2 2 0
Fayette "CLERMONT TWP." 396 124 256 8 8 0
Fayette "DOVER TWP." 248 72 171 4 1 0
Fayette "EDEN TWP." 221 81 137 2 1 0
Fayette "FAIRBANK, INC." 164 84 75 3 2 0
Fayette "FAIRFIELD-PUTNAM TWP." 391 121 258 7 5 0
Fayette "HARLAN TWP." 348 145 199 4 0 0
Fayette "ILLYRIA TWP." 238 97 130 1 10 0
Fayette "JEFFERSON TWP." 258 123 126 6 3 0
Fayette "OELWEIN-WARD 1" 529 265 253 7 4 0
Fayette "OELWEIN-WARD 2" 440 253 163 15 9 0
Fayette "OELWEIN-WARD 3" 495 294 185 13 3 0
Fayette "OELWEIN-WARD 4" 706 361 326 10 9 0
Fayette "ORAN TWP." 207 88 113 4 2 0
Fayette "PLEASANT VALLEY TWP." 430 166 243 8 13 0
Fayette "SCOTT TWP." 112 30 80 2 0 0
Fayette "SMITHFIELD TWP." 116 31 83 0 2 0
Fayette "UNION TWP." 200 53 141 2 4 0
Fayette "WEST UNION-WARD 1" 397 192 196 6 3 0
Fayette "WEST UNION-WARD 2" 274 114 151 5 4 0
Fayette "WEST UNION-WARD 3" 336 129 194 6 7 0
Fayette "WESTFIELD TWP." 527 236 273 9 9 0
Floyd "Charles City Corp / CC1" 853 416 420 10 6 1
Floyd "Charles City Corp / CC2" 1026 518 491 8 8 1
Floyd "Charles City Corp / CC3" 833 456 357 16 4 0
Floyd "Floyd - Cedar - Niles" 693 268 415 6 3 1
Floyd "Rock Grove - Rudd" 896 410 454 20 12 0
Floyd "Rockford - Ulster" 670 265 393 6 6 0
Floyd "Scott - Union - Pleasant Grove" 453 162 276 6 9 0
Floyd "St. Charles - Riverton" 894 317 560 15 2 0
Franklin "Geneva / Ingham / East Mott" 318 95 217 4 2 0
Franklin "Grant / Osceola" 257 67 186 3 1 0
Franklin "Hamilton / Lee / Reeve" 295 84 205 4 2 0
Franklin "Hampton 1" 280 119 153 8 0 0
Franklin "Hampton 2" 385 146 227 10 2 0
Franklin "Hampton 3" 442 183 253 5 1 0
Franklin "Hampton 4" 342 162 172 7 0 1
Franklin Marion 294 74 215 2 3 0
Franklin "Oakland / Morgan" 282 86 191 3 2 0
Franklin "Richland / Ross / West Fork" 786 233 538 8 7 0
Franklin "West Mott" 213 72 139 2 0 0
Franklin "Wisner / Scott" 215 58 151 5 1 0
Fremont Farragut 577 194 369 10 4 0
Fremont Green/Riverside/Scott 806 273 518 13 2 0
Fremont "Hamburg/Washington TWP" 557 163 380 8 6 0
Fremont Riverton 222 60 155 5 2 0
Fremont Sidney 850 302 534 7 6 1
Greene "Central Precinct" 581 195 374 8 4 0
Greene "East Precinct" 599 250 328 15 5 1
Greene "Jefferson 1 Precinct" 547 271 258 17 1 0
Greene "Jefferson 2 Precinct" 598 262 326 6 3 1
Greene "Jefferson 3 Precinct" 790 374 398 15 2 1
Greene "North Precinct" 524 191 324 7 1 1
Greene "West Precinct" 459 132 318 7 1 1
Grundy "PRECINCT 1" 780 268 495 15 1 1
Grundy "PRECINCT 2" 386 101 275 6 3 1
Grundy "PRECINCT 3" 717 146 556 10 5 0
Grundy "PRECINCT 4" 446 104 340 2 0 0
Grundy "PRECINCT 5" 1169 427 726 11 4 1
Grundy "PRECINCT 6" 1201 404 772 18 7 0
Grundy "PRECINCT 7" 1065 425 621 15 4 0
Guthrie Black 390 125 256 7 2 0
Guthrie Blue 1132 411 689 29 2 1
Guthrie Brown 483 146 328 9 0 0
Guthrie Gold 992 334 627 30 1 0
Guthrie Green 529 193 321 12 3 0
Guthrie Purple 965 389 552 18 5 1
Guthrie Red 302 87 210 5 0 0
Guthrie White 244 53 186 5 0 0
Hamilton "PRECINCT 1" 621 207 401 9 4 0
Hamilton "PRECINCT 2" 503 166 332 5 0 0
Hamilton "PRECINCT 3" 951 320 613 14 4 0
Hamilton "PRECINCT 4" 895 331 546 12 5 1
Hamilton "PRECINCT 5" 533 145 375 9 4 0
Hamilton "WEBSTER CITY 1" 1013 489 502 15 7 0
Hamilton "WEBSTER CITY 2" 1225 565 644 13 3 0
Hamilton "WEBSTER CITY 3" 645 337 290 12 6 0
Hancock "Precinct #1" 570 195 365 7 3 0
Hancock "Precinct #2" 181 63 109 6 3 0
Hancock "Precinct #3" 171 51 118 1 1 0
Hancock "Precinct #4" 1083 301 766 9 6 1
Hancock "Precinct #5" 165 35 127 3 0 0
Hancock "Precinct #6" 1499 488 985 21 5 0
Hancock "Precint #7" 385 114 253 11 7 0
Hancock "Precinct #8" 234 72 154 6 2 0
Hancock "Precinct #9" 395 97 292 6 0 0
Hancock "Precinct #10" 140 48 88 3 1 0
Hardin Alden/Buckeye 575 212 352 9 2 0
Hardin Hardin/Ellis/Jackson 735 241 485 8 1 0
Hardin "Iowa Falls #1" 828 399 403 21 5 0
Hardin "Iowa Falls #2" 1153 488 654 8 3 0
Hardin Etna/Clay 1010 375 615 12 8 0
Hardin Concord/Sherman/Grant/Tipton 1143 342 769 23 9 0
Hardin Eldora/Pleasant/Providence/Union 797 243 540 11 3 0
Hardin "Eldora City" 1009 389 589 22 8 1
Harrison "#1 Little Sioux" 105 43 59 1 2 0
Harrison "#2 Pisgah" 270 66 196 0 8 0
Harrison "#3 Dunlap" 552 225 317 5 5 0
Harrison "#4 Mondamin" 285 86 188 9 2 0
Harrison "#5 Magnolia" 493 128 354 4 7 0
Harrison "#6 Boyer/Lincoln" 249 75 171 2 1 0
Harrison "#7 Woodbine" 633 202 407 15 8 1
Harrison "#8 Modale" 371 130 231 6 4 0
Harrison "#9 Jefferson/LaGrange" 446 98 336 10 2 0
Harrison "#10 Logan" 539 196 328 14 1 0
Harrison "#11 St John" 611 202 397 9 3 0
Harrison "#12 Missouri Valley" 939 340 570 22 7 0
Harrison "#13 Persia" 507 121 377 7 2 0
Henry "Northwest Precinct" 763 250 495 13 5 0
Henry "Northeast Precinct" 697 275 408 11 3 0
Henry "Southeast Precinct" 1373 613 720 26 14 0
Henry "Southwest Precinct" 634 216 400 13 5 0
Henry "Mt Pleasant Ward 1" 686 292 374 16 4 0
Henry "Mt Pleasant Ward 2" 668 322 329 12 5 0
Henry "Mt Pleasant Ward 3" 737 343 386 5 3 0
Henry "Mt Pleasant Ward 4" 671 271 388 7 5 0
Henry "Central Precinct" 1217 414 784 12 7 0
Howard Afton/Howard/Paris 600 226 351 13 10 0
Howard "Albion/Forest City" 372 126 230 7 9 0
Howard "Cresco 1A" 198 96 92 5 5 0
Howard "Cresco 2" 542 257 269 11 5 0
Howard "Cresco 3" 493 218 242 13 20 0
Howard "Saratoga/Howard Center/Chester" 319 116 187 7 9 0
Howard Jamestown/Oakdale 263 74 183 4 2 0
Howard "New Oregon" 352 121 220 5 6 0
Howard "Vernon Springs" 483 188 276 8 10 1
Humboldt "Avery-North Weaver" 199 64 131 4 0 0
Humboldt "Dakota City-Grove" 468 148 306 12 2 0
Humboldt "Delana-Wacousta-N. Rutland" 293 67 219 5 2 0
Humboldt "Humboldt 1-Corinth-S. Weaver" 1005 282 712 9 2 0
Humboldt "Humboldt 2-Beaver-S. Norway" 733 243 477 9 3 1
Humboldt "Humboldt 3-South Rutland" 805 267 510 26 2 0
Humboldt "Humboldt-West Vernon" 279 56 218 1 4 0
Humboldt "North Lake-East Vernon" 169 41 126 0 2 0
Humboldt "South Lake-North Norway" 135 32 98 5 0 0
Ida "Ida Grove Ward 1" 266 81 183 1 1 0
Ida "Ida Grove Ward 2" 327 77 249 0 1 0
Ida "Ida Grove Ward 3 / Corwin" 348 103 241 3 1 0
Ida "Arthur / Blaine / Hayes / Silver Creek" 338 57 274 4 3 0
Ida "Galva City / Galva Twp" 210 35 172 2 1 0
Ida "Holstein / Griggs / Douglas" 759 210 540 9 0 0
Ida "Battle Creek / MP / GF / GR / BT / LG" 700 150 537 10 3 0
Iowa "Dayton / English I" 294 92 192 7 2 1
Iowa "English II" 479 192 271 11 4 1
Iowa "Fillmore / Greene" 643 245 387 7 4 0
Iowa "Hartford I / Sumner" 322 97 220 5 0 0
Iowa "Hartford II / Lincoln" 522 159 349 8 5 1
Iowa "Hilton / Washington" 656 264 372 14 5 1
Iowa "Honey Creek / Marengo Rural" 321 100 215 3 3 0
Iowa "Lenox / Iowa" 1347 571 749 22 5 0
Iowa "Marengo City" 912 391 491 27 2 1
Iowa "Pilot / Troy / York" 642 174 457 8 3 0
Iowa Williamsburg 1510 681 796 23 10 0
Jackson "Pct 1 - Bellevue Community Center" 1393 614 738 16 25 0
Jackson "Pct 2 - St Donatus Parish Center" 507 171 325 3 7 1
Jackson "Pct 3 - LaMotte Recreation Center" 499 177 308 8 6 0
Jackson "Pct 4 - St Lawrence Community Hall" 500 199 266 12 23 0
Jackson "Pct 5 - Baldwin Fire Station" 335 126 197 3 9 0
Jackson "Pct 6 - Andrew City Hall" 553 206 331 11 5 0
Jackson "Pct 7 - Jackson County Fairgrounds" 816 314 476 11 15 0
Jackson "Pct 8 - Springbrook City Hall" 345 128 209 2 6 0
Jackson "Pct 9 - Preston Community Hall" 746 240 496 6 4 0
Jackson "Pct 10 - Miles City Hall" 319 119 191 6 3 0
Jackson "Pct 11 - Sabula City Hall" 293 112 176 4 1 0
Jackson "Pct 12 - Jackson County Fairgrounds" 389 200 181 4 4 0
Jackson "Pct 13 - Jackson County Fairgrounds" 357 172 168 6 11 0
Jackson "Pct 14 - Jackson County Fairgrounds" 379 208 153 7 11 0
Jackson "Pct 15 - Jackson County Fairgrounds" 522 277 224 10 11 0
Jackson "Pct 16 - Jackson County Fairgrounds" 636 319 305 9 2 1
Jasper "Clear Creek/Poweshiek" 838 362 458 16 2 0
Jasper "Colfax Ward 1" 235 130 98 5 2 0
Jasper "Colfax Ward 2" 334 172 155 6 1 0
Jasper "Colfax Ward 3" 262 139 115 5 2 1
Jasper "Des Moines" 1039 390 616 28 4 1
Jasper "Elk Creek/Lynngrove" 1113 168 937 6 2 0
Jasper Fairview 1141 471 652 13 4 1
Jasper HG/K/RC/BV/RL 1641 626 994 17 4 0
Jasper Indep/Malaka/Mariposa 998 445 535 13 5 0
Jasper "Mound Prairie/Washington" 608 239 361 6 2 0
Jasper Newton/Sherman 1052 465 564 18 5 0
Jasper "Newton 1-1" 790 445 327 12 6 0
Jasper "Newton 1-2" 581 339 227 12 3 0
Jasper "Newton 2-1" 850 471 354 18 7 0
Jasper "Newton 2-2" 718 409 302 2 5 0
Jasper "Newton 3-1" 898 500 379 15 4 0
Jasper "Newton 3-2" 633 369 248 12 4 0
Jasper "Newton 4-1" 1164 594 541 24 5 0
Jasper "Newton 4-2" 549 314 220 10 4 1
Jasper "Palo Alto" 491 186 294 7 4 0
Jefferson Blackhawk-Polk-Packwood 351 96 252 3 0 0
Jefferson Buchanan 301 119 176 5 1 0
Jefferson "Center-Cedar-Maharishi Vedic City" 975 539 416 16 4 0
Jefferson "Fairfield 1st Ward" 1006 606 380 14 5 1
Jefferson "Fairfield 2nd Ward" 921 766 122 22 11 0
Jefferson "Fairfield 3rd Ward" 509 265 230 10 4 0
Jefferson "Fairfield 4th Ward" 831 578 219 22 11 1
Jefferson "Fairfield 5th Ward" 838 430 384 18 4 2
Jefferson "Liberty - Des Moines - Libertyville" 425 100 318 4 2 1
Jefferson "Lockridge-Round Prairie-Walnut-Lockridge-Coppock" 456 111 333 10 2 0
Jefferson "Locust Grove-Batavia" 271 83 184 4 0 0
Jefferson "Penn-Pleasant Plain" 192 57 132 1 2 0
Johnson BG 1107 545 543 11 8 0
Johnson CE 345 162 176 5 2 0
Johnson CC/TF 1757 1122 602 28 4 1
Johnson CV01 1410 1110 257 30 12 1
Johnson CV02 1507 1030 458 16 3 0
Johnson CV03 826 571 236 14 5 0
Johnson CV04 1014 777 208 24 5 0
Johnson CV05 1091 877 197 15 2 0
Johnson CV06 1783 1233 534 13 3 0
Johnson CV07 1465 1100 336 28 0 1
Johnson FR/LN/LT 881 474 392 11 4 0
Johnson GR 296 180 109 6 1 0
Johnson HD 303 152 147 4 0 0
Johnson HS 405 250 145 7 3 0
Johnson IC01 1921 1463 445 12 1 0
Johnson IC02 1566 1192 345 24 5 0
Johnson IC03 1046 788 234 20 3 1
Johnson IC04 1485 1224 240 16 4 1
Johnson IC05 1245 928 287 25 5 0
Johnson IC06 1655 1259 365 23 7 1
Johnson IC07 1323 1030 280 10 3 0
Johnson IC08 1585 1151 421 12 0 1
Johnson IC09 1352 1088 239 19 5 1
Johnson IC10/ELSW 1189 892 282 10 4 1
Johnson IC11 1287 1010 247 19 10 1
Johnson IC12/ELSE 1304 1053 218 23 7 3
Johnson IC13 1018 813 184 15 4 2
Johnson IC14 1274 1087 164 15 6 2
Johnson IC15 1013 771 205 27 10 0
Johnson IC16 1539 1310 206 14 9 0
Johnson IC17 1749 1520 213 15 1 0
Johnson IC18 1644 1480 149 12 3 0
Johnson IC19 917 721 166 23 6 1
Johnson IC20 1195 945 214 29 6 1
Johnson IC21 1381 1189 153 31 8 0
Johnson IC22 1062 875 175 9 3 0
Johnson IC23 1907 1503 377 14 11 2
Johnson IC24 2179 1563 593 18 5 0
Johnson LB/PV 356 191 159 2 4 0
Johnson NP 1422 844 562 6 9 1
Johnson NL01 1281 869 392 15 5 0
Johnson NL02 1264 813 428 17 5 1
Johnson NL03 1717 1122 563 23 9 0
Johnson NL04 1048 779 246 21 2 0
Johnson NL05 1083 769 289 16 9 0
Johnson NL06/MD/CCN 2127 1356 719 44 8 0
Johnson OX 756 404 326 15 11 0
Johnson PN/ELN 1801 1180 591 23 7 0
Johnson SC/WB 841 537 283 15 6 0
Johnson SN 319 134 181 2 2 0
Johnson JE/SH 1443 663 750 20 10 0
Johnson SO 1269 716 530 18 5 0
Johnson SW/JW/MN 1302 648 631 16 6 1
Johnson UN 400 224 170 4 2 0
Johnson UH 664 534 124 2 4 0
Johnson WS 460 180 273 4 3 0
Johnson WL 528 357 160 8 3 0
Jones "ANN-ANAMOSA NORTH/CASS" 945 446 471 24 4 0
Jones "ANS-ANAMOSA SOUTH/JACKSON" 1366 657 670 26 13 0
Jones "CGLW-CASTLE GRV/LOV/WAYNE" 1062 402 647 9 4 0
Jones FV-FAIRVIEW 1040 439 578 17 6 0
Jones GF-GREENFIELD 340 138 195 7 0 0
Jones "MN1-MONTICELLO 1" 380 166 203 9 2 0
Jones "MN2-MONTICELLO 2" 449 218 228 2 1 0
Jones "MN3-MONTICELLO 3" 338 172 158 6 2 0
Jones "MN4-MONTICELLO 4" 431 182 238 10 1 0
Jones OX-OXFORD 259 106 149 2 2 0
Jones RLWS-RICHLAND/WASHINGTON 569 186 362 14 7 0
Jones ROHA-ROME/HALE 568 241 312 12 3 0
Jones "SGMC-SC GRV/MADISON/CLAY" 543 174 356 9 4 0
Jones WY-WYOMING 313 123 185 4 1 0
Keokuk ADAMS 195 67 126 2 0 0
Keokuk "BENTON / STEADY RUN" 472 118 343 7 3 1
Keokuk "ENGLISH RIVER / LIBERTY" 381 132 240 7 2 0
Keokuk JACKSON 185 46 132 5 2 0
Keokuk "LAFAYETTE / CLEAR CREEK" 619 203 405 11 0 0
Keokuk "EAST / WEST LANCASTER" 148 36 109 3 0 0
Keokuk PRAIRIE 147 40 107 0 0 0
Keokuk RICHLAND 338 83 250 3 2 0
Keokuk "SIGOURNEY / PLANK / VAN BUREN" 347 94 247 6 0 0
Keokuk "SIGOURNEY 1ST WARD" 193 66 123 3 1 0
Keokuk "SIGOURNEY 2ND WARD" 223 82 139 1 1 0
Keokuk "SIGOURNEY 3RD WARD" 180 66 112 2 0 0
Keokuk "SIGOURNEY 4TH WARD" 212 100 106 5 1 0
Keokuk WARREN 144 44 97 3 0 0
Keokuk "WHAT CHEER / WASHINGTON" 301 117 180 3 1 0
Kossuth "EG, GT, HS, SW" 480 130 338 8 4 0
Kossuth "HB, LY, LN, SF" 375 96 268 8 3 0
Kossuth "GW, SN" 150 30 118 2 0 0
Kossuth "GM, RM" 474 133 335 3 3 0
Kossuth "BT, FT, UN" 626 247 366 12 1 0
Kossuth "BF, PT" 441 140 295 5 1 0
Kossuth LC 92 31 61 0 0 0
Kossuth UN 64 25 38 0 1 0
Kossuth PC 154 38 116 0 0 0
Kossuth "IV, PC" 92 28 63 1 0 0
Kossuth "PR, WL" 387 121 259 4 3 0
Kossuth "GF, WM" 456 138 307 8 3 0
Kossuth "CR, IV, RV" 515 165 340 8 2 0
Kossuth "LV, SM" 253 62 181 7 3 0
Kossuth "CR 1" 28 6 22 0 0 0
Kossuth "CR 2" 174 71 102 1 0 0
Kossuth AL1 565 241 311 8 5 0
Kossuth AL2 826 346 473 4 3 0
Kossuth AL3 643 303 330 8 2 0
Kossuth AL4 570 237 319 11 3 0
Lee "FM CITY HALL-FM1" 397 226 160 10 1 0
Lee "MCALEER HALL-FM2" 665 397 250 14 4 0
Lee "FM LIBRARY-FM3" 707 451 242 12 1 1
Lee "ROLING HALL-FM4" 789 480 287 18 3 1
Lee "HILLVIEW VILLAGE" 856 501 337 13 5 0
Lee "KE COURTHOUSE-KE1" 415 218 188 6 3 0
Lee "HERITAGE CNTR-KE2" 323 193 120 6 4 0
Lee "KE LIBRARY-KE3" 455 238 210 7 0 0
Lee "EVANGELICAL FREE CHURCH-KE4" 378 221 146 5 5 1
Lee "LEARNING CNTR-KE5" 624 338 273 5 6 2
Lee "FIRST CHRISTIAN CHURCH-KE6" 444 272 159 7 5 1
Lee "KE NAZARENE CHURCH-KE7" 706 352 339 10 4 1
Lee "CENTRAL LEE HIGH SCHOOL" 729 281 429 17 2 0
Lee "PILOT GROVE BANK COMM ROOM" 1073 428 628 17 0 0
Lee "JACKSON TWP FIRE STATION-JK" 676 298 368 5 5 0
Lee "CONSERVATION CNTR - JF" 432 184 243 5 0 0
Lee "IVOR FOWLER COMM CENTER-MOR" 729 328 365 29 7 0
Lee "WEST POINT LIBRARY-PR" 1234 559 662 10 2 1
Lee "GRACE BIBLE CHURCH-GB" 1006 422 567 12 4 1
Linn "Cedar Rapids 01" 1387 720 638 19 9 1
Linn "Cedar Rapids 02" 1088 621 439 20 8 0
Linn "Cedar Rapids 03" 1231 662 542 23 2 2
Linn "Cedar Rapids 04" 1249 638 588 19 3 1
Linn "Cedar Rapids 05" 1412 829 533 44 5 1
Linn "Cedar Rapids 06" 1401 726 636 30 9 0
Linn "Cedar Rapids 07" 767 502 234 26 4 1
Linn "Cedar Rapids 08" 1047 601 400 33 12 1
Linn "Cedar Rapids 09" 969 611 322 30 5 1
Linn "Cedar Rapids 10" 1650 937 676 29 6 2
Linn "Cedar Rapids 11" 1808 780 1001 21 6 0
Linn "Cedar Rapids 12" 1982 1059 892 23 7 1
Linn "Cedar Rapids 13" 1344 824 478 28 14 0
Linn "Cedar Rapids 14" 1306 831 429 34 11 1
Linn "Cedar Rapids 15" 1027 658 349 14 5 1
Linn "Cedar Rapids 16" 1279 847 390 29 12 1
Linn "Cedar Rapids 17" 1045 735 256 44 7 3
Linn "Cedar Rapids 18" 961 588 346 26 1 0
Linn "Cedar Rapids 19" 1569 925 603 32 8 1
Linn "Cedar Rapids 20" 1695 923 721 37 14 0
Linn "Cedar Rapids 21" 1359 871 447 28 12 1
Linn "Cedar Rapids 22" 595 455 115 15 10 0
Linn "Cedar Rapids 23" 997 728 225 34 8 2
Linn "Cedar Rapids 24" 1690 1027 628 25 9 1
Linn "Cedar Rapids 25" 2122 1229 852 30 11 0
Linn "Cedar Rapids 26" 1710 1211 460 28 11 0
Linn "Cedar Rapids 27" 1054 719 290 36 9 0
Linn "Cedar Rapids 28" 1480 893 521 45 19 2
Linn "Cedar Rapids 29" 1234 750 438 30 12 4
Linn "Cedar Rapids 30" 1446 897 511 24 13 1
Linn "Cedar Rapids 31" 1870 1025 813 27 5 0
Linn "Cedar Rapids 32" 1100 724 346 21 7 2
Linn "Cedar Rapids 33" 1210 806 344 37 22 1
Linn "Cedar Rapids 34" 1152 808 294 37 12 1
Linn "Cedar Rapids 35" 1061 760 249 38 14 0
Linn "Cedar Rapids 36" 1597 991 575 25 6 0
Linn "Cedar Rapids 37" 1431 921 462 30 17 1
Linn "Cedar Rapids 38" 1092 674 371 34 13 0
Linn "Cedar Rapids 39" 1703 1031 629 28 15 0
Linn "Cedar Rapids 40" 967 575 354 33 5 0
Linn "Cedar Rapids 41" 1683 960 672 37 14 0
Linn "Cedar Rapids 42" 1206 669 500 25 7 5
Linn "Cedar Rapids 43" 863 560 275 22 5 1
Linn "Cedar Rapids 44" 547 349 174 18 5 1
Linn Fairfax 1374 678 663 28 5 0
Linn "Hiawatha 01" 1586 819 731 29 7 0
Linn "Hiawatha 02" 921 534 340 36 10 1
Linn "Hiawatha 03" 555 282 268 4 1 0
Linn "Hiawatha 04" 192 74 116 2 0 0
Linn "Marion 01" 999 609 357 29 4 0
Linn "Marion 02" 819 436 361 12 10 0
Linn "Marion 03" 1179 658 488 19 14 0
Linn "Marion 04" 891 491 364 31 5 0
Linn "Marion 05" 2049 1097 922 25 5 0
Linn "Marion 06" 1748 936 769 26 15 2
Linn "Marion 07" 1617 804 779 28 6 0
Linn "Marion 08" 1430 788 597 37 8 0
Linn "Marion 09" 1396 714 635 38 9 0
Linn "Marion 10" 1079 650 403 18 8 0
Linn "Marion 11" 1859 847 967 33 11 1
Linn "Marion 12" 925 464 437 17 7 0
Linn "Marion 13" 1567 817 716 29 5 0
Linn "Marion 14" 1392 612 749 24 6 1
Linn "Mount Vernon North" 843 577 241 21 4 0
Linn "Mount Vernon South" 1250 849 354 25 22 0
Linn Robins 2012 825 1136 39 12 0
Linn "Bertram Township" 2036 896 1103 27 10 0
Linn "Boulder Township" 249 98 142 3 6 0
Linn "Brown Township" 1007 424 547 28 8 0
Linn "Buffalo Township" 277 117 147 11 2 0
Linn "Clinton Township" 425 198 218 8 1 0
Linn "College Township" 334 173 155 3 3 0
Linn "Fairfax Township" 765 361 383 16 5 0
Linn "Fayette Township" 664 310 339 10 5 0
Linn "Franklin Township" 1464 801 623 29 11 0
Linn "Grant Township" 596 274 311 8 3 0
Linn "Jackson Township" 665 298 347 14 6 0
Linn "Linn Township" 449 183 256 9 1 0
Linn "Maine Township" 847 376 446 12 13 0
Linn "Marion Township" 800 280 494 22 4 0
Linn "Monroe Township 01" 1136 421 690 18 6 1
Linn "Monroe Township 02" 1129 377 735 9 8 0
Linn "Otter Creek Township" 749 296 441 9 3 0
Linn "Putnam Township" 1431 757 631 29 14 0
Linn "Spring Grove Township" 368 144 207 10 6 1
Linn "Washington Township" 1642 772 823 32 15 0
Louisa "Columbus Junction" 486 266 209 7 1 3
Louisa "Grandview-Port Louisa" 688 254 420 11 3 0
Louisa "Morning Sun-Marshall" 537 177 352 5 2 1
Louisa "Southeast Louisa" 1238 455 761 15 5 2
Louisa "West Louisa" 879 317 546 8 7 1
Lucas "Chariton City Hall" 747 278 447 16 6 0
Lucas "Chariton Community Center" 752 274 465 10 3 0
Lucas "L.C. Extension" 345 97 242 5 1 0
Lucas "Lucas Community Center" 439 128 303 7 1 0
Lucas "Pin Oak Marsh" 415 117 295 0 2 1
Lucas "Russell Community Center-Cedar and Washington Townships, City of Russell" 410 138 266 5 1 0
Lucas "Williamson Community Center" 474 140 317 15 2 0
Lyon "George Community Center" 990 125 861 3 1 0
Lyon "Doon City Hall" 745 33 708 4 0 0
Lyon "Inwood City Hall" 437 80 356 1 0 0
Lyon "Larchwood City Hall" 594 199 381 10 3 1
Lyon "Lester City Hall" 414 64 348 1 1 0
Lyon "Little Rock Town and Country Bldg" 323 36 282 3 2 0
Lyon "Rock Rapids Forster Bldg N" 687 127 549 7 4 0
Lyon "Rock Rapids Forster Bldg S" 997 189 796 8 4 0
Madison "Grand River - Monroe - Webster" 375 101 269 4 1 0
Madison "Jackson - Douglas - Lincoln" 701 234 457 6 4 0
Madison "Jefferson - Lee" 822 278 526 16 2 0
Madison "Penn - Madison" 993 342 623 16 11 1
Madison "Union - Crawford - Scott" 1137 388 721 27 1 0
Madison South 738 251 472 14 1 0
Madison "Walnut - Ohio" 610 168 425 16 1 0
Madison "Winterset 1" 1155 470 658 18 7 2
Madison "Winterset 2" 1127 507 603 11 4 2
Mahaska "AD / MN / PG / UN" 475 75 391 7 2 0
Mahaska "BO / ST" 594 66 518 10 0 0
Mahaska "CE / HA / WO" 799 199 583 13 4 0
Mahaska "E-W DM / JF" 318 84 230 4 0 0
Mahaska "GF / LN / MD" 886 173 696 11 5 1
Mahaska "Oskaloosa 1st Ward" 719 273 429 11 5 1
Mahaska "Oskaloosa 2nd Ward" 956 336 595 18 7 0
Mahaska "OS3 / UP" 1232 419 779 28 6 0
Mahaska "OS4 / OS4 LN" 1083 422 637 18 6 0
Mahaska "PR / RL" 913 208 688 10 7 0
Mahaska "SP / KE" 621 154 461 6 0 0
Marion Clay 418 131 280 4 3 0
Marion Dallas 648 302 327 16 3 0
Marion "Indiana Township" 339 121 210 5 3 0
Marion "Knoxville One" 646 289 337 16 4 0
Marion "Knoxville Two" 692 325 344 19 4 0
Marion "Knoxville Three" 892 438 418 27 9 0
Marion "Knoxville Four" 573 291 266 13 3 0
Marion "Knoxville Township" 1387 474 891 17 4 1
Marion Liberty 347 134 206 5 2 0
Marion "Lake Prairie Township" 1242 233 997 8 4 0
Marion Otley 1069 309 737 19 4 0
Marion "Pella One" 1261 369 875 16 1 0
Marion "Pella Two" 1351 387 934 22 6 2
Marion "Pella Three" 1498 398 1080 16 4 0
Marion "Pella Four" 882 298 561 18 5 0
Marion Pleasantville 1564 662 865 30 6 1
Marion "Washington Township" 242 88 151 2 1 0
Marshall "BANGOR / LISCOMB" 366 137 223 4 2 0
Marshall "EDEN / LOGAN" 808 348 437 19 4 0
Marshall "GREEN CASTLE" 434 162 260 10 2 0
Marshall JEFFERSON 391 171 209 10 1 0
Marshall "Legrand and City" 701 300 381 17 3 0
Marshall "LIBERTY / MINERVA" 343 115 221 5 2 0
Marshall "MARIETTA / WASHINGTON" 391 116 270 5 0 0
Marshall "MARION / VIENNA" 584 213 365 5 1 0
Marshall "PUBLIC LIBRARY 1-1" 454 348 95 6 5 0
Marshall "PUBLIC LIBRARY 1-2" 578 351 206 19 2 0
Marshall "IVH MALLOY HALL 2-1" 956 532 390 24 10 0
Marshall "IVH MALLOY HALL 2-2" 1413 752 638 18 5 0
Marshall "FISHER COMM.  CENTER 3-1" 1304 635 645 20 4 0
Marshall "FISHER COMM. CENTER 3-2" 1654 849 773 24 5 3
Marshall "REDEEMER LUTHERAN CHURCH 4-1" 1013 607 387 15 4 0
