COUNTY AREA TOTAL DEM REP LIB Writein
COUNTY AREA TOTAL Finkenauer Blum Hageman Writein
Allamakee "PCt 1 - WL/HV" 203 92 102 9 0
Allamakee "PCT 2 - FC/JF/LL/MK/UP" 1022 381 611 30 0
Allamakee "PCT - PO/FK" 282 76 195 11 0
Allamakee "PCT 4 - PV City" 401 188 193 20 0
Allamakee "LT/PC/WV CITY" 353 113 226 14 0
Allamakee "PCT - 6 FV/TL/HF CITY" 402 188 200 14 0
Allamakee "PCT - 7 CN/LF//LS/LS City" 958 476 446 36 0
Allamakee "PCT - 8 IA/UC/NA CITY" 420 149 252 19 0
Allamakee "PCT 9 - WAUKON WARD 1" 564 222 320 22 0
Allamakee "WAUKON WARD  2" 512 229 255 27 1
Allamakee "WAUKON WARD  3" 535 239 273 23 0
Benton "Belle Plaine 1" 363 145 202 16 0
Benton "Belle Plaine 2" 282 116 155 11 0
Benton "Belle Plaine 3" 259 132 116 11 0
Benton "Benton - Canton - Shellsburg" 1284 515 709 57 3
Benton "Big Grove - Union - Van Horne" 575 226 337 12 0
Benton "Bruce - Cedar - Mt Auburn" 426 113 300 13 0
Benton "Eden - Harrison - Taylor" 740 248 471 21 0
Benton "Eldorado - Newhall" 561 240 300 20 1
Benton "Florence - St Clair - Norway" 705 278 402 25 0
Benton "Fremont - Atkins" 1304 523 730 50 1
Benton "Homer - Monroe - Jackson - Garrison" 455 135 300 20 0
Benton "Iowa - Leroy - Luzerne - Blairstown" 678 245 414 18 1
Benton "Kane - Keystone" 378 144 225 9 0
Benton "Polk - Urbana" 1046 485 531 30 0
Benton "Vinton 1" 547 261 263 21 2
Benton "Vinton 2" 382 179 188 15 0
Benton "Vinton 3" 575 270 280 23 2
Benton "Vinton 4" 525 215 291 18 1
Benton Walford 496 228 251 17 0
"Black Hawk" "Barclay Lester Dunkerton" 838 332 485 21 0
"Black Hawk" Bennington 245 58 177 10 0
"Black Hawk" "Big Creek La Porte City" 1094 491 566 37 0
"Black Hawk" "Black Hawk Hudson Lincoln" 1642 615 985 42 0
"Black Hawk" "Cedar Orange" 924 428 468 28 0
"Black Hawk" "CF W1 P1" 856 475 349 31 1
"Black Hawk" "CF W1 P2" 1498 951 514 33 0
"Black Hawk" "CF W1 P3" 1342 899 393 49 1
"Black Hawk" "CF W2 P1" 417 261 145 11 0
"Black Hawk" "CF W2 P2" 1672 883 760 28 1
"Black Hawk" "CF W2 P3" 2451 1201 1205 44 1
"Black Hawk" "CF W3 P1" 1249 594 632 23 0
"Black Hawk" "CF W3 P2" 1824 853 947 24 0
"Black Hawk" "CF W3 P3" 848 509 319 20 0
"Black Hawk" "CF W4 P1" 1409 838 538 33 0
"Black Hawk" "CF W4 P2" 833 605 203 23 2
"Black Hawk" "CF W4 P3" 783 525 238 19 1
"Black Hawk" "CF W5 P1" 1339 781 525 32 1
"Black Hawk" "CF W5 P2" 1321 783 501 37 0
"Black Hawk" "CF W5 P3" 1406 678 699 29 0
"Black Hawk" Eagle 260 60 195 5 0
"Black Hawk" "Elk Run Heights/Raymond" 828 432 368 28 0
"Black Hawk" "Evansdale W1" 409 235 157 17 0
"Black Hawk" "Evansdale W2" 401 209 181 11 0
"Black Hawk" "Evansdale W3" 378 197 168 13 0
"Black Hawk" "Evansdale W4" 481 256 212 13 0
"Black Hawk" "Mt Vernon" 520 209 289 22 0
"Black Hawk" "Poyner P1 East Wloo" 443 201 221 21 0
"Black Hawk" "Poyner P2 Gilb Fox Jesup" 889 422 450 17 0
"Black Hawk" "Spring Creek" 156 53 101 2 0
"Black Hawk" Union 538 188 339 11 0
"Black Hawk" "Washington Janesville" 341 135 196 10 0
"Black Hawk" "WL W1 P1" 1088 587 463 38 0
"Black Hawk" "WL W1 P2" 973 555 391 27 0
"Black Hawk" "WL W1 P3" 732 488 221 22 1
"Black Hawk" "WL W1 P4" 989 518 454 17 0
"Black Hawk" "WL W1 P5" 887 474 391 22 0
"Black Hawk" "WL W1 P6" 1516 660 828 28 0
"Black Hawk" "WL W2 P1" 686 363 312 11 0
"Black Hawk" "WL W2 P2" 597 363 221 13 0
"Black Hawk" "WL W2 P3" 880 511 339 29 1
"Black Hawk" "WL W2 P4" 1370 776 564 29 1
