DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
3 Alachua 1 906 353 553 0 0 0 9
3 Alachua 10 1118 606 512 0 0 0 18
3 Alachua 11 1834 951 883 0 0 0 19
3 Alachua 12 1600 1289 311 0 0 0 21
3 Alachua 13 1279 1218 61 0 0 0 21
3 Alachua 14 818 288 530 0 0 0 13
3 Alachua 15 563 237 326 0 0 0 11
3 Alachua 16 1754 825 929 0 0 0 23
3 Alachua 17 2001 1405 596 0 0 0 27
3 Alachua 18 1900 1066 834 0 0 0 28
3 Alachua 19 993 897 96 0 0 0 14
3 Alachua 2 1386 606 780 0 0 0 15
3 Alachua 20 2296 875 1421 0 0 0 23
3 Alachua 21 1982 1245 737 0 0 0 26
3 Alachua 22 2271 1453 818 0 0 0 25
3 Alachua 23 1028 766 262 0 0 0 22
3 Alachua 24 1603 1116 487 0 0 0 15
3 Alachua 25 1514 1298 216 0 0 0 32
3 Alachua 26 1192 867 325 0 0 0 11
3 Alachua 27 2234 1934 300 0 0 1 27
3 Alachua 28 1773 1625 148 0 0 0 18
3 Alachua 29 2092 1087 1005 0 0 0 35
3 Alachua 3 2736 1087 1649 0 0 0 27
3 Alachua 30 1685 1444 241 0 0 0 15
3 Alachua 31 2536 1950 586 0 0 0 104
3 Alachua 32 2210 1562 648 0 0 0 36
3 Alachua 33 1575 1356 219 0 0 0 31
3 Alachua 34 804 374 430 0 0 0 7
3 Alachua 35 1153 661 492 0 0 0 21
3 Alachua 36 1765 1365 400 0 0 1 42
3 Alachua 37 1663 1012 651 0 0 0 22
3 Alachua 38 2277 1470 807 0 0 0 23
3 Alachua 39 1656 1347 309 0 0 0 32
3 Alachua 4 2084 662 1422 0 0 0 23
3 Alachua 40 1689 985 704 0 0 0 24
3 Alachua 41 1924 845 1079 0 0 0 18
3 Alachua 42 2084 1085 999 0 0 1 24
3 Alachua 43 1881 1240 641 0 0 0 25
3 Alachua 44 3338 2824 514 0 0 0 78
3 Alachua 45 4178 2401 1777 0 0 0 48
3 Alachua 46 2757 1392 1365 0 0 0 25
3 Alachua 47 2701 1319 1382 0 0 0 28
3 Alachua 48 1544 1030 514 0 0 0 38
3 Alachua 49 1739 729 1010 0 0 0 12
3 Alachua 5 1954 1455 499 0 0 0 45
3 Alachua 50 1399 961 438 0 0 0 11
3 Alachua 51 2274 1351 923 0 0 0 25
3 Alachua 52 1162 861 301 0 0 0 22
3 Alachua 53 1908 1016 892 0 0 0 27
3 Alachua 54 2060 1606 454 0 0 0 41
3 Alachua 55 751 645 106 0 0 0 17
3 Alachua 56 1995 1060 935 0 0 0 26
3 Alachua 57 1809 1204 605 0 0 0 26
3 Alachua 58 3164 1761 1403 0 0 1 38
3 Alachua 59 3416 2672 744 0 0 0 76
3 Alachua 6 2028 725 1303 0 0 0 23
3 Alachua 60 2343 607 1736 0 0 1 23
3 Alachua 61 1662 1083 579 0 0 0 8
3 Alachua 62 1648 1089 559 0 0 1 27
3 Alachua 63 1801 795 1006 0 0 0 23
3 Alachua 7 1405 1185 220 0 0 1 22
3 Alachua 8 1273 606 667 0 0 0 9
3 Alachua 9 348 108 240 0 0 0 7
5 Baker 1A 1400 540 860 0 0 0 32
5 Baker 2A 1977 440 1537 0 0 1 42
5 Baker 3A 2077 381 1696 0 0 0 40
5 Baker 4A 129 11 118 0 0 0 0
5 Baker 4B 396 42 354 0 0 0 2
5 Baker 4C 1397 151 1246 0 0 0 27
5 Baker 4D 587 73 514 0 0 0 5
5 Baker 5A 2291 273 2018 0 0 1 32
