COUNTY AREA TOTAL DEM REP Other
COUNTY AREA TOTAL Democrat Republican Other
Alachua 01 1409 538 584 287
Alachua 02 2069 951 739 379
Alachua 03 4107 1520 1626 961
Alachua 04 3117 1040 1406 671
Alachua 05 3126 1552 733 841
Alachua 06 3119 1095 1294 730
Alachua 07 2322 1414 306 602
Alachua 08 2014 991 641 382
Alachua 09 541 183 246 112
Alachua 10 1548 757 486 305
Alachua 11 2849 1376 900 573
Alachua 12 2380 1483 368 529
Alachua 13 2466 1940 105 421
Alachua 14 1198 425 525 248
Alachua 15 894 392 340 162
Alachua 16 2497 895 1001 601
Alachua 17 2916 1563 660 693
Alachua 18 2847 1119 942 786
Alachua 19 1669 1206 147 316
Alachua 20 3404 1265 1416 723
Alachua 21 2916 1390 822 704
Alachua 22 3360 1560 911 889
Alachua 23 1631 852 353 426
Alachua 24 2192 1194 492 506
Alachua 25 2715 1545 422 748
Alachua 26 1712 911 381 420
Alachua 27 3383 2247 433 703
Alachua 28 2959 2348 166 445
Alachua 29 2887 1086 1140 661
Alachua 30 2721 2028 245 448
Alachua 31 5310 2188 1255 1867
Alachua 32 3606 1803 814 989
Alachua 33 2748 1956 248 544
Alachua 34 1305 600 440 265
Alachua 35 1676 764 565 347
Alachua 36 3740 1750 772 1218
Alachua 37 2298 1147 670 481
Alachua 38 3489 1819 853 817
Alachua 39 3305 1653 557 1095
Alachua 40 2273 1115 717 441
Alachua 41 2597 915 1135 547
Alachua 42 2869 1058 1120 691
Alachua 43 3345 1693 777 875
Alachua 44 6782 3413 1159 2210
Alachua 45 5557 2490 1827 1240
Alachua 46 3797 1415 1425 957
Alachua 47 3592 1237 1433 922
Alachua 48 2947 1396 682 869
Alachua 49 2371 879 1066 426
Alachua 50 1829 1065 404 360
Alachua 51 3174 1393 1031 750
Alachua 52 2344 1290 403 651
Alachua 53 3024 1510 868 646
Alachua 54 4013 2089 772 1152
Alachua 55 1382 953 144 285
Alachua 56 3060 1173 1065 822
Alachua 57 2804 1429 649 726
Alachua 58 4787 1911 1544 1332
Alachua 59 6966 3241 1675 2050
Alachua 60 3275 902 1691 682
Alachua 61 2220 1196 637 387
Alachua 62 2932 1416 755 761
Alachua 63 2549 939 1088 522
Baker 1A 2148 1179 782 187
Baker 2A 2966 1079 1513 374
Baker 3A 2982 931 1716 335
Baker 4A 202 78 100 24
Baker 4B 613 187 336 90
Baker 4C 1826 454 1201 171
Baker 4D 870 275 508 87
Baker 5A 3245 932 1946 367
Baker 6A 256 109 118 29
Bay 1 2079 486 1050 543
Bay 10 4514 928 2506 1080
Bay 11 5783 1191 3017 1575
Bay 12 5147 1011 2741 1395
Bay 13 2464 426 1408 630
Bay 14 4522 881 2447 1194
Bay 15 3074 457 2116 501
Bay 16 1490 281 981 228
Bay 17 3675 792 2036 847
Bay 18 2526 542 1602 382
Bay 19 1911 684 863 364
Bay 2 1184 235 717 232
Bay 20 1715 405 999 311
Bay 21 4251 813 2691 747
Bay 22 3931 846 2458 627
Bay 23 4811 1165 2613 1033
Bay 24 1537 382 844 311
Bay 25 2298 500 1427 371
Bay 26 2692 604 1621 467
Bay 27 3729 1005 1862 862
Bay 28 2316 703 944 669
Bay 29 3230 1257 1172 801
Bay 3 652 138 387 127
Bay 30 1539 525 622 392
Bay 31 4603 1407 2121 1075
Bay 32 1870 1388 168 314
Bay 33 2136 1195 455 486
Bay 34 1324 369 705 250
Bay 35 2187 594 1233 360
Bay 36 1082 459 362 261
Bay 37 3772 1455 1351 966
Bay 38 1880 628 725 527
Bay 39 3798 930 2035 833
Bay 4 3196 691 1824 681
Bay 40 2025 691 872 462
Bay 41 2588 798 1160 630
Bay 42 2407 536 1165 706
Bay 43 1781 497 850 434
Bay 44 1310 301 750 259
Bay 5 2870 548 1703 619
Bay 6 3716 804 2249 663
Bay 7 532 153 275 104
Bay 8 3337 556 1979 802
Bay 9 3367 675 1778 914
Bradford 1 1693 453 998 242
Bradford 10 952 244 586 122
Bradford 11 1227 409 580 238
Bradford 12 1749 488 952 309
Bradford 13 554 152 287 115
Bradford 14 700 227 367 106
Bradford 2 768 436 227 105
Bradford 3 659 222 325 112
Bradford 4 1276 484 613 179
Bradford 5 1699 709 735 255
Bradford 6 815 243 471 101
Bradford 7 1158 712 288 158
Bradford 8 1725 575 861 289
Bradford 9 1342 593 538 211
Brevard 100 2104 623 997 484
Brevard 102 912 249 410 253
Brevard 103 3506 920 1864 722
Brevard 104 4646 1375 2179 1092
Brevard 105 5667 1872 2365 1430
Brevard 106 2412 555 1313 544
Brevard 107 2114 656 990 468
Brevard 108 5020 2426 1450 1144
Brevard 109 5316 1760 2288 1268
Brevard 111 2827 927 1104 796
Brevard 112 2858 771 1475 612
Brevard 113 3169 931 1314 924
Brevard 114 5332 1597 2284 1451
Brevard 115 3518 1045 1604 869
Brevard 116 3983 851 2284 848
Brevard 118 5482 1552 2374 1556
Brevard 120 1194 954 86 154
Brevard 121 2146 564 1160 422
Brevard 122 2371 663 1052 656
Brevard 123 3118 964 1293 861
Brevard 124 3839 1243 1547 1049
Brevard 125 3744 1104 1633 1007
Brevard 127 948 304 402 242
Brevard 128 4 1 1 2
Brevard 129 10 3 3 4
Brevard 131 1432 406 645 381
Brevard 135 1985 552 851 582
Brevard 200 1806 586 790 430
Brevard 201 3140 696 1763 681
Brevard 202 2872 751 1384 737
Brevard 203 3989 1273 1630 1086
Brevard 204 4287 1240 1784 1263
Brevard 205 6715 1562 3584 1569
Brevard 206 2684 783 1216 685
Brevard 207 2418 804 997 617
Brevard 208 2054 575 906 573
Brevard 209 1976 811 602 563
Brevard 210 945 381 320 244
Brevard 211 3423 1283 1294 846
Brevard 212 1792 838 559 395
Brevard 213 812 462 161 189
Brevard 214 2621 1261 730 630
Brevard 215 1391 382 666 343
Brevard 216 6526 2053 2932 1541
Brevard 217 3532 910 1774 848
Brevard 218 585 162 284 139
Brevard 219 4412 1929 1467 1016
Brevard 220 767 190 335 242
Brevard 221 2929 804 1383 742
Brevard 222 3335 971 1437 927
Brevard 223 798 181 336 281
Brevard 224 4895 1651 2057 1187
Brevard 225 17 4 8 5
Brevard 226 3104 953 1227 924
Brevard 227 182 64 88 30
Brevard 228 1153 360 460 333
Brevard 229 478 72 302 104
Brevard 230 8 1 3 4
Brevard 231 1248 755 192 301
Brevard 233 730 549 41 140
Brevard 234 322 124 132 66
Brevard 235 2434 614 1205 615
Brevard 236 623 173 304 146
Brevard 237 55 13 27 15
Brevard 238 52 14 24 14
Brevard 239 2 2 0 0
Brevard 240 1257 234 762 261
Brevard 300 2462 1277 584 601
Brevard 301 500 115 271 114
Brevard 302 3571 795 1840 936
Brevard 303 6956 2622 2212 2122
Brevard 304 4642 1400 1724 1518
Brevard 305 2671 718 1258 695
Brevard 306 1509 982 209 318
Brevard 307 1500 424 664 412
Brevard 308 3846 1304 1369 1173
Brevard 309 10436 2966 4428 3042
Brevard 310 2627 823 1065 739
Brevard 311 2555 617 1215 723
Brevard 312 2375 638 976 761
Brevard 313 8064 2842 2820 2402
Brevard 314 3694 1335 1270 1089
Brevard 315 4471 1778 1374 1319
Brevard 316 3829 1398 1181 1250
Brevard 317 5578 1928 2005 1645
Brevard 318 3189 794 1537 858
Brevard 319 5 2 2 1
Brevard 320 103 36 46 21
Brevard 321 331 115 112 104
Brevard 322 5110 2017 1539 1554
Brevard 323 511 156 149 206
Brevard 324 812 200 383 229
Brevard 325 394 90 194 110
Brevard 326 459 96 248 115
Brevard 327 511 129 263 119
Brevard 328 422 113 205 104
Brevard 400 4761 1601 1768 1392
Brevard 402 4173 1296 1705 1172
Brevard 403 1362 410 560 392
Brevard 404 5759 1519 2833 1407
Brevard 405 5005 1273 2455 1277
Brevard 406 5918 1533 2758 1627
Brevard 407 470 118 196 156
Brevard 408 1559 477 553 529
Brevard 409 5942 1574 2890 1478
Brevard 410 904 226 394 284
Brevard 411 1062 318 438 306
Brevard 412 1119 300 567 252
Brevard 414 4670 1531 1745 1394
Brevard 415 3122 781 1514 827
Brevard 416 1969 443 1027 499
Brevard 417 4693 1324 2110 1259
Brevard 418 3055 698 1505 852
Brevard 419 2476 603 1286 587
Brevard 420 3147 798 1566 783
Brevard 421 4162 889 2267 1006
Brevard 422 5762 1388 2870 1504
Brevard 424 3718 914 1721 1083
Brevard 425 695 188 369 138
Brevard 426 1861 380 1064 417
Brevard 427 4423 1011 2259 1153
Brevard 428 5050 1375 2384 1291
Brevard 429 2446 650 1229 567
Brevard 430 952 172 545 235
Brevard 431 1532 411 729 392
Brevard 432 156 34 76 46
Brevard 433 31 11 16 4
Brevard 434 7 4 2 1
Brevard 435 89 30 37 22
Brevard 437 520 111 240 169
Brevard 440 26 6 14 6
Brevard 441 1371 319 605 447
Brevard 500 1783 578 701 504
Brevard 501 600 211 249 140
Brevard 502 3146 983 1260 903
Brevard 503 3287 921 1528 838
Brevard 504 845 246 384 215
Brevard 505 3502 848 1756 898
Brevard 506 2426 664 1126 636
Brevard 507 4802 1502 1865 1435
Brevard 508 1985 495 971 519
Brevard 509 797 320 252 225
Brevard 510 8304 2896 3079 2329
Brevard 511 2612 645 1364 603
Brevard 512 3001 699 1553 749
Brevard 513 558 177 238 143
Brevard 515 3379 877 1599 903
Brevard 516 6779 2655 2052 2072
Brevard 517 5779 2228 1830 1721
Brevard 518 3636 1000 1539 1097
Brevard 519 6261 2483 1912 1866
Brevard 520 4816 1793 1446 1577
Brevard 521 5142 1945 1607 1590
Brevard 522 433 128 184 121
Brevard 523 890 293 356 241
Brevard 524 11 4 3 4
Brevard 525 1579 355 697 527
Brevard 527 2411 810 861 740
Brevard 528 1211 475 378 358
