COUNTY AREA TOTAL DEM REP GRN NON
COUNTY AREA TOTAL SINEMA MCSALLY GREEN WRITEIN
Maricopa "0111 CITRUS GARDENS" 0 963 951 44 3
Maricopa "0112 CITRUS GROVES" 0 1086 1310 86 7
Maricopa "0113 CLAY MINE" 0 155 294 5 0
Maricopa "0114 CLEARVIEW" 0 1205 1187 39 0
Maricopa "0115 CLEARWATER" 0 392 583 3 0
Maricopa "0116 CLIFFVIEW" 0 642 327 13 1
Maricopa "0117 CLOUD" 0 901 1310 45 1
Maricopa "0118 CLOVER" 0 337 267 31 1
Maricopa "0119 CLUB WEST" 0 1890 1683 44 5
Maricopa "0120 COCOPAH" 0 627 769 20 2
Maricopa "0121 COLDWATER RIDGE" 0 1174 464 64 5
Maricopa "0122 COLONIA" 0 1967 1702 70 8
Maricopa "0123 COLONNADE" 0 1391 633 27 0
Maricopa "0124 COLTER" 0 589 187 41 4
Maricopa "0125 COMET" 0 945 1036 73 4
Maricopa "0126 COMMONWEALTH" 0 721 300 35 2
Maricopa "0127 COMPADRE" 0 1842 1710 43 10
Maricopa "0128 COMSTOCK" 0 718 556 35 1
Maricopa "0129 CONCORD" 0 672 521 31 3
Maricopa "0130 CONQUISTADOR" 0 418 670 23 0
Maricopa "0131 CONTENTION MINE" 0 524 412 30 1
Maricopa "0132 COPPER HILLS" 0 958 1086 17 2
Maricopa "0133 COPPERWOOD" 0 532 458 32 2
Maricopa "0134 CORA" 0 476 116 27 0
Maricopa "0135 CORBELL" 0 1797 1066 42 1
Maricopa "0136 CORDES" 0 476 146 18 1
Maricopa "0137 CORDONIZ" 0 921 435 48 1
Maricopa "0138 CORDOVA" 0 371 144 20 0
Maricopa "0139 CORONA" 0 755 488 15 1
Maricopa "0140 CORONADO" 0 1311 876 57 6
Maricopa "0141 CORRINE" 0 815 1297 45 3
Maricopa "0142 CORTEZ" 0 435 258 32 0
Maricopa "0143 COTTON LANE" 0 1253 1457 66 4
Maricopa "0144 COTTONWOOD COUNTRY CLUB" 0 1496 2061 61 3
Maricopa "0145 COUNTRY GABLES" 0 340 387 27 3
Maricopa "0146 COUNTRY MEADOWS" 0 273 229 17 2
Maricopa "0147 COVINA" 0 782 1284 45 4
Maricopa "0148 COYOTE BASIN" 0 609 638 40 3
Maricopa "0149 COYOTE HILLS" 0 834 1598 44 2
Maricopa "0150 COYOTE LAKES" 0 619 818 43 2
Maricopa "0151 CREEDANCE" 0 1140 1544 55 6
Maricopa "0152 CREIGHTON" 0 1340 378 47 4
Maricopa "0153 CRESCENT" 0 355 615 12 1
Maricopa "0154 CRISMON" 0 1737 1335 68 7
Maricopa "0155 CROCUS" 0 497 681 47 2
Maricopa "0156 CROSBY" 0 440 487 24 2
Maricopa "0157 CROSSROADS PARK" 0 1587 1920 79 5
Maricopa "0158 CRYSTAL GARDENS" 0 1763 959 90 3
Maricopa "0159 CULLUMBER" 0 802 710 38 1
Maricopa "0160 CULVER" 0 671 142 21 4
Maricopa "0161 DAHLIA" 0 505 646 39 5
Maricopa "0162 DAISY" 0 554 547 45 1
Maricopa "0163 DALLAS" 0 932 1224 86 9
Maricopa "0164 DANBURY" 0 770 1009 53 1
Maricopa "0165 DANYELL" 0 1082 415 62 1
Maricopa "0166 DARROW" 0 940 293 31 4
Maricopa "0167 DC RANCH" 0 2098 2670 53 4
Maricopa "0168 DEADMAN WASH" 0 785 2284 38 2
Maricopa "0169 DEER VALLEY" 0 710 971 52 6
Maricopa "0170 DEERVIEW" 0 366 296 14 2
Maricopa "0171 DEL JOYA" 0 1202 1339 25 1
Maricopa "0172 DEL RIO" 0 1339 846 39 2
Maricopa "0173 DESERT BELL" 0 1102 749 58 3
Maricopa "0174 DESERT BLOSSOM" 0 532 730 19 0
Maricopa "0175 DESERT COVE" 0 956 557 36 3
Maricopa "0176 DESERT EDGE" 0 1319 1163 81 3
Maricopa "0177 DESERT HARBOR" 0 1350 1696 52 2
Maricopa "0178 DESERT HAVEN" 0 1328 1894 62 7
Maricopa "0179 DESERT HIGHLANDS" 0 698 1468 11 0
Maricopa "0180 DESERT HILLS" 0 746 1858 27 4
Maricopa "0181 DESERT MIRAGE" 0 837 652 52 3
Maricopa "0182 DESERT OASIS" 0 1023 2073 86 4
Maricopa "0183 DESERT SAGE" 0 1701 2405 60 6
Maricopa "0184 DESERT SKY" 0 885 201 53 2
Maricopa "0185 DESERT THUNDER" 0 1542 1249 69 3
Maricopa "0186 DESERT VISTA" 0 710 651 26 2
Maricopa "0187 DESOTO" 0 650 506 27 1
Maricopa "0188 DESSIE" 0 815 202 44 3
Maricopa "0189 DEVONSHIRE" 0 1866 1311 71 3
Maricopa "0190 DIABLO" 0 778 381 35 3
Maricopa "0191 DIXILETA" 0 1836 2736 75 6
Maricopa "0192 DOBBINS RANCH" 0 2496 1075 119 9
Maricopa "0193 DOBSON PARK" 0 631 657 20 1
Maricopa "0194 DOBSON RANCH" 0 1985 1360 67 9
Maricopa "0195 DOUBLETREE" 0 940 1298 11 0
Maricopa "0196 DOVE VALLEY" 0 644 1041 17 2
Maricopa "0197 DOVER" 0 691 365 20 0
Maricopa "0198 DREAMLAND VILLA" 0 1546 1859 119 8
Maricopa "0199 DREAMY DRAW" 0 877 420 45 5
Maricopa "0200 DREYFUS" 0 979 933 27 1
Maricopa "0201 DRIFTWOOD" 0 1379 1910 57 7
Maricopa "0202 DUBLIN" 0 1040 735 46 5
Maricopa "0203 DUKE" 0 946 612 44 4
Maricopa "0204 DUNBAR" 0 719 106 32 0
Maricopa "0205 DURANGO" 0 669 694 48 4
Maricopa "0206 DUSTY TRAIL" 0 1821 3484 80 4
Maricopa "0207 DWIGHT" 0 1120 396 61 3
Maricopa "0208 DYNAMITE" 0 1153 1394 28 3
Maricopa "0209 DYSART" 0 353 364 21 3
Maricopa "0210 EASTMARK" 0 420 508 17 1
Maricopa "0211 EASTRIDGE" 0 687 922 48 5
Maricopa "0212 ECHO" 0 596 330 41 3
Maricopa "0213 EDISON" 0 881 132 47 2
Maricopa "0214 EL CARO" 0 1507 716 70 2
Maricopa "0215 EL DOMINGO" 0 1061 505 37 2
Maricopa "0216 EL MIRAGE" 0 1312 753 79 5
Maricopa "0217 ELLSWORTH PARK" 0 507 538 31 6
Maricopa "0218 ELWOOD" 0 1418 362 80 0
Maricopa "0219 EMERALD" 0 846 1065 41 3
Maricopa "0220 EMMETT" 0 1345 989 69 3
Maricopa "0221 ENCANTO" 0 1716 434 40 1
Maricopa "0222 ENID PARK" 0 937 1341 61 6
Maricopa "0223 ENTZ" 0 673 1316 30 2
Maricopa "0224 ESCALANTE" 0 1409 345 53 3
Maricopa "0225 ESCOBAR" 0 484 382 32 0
Maricopa "0226 ESCONDIDO" 0 1525 1743 81 6
Maricopa "0227 ESQUIRE" 0 1393 561 81 13
Maricopa "0228 ESTRELLA FOOTHILLS" 0 1616 1866 64 2
Maricopa "0229 EUCLID" 0 1657 561 53 2
Maricopa "0230 EVANS" 0 578 588 17 5
Maricopa "0231 FAIRWAY" 0 788 651 49 3
Maricopa "0232 FALCON HILL" 0 1507 2301 97 3
Maricopa "0233 FENIMORE" 0 1237 2306 79 6
Maricopa "0234 FESTIVAL" 0 1288 2053 40 6
Maricopa "0235 FIESTA RANCH" 0 1314 1203 52 4
Maricopa "0236 FOLLEY" 0 2172 1400 73 4
Maricopa "0237 FOOTHILLS" 0 1702 1607 38 5
Maricopa "0238 FORT MCDOWELL" 0 154 41 5 0
Maricopa "0239 FOUNTAIN HILLS" 0 835 1275 27 2
Maricopa "0240 FOUR PEAKS" 0 1241 1648 47 5
Maricopa "0241 FOX CROSSING" 0 1410 1054 45 4
Maricopa "0242 FOXWOOD" 0 646 641 33 2
Maricopa "0243 FREMONT" 0 633 989 51 4
Maricopa "0244 FRONTIER" 0 1424 2068 63 6
Maricopa "0245 FULTON RANCH" 0 2470 2687 60 5
Maricopa "0246 GALVESTON" 0 2296 1441 78 8
Maricopa "0247 GARDEN GROVES" 0 1159 533 46 2
Maricopa "0248 GARDENS" 0 474 115 17 3
Maricopa "0249 GATEWAY" 0 1212 150 44 6
Maricopa "0250 GAVILAN PEAK" 0 867 1412 42 8
Maricopa "0251 GEMINI" 0 929 871 60 6
Maricopa "0252 GENE AUTRY" 0 652 1129 23 1
Maricopa "0253 GERMANN" 0 1181 1019 36 3
Maricopa "0254 GERONIMO" 0 595 420 29 2
Maricopa "0255 GILA" 0 1422 848 71 0
Maricopa "0256 GILA BEND" 0 171 202 12 0
Maricopa "0257 GILBERT" 0 962 1008 41 3
Maricopa "0258 GILBERT GARDENS" 0 1230 1237 68 5
Maricopa "0259 GLENCROFT" 0 726 589 44 4
Maricopa "0260 GLENN" 0 990 632 23 0
Maricopa "0261 GLENROSA" 0 940 465 20 3
Maricopa "0262 GLENVIEW" 0 778 1719 32 2
Maricopa "0263 GOLD DUST" 0 581 523 23 0
Maricopa "0264 GOLDEN EAGLE" 0 1221 1900 28 5
Maricopa "0265 GOLDEN HILLS" 0 1017 1005 93 13
Maricopa "0266 GOLDFIELD RANCH" 0 60 129 2 0
Maricopa "0267 GOODYEAR" 0 491 259 31 1
Maricopa "0268 GRANADA" 0 1089 316 51 3
Maricopa "0269 GRAND" 0 1736 2445 49 2
Maricopa "0270 GRANITE FALLS" 0 1342 1806 57 4
Maricopa "0271 GRANITE MOUNTAIN" 0 893 2218 18 5
Maricopa "0272 GRAYHAWK" 0 706 1057 10 0
Maricopa "0273 GREENBRIAR" 0 725 1126 52 1
Maricopa "0274 GREENFIELD" 0 1013 153 56 1
Maricopa "0275 GREENFIELD PARK" 0 1445 1874 83 9
Maricopa "0276 GREENWAY" 0 1184 1114 66 7
Maricopa "0277 GREYSTONE" 0 444 709 15 2
Maricopa "0278 GROVERS" 0 890 774 60 6
Maricopa "0279 GROVES" 0 1059 1741 53 3
Maricopa "0280 GUADALUPE" 0 1120 88 34 0
Maricopa "0281 GUERRERO" 0 943 416 47 3
Maricopa "0282 HADLEY" 0 776 243 32 3
Maricopa "0283 HALL" 0 1655 817 47 5
Maricopa "0284 HAPPY TRAILS" 0 206 402 16 1
Maricopa "0285 HAPPY VALLEY" 0 762 1322 24 0
Maricopa "0286 HARMONT" 0 1381 804 74 6
Maricopa "0287 HARMONY PARK" 0 1113 1454 81 3
Maricopa "0288 HARQUAHALA" 0 41 53 5 0
Maricopa "0289 HARRIS" 0 326 226 13 0
Maricopa "0290 HARRISON" 0 493 56 17 3
Maricopa "0291 HASSAYAMPA" 0 57 59 3 0
Maricopa "0292 HASTINGS" 0 814 1304 37 2
Maricopa "0293 HATCHER" 0 923 582 56 3
Maricopa "0294 HAWES" 0 678 826 63 8
Maricopa "0295 HAYDEN HIGH" 0 745 104 29 2
Maricopa "0296 HERITAGE" 0 1088 595 83 6
Maricopa "0297 HERMOSA" 0 1590 195 59 3
Maricopa "0298 HERMOSA VISTA" 0 1356 2474 68 4
Maricopa "0299 HICKIWAN" 0 25 0 1 0
