COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Cochise "47 WI KANSAS SETTLEMENT" 0 225 494 0 0 0 11 0 0
Cochise "48 WI STEWART" 0 167 480 0 0 0 8 0 0
Cochise "49 WI WILLCOX" 0 188 296 0 0 0 11 0 0
Coconino "BELLEMONT 40" 0 270 247 0 0 0 7 0 0
Coconino "BLUE RIDGE 41" 0 139 379 0 0 0 3 0 0
Coconino "BODAWAY 42" 0 353 92 0 0 0 11 0 0
Coconino "CAMERON 43" 0 490 96 0 0 0 9 0 0
Coconino "COALMINE 48" 0 150 18 0 0 0 1 0 0
Coconino "COPPERMINE 47" 0 189 41 0 0 0 5 0 0
Coconino "DONEY PARK 50" 0 678 753 0 0 0 37 0 0
Coconino "FLAGSTAFF 1" 0 1108 292 0 0 0 13 0 0
Coconino "FLAGSTAFF 10" 0 114 13 0 0 0 2 0 0
Coconino "FLAGSTAFF 11" 0 531 170 0 0 0 11 0 0
Coconino "FLAGSTAFF 12" 0 748 105 0 0 0 24 0 0
Coconino "FLAGSTAFF 13" 0 183 29 0 0 0 3 0 0
Coconino "FLAGSTAFF 14" 0 747 195 0 0 0 21 0 0
Coconino "FLAGSTAFF 15" 0 1451 468 0 0 0 46 0 0
Coconino "FLAGSTAFF 16" 0 1125 416 0 0 0 24 0 0
Coconino "FLAGSTAFF 17" 0 337 169 0 0 0 11 0 0
Coconino "FLAGSTAFF 18" 0 339 217 0 0 0 10 0 0
Coconino "FLAGSTAFF 19" 0 943 479 0 0 0 31 0 0
Coconino "FLAGSTAFF 2" 0 977 166 0 0 0 13 0 0
Coconino "FLAGSTAFF 20" 0 322 60 0 0 0 11 0 0
Coconino "FLAGSTAFF 21" 0 1225 569 0 0 0 31 0 0
Coconino "FLAGSTAFF 22" 0 1566 779 0 0 0 48 0 0
Coconino "FLAGSTAFF 23" 0 887 342 0 0 0 44 0 0
Coconino "FLAGSTAFF 24" 0 1394 887 0 0 0 36 0 0
Coconino "FLAGSTAFF 25" 0 1061 537 0 0 0 33 0 0
Coconino "FLAGSTAFF 26" 0 493 326 0 0 0 28 0 0
Coconino "FLAGSTAFF 3" 0 737 101 0 0 0 18 0 0
Coconino "FLAGSTAFF 4" 0 1118 298 0 0 0 19 0 0
Coconino "FLAGSTAFF 5" 0 1303 533 0 0 0 30 0 0
Coconino "FLAGSTAFF 6" 0 1023 528 0 0 0 34 0 0
Coconino "FLAGSTAFF 7" 0 777 333 0 0 0 38 0 0
Coconino "FLAGSTAFF 8" 0 592 152 0 0 0 10 0 0
Coconino "FLAGSTAFF 9" 0 1038 282 0 0 0 40 0 0
Coconino "FOREST LAKES 53" 0 39 83 0 0 0 1 0 0
Coconino "FORT VALLEY EAST 55" 0 195 102 0 0 0 2 0 0
Coconino "FORT VALLEY WEST 56" 0 350 242 0 0 0 8 0 0
Coconino "FREDONIA 58" 0 98 288 0 0 0 6 0 0
Coconino "GRAND CANYON 59" 0 414 93 0 0 0 13 0 0
Coconino "HAVASUPAI 60" 0 29 1 0 0 0 0 0 0
Coconino "INSCRIPTION HOUSE 61" 0 226 83 0 0 0 6 0 0
Coconino "KAIBAB NORTH 64" 0 4 9 0 0 0 1 0 0
Coconino "KAIBAB WEST 66" 0 120 306 0 0 0 7 0 0
Coconino "KAIBETO 65" 0 543 132 0 0 0 12 0 0
Coconino "LECHEE 67" 0 321 75 0 0 0 12 0 0
Coconino "LEUPP 69" 0 660 109 0 0 0 11 0 0
Coconino "MOENKOPI 70" 0 166 15 0 0 0 4 0 0
Coconino "MORMON LAKE 63" 0 58 107 0 0 0 1 0 0
