DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Angelina 1 0 86 129 3 0 0
1 Angelina 2 0 732 256 9 0 0
1 Angelina 3 0 164 756 8 0 0
1 Angelina 4 0 260 358 3 0 0
1 Angelina 5 0 374 514 17 0 0
1 Angelina 6 0 34 202 4 0 0
1 Angelina 7 0 71 643 8 0 0
1 Angelina 8a 0 47 398 7 0 0
1 Angelina 8b 0 30 260 5 0 0
1 Angelina 9 0 44 149 2 0 0
1 Angelina 10a 0 193 229 3 0 0
1 Angelina 10b 0 24 28 0 0 0
1 Angelina 11 0 94 1095 11 0 0
1 Angelina 12 0 79 388 7 0 0
1 Angelina 13 0 131 190 10 0 0
1 Angelina 14 0 295 766 14 0 0
1 Angelina 15 0 58 295 2 0 0
1 Angelina 16 0 440 446 17 0 0
1 Angelina 17 0 109 827 8 0 0
1 Angelina 18 0 107 221 6 0 0
1 Angelina 19 0 273 644 19 0 0
1 Angelina 20 0 893 145 15 0 0
1 Angelina 21 0 156 510 5 0 0
1 Angelina 22 0 86 523 8 0 0
1 Angelina 23 0 44 301 3 0 0
1 Angelina 24 0 241 986 18 0 0
1 Angelina 25 0 184 989 11 0 0
1 Angelina 26 0 104 883 9 0 0
1 Angelina 27 0 21 202 1 0 0
1 Angelina 28 0 109 549 10 0 0
1 Angelina 29 0 120 695 11 0 0
1 Angelina 30 0 42 508 8 0 0
1 Angelina 31 0 50 150 1 0 0
1 Angelina 32 0 6 53 0 0 0
1 Angelina 33 0 51 681 2 0 0
1 Angelina 34 0 307 929 23 0 0
1 Angelina 35 0 226 832 7 0 0
1 Angelina 36 0 0 0 0 0 0
1 Angelina 37 0 44 218 5 0 0
1 Angelina 38 0 35 172 1 0 0
1 Angelina 39 0 82 187 4 0 0
1 Angelina 40 0 156 281 6 0 0
1 Angelina 11b 0 90 466 6 0 0
1 Angelina 17b 0 14 177 3 0 0
1 Gregg 1 0 255 685 20 0 0
1 Gregg 2 0 554 1547 38 0 0
1 Gregg 3 0 515 1380 34 0 0
1 Gregg 4 0 427 1610 33 0 0
1 Gregg 5 0 416 1600 28 0 0
1 Gregg 6 0 203 1152 21 0 0
1 Gregg 7 0 298 1348 31 0 0
1 Gregg 8 0 571 1756 34 0 0
1 Gregg 9 0 622 1759 45 0 0
1 Gregg 10 0 632 1209 28 0 0
1 Gregg 11 0 530 1735 26 0 0
1 Gregg 12 0 277 2126 36 0 0
1 Gregg 13 0 319 1042 16 0 0
1 Gregg 14 0 334 1944 19 0 0
1 Gregg 15 0 206 377 11 0 0
1 Gregg 16 0 328 1728 26 0 0
1 Gregg 17 0 183 167 5 0 0
1 Gregg 18 0 973 832 20 0 0
1 Gregg 19 0 1282 229 10 0 0
1 Gregg 20 0 886 256 10 0 0
1 Gregg 21 0 753 330 17 0 0
1 Harrison 1 0 378 829 21 0 0
1 Harrison 2 0 505 285 8 0 0
1 Harrison 3 0 746 69 7 0 0
1 Harrison 4 0 324 519 11 0 0
1 Harrison 5 0 108 417 8 0 0
1 Harrison 6 0 143 613 13 0 0
1 Harrison 7 0 152 392 9 0 0
1 Harrison 8 0 384 1135 24 0 0
1 Harrison 9 0 244 528 8 0 0
1 Harrison 10 0 130 477 4 0 0
1 Harrison 11 0 94 178 5 0 0
1 Harrison 12 0 359 2248 38 0 0
1 Harrison 13 0 84 764 10 0 0
1 Harrison 14 0 166 607 9 0 0
1 Harrison 15 0 59 571 7 0 0
1 Harrison 16 0 57 281 1 0 0
1 Harrison 17 0 396 406 9 0 0
1 Harrison 18 0 75 395 6 0 0
1 Harrison 19 0 309 1423 31 0 0
1 Harrison 20 0 266 989 14 0 0
1 Harrison 21 0 124 275 4 0 0
1 Harrison 22 0 460 344 11 0 0
1 Harrison 23 0 14 303 2 0 0
1 Harrison 24 0 56 262 3 0 0
1 Harrison 25 0 275 1705 38 0 0
1 Harrison 26 0 51 258 1 0 0
1 Nacogdoches 12 0 180 941 15 0 0
1 Nacogdoches 13 0 114 694 9 0 0
1 Nacogdoches 14 0 305 1312 23 0 0
1 Nacogdoches 15 0 123 753 8 0 0
1 Nacogdoches 16 0 333 1325 22 0 0
1 Nacogdoches 17 0 95 115 3 0 0
1 Nacogdoches 21 0 219 828 16 0 0
1 Nacogdoches 22 0 29 25 2 0 0
1 Nacogdoches 23 0 88 90 12 0 0
1 Nacogdoches 24 0 469 157 15 0 0
1 Nacogdoches 25 0 25 30 2 0 0
1 Nacogdoches 26 0 811 762 39 0 0
1 Nacogdoches 27 0 552 42 6 0 0
1 Nacogdoches 30 0 129 57 6 0 0
1 Nacogdoches 31 0 224 180 18 0 0
1 Nacogdoches 32 0 1208 781 61 0 0
1 Nacogdoches 33 0 999 1876 69 0 0
1 Nacogdoches 34 0 35 43 0 0 0
1 Nacogdoches 41 0 259 280 11 0 0
1 Nacogdoches 42 0 300 553 11 0 0
1 Nacogdoches 43 0 199 616 13 0 0
1 Nacogdoches 44 0 148 868 12 0 0
1 Nacogdoches 45 0 64 424 3 0 0
1 Nacogdoches 46 0 110 445 3 0 0
1 Nacogdoches 47 0 57 504 12 0 0
1 Panola 1 0 192 832 10 0 0
1 Panola 2 0 212 956 7 0 0
1 Panola 3 0 154 579 5 0 0
1 Panola 5 0 26 257 4 0 0
1 Panola 7 0 76 298 8 0 0
1 Panola 8 0 17 104 2 0 0
