COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
HAN "Bar Harbor" 2965 2133 624 147 0
HAN "Blue Hill" 1649 1037 503 84 0
HAN Brooklin 542 351 165 18 0
HAN Brooksville 579 367 175 29 0
HAN Bucksport 2225 981 1022 165 0
HAN Castine 461 296 141 14 0
HAN "Cranberry Isles" 137 91 34 9 0
HAN Dedham 959 410 472 56 0
HAN "Deer Isle" 1065 648 357 45 0
HAN Eastbrook 158 50 93 13 0
HAN Ellsworth 3765 1747 1698 223 0
HAN Franklin 659 273 327 44 0
HAN Frenchboro 24 6 15 3 0
HAN Gouldsboro 917 402 454 39 0
HAN "Great Pond" 37 13 23 0 0
HAN Hancock 1106 469 565 54 0
HAN Lamoine 984 459 435 69 0
HAN Mariaville 239 90 132 13 1
HAN "Mount Desert" 1302 881 348 51 0
HAN Orland 1175 555 515 84 0
HAN Osborn 40 12 27 0 0
HAN Otis 383 112 252 13 0
HAN Penobscot 722 423 249 35 0
HAN Sedgwick 681 393 242 36 1
HAN Sorrento 180 88 81 8 0
HAN "Southwest Harbor" 989 593 328 44 0
HAN Stonington 519 324 166 19 0
HAN Sullivan 570 274 248 33 0
HAN Surry 908 497 361 39 0
HAN "Swans Island" 215 83 108 14 0
HAN "T22 MD Twp (Beddington & Osborn)" 6 3 2 0 0
HAN Tremont 839 451 319 46 0
HAN Trenton 776 364 339 50 0
HAN "Verona Island" 281 119 134 20 0
HAN Waltham 178 41 127 6 0
HAN "Winter Harbor" 283 117 151 11 0
KEN Albion 952 297 569 68 0
KEN Augusta 7712 4018 3098 440 0
KEN Belgrade 1750 749 889 75 0
KEN Benton 1265 500 678 74 0
KEN Chelsea 1222 464 649 90 0
KEN China 2058 864 1041 116 0
KEN Clinton 1350 525 715 84 1
KEN Farmingdale 1430 676 630 98 0
KEN Fayette 673 336 300 35 0
KEN Gardiner 2645 1362 1036 176 0
KEN Hallowell 1503 1044 361 61 0
KEN Litchfield 1728 638 932 124 0
KEN Manchester 1443 658 707 58 0
KEN Monmouth 2053 816 1042 159 0
KEN "Mount Vernon" 930 437 418 61 0
KEN Oakland 2931 1267 1366 213 0
KEN Pittston 1414 545 761 80 0
KEN Randolph 833 384 375 58 1
KEN Readfield 1484 753 621 92 0
KEN Rome 535 263 234 32 0
KEN Sidney 2280 846 1268 123 0
KEN Vassalboro 2094 831 1102 138 0
KEN Vienna 369 192 150 13 0
