COUNTY AREA TOTAL DEM REP IND1 IND2
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins
Bastrop 0212010 0 325 745 33 7
Bastrop 0212011 0 726 1190 53 18
Bastrop 0213012 0 189 549 17 2
Bastrop 0213013 0 349 789 23 9
Bastrop 0213014 0 813 821 25 8
Bastrop 0213015 0 1005 690 35 13
Bastrop 0213016 0 865 1023 45 11
Bastrop 0214017 0 1177 852 38 15
Bastrop 0214018 0 162 339 18 4
Bastrop 0214019 0 802 995 39 12
Bastrop 0214020 0 1368 1221 35 16
Bastrop 0214021 0 344 652 27 6
Baylor 0230001 0 40 464 6 3
Baylor 0230002 0 38 311 5 1
Baylor 0230003 0 47 298 9 2
Baylor 0230004 0 52 389 10 3
Bee 0250001 0 445 793 22 8
Bee 0250002 0 19 157 4 1
Bee 0250003 0 321 606 27 10
Bee 0250004 0 62 184 4 1
Bee 0250005 0 64 154 3 2
Bee 0250006 0 188 516 7 8
Bee 0250008 0 32 125 4 1
Bee 0250009 0 232 179 8 4
Bee 0250010 0 352 308 13 3
Bee 0250011 0 30 134 1 3
Bee 0250012 0 34 144 3 1
Bee 0250013 0 317 613 15 2
Bee 0250014 0 42 97 3 0
Bee 0250016 0 215 420 23 5
Bee 0250017 0 282 366 11 6
Bee 0250018 0 288 812 17 1
Bee 0250019 0 179 105 6 2
Bell 0270101 0 1334 3660 77 20
Bell 0270102 0 628 1713 43 11
Bell 0270103 0 1245 2697 79 26
Bell 0270104 0 1472 4377 103 15
Bell 0270105 0 171 996 18 8
Bell 0270106 0 1955 1027 78 36
Bell 0270107 0 92 247 4 1
Bell 0270108 0 177 1039 15 3
Bell 0270109 0 813 559 33 9
Bell 0270110 0 417 473 37 8
Bell 0270111 0 1592 2536 74 27
Bell 0270113 0 40 194 6 1
Bell 0270201 0 1048 1042 67 16
Bell 0270202 0 1935 2499 99 29
Bell 0270203 0 1156 4899 90 19
Bell 0270204 0 861 608 38 13
Bell 0270205 0 1734 914 70 19
Bell 0270206 0 733 423 32 13
Bell 0270207 0 1371 765 77 17
Bell 0270208 0 2678 1526 109 26
Bell 0270209 0 3002 2639 141 28
Bell 0270210 0 2796 1861 100 21
Bell 0270301 0 420 2238 54 11
Bell 0270302 0 1088 1640 57 15
Bell 0270303 0 1371 1611 60 12
Bell 0270304 0 138 437 4 2
Bell 0270305 0 604 1352 24 7
