COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Bibb "006 Furnace" 0 266 198 0
Bibb "007 Randolph" 0 155 108 0
Bibb "008 Tabernacle" 0 39 56 0
Bibb "009 Brent-North" 0 419 399 0
Bibb "010 West Blocton East" 0 340 239 0
Bibb "011 West Blocton West" 0 295 214 0
Bibb "012 Eoline" 0 111 107 0
Bibb "013 Brent South" 0 348 122 0
Bibb "014 Centreville Central" 0 123 38 0
Bibb "Absentee Votes" 0 46 52 0
Bibb "Challenged Votes" 0 3 3 0
Blount "0010 Mt. High" 0 301 444 0
Blount "0030 Smoke Rise" 0 282 488 0
Blount "0050 Blount Springs" 0 57 108 0
Blount "0060 Hayden" 0 470 545 0
Blount "0090 Sugar Creek - Bangor" 0 110 126 0
Blount "0100 Nectar" 0 286 223 0
Blount "0110 Blountsville" 0 543 443 0
Blount "0150 Summit" 0 140 79 0
Blount "0160 Royal" 0 139 124 0
Blount "0170 Brooksville" 0 150 124 0
Blount "0180 Snead" 0 287 364 0
Blount "0200 Susan Moore" 0 249 350 0
Blount "0220 Murphree Valley" 0 113 143 0
Blount "0230 St. Mountain" 0 342 608 0
Blount "0260 Holly Springs" 0 50 96 0
Blount "0270 Cleveland" 0 334 285 0
Blount "0290 Locust Fork" 0 347 344 0
Blount "0310 Dallas - Selfville" 0 339 378 0
Blount "0330 Remlap" 0 236 349 0
Blount "0340 Pine Mountain" 0 95 159 0
Blount "0350 AllGood" 0 147 187 0
Blount "0360 OneOnta #1" 0 371 317 0
Blount "0361 OneOnta #2" 0 480 461 0
Blount "0410 Rosa" 0 204 213 0
Blount "0420 Rock Springs" 0 143 159 0
Blount "9001 Absentee Votes" 0 96 112 0
Bullock "1-1-1 Midway" 0 250 42 0
Bullock "1-1-2 Midway" 0 100 4 0
Bullock "1-1-3 Midway" 0 173 12 0
Bullock "1-2-1 Three Notch" 0 157 24 0
Bullock "2-1-1 SurreyTown" 0 81 20 0
Bullock "2-2-1 Peachburg" 0 51 2 0
Bullock "3-1 Armory" 0 81 32 0
Bullock "3-2 Armory" 0 169 52 0
Bullock "3-3 Armory" 0 118 32 0
Bullock "3-4 Armory" 0 180 43 0
Bullock "3-5 Armory" 0 111 48 0
Bullock "3-6 Armory" 0 207 30 0
Bullock "3-7 Armory" 0 111 57 0
Bullock "3-8 Armory" 0 137 29 0
Bullock "3-9 Armory" 0 67 42 0
Bullock "3-10 Armory" 0 190 48 0
Bullock "4-1-1 Akerfoil" 0 168 36 0
Bullock "4-2-1 Sardis" 0 113 30 0
Bullock "5-1 Indian Creek" 0 117 23 0
Bullock "6-1-1 Perote" 0 96 25 0
Bullock "6-2-1 Corinth" 0 93 40 0
Bullock "7-1 Inuerness" 0 39 15 0
Bullock "8-1-1 FitzPatrick" 0 46 38 0
Bullock "8-2-1 Thompson" 0 127 84 0
Bullock "9-1 Conerstone" 0 73 36 0
Bullock "10-1 Post Oak" 0 170 49 0
Bullock "Absentee Votes" 0 108 116 0
Butler "0010 Providence-Voting House" 0 180 149 0
Butler "0040 Industry" 0 34 87 0
Butler "0070 Steiners Store" 0 52 90 0
Butler "0080 Midway-Voting House" 0 94 101 0
Butler "0100 Harrison-Voting house" 0 77 93 0
Butler "0110 searcy-Vol. Fire Dept." 0 46 124 0
Butler "0120 Manningham-Voting HSE" 0 117 55 0
Butler "0130 Monterey-Old School" 0 18 14 0
Butler "0150 Forest Home-Voting Hse" 0 86 74 0
Butler "0170 New Armory #1" 0 156 91 0
Butler "0171 New Armory #2" 0 447 300 0
Butler "0180 Old Armory #1" 0 164 344 0
Butler "0181 Old Armory #2" 0 188 349 1
Butler "0290 Central Vol. Fire Dept." 0 225 138 0
Butler "0310 Dunbar Comm. Ctr. #1" 0 256 75 0
Butler "0311 Dunbar Comm. Ctr. #2" 0 277 80 0
Butler "0370 Garland-Voting House" 0 81 78 1
Butler "0380 G Ana Armory #1" 0 216 109 0
