COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Biden Trump Jorgensen
"Deer Lodge" "PRECINCT 5-77S" 0 267 245 13
Fallon "PRECINCT 1" 0 172 1375 28
Fergus "PREC 10" 0 126 239 15
Fergus "PREC 11" 0 138 323 15
Fergus "PREC 12" 0 17 85 3
Fergus "PREC 13" 0 163 417 11
Fergus "PREC 14" 0 66 267 6
Fergus "PREC 16" 0 33 228 5
Fergus "PREC 17" 0 110 343 7
Fergus "PREC 18" 0 13 176 1
Fergus "PREC 2" 0 202 726 24
Fergus "PREC 3" 0 71 356 3
Fergus "PREC 4" 0 57 301 7
Fergus "PREC 5" 0 40 303 3
Fergus "PREC 6" 0 142 277 7
Fergus "PREC 7" 0 104 244 12
Fergus "PREC 8" 0 83 305 15
Fergus "PREC 9" 0 131 279 8
Flathead "PRECINCT 1" 0 275 387 20
Flathead "PRECINCT 11" 0 304 954 21
Flathead "PRECINCT 13" 0 584 1201 37
Flathead "PRECINCT 14" 0 205 556 11
Flathead "PRECINCT 15" 0 253 957 29
Flathead "PRECINCT 16" 0 541 684 39
Flathead "PRECINCT 17" 0 191 148 9
Flathead "PRECINCT 18" 0 644 1158 44
Flathead "PRECINCT 19" 0 274 1061 27
Flathead "PRECINCT 2" 0 411 575 35
Flathead "PRECINCT 20" 0 1352 661 56
Flathead "PRECINCT 21" 0 304 864 26
Flathead "PRECINCT 23" 0 344 647 23
Flathead "PRECINCT 24" 0 142 724 28
Flathead "PRECINCT 25" 0 306 1028 36
Flathead "PRECINCT 26" 0 153 656 18
Flathead "PRECINCT 29" 0 445 1403 31
Flathead "PRECINCT 3" 0 445 567 28
Flathead "PRECINCT 31" 0 941 1712 60
Flathead "PRECINCT 32" 0 388 608 52
Flathead "PRECINCT 33" 0 139 374 13
Flathead "PRECINCT 34" 0 492 1282 21
Flathead "PRECINCT 35" 0 579 992 42
Flathead "PRECINCT 36" 0 471 1427 41
Flathead "PRECINCT 37" 0 656 1526 71
Flathead "PRECINCT 38" 0 704 1521 25
Flathead "PRECINCT 39" 0 354 451 19
Flathead "PRECINCT 4" 0 477 629 41
Flathead "PRECINCT 41" 0 672 1011 33
Flathead "PRECINCT 42" 0 477 1329 26
Flathead "PRECINCT 43" 0 522 1470 28
Flathead "PRECINCT 44" 0 679 965 24
Flathead "PRECINCT 45" 0 921 719 29
Flathead "PRECINCT 47" 0 954 455 43
Flathead "PRECINCT 48" 0 477 643 22
Flathead "PRECINCT 49" 0 710 563 35
Flathead "PRECINCT 5" 0 412 958 26
Flathead "PRECINCT 50" 0 281 1064 46
Flathead "PRECINCT 6" 0 1043 2131 68
Flathead "PRECINCT 7" 0 373 931 34
Flathead "PRECINCT 8" 0 259 862 16
Flathead "PRECINCT 89" 0 120 467 8
Gallatin "PCT 59A" 0 236 177 6
Gallatin "PCT 61A" 0 1254 865 45
Gallatin "PCT 61B" 0 1200 932 60
Gallatin "PCT 61C" 0 1570 470 40
Gallatin "PCT 61D" 0 1309 769 41
Gallatin "PCT 62A" 0 1377 261 41
Gallatin "PCT 62B" 0 1259 374 68
Gallatin "PCT 62C" 0 1370 593 35
Gallatin "PCT 62D" 0 1916 1282 95
Gallatin "PCT 63A" 0 1409 1143 108
Gallatin "PCT 63B" 0 1004 438 63
Gallatin "PCT 63C" 0 1254 760 112
Gallatin "PCT 64A" 0 474 496 25
Gallatin "PCT 64B" 0 1281 700 67
Gallatin "PCT 64C" 0 966 1274 53
Gallatin "PCT 64D" 0 1350 2055 110
Gallatin "PCT 65A" 0 1530 667 71
Gallatin "PCT 65B" 0 2037 1306 125
Gallatin "PCT 65C" 0 2573 1753 163
Gallatin "PCT 66A" 0 1649 922 89
Gallatin "PCT 66B" 0 1478 621 79
Gallatin "PCT 66C" 0 1683 368 71
Gallatin "PCT 67A" 0 712 859 32
Gallatin "PCT 67B" 0 1176 1733 132
Gallatin "PCT 67C" 0 871 1545 116
Gallatin "PCT 68A" 0 1002 1805 77
Gallatin "PCT 68B" 0 659 1011 74
Gallatin "PCT 68C" 0 510 1452 53
Gallatin "PCT 69A" 0 532 1372 58
Gallatin "PCT 69B" 0 321 1347 32
Gallatin "PCT 69C" 0 527 1400 64
Gallatin "PCT 69D" 0 555 946 34
Garfield "PRECINCT 01" 0 24 484 6
Garfield "PRECINCT 07" 0 6 94 1
Garfield "PRECINCT 14" 0 6 94 0
Garfield "PRECINCT 19" 0 5 92 1
Glacier "PCT 01" 0 108 352 10
Glacier "PCT 02" 0 125 228 9
Glacier "PCT 03" 0 134 192 12
Glacier "PCT 04" 0 67 145 9
Glacier "PCT 05" 0 180 358 10
Glacier "PCT 06" 0 16 54 1
Glacier "PCT 07" 0 48 6 1
Glacier "PCT 08" 0 447 34 8
Glacier "PCT 09" 0 1201 190 34
Glacier "PCT 10" 0 266 51 7
Glacier "PCT 11" 0 82 54 4
Glacier "PCT 12" 0 195 25 3
Glacier "PCT 13" 0 182 27 6
Glacier "PCT 15" 0 165 88 4
Glacier "PCT 19" 0 156 37 2
Glacier "PCT 21C" 0 238 43 3
"Golden Valley" LAVINA 0 33 211 8
"Golden Valley" RYEGATE 0 45 203 3
Granite "PRECINCT #1" 0 196 323 11
Granite "PRECINCT #10" 0 121 409 13
Granite "PRECINCT #2" 0 230 383 15
Granite "PRECINCT #9" 0 91 304 6
Hill "PRECINCT #01" 0 331 321 28
Hill "PRECINCT #02" 0 167 184 25
Hill "PRECINCT #03" 0 244 366 15
Hill "PRECINCT #07" 0 293 390 23
Hill "PRECINCT #08" 0 252 366 23
Hill "PRECINCT #09" 0 211 297 9
Hill "PRECINCT #10" 0 161 173 20
Hill "PRECINCT #13" 0 107 188 17
Hill "PRECINCT #14" 0 79 287 9
Hill "PRECINCT #15" 0 75 213 8
Hill "PRECINCT #16" 0 72 207 8
Hill "PRECINCT #18" 0 134 45 4
Hill "PRECINCT #20" 0 59 217 9
Hill "PRECINCT #21" 0 44 99 2
Hill "PRECINCT #22" 0 84 202 7
Hill "PRECINCT #25" 0 210 377 26
Hill "PRECINCT #28" 0 458 25 11
Jefferson 01-71 0 227 785 29
Jefferson 02-75 0 274 874 17
Jefferson 03-75 0 24 47 0
Jefferson 04-75 0 366 743 36
Jefferson 05-75 0 44 111 7
Jefferson 06-75 0 163 414 6
Jefferson 07-75 0 403 645 24
Jefferson 08-75 0 200 354 9
Jefferson 09-75 0 433 668 21
Jefferson 10-75 0 491 704 32
"Judith Basin" "PRECINCT 1" 0 28 97 5
"Judith Basin" "PRECINCT 2" 0 33 127 2
"Judith Basin" "PRECINCT 3" 0 104 425 13
"Judith Basin" "PRECINCT 4" 0 110 391 9
Lake "ARL 1 HD93" 0 533 412 29
Lake "BEA 1 HD10" 0 259 339 18
Lake "BEA 2 HD12" 0 75 93 3
Lake "CHA 1 HD93" 0 256 478 9
Lake "DAY 1 HD12" 0 213 431 11
Lake "FER 1 HD10" 0 288 611 13
Lake "PAB 1_HD93" 0 132 341 8
Lake "PAB 2_HD15" 0 497 564 43
Lake "POL 1 HD12" 0 416 625 27
Lake "POL 2 HD12" 0 380 621 14
Lake "POL 3 HD12" 0 285 285 14
Lake "POL 4 HD12" 0 644 765 54
Lake "POL 5 HD12" 0 769 984 31
Lake "POL 6 HD93" 0 68 213 7
Lake "POL 7 HD93" 0 236 342 12
Lake "POL 8 HD15" 0 15 19 0
Lake "RON 1 HD93" 0 645 792 39
Lake "RON 2 HD15" 0 370 397 18
