COUNTY AREA TOTAL DEM REP Ringelstein Others
COUNTY AREA TOTAL King Brakey Ringelstein Others
HAN "Bar Harbor" 2965 1983 533 414 3
HAN "Blue Hill" 1649 990 437 200 0
HAN Brooklin 542 316 142 73 0
HAN Brooksville 579 363 144 67 0
HAN Bucksport 2225 1101 889 187 4
HAN Castine 461 297 111 48 0
HAN "Cranberry Isles" 137 84 30 19 0
HAN Dedham 959 496 399 56 0
HAN "Deer Isle" 1065 648 306 92 0
HAN Eastbrook 158 63 84 7 0
HAN Ellsworth 3765 1862 1475 349 0
HAN Franklin 659 287 301 63 0
HAN Frenchboro 24 10 10 1 0
HAN Gouldsboro 917 410 418 80 1
HAN "Great Pond" 37 15 21 1 0
HAN Hancock 1106 519 489 86 0
HAN Lamoine 984 476 397 98 0
HAN Mariaville 239 81 126 26 0
HAN "Mount Desert" 1302 847 278 154 0
HAN Orland 1175 586 450 115 0
HAN Osborn 40 6 25 6 0
HAN Otis 383 144 214 24 0
HAN Penobscot 722 420 209 88 0
HAN Sedgwick 681 379 214 79 0
HAN Sorrento 180 95 75 9 0
HAN "Southwest Harbor" 989 553 289 123 0
HAN Stonington 519 325 126 51 0
HAN Sullivan 570 283 225 54 0
HAN Surry 908 483 321 95 0
HAN "Swans Island" 215 88 103 19 0
HAN "T22 MD Twp (Beddington & Osborn)" 6 2 2 1 0
HAN Tremont 839 463 256 116 0
HAN Trenton 776 377 293 95 0
HAN "Verona Island" 281 140 115 24 0
HAN Waltham 178 67 100 10 0
HAN "Winter Harbor" 283 127 130 22 0
KEN Albion 952 383 491 63 0
KEN Augusta 7712 4339 2539 711 0
KEN Belgrade 1750 905 722 106 0
KEN Benton 1265 562 596 85 0
KEN Chelsea 1222 585 538 79 0
KEN China 2058 932 922 152 0
KEN Clinton 1350 625 623 78 0
KEN Farmingdale 1430 791 515 99 0
KEN Fayette 673 369 257 43 0
KEN Gardiner 2645 1464 874 243 0
KEN Hallowell 1503 1027 301 155 0
KEN Litchfield 1728 816 808 91 0
KEN Manchester 1443 773 550 93 0
KEN Monmouth 2053 990 908 126 0
KEN "Mount Vernon" 930 489 347 78 0
KEN Oakland 2931 1554 1126 212 0
KEN Pittston 1414 660 634 97 0
KEN Randolph 833 431 306 66 0
KEN Readfield 1484 822 532 110 0
KEN Rome 535 273 211 40 0
KEN Sidney 2280 1047 1056 119 1
KEN Vassalboro 2094 939 924 141 0
KEN Vienna 369 206 116 32 0
KEN Waterville 6061 3403 1569 1021 0
KEN Wayne 730 424 237 55 0
KEN "West Gardiner" 1878 912 797 124 0
KEN Windsor 1120 442 593 73 2
KEN Winslow 3649 1827 1481 284 0
KEN Winthrop 3006 1650 1035 261 0
KNO Appleton 755 386 268 91 0
KNO Camden 3310 2318 583 352 0
KNO Cushing 748 371 307 61 0
KNO Friendship 651 292 303 46 0
KNO Hope 951 529 302 104 0
KNO "Isle Au Haut" 65 42 7 14 0
KNO "Matinicus Isle Plt" 47 32 9 5 0
KNO "North Haven" 271 185 49 35 0
