COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL ORourke Cruz Dikeman
Anderson 0010001 0 261 659 6
Anderson 0010002 0 168 1062 7
Anderson 0010003 0 99 571 4
Anderson 0010004 0 97 752 3
Anderson 0010005 0 11 179 1
Anderson 0010006 0 383 263 4
Anderson 0010007 0 445 88 2
Anderson 0010008 0 105 44 1
Anderson 0010009 0 132 563 8
Anderson 0010010 0 26 231 1
Anderson 0010011 0 148 495 2
Anderson 0010013 0 259 604 9
Anderson 0010015 0 63 476 6
Anderson 0010016 0 91 351 3
Anderson 0010017 0 97 341 4
Anderson 0010018 0 185 920 8
Anderson 0010019 0 242 795 9
Anderson 0010020 0 146 409 6
Anderson 0010021 0 137 845 3
Anderson 0010022 0 99 533 0
Anderson 0010023 0 74 702 4
Anderson 0010024 0 39 452 3
Andrews 0030001 0 196 716 6
Andrews 0030002 0 200 1281 8
Andrews 0030003 0 202 784 1
Andrews 0030004 0 178 557 2
Angelina 0050001 0 99 125 0
Angelina 0050002 0 741 263 5
Angelina 0050003 0 165 758 6
Angelina 0050004 0 277 350 4
Angelina 0050005 0 398 513 6
Angelina 0050006 0 39 200 2
Angelina 0050007 0 82 647 2
Angelina 0050008a 0 49 408 2
Angelina 0050008b 0 32 266 1
Angelina 0050009 0 48 147 0
Angelina 0050010a 0 201 226 1
Angelina 0050010b 0 25 27 0
Angelina 0050011 0 105 1097 6
Angelina 0050012 0 86 389 1
Angelina 0050013 0 144 188 4
Angelina 0050014 0 316 758 5
Angelina 0050015 0 66 290 0
Angelina 0050016 0 469 438 6
Angelina 0050017 0 112 828 5
Angelina 0050018 0 111 221 4
Angelina 0050019 0 298 635 7
Angelina 0050020 0 912 144 7
Angelina 0050021 0 158 511 5
Angelina 0050022 0 85 530 2
Angelina 0050023 0 47 301 3
Angelina 0050024 0 264 981 14
Angelina 0050025 0 198 983 7
Angelina 0050026 0 116 880 4
Angelina 0050027 0 23 200 1
Angelina 0050028 0 134 533 6
Angelina 0050029 0 131 693 6
Angelina 0050030 0 42 513 4
Angelina 0050031 0 53 148 0
Angelina 0050032 0 6 53 0
Angelina 0050033 0 51 682 2
Angelina 0050034 0 347 921 11
Angelina 0050035 0 255 819 2
Angelina 0050036 0 0 0 0
Angelina 0050037 0 43 223 3
Angelina 0050038 0 35 172 2
Angelina 0050039 0 94 180 1
Angelina 0050040 0 163 277 4
Angelina 005011b 0 97 466 2
Angelina 005017b 0 13 182 0
Aransas 0070001 0 237 936 9
Aransas 0070002 0 511 1017 12
Aransas 0070003 0 647 1895 12
Aransas 0070004 0 552 1726 16
Aransas 007001a 0 154 550 5
Aransas 007004a 0 146 553 2
Archer 0090001 0 61 608 5
Archer 0090002 0 56 529 2
Archer 0090003 0 27 193 2
Archer 0090004 0 17 379 0
Archer 0090005 0 5 83 1
Archer 0090006 0 80 528 5
Archer 0090007 0 9 121 1
Archer 0090008 0 30 180 0
Archer 0090009 0 9 95 0
Archer 0090010 0 72 429 2
Archer 0090011 0 10 63 0
Armstrong 0110101 0 15 225 0
Armstrong 0110201 0 20 114 2
Armstrong 0110202 0 7 43 0
Armstrong 0110301 0 8 170 2
Armstrong 0110303 0 10 26 0
Armstrong 0110401 0 8 121 1
Armstrong 0110402 0 6 101 1
Armstrong 0110404 0 0 19 0
Atascosa 0130001 0 94 280 3
Atascosa 0130002 0 213 276 9
Atascosa 0130003 0 237 396 8
Atascosa 0130004 0 17 49 0
Atascosa 0130005 0 343 358 8
Atascosa 0130006 0 1 50 1
Atascosa 0130007 0 241 413 13
Atascosa 0130008 0 93 168 2
Atascosa 0130009 0 13 67 1
Atascosa 0130010 0 221 360 6
Atascosa 0130011 0 8 34 1
Atascosa 0130012 0 234 358 5
Atascosa 0130013 0 353 750 7
Atascosa 0130014 0 51 141 2
Atascosa 0130015 0 369 447 8
Atascosa 0130016 0 49 80 2
Atascosa 0130017 0 509 321 8
Atascosa 0130018 0 258 437 6
Atascosa 0130019 0 55 149 0
Atascosa 0130020 0 457 1488 11
Atascosa 0130021 0 19 126 0
Atascosa 0130022 0 87 316 3
Atascosa 0130023 0 126 155 4
Atascosa 0130024 0 284 534 11
Austin 0150101 0 137 576 9
Austin 0150102 0 171 618 4
Austin 0150103 0 127 787 11
Austin 0150104 0 75 400 2
Austin 0150205 0 211 920 9
Austin 0150206 0 60 296 0
Austin 0150207 0 28 206 3
Austin 0150208 0 64 377 2
Austin 0150209 0 81 319 3
Austin 0150210 0 65 383 1
Austin 0150211 0 30 197 2
Austin 0150312 0 34 358 0
Austin 0150313 0 253 232 2
Austin 0150314 0 316 1097 11
Austin 0150415 0 193 527 6
Austin 0150416 0 164 500 13
Austin 0150417 0 103 234 2
Austin 0150418 0 129 695 4
Bailey 0170001 0 123 368 2
Bailey 0170002 0 88 531 0
Bailey 0170003 0 99 189 3
Bailey 0170004a 0 90 108 2
Bailey 0170004b 0 5 6 0
Bandera 0190101 0 185 824 10
Bandera 0190102 0 304 1283 15
Bandera 0190203 0 305 960 9
Bandera 0190204 0 234 702 11
Bandera 0190305 0 241 1163 10
Bandera 0190306 0 135 785 7
Bandera 0190407 0 249 1172 7
Bandera 0190408 0 55 134 1
Bandera 0190409 0 96 327 4
Bandera 0190410 0 61 293 2
Bastrop 0211001 0 824 1153 19
Bastrop 0211002 0 728 665 11
Bastrop 0211003 0 821 1072 16
Bastrop 0211004 0 597 594 11
Bastrop 0211022 0 754 983 12
Bastrop 0212005 0 696 870 21
Bastrop 0212006 0 310 564 12
Bastrop 0212007 0 352 943 14
Bastrop 0212008 0 202 409 7
Bastrop 0212009 0 310 418 16
Bastrop 0212010 0 257 550 8
Bastrop 0212011 0 635 874 24
Bastrop 0213012 0 156 398 7
Bastrop 0213013 0 306 604 12
Bastrop 0213014 0 616 613 13
Bastrop 0213015 0 771 473 12
Bastrop 0213016 0 686 810 20
Bastrop 0214017 0 863 605 18
Bastrop 0214018 0 149 262 4
Bastrop 0214019 0 673 802 11
Bastrop 0214020 0 1094 913 30
Bastrop 0214021 0 282 492 14
Baylor 0230001 0 41 306 5
Baylor 0230002 0 37 235 2
Baylor 0230003 0 37 221 1
Baylor 0230004 0 41 310 1
Bee 0250001 0 391 601 10
Bee 0250002 0 15 152 1
Bee 0250003 0 287 432 5
Bee 0250004 0 36 136 1
Bee 0250005 0 47 127 0
Bee 0250006 0 200 407 5
Bee 0250008 0 29 94 0
Bee 0250009 0 231 103 3
Bee 0250010 0 316 212 7
Bee 0250011 0 46 98 1
Bee 0250012 0 52 123 1
Bee 0250013 0 225 430 7
Bee 0250014 0 51 86 0
Bee 0250016 0 212 304 9
Bee 0250017 0 246 264 3
Bee 0250018 0 264 706 7
Bee 0250019 0 163 67 4
Bell 0270101 0 1063 2702 35
Bell 0270102 0 521 1256 21
Bell 0270103 0 827 1669 25
Bell 0270104 0 1119 3192 40
Bell 0270105 0 141 720 8
Bell 0270106 0 1407 683 14
Bell 0270107 0 91 184 2
Bell 0270108 0 159 767 5
Bell 0270109 0 581 381 11
Bell 0270110 0 175 182 3
Bell 0270111 0 1067 1660 24
Bell 0270113 0 38 125 2
Bell 0270201 0 750 760 12
Bell 0270202 0 1258 1790 33
Bell 0270203 0 941 3559 29
Bell 0270204 0 557 413 6
Bell 0270205 0 1302 639 15
Bell 0270206 0 562 316 8
Bell 0270207 0 971 413 23
Bell 0270208 0 2039 953 34
Bell 0270209 0 2015 1691 41
Bell 0270210 0 1734 1044 26
Bell 0270301 0 326 1626 17
Bell 0270302 0 856 1245 14
Bell 0270303 0 1086 1233 17
Bell 0270304 0 98 334 5
Bell 0270305 0 521 1090 8
Bell 0270306 0 545 350 9
Bell 0270307 0 778 283 6
Bell 0270308 0 490 437 9
Bell 0270309 0 59 414 1
Bell 0270310 0 41 264 1
Bell 0270311 0 294 1367 5
Bell 0270312 0 165 841 3
Bell 0270313 0 492 1183 13
Bell 0270314 0 577 724 11
Bell 0270315 0 1281 2192 30
Bell 0270317 0 1395 2781 27
Bell 0270401 0 168 505 12
Bell 0270402 0 472 988 9
Bell 0270404a 0 1272 616 23
Bell 0270404b 0 0 0 0
Bell 0270405 0 1469 512 19
Bell 0270406 0 569 494 3
Bell 0270408 0 1655 864 23
Bell 0270409 0 476 439 6
Bell 0270410 0 469 254 2
Bell 0270412 0 1627 489 12
Bell 0270413 0 1918 813 21
Bexar 0291001 0 344 65 3
Bexar 0291002 0 243 113 3
Bexar 0291003 0 867 125 12
Bexar 0291004 0 294 50 2
Bexar 0291005 0 240 55 3
Bexar 0291006 0 718 154 0
Bexar 0291007 0 474 127 2
Bexar 0291008 0 887 136 5
