COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 169 0 1191 67 23 20 0
Harris 170 0 521 530 20 8 0
Harris 171 0 612 89 8 8 0
Harris 172 0 266 128 4 6 0
Harris 173 0 1127 2788 63 20 0
Harris 174 0 1145 1668 36 16 0
Harris 175 0 1219 969 22 6 0
Harris 176 0 587 522 7 5 0
Harris 177 0 854 687 25 8 0
Harris 178 0 724 978 11 8 0
Harris 179 0 781 618 35 10 0
Harris 180 0 1288 119 31 21 0
Harris 181 0 804 374 27 20 0
Harris 182 0 1860 1524 31 19 0
Harris 183 0 956 1235 12 7 0
Harris 184 0 406 164 14 4 0
Harris 185 0 782 403 22 9 0
Harris 186 0 332 75 6 6 0
Harris 187 0 88 42 2 3 0
Harris 188 0 472 348 22 10 0
Harris 189 0 661 636 25 4 0
Harris 190 0 535 353 19 18 0
Harris 191 0 389 244 10 8 0
Harris 192 0 970 122 18 13 0
Harris 193 0 579 40 7 8 0
Harris 194 0 1468 437 34 8 0
Harris 195 0 925 156 26 12 0
Harris 196 0 197 40 3 1 0
Harris 197 0 1354 109 22 16 0
Harris 198 0 285 31 8 7 0
Harris 199 0 850 2123 56 15 0
Harris 200 0 1981 1331 40 12 0
Harris 201 0 306 29 10 5 0
Harris 202 0 629 49 19 11 0
Harris 203 0 355 106 9 8 0
Harris 204 0 1518 1475 49 12 0
Harris 205 0 896 63 25 10 0
Harris 206 0 1595 674 51 18 0
Harris 207 0 585 264 18 4 1
Harris 208 0 770 430 23 21 0
Harris 209 0 0 0 0 0 0
Harris 210 0 1731 301 39 27 1
Harris 211 0 1020 686 41 31 0
Harris 212 0 446 187 16 9 0
Harris 213 0 757 2220 21 5 0
Harris 214 0 834 788 10 4 0
Harris 215 0 1032 952 20 10 0
Harris 216 0 987 119 19 12 0
Harris 217 0 1038 1320 20 9 0
Harris 218 0 1282 465 29 29 0
Harris 219 0 1542 163 22 12 1
Harris 220 0 433 775 29 13 0
Harris 221 0 952 648 32 20 0
Harris 222 0 1408 1006 16 6 0
Harris 223 0 2069 546 49 23 0
Harris 224 0 1328 775 27 10 0
Harris 225 0 1482 859 57 21 0
Harris 226 0 918 346 32 16 0
Harris 227 0 505 961 8 2 0
Harris 228 0 764 69 10 9 0
