COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Adams 7243101093 0 489 384 30 18
Adams 7243101094 0 453 406 37 13
Adams 7243101097 0 407 352 35 15
Adams 7243101105 0 57 27 4 4
Adams 7243101134 0 508 394 33 13
Adams 7243101135 0 519 422 47 15
Adams 7243101136 0 383 365 29 12
Adams 7243101137 0 562 478 29 15
Adams 7243101145 0 570 412 36 13
Adams 7243101146 0 418 288 39 16
Adams 7243101147 0 617 451 35 14
Adams 7243101149 0 419 425 28 10
Adams 7243401037 0 299 154 25 13
Adams 7243401038 0 579 310 33 13
Adams 7243401039 0 414 262 27 16
Adams 7243401040 0 392 292 32 19
Adams 7243401041 0 443 219 30 6
Adams 7243401051 0 562 475 38 11
Adams 7243401052 0 641 373 42 19
Adams 7243401053 0 470 427 18 10
Adams 7243401080 0 394 404 35 4
Adams 7243401081 0 426 331 16 6
Adams 7243401082 0 406 336 15 14
Adams 7243401083 0 434 369 19 14
Adams 7243401084 0 256 280 12 4
Adams 7243401087 0 441 250 33 14
Adams 7243401090 0 466 191 38 16
Adams 7243401091 0 406 210 32 16
Adams 7243401092 0 504 419 38 15
Adams 7243401095 0 450 383 33 21
Adams 7243401096 0 370 321 36 22
Adams 7243401098 0 435 322 33 17
Adams 7243401099 0 304 231 19 11
Adams 7243401100 0 506 310 32 12
Adams 7243401101 0 514 262 44 11
Adams 7243401102 0 450 320 41 16
Adams 7243401103 0 195 122 11 3
Adams 7243401104 0 398 286 36 4
Adams 7243501031 0 562 360 36 8
Adams 7243501032 0 466 271 31 9
Adams 7243501033 0 654 395 30 17
Adams 7243501034 0 503 314 24 22
Adams 7243501043 0 464 355 20 7
Adams 7243501044 0 473 243 20 6
Adams 7243501045 0 329 258 14 7
Adams 7243501046 0 300 324 11 3
Adams 7243501047 0 521 403 18 9
Adams 7243501048 0 407 345 11 2
Adams 7243501049 0 509 359 21 9
Adams 7243501050 0 412 320 17 6
Adams 7243501054 0 382 275 16 6
Adams 7243501055 0 331 308 16 2
Adams 7243501056 0 597 429 51 9
Adams 7243501057 0 463 300 8 3
Adams 7243501058 0 619 256 24 4
Adams 7243501059 0 545 333 18 9
Adams 7243501060 0 409 402 30 1
Adams 7243501061 0 573 385 30 8
Adams 7243501062 0 379 405 15 2
Adams 7243501063 0 476 412 20 6
Adams 7243501064 0 583 314 45 9
Adams 7243501065 0 504 301 29 8
Adams 7243501066 0 110 88 4 1
Adams 7243501067 0 231 202 14 6
Adams 7243501068 0 551 375 19 9
Adams 7243501069 0 430 495 23 6
Adams 7243501070 0 347 401 17 6
Adams 7253001131 0 230 133 23 9
Adams 7253001132 0 506 258 26 15
Adams 7253001138 0 278 273 21 11
Adams 7253001139 0 76 83 3 3
Adams 7253001142 0 291 410 29 11
Adams 7253001143 0 329 249 16 8
Adams 7253001144 0 512 421 37 12
Adams 7253001148 0 351 260 38 5
Adams 7253101106 0 658 350 38 10
Adams 7253101107 0 501 340 28 15
Adams 7253101108 0 506 329 16 13
Adams 7253101109 0 499 299 39 8
Adams 7253101110 0 365 202 13 11
Adams 7253101111 0 436 245 21 13
Adams 7253101112 0 460 157 29 20
Adams 7253101113 0 477 271 29 22
Adams 7253101114 0 403 178 25 4
Adams 7253101115 0 424 209 25 11
Adams 7253101116 0 225 143 19 7
Adams 7253101133 0 494 323 38 19
Adams 7253101250 0 236 87 13 5
Adams 7253401028 0 377 162 21 6
Adams 7253401029 0 503 188 31 10
Alamosa 3356202001 0 374 147 15 11
Alamosa 3356202002 0 316 197 9 11
Alamosa 3356202003 0 580 481 43 21
Alamosa 3356202004 0 535 609 26 23
Alamosa 3356202005 0 150 334 18 13
Alamosa 3356202006 0 371 179 19 14
Alamosa 3356202007 0 532 363 43 22
Alamosa 3356202008 0 181 386 11 6
Arapahoe 1260303101 0 470 234 44 23
