DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
2 Waupaca "Village Of Embarrass Ward 1" 0 0 167 0 0
4 Milwaukee "City Of Glendale Ward 11S" 0 240 0 0 3
4 Milwaukee "City Of Glendale Wards 1,7" 0 989 0 0 40
4 Milwaukee "City Of Glendale Wards 2,8S" 0 678 0 0 14
4 Milwaukee "City Of Glendale Wards 6,12" 0 860 0 0 33
4 Milwaukee "City Of Milwaukee Ward 1" 0 1009 0 0 14
4 Milwaukee "City Of Milwaukee Ward 10" 0 929 0 0 44
4 Milwaukee "City Of Milwaukee Ward 11" 0 864 0 0 16
4 Milwaukee "City Of Milwaukee Ward 112" 0 545 0 0 4
4 Milwaukee "City Of Milwaukee Ward 113" 0 477 0 0 1
4 Milwaukee "City Of Milwaukee Ward 114" 0 465 0 0 2
4 Milwaukee "City Of Milwaukee Ward 115" 0 767 0 0 4
4 Milwaukee "City Of Milwaukee Ward 116" 0 388 0 0 0
4 Milwaukee "City Of Milwaukee Ward 117" 0 451 0 0 0
4 Milwaukee "City Of Milwaukee Ward 118" 0 539 0 0 1
4 Milwaukee "City Of Milwaukee Ward 119" 0 547 0 0 3
4 Milwaukee "City Of Milwaukee Ward 12" 0 706 0 0 11
4 Milwaukee "City Of Milwaukee Ward 120" 0 448 0 0 3
4 Milwaukee "City Of Milwaukee Ward 121" 0 607 0 0 2
4 Milwaukee "City Of Milwaukee Ward 122" 0 623 0 0 5
4 Milwaukee "City Of Milwaukee Ward 123" 0 806 0 0 13
4 Milwaukee "City Of Milwaukee Ward 124" 0 544 0 0 4
4 Milwaukee "City Of Milwaukee Ward 125" 0 970 0 0 25
4 Milwaukee "City Of Milwaukee Ward 13" 0 420 0 0 5
4 Milwaukee "City Of Milwaukee Ward 14" 0 938 0 0 11
4 Milwaukee "City Of Milwaukee Ward 140" 0 326 0 0 4
4 Milwaukee "City Of Milwaukee Ward 146" 0 174 0 0 0
4 Milwaukee "City Of Milwaukee Ward 15" 0 561 0 0 32
4 Milwaukee "City Of Milwaukee Ward 16" 0 1217 0 0 15
4 Milwaukee "City Of Milwaukee Ward 17" 0 503 0 0 11
4 Milwaukee "City Of Milwaukee Ward 18" 0 760 0 0 15
4 Milwaukee "City Of Milwaukee Ward 19" 0 565 0 0 12
4 Milwaukee "City Of Milwaukee Ward 2" 0 327 0 0 5
4 Milwaukee "City Of Milwaukee Ward 20" 0 808 0 0 7
4 Milwaukee "City Of Milwaukee Ward 21" 0 759 0 0 6
4 Milwaukee "City Of Milwaukee Ward 22" 0 629 0 0 8
4 Milwaukee "City Of Milwaukee Ward 23" 0 265 0 0 6
4 Milwaukee "City Of Milwaukee Ward 24" 0 311 0 0 3
4 Milwaukee "City Of Milwaukee Ward 25" 0 603 0 0 12
4 Milwaukee "City Of Milwaukee Ward 26" 0 629 0 0 6
4 Milwaukee "City Of Milwaukee Ward 27" 0 549 0 0 9
4 Milwaukee "City Of Milwaukee Ward 28" 0 208 0 0 2
4 Milwaukee "City Of Milwaukee Ward 29" 0 314 0 0 4
4 Milwaukee "City Of Milwaukee Ward 3" 0 734 0 0 7
4 Milwaukee "City Of Milwaukee Ward 30" 0 563 0 0 9
4 Milwaukee "City Of Milwaukee Ward 31" 0 590 0 0 4
