COUNTY AREA TOTAL DEM REP WriteinVotes
COUNTY AREA TOTAL Shalala Salazar WriteinVotes
Miami-Dade "PRECINCT 609.0" 0 857 694 2
Miami-Dade "PRECINCT 611.0" 0 772 979 3
Miami-Dade "PRECINCT 612.0" 0 578 416 0
Miami-Dade "PRECINCT 613.0" 0 694 646 1
Miami-Dade "PRECINCT 614.0" 0 556 520 0
Miami-Dade "PRECINCT 615.0" 0 726 805 1
Miami-Dade "PRECINCT 616.0" 0 610 616 4
Miami-Dade "PRECINCT 617.0" 0 1171 1653 4
Miami-Dade "PRECINCT 618.0" 0 453 638 1
Miami-Dade "PRECINCT 621.0" 0 1387 569 4
Miami-Dade "PRECINCT 622.0" 0 63 85 1
Miami-Dade "PRECINCT 623.0" 0 315 267 0
Miami-Dade "PRECINCT 624.0" 0 648 521 1
Miami-Dade "PRECINCT 625.0" 0 1033 803 2
Miami-Dade "PRECINCT 626.0" 0 248 286 0
Miami-Dade "PRECINCT 627.0" 0 948 889 2
Miami-Dade "PRECINCT 628.0" 0 519 548 2
Miami-Dade "PRECINCT 630.0" 0 692 725 0
Miami-Dade "PRECINCT 631.0" 0 368 358 1
Miami-Dade "PRECINCT 632.0" 0 982 932 1
Miami-Dade "PRECINCT 633.0" 0 947 828 2
Miami-Dade "PRECINCT 634.0" 0 219 23 0
Miami-Dade "PRECINCT 635.0" 0 106 91 0
Miami-Dade "PRECINCT 636.0" 0 1333 1241 2
Miami-Dade "PRECINCT 640.0" 0 1065 579 2
Miami-Dade "PRECINCT 641.0" 0 1156 960 1
Miami-Dade "PRECINCT 642.0" 0 275 211 1
Miami-Dade "PRECINCT 643.0" 0 486 506 2
Miami-Dade "PRECINCT 644.0" 0 387 260 0
Miami-Dade "PRECINCT 646.0" 0 122 69 0
Miami-Dade "PRECINCT 648.0" 0 50 11 0
Miami-Dade "PRECINCT 649.0" 0 552 431 1
Miami-Dade "PRECINCT 650.0" 0 198 168 1
Miami-Dade "PRECINCT 651.0" 0 230 231 1
Miami-Dade "PRECINCT 652.0" 0 262 248 0
Miami-Dade "PRECINCT 653.0" 0 316 346 0
Miami-Dade "PRECINCT 655.0" 0 0 2 0
Miami-Dade "PRECINCT 656.0" 0 101 55 0
Miami-Dade "PRECINCT 659.1" 0 1 0 0
Miami-Dade "PRECINCT 659.2" 0 0 0 0
Miami-Dade "PRECINCT 667.0" 0 556 631 1
Miami-Dade "PRECINCT 668.0" 0 0 0 0
Miami-Dade "PRECINCT 669.0" 0 709 925 6
Miami-Dade "PRECINCT 670.0" 0 889 1512 6
Miami-Dade "PRECINCT 672.0" 0 606 647 0
Miami-Dade "PRECINCT 673.0" 0 253 105 0
Miami-Dade "PRECINCT 674.0" 0 475 421 0
Miami-Dade "PRECINCT 696.0" 0 1530 1290 2
Miami-Dade "PRECINCT 707.1" 0 0 0 0
Miami-Dade "PRECINCT 712.0" 0 515 1270 2
Miami-Dade "PRECINCT 713.0" 0 615 1502 4
Miami-Dade "PRECINCT 714.0" 0 523 1256 2
Miami-Dade "PRECINCT 715.0" 0 631 1266 1
Miami-Dade "PRECINCT 716.0" 0 400 1090 3
Miami-Dade "PRECINCT 717.0" 0 1179 1211 4
Miami-Dade "PRECINCT 718.0" 0 636 1255 3
Miami-Dade "PRECINCT 719.0" 0 696 968 1
Miami-Dade "PRECINCT 719.1" 0 1 1 0
Miami-Dade "PRECINCT 720.0" 0 489 1117 1
Miami-Dade "PRECINCT 721.0" 0 1351 1628 5
Miami-Dade "PRECINCT 723.0" 0 605 1111 1
Miami-Dade "PRECINCT 725.0" 0 609 1068 1
Miami-Dade "PRECINCT 726.0" 0 288 614 2
Miami-Dade "PRECINCT 727.0" 0 575 627 2
Miami-Dade "PRECINCT 728.0" 0 1203 1208 3
Miami-Dade "PRECINCT 729.0" 0 863 965 2
Miami-Dade "PRECINCT 730.0" 0 1181 1195 7
Miami-Dade "PRECINCT 731.0" 0 458 1003 4
Miami-Dade "PRECINCT 742.1" 0 0 0 0
Miami-Dade "PRECINCT 743.1" 0 0 0 0
Miami-Dade "PRECINCT 745.0" 0 1444 1465 6
Miami-Dade "PRECINCT 746.0" 0 626 444 1
Miami-Dade "PRECINCT 747.0" 0 781 882 5
Miami-Dade "PRECINCT 748.0" 0 787 1122 2
Miami-Dade "PRECINCT 749.0" 0 788 1009 1
Miami-Dade "PRECINCT 750.0" 0 1031 1492 2
Miami-Dade "PRECINCT 751.0" 0 587 840 0
Miami-Dade "PRECINCT 752.0" 0 1386 1140 2
Miami-Dade "PRECINCT 753.0" 0 250 371 1
Miami-Dade "PRECINCT 754.0" 0 946 1029 1
Miami-Dade "PRECINCT 755.0" 0 399 617 4
Miami-Dade "PRECINCT 756.0" 0 904 1109 7
Miami-Dade "PRECINCT 760.0" 0 567 860 0
Miami-Dade "PRECINCT 765.0" 0 998 1159 0
Miami-Dade "PRECINCT 771.0" 0 1021 971 1
Miami-Dade "PRECINCT 777.0" 0 249 458 0
Miami-Dade "PRECINCT 778.0" 0 174 574 0
Miami-Dade "PRECINCT 779.0" 0 344 603 1
Miami-Dade "PRECINCT 781.0" 0 279 434 0
Miami-Dade "PRECINCT 783.0" 0 1041 982 1
Miami-Dade "PRECINCT 791.0" 0 303 261 2
Miami-Dade "PRECINCT 801.0" 0 1173 282 7
Miami-Dade "PRECINCT 802.0" 0 1151 238 2
Miami-Dade "PRECINCT 803.0" 0 1098 183 8
Miami-Dade "PRECINCT 804.0" 0 829 864 0
Miami-Dade "PRECINCT 806.0" 0 724 603 0
Miami-Dade "PRECINCT 807.0" 0 749 605 2
Miami-Dade "PRECINCT 808.0" 0 393 501 0
Miami-Dade "PRECINCT 809.0" 0 140 201 0
Miami-Dade "PRECINCT 810.0" 0 1414 1386 3
Miami-Dade "PRECINCT 811.0" 0 959 760 2
Miami-Dade "PRECINCT 819.0" 0 581 621 1
Miami-Dade "PRECINCT 820.0" 0 1553 1657 2
Miami-Dade "PRECINCT 821.0" 0 1324 1477 2
Miami-Dade "PRECINCT 822.0" 0 837 983 1
Miami-Dade "PRECINCT 823.0" 0 1062 1102 4
Miami-Dade "PRECINCT 824.0" 0 575 643 3
Miami-Dade "PRECINCT 825.0" 0 1456 1513 5
Miami-Dade "PRECINCT 832.0" 0 844 616 2
Miami-Dade "PRECINCT 832.1" 0 0 0 0
Miami-Dade "PRECINCT 837.0" 0 1062 1033 2
Miami-Dade "PRECINCT 839.1" 0 1 2 0
Miami-Dade "PRECINCT 840.0" 0 762 710 3
Miami-Dade "PRECINCT 843.0" 0 25 29 0
Miami-Dade "PRECINCT 843.1" 0 0 0 0
Miami-Dade "PRECINCT 844.0" 0 1 2 0
Miami-Dade "PRECINCT 847.0" 0 1820 1743 5
Miami-Dade "PRECINCT 849.0" 0 311 232 1
Miami-Dade "PRECINCT 849.1" 0 5 0 0
Miami-Dade "PRECINCT 850.0" 0 107 174 0
Miami-Dade "PRECINCT 854.0" 0 1138 1036 1
Miami-Dade "PRECINCT 862.0" 0 0 0 0
Miami-Dade "PRECINCT 862.1" 0 1548 1307 1
Miami-Dade "PRECINCT 957.0" 0 390 488 0
Miami-Dade "PRECINCT 971.0" 0 232 460 1
Miami-Dade "PRECINCT 974.0" 0 328 817 0
Miami-Dade "PRECINCT 981.1" 0 150 123 1
Miami-Dade "PRECINCT 982.0" 0 101 37 0
Miami-Dade "PRECINCT 983.0" 0 351 219 1
Miami-Dade "PRECINCT 984.0" 0 1753 991 4
Miami-Dade "PRECINCT 987.1" 0 57 62 0
Miami-Dade "PRECINCT 989.0" 0 2 15 0
Miami-Dade "PRECINCT 991.1" 0 221 438 1
Miami-Dade "PRECINCT 993.0" 0 105 90 0
Miami-Dade "PRECINCT 994.0" 0 274 423 0
Miami-Dade "PRECINCT 995.0" 0 2084 1499 2
Miami-Dade "PRECINCT 996.0" 0 1493 811 2
Miami-Dade "PRECINCT 997.0" 0 120 223 0
