COUNTY AREA TOTAL DEM REP CON IND LIB
COUNTY AREA TOTAL Biden Trump Blankenship Other Jorgensen
Clark 1655 0 841 360 0 6 10
Clark 1661 0 819 462 2 8 19
Clark 1662 0 606 432 2 10 11
Clark 1664 0 427 485 1 4 4
Clark 1665 0 0 0 0 0 0
Clark 1668 0 1162 1497 4 25 20
Clark 1669 0 280 330 1 1 3
Clark 1670 0 657 576 5 6 16
Clark 1671 0 7 17 0 0 1
Clark 1672 0 620 509 1 11 5
Clark 1673 0 0 0 0 0 0
Clark 1674 0 575 774 2 14 3
Clark 1675 0 530 690 0 10 12
Clark 1676 0 251 317 1 6 4
Clark 1677 0 461 507 0 9 11
Clark 1678 0 380 541 5 13 7
Clark 1679 0 503 563 2 9 13
Clark 1680 0 845 729 2 10 17
Clark 1681 0 16 38 0 0 0
Clark 1682 0 654 464 5 12 20
Clark 1683 0 757 527 1 11 18
Clark 1684 0 170 215 2 4 4
Clark 1685 0 1 1 1 1 1
Clark 1686 0 384 549 2 5 10
Clark 1687 0 623 548 1 15 13
Clark 1688 0 537 468 2 9 14
Clark 1689 0 514 442 1 5 6
Clark 1691 0 1 1 1 1 1
Clark 1692 0 51 128 0 3 0
Clark 1693 0 202 388 2 3 6
Clark 1694 0 0 0 0 0 0
Clark 1695 0 700 498 3 11 9
Clark 1702 0 690 575 0 12 11
Clark 1703 0 907 508 4 12 5
Clark 1704 0 525 459 1 3 9
Clark 1711 0 111 70 0 0 3
Clark 1712 0 1110 1136 5 18 20
Clark 1713 0 688 644 1 10 17
Clark 1715 0 369 552 0 10 3
Clark 1717 0 516 599 0 8 4
Clark 1718 0 644 782 0 10 2
Clark 1719 0 487 548 1 7 3
Clark 1720 0 421 479 6 5 2
Clark 1721 0 469 662 2 12 2
Clark 1722 0 324 401 2 9 0
Clark 1727 0 959 1173 4 21 11
Clark 1732 0 52 50 0 1 2
Clark 1750 0 479 745 3 7 15
Clark 1751 0 341 841 2 8 9
Clark 1753 0 71 143 0 2 0
Clark 2008 0 537 627 0 12 17
Clark 2037 0 572 594 3 9 11
Clark 2044 0 685 848 2 18 11
Clark 2078 0 0 0 0 0 0
Clark 2126 0 228 198 1 5 3
Clark 2352 0 407 504 0 3 7
Clark 2353 0 433 603 4 9 5
Clark 2354 0 372 379 2 5 8
Clark 2356 0 0 0 0 0 0
Clark 2360 0 1132 468 3 15 15
Clark 2366 0 681 516 4 10 9
Clark 2371 0 515 469 2 6 6
Clark 2372 0 612 430 2 14 13
Clark 2373 0 424 362 0 8 7
Clark 2380 0 681 419 3 15 13
Clark 2381 0 860 385 1 14 12
Clark 2382 0 922 551 4 19 11
Clark 2383 0 868 564 8 15 18
Clark 2384 0 920 753 0 25 30
Clark 2385 0 601 451 3 13 16
Clark 2386 0 825 607 5 8 12
Clark 2387 0 1316 778 4 18 24
Clark 2390 0 725 515 2 13 9
Clark 2391 0 391 370 0 4 6
Clark 2392 0 568 377 5 9 16
Clark 2393 0 852 580 0 15 12
Clark 2394 0 1153 616 7 15 18
Clark 2399 0 1498 946 3 27 36
Clark 2400 0 1483 620 7 12 20
Clark 2401 0 1 1 1 1 1
Clark 2405 0 1 1 1 1 1
Clark 2406 0 1 1 1 1 1
Clark 2407 0 1 1 1 1 1
Clark 2408 0 1 1 1 1 1
Clark 2409 0 1034 603 5 17 25
Clark 2417 0 122 71 1 3 6
Clark 2430 0 699 346 5 9 15
Clark 2436 0 1 1 1 1 1
Clark 2440 0 670 798 2 7 7
Clark 2444 0 136 112 1 0 5
Clark 2445 0 0 0 0 0 0
Clark 2446 0 845 480 4 13 21
Clark 2447 0 1 1 1 1 1
Clark 2449 0 939 687 5 12 11
Clark 2456 0 875 480 2 20 20
Clark 2457 0 991 1109 6 22 36
Clark 2458 0 1 1 1 1 1
Clark 2463 0 1241 514 4 16 17
Clark 2464 0 1239 923 1 24 14
Clark 2465 0 360 797 5 9 11
Clark 2466 0 504 930 3 9 7
Clark 2468 0 0 0 0 0 0
Clark 2469 0 97 349 1 2 8
Clark 2473 0 74 445 0 3 6
Clark 2476 0 136 1273 0 12 12
Clark 2477 0 278 619 2 7 0
Clark 2478 0 0 0 0 0 0
Clark 2479 0 1062 679 3 18 19
Clark 2480 0 910 682 4 22 18
Clark 2481 0 1143 475 5 26 14
Clark 2483 0 1423 579 7 21 25
Clark 2484 0 814 525 1 10 13
Clark 2486 0 0 0 0 0 0
Clark 2487 0 0 0 0 0 0
Clark 2488 0 0 0 0 0 0
Clark 2489 0 0 0 0 0 0
Clark 2500 0 605 643 3 6 3
Clark 2501 0 9 25 0 0 1
Clark 2503 0 1 1 1 1 1
Clark 2600 0 543 713 1 10 21
Clark 2601 0 8 22 0 0 0
Clark 2602 0 56 96 1 4 2
Clark 2603 0 555 705 1 13 14
Clark 2604 0 542 496 4 4 17
Clark 2605 0 460 633 3 10 9
Clark 2606 0 596 409 1 6 10
Clark 2607 0 860 439 3 15 10
Clark 2608 0 0 0 0 0 0
Clark 2609 0 1 1 1 1 1
Clark 2611 0 796 741 7 14 23
Clark 2612 0 0 0 0 0 0
Clark 2613 0 617 624 3 9 14
Clark 2614 0 475 541 2 8 14
Clark 2615 0 490 686 5 5 16
Clark 2616 0 440 227 0 18 7
Clark 2617 0 477 324 2 7 7
Clark 2621 0 662 731 2 15 19
Clark 2622 0 435 521 1 14 11
Clark 2623 0 1 1 1 1 1
Clark 2624 0 341 558 2 4 7
Clark 2625 0 1 1 1 1 1
Clark 2631 0 12 12 0 1 0
Clark 2632 0 2 24 0 0 0
Clark 2633 0 291 706 1 8 14
Clark 2634 0 406 426 5 13 6
Clark 2635 0 623 757 3 11 8
Clark 2640 0 0 0 0 0 0
Clark 2641 0 1 1 1 1 1
Clark 2642 0 20 52 0 2 1
Clark 2643 0 634 957 2 14 13
Clark 2644 0 383 826 3 8 7
Clark 2645 0 29 85 0 1 5
Clark 2646 0 1 1 1 1 1
Clark 2650 0 429 685 2 10 8
Clark 2651 0 288 467 1 9 4
Clark 2652 0 914 858 6 18 19
Clark 2653 0 483 989 2 10 11
Clark 2654 0 351 462 2 8 8
Clark 2655 0 384 674 4 4 12
Clark 2660 0 313 504 1 6 10
Clark 2661 0 743 908 4 20 23
Clark 2662 0 119 153 0 6 4
Clark 2663 0 278 684 0 7 13
Clark 2664 0 9 6 0 0 0
Clark 2665 0 51 138 0 0 1
Clark 2666 0 1669 1235 7 22 28
Clark 2671 0 670 1197 8 8 17
Clark 2672 0 738 935 5 15 24
Clark 2673 0 45 116 0 2 1
Clark 2674 0 801 624 4 8 21
Clark 2675 0 6 20 0 0 0
Clark 2676 0 9 22 0 1 0
Clark 2681 0 1 1 1 1 1
Clark 2682 0 427 668 2 10 7
Clark 2683 0 1 1 1 1 1
Clark 2684 0 6 20 0 0 0
Clark 2685 0 0 0 0 0 0
Clark 2691 0 14 26 0 0 0
Clark 2692 0 506 675 3 11 11
Clark 2693 0 44 54 0 1 1
Clark 2694 0 1 1 1 1 1
Clark 2695 0 397 648 5 8 8
Clark 2696 0 20 34 0 0 1
Clark 2700 0 484 398 1 9 8
Clark 2701 0 559 735 0 7 23
Clark 2702 0 406 384 1 9 4
Clark 2703 0 1 1 1 1 1
Clark 2704 0 14 38 0 0 1
Clark 2705 0 456 487 4 7 10
Clark 2706 0 0 0 0 0 0
Clark 2709 0 341 348 2 9 6
Clark 2710 0 437 378 2 6 10
Clark 2711 0 516 656 4 12 15
Clark 2713 0 481 249 0 9 10
Clark 2714 0 521 235 3 5 9
Clark 2715 0 1 1 1 1 1
Clark 2716 0 967 441 7 17 17
Clark 2717 0 724 323 4 10 8
Clark 2720 0 1 1 1 1 1
Clark 2721 0 0 0 0 0 0
Clark 2722 0 196 83 0 5 5
Clark 2723 0 0 0 0 0 0
Clark 2724 0 890 411 4 14 13
Clark 2725 0 69 465 1 3 4
Clark 2726 0 82 461 1 7 3
Clark 2727 0 188 938 1 13 13
Clark 2729 0 426 171 1 4 8
Clark 2730 0 1087 482 7 11 25
Clark 2731 0 716 1094 4 10 16
Clark 2732 0 480 686 2 8 11
Clark 2733 0 480 282 2 5 8
Clark 2734 0 618 332 5 17 16
Clark 2735 0 593 253 2 20 6
Clark 2736 0 316 217 3 8 5
Clark 2737 0 745 218 3 18 9
Clark 2738 0 594 349 1 7 7
Clark 2740 0 712 349 3 11 15
Clark 2742 0 468 228 0 10 6
Clark 2743 0 737 432 1 13 11
Clark 2745 0 6 10 0 0 0
Clark 2746 0 453 294 2 11 11
Clark 2751 0 440 161 2 5 4
Clark 2752 0 1035 311 8 15 12
Clark 2770 0 63 19 1 3 2
Clark 2775 0 864 1559 6 19 10
Clark 2776 0 735 1510 7 25 22
Clark 3036 0 328 375 2 2 1
Clark 3037 0 263 328 1 1 2
Clark 3040 0 397 535 1 8 1
Clark 3151 0 0 0 0 0 0
Clark 3152 0 26 47 0 1 1
Clark 3191 0 1 1 1 1 1
Clark 3217 0 817 725 2 10 10
Clark 3361 0 671 553 1 15 11
Clark 3363 0 656 834 2 16 7
Clark 3364 0 631 942 1 19 17
Clark 3365 0 412 377 1 6 4
Clark 3366 0 376 456 1 9 5
Clark 3370 0 490 433 0 10 5
Clark 3371 0 412 275 0 9 9
Clark 3372 0 557 510 1 16 10
Clark 3373 0 676 699 3 19 6
Clark 3374 0 459 444 1 8 7
Clark 3375 0 681 762 4 11 7
Clark 3380 0 316 260 1 5 1
Clark 3381 0 677 763 7 10 10
Clark 3382 0 581 567 2 9 14
Clark 3383 0 395 636 1 7 0
Clark 3385 0 801 801 2 22 18
Clark 3386 0 356 409 3 14 5
Clark 3391 0 352 351 1 3 5
Clark 3392 0 421 383 3 9 3
Clark 3393 0 308 283 3 3 3
Clark 3395 0 430 484 0 4 4
Clark 3413 0 346 488 0 5 0
Clark 3414 0 393 460 0 4 7
Clark 3416 0 687 587 1 9 11
Clark 3417 0 1062 740 5 28 19
Clark 3418 0 314 359 0 2 7
Clark 3430 0 574 454 3 9 4
Clark 3431 0 521 526 1 8 4
Clark 3433 0 1 1 1 1 1
Clark 3435 0 758 606 3 13 12
Clark 3439 0 1 1 1 1 1
Clark 3457 0 1 1 1 1 1
Clark 3464 0 483 605 1 4 4
Clark 3465 0 445 468 0 5 9
Clark 3518 0 1 10 0 1 0
Clark 3532 0 64 223 0 2 4
Clark 3535 0 20 45 0 1 0
Clark 3537 0 0 0 0 0 0
Clark 3540 0 152 309 1 2 8
Clark 3544 0 513 674 0 10 12
Clark 3545 0 0 0 0 0 0
Clark 3546 0 1264 1242 4 25 36
Clark 3547 0 799 1011 3 15 13
Clark 3552 0 0 0 0 0 0
Clark 3553 0 0 0 0 0 0
Clark 3557 0 900 870 3 16 14
Clark 3559 0 1 1 1 1 1
Clark 3562 0 1 1 1 1 1
Clark 3564 0 87 226 0 4 5
Clark 3565 0 529 532 2 17 13
Clark 3566 0 18 57 0 1 0
Clark 3571 0 1 1 1 1 1
Clark 3574 0 0 0 0 0 0
Clark 3576 0 310 418 0 9 9
Clark 3578 0 8 34 0 1 0
Clark 3579 0 6 8 0 0 0
Clark 3580 0 0 0 0 0 0
Clark 3581 0 1 1 1 1 1
Clark 3582 0 7 8 0 0 0
Clark 3583 0 0 0 0 0 0
Clark 3584 0 1 1 1 1 1
Clark 3585 0 0 0 0 0 0
Clark 3586 0 0 0 0 0 0
Clark 3587 0 462 536 0 12 7
Clark 3588 0 507 563 3 19 12
Clark 3602 0 920 926 6 20 25
Clark 3604 0 1158 804 2 22 22
Clark 3605 0 101 322 0 2 3
Clark 3606 0 504 511 2 8 15
Clark 3607 0 808 497 2 15 27
Clark 3608 0 470 998 2 17 16
Clark 3609 0 448 861 3 14 14
Clark 3610 0 595 619 1 9 6
Clark 3611 0 0 0 0 0 0
Clark 3612 0 0 0 0 0 0
Clark 3613 0 641 406 1 11 8
Clark 3700 0 1 11 0 0 0
Clark 3701 0 0 0 0 0 0
Clark 3702 0 839 566 3 18 15
Clark 3703 0 7 14 0 0 0
Clark 3704 0 396 291 1 3 19
Clark 3705 0 442 563 0 5 10
Clark 3706 0 1575 1431 7 27 33
Clark 3707 0 732 708 0 15 13
Clark 3708 0 432 546 0 6 5
Clark 3709 0 1068 914 3 28 26
Clark 3710 0 98 136 1 1 4
Clark 3711 0 86 154 0 0 5
Clark 3712 0 1 1 1 1 1
Clark 3713 0 23 23 0 1 0
Clark 3714 0 20 23 0 0 0
Clark 3715 0 63 128 1 1 1
Clark 3716 0 275 389 1 2 4
Clark 3717 0 164 372 1 1 1
Clark 3718 0 251 672 3 10 9
Clark 3719 0 732 655 4 15 21
Clark 3720 0 376 294 1 4 10
Clark 3721 0 449 492 1 15 9
Clark 3722 0 396 274 1 7 8
Clark 3723 0 524 590 1 10 8
Clark 3724 0 551 406 2 6 8
Clark 3725 0 1 1 1 1 1
Clark 3726 0 817 612 3 10 21
Clark 3727 0 560 730 0 9 2
Clark 3728 0 616 651 1 7 3
Clark 3729 0 505 492 1 7 17
Clark 3730 0 801 681 3 9 24
Clark 3731 0 1 1 1 1 1
Clark 3732 0 364 219 3 5 11
Clark 3733 0 535 432 0 9 9
Clark 3734 0 616 736 2 12 13
Clark 3735 0 32 36 0 0 1
Clark 3736 0 11 30 0 0 1
Clark 3737 0 0 0 0 0 0
Clark 3738 0 149 112 0 2 1
Clark 3739 0 478 442 2 14 4
Clark 3740 0 1757 1856 4 26 38
Clark 3741 0 157 279 2 6 8
Clark 3742 0 672 383 3 11 10
Clark 3743 0 598 500 2 15 13
Clark 3744 0 1 1 1 1 1
Clark 3745 0 0 0 0 0 0
Clark 3746 0 687 733 4 11 9
Clark 3747 0 464 386 0 9 6
Clark 3748 0 533 582 0 12 5
Clark 3749 0 734 590 4 17 13
Clark 3750 0 1 1 1 1 1
Clark 3751 0 538 201 1 5 7
