COUNTY AREA TOTAL DEM REP WRI
COUNTY AREA TOTAL Smith McMaster Writein
Anderson "Cedar Grove" 3 114 470 3
Anderson "Centerville Station A" 2 395 838 2
Anderson "Chiquola Mill" 1 123 117 1
Anderson Concrete 5 366 990 5
Anderson Craytonville 0 54 404 0
Anderson "Denver-Sandy Springs" 0 180 481 0
Anderson "Edgewood Station A" 0 283 488 0
Anderson "Five Forks" 4 254 597 4
Anderson "Flat Rock" 0 110 438 0
Anderson "Fork No.1" 1 158 499 1
Anderson "Fork No.2" 3 153 589 3
Anderson Friendship 0 98 421 0
Anderson "Gluck Mill" 0 70 86 0
Anderson "Green Pond Station A" 1 292 827 1
Anderson "Grove School" 0 40 242 0
Anderson Hall 0 121 413 0
Anderson "Hammond School" 2 341 776 2
Anderson "High Point" 0 51 240 0
Anderson "Homeland Park" 1 349 441 1
Anderson "Honea Path" 0 143 530 0
Anderson Hopewell 2 203 575 2
Anderson Iva 0 123 512 0
Anderson "Jackson Mill" 0 64 280 0
Anderson "La France" 0 147 296 0
Anderson Melton 0 110 245 0
Anderson "Mount Tabor" 0 323 695 0
Anderson "Mountain Creek" 0 128 311 0
Anderson "Neal's Creek" 2 306 475 2
Anderson "North Pointe" 3 207 678 3
Anderson Pelzer 1 49 238 1
Anderson Pendleton 1 675 671 1
Anderson Piedmont 1 89 298 1
Anderson Piercetown 3 217 783 3
Anderson "Rock Mill" 0 119 484 0
Anderson "Rock Spring" 1 102 279 1
Anderson "Shirley's Store" 0 75 305 0
Anderson Simpsonville 1 310 872 1
Anderson Starr 0 75 353 0
Anderson "Three and Twenty" 1 208 934 1
Anderson "Toney Creek" 1 24 191 1
Anderson Townville 1 93 283 1
Anderson "Town Creek" 1 210 546 1
Anderson "West Pelzer" 1 132 639 1
Anderson "West Savannah" 1 56 116 1
Anderson "White Plains" 1 308 1051 1
Anderson Williamston 1 275 693 1
Anderson "Williamston Mill" 3 174 833 3
Anderson "Wright's School" 1 46 345 1
Anderson "Anderson 1/1" 0 230 328 0
Anderson "Anderson 1/2" 1 205 470 1
Anderson "Anderson 2/1" 1 218 389 1
Anderson "Anderson 2/2" 3 376 615 3
Anderson "Anderson 3/1" 1 157 94 1
Anderson "Anderson 3/2" 0 584 253 0
Anderson "Anderson 4/1" 1 191 35 1
Anderson "Anderson 4/2" 0 185 23 0
Anderson "Anderson 5/A" 1 160 64 1
Anderson "Anderson 5/B" 0 317 78 0
Anderson "Anderson 6/1" 2 299 455 2
Anderson "Anderson 6/2" 1 100 24 1
Anderson Varennes 0 185 216 0
Anderson Lakeside 0 360 580 0
Anderson "Centerville Station B" 1 366 802 1
Anderson "Edgewood Station B" 1 253 697 1
Anderson "Cox's Creek" 0 121 295 0
Anderson "Mt. Airy" 0 246 900 0
Anderson "Belton Annex" 0 241 544 0
Anderson Powdersville 4 402 1036 4
Anderson Glenview 3 295 590 3
Anderson "Hammond Annex" 4 252 593 4
Anderson "Center Rock" 1 284 812 1
Anderson "Hunt Meadows" 3 463 1409 3
Anderson "Absentee 1" 3 680 1107 3
Anderson "Absentee 2" 3 988 1892 3
Anderson "Absentee 3" 0 681 1170 0
Anderson "Absentee 4" 3 532 683 3
Anderson "Emergency 1" 0 0 0 0
Anderson "Emergency 2" 0 23 64 0
Anderson "Emergency 3" 0 0 0 0
Anderson "Emergency 4" 0 0 0 0
Anderson "Failsafe 1" 0 20 12 0
Anderson "Failsafe 2" 0 39 34 0
Anderson "Failsafe 3" 0 21 16 0
Anderson "Failsafe 4" 1 23 14 1
Anderson "Provisional 1" 0 1 4 0
Anderson "Provisional 2" 0 3 4 0
Anderson "Provisional 3" 0 2 6 0
Anderson "Provisional 4" 0 2 1 0
Anderson "Failsafe Provisional 1" 2 51 117 2
Bamberg COLSTON 0 39 55 0
Bamberg EDISTO 1 52 104 1
Bamberg EHRHARDT 0 159 185 0
Bamberg "EAST DENMARK" 0 593 144 0
Bamberg GOVAN 0 49 19 0
Bamberg "HIGHTOWERS MILL" 0 19 19 0
Bamberg "HUNTER'S CHAPEL" 0 53 52 0
Bamberg KEARSE 0 5 56 0
Bamberg "LITTLE SWAMP" 0 11 58 0
Bamberg OLAR 0 73 87 0
Bamberg "SOUTH BAMBERG" 0 368 125 0
Bamberg "WEST DENMARK" 0 428 76 0
Bamberg "NORTH BAMBERG" 0 123 62 0
Bamberg Absentee 0 354 138 0
Bamberg Emergency 1 490 372 1
Bamberg Failsafe 0 7 0 0
Bamberg Provisional 0 5 0 0
Bamberg "Failsafe Provisional" 0 0 0 0
Barnwell "BARNWELL 1" 0 134 115 0
Barnwell "BARNWELL 2" 1 211 392 1
Barnwell "BARNWELL 3" 2 280 385 2
Barnwell "BARNWELL 4" 0 305 202 0
Barnwell "BLACKVILLE 1" 0 285 114 0
Barnwell "BLACKVILLE 2" 0 168 85 0
Barnwell ELKO 0 134 158 0
Barnwell FRIENDSHIP 0 31 245 0
Barnwell KLINE 0 110 141 0
Barnwell "HEALING SPRINGS" 0 305 86 0
Barnwell HILDA 1 44 349 1
Barnwell SNELLING 0 225 281 0
Barnwell "WILLISTON 1" 1 389 216 1
Barnwell "WILLISTON 2" 0 86 176 0
Barnwell "WILLISTON 3" 0 166 229 0
Barnwell Absentee 1 666 552 1
Barnwell Emergency 0 0 0 0
Barnwell Failsafe 0 10 8 0
Barnwell Provisional 0 0 0 0
Barnwell "Failsafe Provisional" 0 0 0 0
Beaufort "BEAUFORT 1" 1 217 94 1
Beaufort "BEAUFORT 2" 4 220 226 4
Beaufort "BEAUFORT 3" 0 229 310 0
Beaufort "BURTON 1A" 1 289 404 1
Beaufort "BURTON 1B" 2 343 90 2
Beaufort "BURTON 1C" 1 346 260 1
Beaufort "BURTON 2A" 0 219 315 0
Beaufort "BURTON 2B" 1 296 338 1
Beaufort "BURTON 2C" 0 265 541 0
Beaufort "BURTON 3" 0 67 69 0
Beaufort "CHECHESSEE 1" 1 264 538 1
Beaufort "CHECHESSEE 2" 2 176 431 2
Beaufort "Ladys Island 1A" 4 264 365 4
Beaufort "Ladys Island 1B" 0 294 419 0
Beaufort "Ladys Island 2A" 0 245 510 0
Beaufort "Ladys Island 2B" 0 232 391 0
Beaufort "Ladys Island 3A" 0 157 284 0
Beaufort "Ladys Island 3B" 1 157 377 1
Beaufort "Mossy Oaks 1A" 3 152 277 3
Beaufort "Mossy Oaks 1B" 1 193 342 1
Beaufort "Mossy Oaks 2" 1 194 271 1
Beaufort "PORT ROYAL 1" 2 239 242 2
Beaufort "PORT ROYAL 2" 0 228 192 0
Beaufort "DALE LOBECO" 2 284 163 2
Beaufort "SEABROOK 1" 1 193 185 1
Beaufort "SEABROOK 2" 0 280 97 0
Beaufort "SEABROOK 3" 0 310 223 0
Beaufort "SHELDON 1" 0 249 234 0
Beaufort "SHELDON 2" 1 250 40 1
Beaufort "BURTON 1D" 0 102 87 0
Beaufort "Saint Helena 1A" 0 434 102 0
Beaufort "Saint Helena 1B" 1 466 129 1
Beaufort "Saint Helena 1C" 0 327 529 0
Beaufort "Saint Helena 2A" 1 365 248 1
Beaufort "Saint Helena 2B" 1 449 129 1
Beaufort "Saint Helena 2C" 0 192 359 0
Beaufort "Ladys Island 2C" 0 148 285 0
Beaufort "Ladys Island 3C" 0 167 267 0
Beaufort DAUFUSKIE 2 77 147 2
Beaufort "HILTON HEAD 1A" 0 263 241 0
Beaufort "HILTON HEAD 1B" 1 259 257 1
Beaufort "HILTON HEAD 2A" 2 306 307 2
Beaufort "HILTON HEAD 2B" 0 303 176 0
Beaufort "HILTON HEAD 2C" 0 307 600 0
Beaufort "HILTON HEAD 3" 0 147 301 0
Beaufort "HILTON HEAD 4A" 0 171 264 0
Beaufort "HILTON HEAD 4B" 0 252 398 0
Beaufort "HILTON HEAD 4C" 0 207 271 0
Beaufort "HILTON HEAD 4D" 0 206 342 0
Beaufort "HILTON HEAD 5A" 0 217 344 0
Beaufort "HILTON HEAD 5B" 0 182 305 0
Beaufort "HILTON HEAD 5C" 1 185 296 1
Beaufort "HILTON HEAD 6" 0 282 475 0
Beaufort "HILTON HEAD 7A" 0 220 369 0
Beaufort "HILTON HEAD 7B" 0 216 367 0
Beaufort "HILTON HEAD 8" 1 180 230 1
Beaufort "HILTON HEAD 9A" 3 377 431 3
Beaufort "HILTON HEAD 9B" 1 167 514 1
Beaufort "HILTON HEAD 10" 0 403 448 0
Beaufort "HILTON HEAD 11" 0 252 318 0
Beaufort "HILTON HEAD 12" 0 145 217 0
Beaufort "HILTON HEAD 13" 1 253 299 1
Beaufort "HILTON HEAD 14" 1 154 274 1
Beaufort "HILTON HEAD 15A" 0 121 142 0
Beaufort "HILTON HEAD 15B" 0 163 302 0
Beaufort BELFAIR 1 289 728 1
Beaufort "Bluffton 1A" 1 335 319 1
Beaufort "Bluffton 1B" 1 153 263 1
Beaufort "Bluffton 1C" 0 204 394 0
Beaufort "Bluffton 1D" 1 268 264 1
Beaufort "Bluffton 2A" 1 200 221 1
Beaufort "Bluffton 2B" 0 242 214 0
Beaufort "Bluffton 2C" 0 448 717 0
Beaufort "MOSS CREEK" 0 344 619 0
Beaufort "Bluffton 3" 0 104 299 0
Beaufort "Bluffton 4A" 0 114 332 0
Beaufort "Bluffton 4B" 0 234 350 0
Beaufort "Bluffton 4C" 0 358 506 0
Beaufort "Bluffton 5A" 1 242 405 1
Beaufort "Bluffton 2D" 2 433 698 2
