COUNTY AREA TOTAL DEM REP Other
COUNTY AREA TOTAL Democrat Republican Other
Alachua 01 1540 563 664 313
Alachua 02 2215 967 832 416
Alachua 03 4394 1555 1789 1050
Alachua 04 3498 1144 1623 731
Alachua 05 3176 1734 698 744
Alachua 06 3580 1226 1515 839
Alachua 07 2441 1587 298 556
Alachua 08 2126 989 739 398
Alachua 09 607 178 295 134
Alachua 10 1632 779 526 327
Alachua 11 3077 1459 986 632
Alachua 12 2630 1672 369 589
Alachua 13 2839 2220 131 488
Alachua 14 1266 413 590 263
Alachua 15 910 375 364 171
Alachua 16 2815 1067 1059 689
Alachua 17 3139 1713 677 749
Alachua 18 3167 1299 1001 867
Alachua 19 1825 1339 141 345
Alachua 20 3917 1385 1659 873
Alachua 21 3036 1511 810 715
Alachua 22 3578 1741 885 952
Alachua 23 1982 1064 389 529
Alachua 24 2224 1288 462 474
Alachua 25 2856 1762 373 721
Alachua 26 1739 964 369 406
Alachua 27 3743 2581 416 746
Alachua 28 3269 2603 198 468
Alachua 29 3041 1223 1131 687
Alachua 30 3000 2229 277 494
Alachua 31 2912 1332 616 964
Alachua 32 3597 1913 797 887
Alachua 33 3033 2152 291 590
Alachua 34 1385 592 492 301
Alachua 35 1806 842 573 391
Alachua 36 3810 1967 700 1143
Alachua 37 2366 1174 692 500
Alachua 38 3687 1962 853 872
Alachua 39 3457 1832 563 1062
Alachua 40 2369 1177 719 473
Alachua 41 2895 1005 1284 606
Alachua 42 3063 1194 1110 759
Alachua 43 3781 1926 849 1006
Alachua 44 6593 3609 976 2008
Alachua 45 5918 2722 1877 1319
Alachua 46 4160 1680 1436 1044
Alachua 47 4093 1518 1520 1055
Alachua 48 3235 1627 698 910
Alachua 49 2445 906 1081 458
Alachua 50 1958 1180 403 375
Alachua 51 3204 1491 982 731
Alachua 52 2676 1491 439 746
Alachua 53 3295 1676 936 683
Alachua 54 3889 2093 726 1070
Alachua 55 1500 1022 155 323
Alachua 56 3210 1298 1064 848
Alachua 57 2937 1535 660 742
Alachua 58 5280 2170 1620 1490
Alachua 59 7070 3678 1446 1946
Alachua 60 3660 933 1976 751
Alachua 61 2197 1221 578 398
Alachua 62 2956 1479 724 753
Alachua 63 2734 1037 1118 579
Baker 1A 2375 1074 1055 246
Baker 2A 3297 942 1876 479
Baker 3A 3380 802 2147 431
Baker 4A 212 52 136 24
Baker 4B 646 138 429 79
Baker 4C 2101 382 1508 211
Baker 4D 1037 242 670 125
Baker 5A 3601 737 2432 432
Baker 6A 284 115 140 29
Bay 1 2244 450 1209 585
Bay 10 5039 965 2866 1208
Bay 11 6653 1307 3523 1823
Bay 12 5652 1059 3105 1488
Bay 13 2930 530 1673 727
Bay 14 4862 917 2634 1311
Bay 15 3280 450 2251 579
Bay 16 1631 272 1077 282
Bay 17 4197 869 2380 948
Bay 18 2450 502 1580 368
Bay 19 1913 620 920 373
Bay 2 1272 208 818 246
Bay 20 1778 404 1058 316
Bay 21 4363 814 2749 800
Bay 22 4027 874 2438 715
Bay 23 4803 1133 2641 1029
Bay 24 1651 380 941 330
Bay 25 2252 460 1399 393
Bay 26 2688 545 1616 527
Bay 27 3405 866 1742 797
Bay 28 2305 635 976 694
Bay 29 3007 1083 1155 769
Bay 3 714 126 450 138
Bay 30 1391 460 575 356
Bay 31 4369 1345 2022 1002
Bay 32 1769 1297 169 303
Bay 33 2100 1128 455 517
Bay 34 1214 327 663 224
Bay 35 2149 562 1192 395
Bay 36 1035 399 375 261
Bay 37 3526 1286 1322 918
Bay 38 1847 552 793 502
Bay 39 3757 904 1994 859
Bay 4 3407 635 2030 742
Bay 40 2034 657 916 461
Bay 41 2530 746 1146 638
Bay 42 1718 422 848 448
Bay 43 1850 482 885 483
Bay 44 1087 224 640 223
Bay 5 3332 513 2080 739
Bay 6 4182 790 2618 774
Bay 7 618 145 352 121
Bay 8 3665 620 2182 863
Bay 9 3957 792 2112 1053
Bradford 1 1774 354 1154 266
Bradford 10 1028 207 688 133
Bradford 11 1314 367 705 242
Bradford 12 1945 510 1110 325
Bradford 13 570 126 340 104
Bradford 14 775 196 470 109
Bradford 2 825 425 280 120
Bradford 3 719 181 413 125
Bradford 4 1374 397 795 182
Bradford 5 1855 708 857 290
Bradford 6 876 186 567 123
Bradford 7 1278 738 354 186
Bradford 8 1943 568 1037 338
Bradford 9 1466 586 654 226
Brevard 100 2323 624 1159 540
Brevard 102 919 254 430 235
Brevard 103 3627 909 1934 784
Brevard 104 5031 1386 2512 1133
Brevard 105 5937 1851 2605 1481
Brevard 106 2665 518 1549 598
Brevard 107 2206 684 1049 473
Brevard 108 5343 2544 1580 1219
Brevard 109 5590 1772 2529 1289
Brevard 111 2968 977 1180 811
Brevard 112 3019 815 1541 663
Brevard 113 3310 920 1427 963
Brevard 114 5835 1720 2515 1600
Brevard 115 3816 1133 1761 922
