COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Cochise "47 WI KANSAS SETTLEMENT" 0 49 268 0 0 0 3 0 0
Cochise "48 WI STEWART" 0 28 245 0 0 0 1 0 0
Cochise "49 WI WILLCOX" 0 23 165 0 0 0 1 0 0
Coconino "BELLEMONT 40" 0 11 83 0 0 0 7 0 0
Coconino "BLUE RIDGE 41" 0 4 87 0 0 0 0 0 0
Coconino "BODAWAY 42" 0 203 78 0 0 0 5 0 0
Coconino "CAMERON 43" 0 159 41 0 0 0 11 0 0
Coconino "COALMINE 48" 0 32 4 0 0 0 2 0 0
Coconino "COPPERMINE 47" 0 125 46 0 0 0 11 0 0
Coconino "DONEY PARK 50" 0 71 259 0 0 0 4 0 0
Coconino "FLAGSTAFF 1" 0 65 59 0 0 0 6 0 0
Coconino "FLAGSTAFF 10" 0 44 20 0 0 0 2 0 0
Coconino "FLAGSTAFF 11" 0 57 67 0 0 0 4 0 0
Coconino "FLAGSTAFF 12" 0 111 63 0 0 0 7 0 0
Coconino "FLAGSTAFF 13" 0 58 31 0 0 0 9 0 0
Coconino "FLAGSTAFF 14" 0 141 84 0 0 0 16 0 0
Coconino "FLAGSTAFF 15" 0 155 174 0 0 0 5 0 0
Coconino "FLAGSTAFF 16" 0 47 106 0 0 0 6 0 0
Coconino "FLAGSTAFF 17" 0 40 44 0 0 0 0 0 0
Coconino "FLAGSTAFF 18" 0 41 59 0 0 0 4 0 0
Coconino "FLAGSTAFF 19" 0 57 123 0 0 0 2 0 0
Coconino "FLAGSTAFF 2" 0 72 34 0 0 0 3 0 0
Coconino "FLAGSTAFF 20" 0 96 54 0 0 0 7 0 0
Coconino "FLAGSTAFF 21" 0 76 130 0 0 0 12 0 0
Coconino "FLAGSTAFF 22" 0 86 191 0 0 0 12 0 0
Coconino "FLAGSTAFF 23" 0 104 106 0 0 0 8 0 0
Coconino "FLAGSTAFF 24" 0 102 139 0 0 0 7 0 0
Coconino "FLAGSTAFF 25" 0 56 104 0 0 0 7 0 0
Coconino "FLAGSTAFF 26" 0 54 80 0 0 0 3 0 0
Coconino "FLAGSTAFF 3" 0 60 24 0 0 0 2 0 0
Coconino "FLAGSTAFF 4" 0 31 49 0 0 0 1 0 0
Coconino "FLAGSTAFF 5" 0 38 87 0 0 0 1 0 0
Coconino "FLAGSTAFF 6" 0 63 121 0 0 0 8 0 0
Coconino "FLAGSTAFF 7" 0 74 78 0 0 0 7 0 0
Coconino "FLAGSTAFF 8" 0 19 39 0 0 0 0 0 0
Coconino "FLAGSTAFF 9" 0 145 119 0 0 0 16 0 0
Coconino "FOREST LAKES 53" 0 1 27 0 0 0 1 0 0
Coconino "FORT VALLEY EAST 55" 0 1 15 0 0 0 1 0 0
Coconino "FORT VALLEY WEST 56" 0 13 65 0 0 0 1 0 0
Coconino "FREDONIA 58" 0 15 177 0 0 0 1 0 0
Coconino "GRAND CANYON 59" 0 80 56 0 0 0 8 0 0
Coconino "HAVASUPAI 60" 0 25 4 0 0 0 1 0 0
Coconino "INSCRIPTION HOUSE 61" 0 77 66 0 0 0 5 0 0
Coconino "KAIBAB NORTH 64" 0 0 2 0 0 0 0 0 0
Coconino "KAIBAB WEST 66" 0 15 119 0 0 0 6 0 0
Coconino "KAIBETO 65" 0 185 84 0 0 0 10 0 0
Coconino "LECHEE 67" 0 210 107 0 0 0 13 0 0
Coconino "LEUPP 69" 0 181 88 0 0 0 6 0 0
Coconino "MOENKOPI 70" 0 83 11 0 0 0 3 0 0
Coconino "MORMON LAKE 63" 0 3 6 0 0 0 2 0 0
Coconino "MOUNTAIN VIEW 86" 0 5 20 0 0 0 1 0 0
Coconino "NAVAJO MOUNTAIN 71" 0 18 10 0 0 0 5 0 0
Coconino "PAGE CENTRAL 72" 0 60 123 0 0 0 5 0 0
Coconino "PAGE EAST 73" 0 48 143 0 0 0 3 0 0
Coconino "PAGE SOUTH 74" 0 66 92 0 0 0 3 0 0
Coconino "PAGE WEST 75" 0 44 128 0 0 0 6 0 0
Coconino "PARKS 79" 0 19 207 0 0 0 4 0 0
Coconino "PINEWOOD 80" 0 29 114 0 0 0 4 0 0
Coconino "PUMPHOUSE WASH 62" 0 138 258 0 0 0 16 0 0
Coconino "RANCHES 84" 0 11 39 0 0 0 1 0 0
Coconino "SCHULTZ 51" 0 0 11 0 0 0 0 0 0
Coconino "SEDONA NORTH 82" 0 25 73 0 0 0 3 0 0
Coconino "SEDONA SOUTH 83" 0 45 109 0 0 0 0 0 0
Coconino "SUNSET CRATER 85" 0 52 214 0 0 0 8 0 0
Coconino "TIMBERLINE FERNWOOD 52" 0 47 201 0 0 0 3 0 0
Coconino "TOLANI LAKE 88" 0 84 25 0 0 0 3 0 0
Coconino "TONALEA 90" 0 201 86 0 0 0 13 0 0
Coconino "TUBA CITY NORTHEAST 93" 0 87 45 0 0 0 3 0 0
Coconino "TUBA CITY NORTHWEST 94" 0 92 28 0 0 0 7 0 0
Coconino "TUBA CITY SOUTH 95" 0 327 98 0 0 0 11 0 0
Coconino "TUSAYAN 97" 0 38 90 0 0 0 3 0 0
Coconino "WILLIAMS NORTHSIDE 98" 0 38 353 0 0 0 4 0 0
Coconino "WILLIAMS SOUTHSIDE 99" 0 40 154 0 0 0 3 0 0
Coconino "WINONA 92" 0 63 215 0 0 0 6 0 0
Gila "Canyon Day" 0 164 32 0 0 0 1 0 0
Gila Carrizo 0 11 1 0 0 0 0 0 0
Gila "Central Heights" 0 17 59 0 0 0 0 0 0
Gila "Claypool #1" 0 13 104 0 0 0 5 0 0
Gila "Claypool #2" 0 33 109 0 0 0 4 0 0
Gila "Claypool #3" 0 22 57 0 0 0 5 0 0
Gila "Copper Basin" 0 43 22 0 0 0 1 0 0
Gila "East Globe" 0 26 100 0 0 0 1 0 0
Gila Gisela 0 8 73 0 0 0 0 0 0
Gila "Globe #1" 0 14 78 0 0 0 3 0 0
Gila "Globe #11" 0 17 95 0 0 0 1 0 0
Gila "Globe #2" 0 8 14 0 0 0 0 0 0
Gila "Globe #3" 0 5 8 0 0 0 1 0 0
Gila "Globe #4" 0 23 49 0 0 0 3 0 0
Gila "Globe #6" 0 20 100 0 0 0 3 0 0
Gila "Globe #7" 0 12 39 0 0 0 0 0 0
Gila "Globe #8" 0 21 36 0 0 0 1 0 0
Gila "Miami #1" 0 8 41 0 0 0 0 0 0
Gila "Miami #3" 0 28 35 0 0 0 0 0 0
Gila "Payson #1" 0 20 121 0 0 0 5 0 0
Gila "Payson #2" 0 20 173 0 0 0 4 0 0
Gila "Payson #3" 0 18 160 0 0 0 0 0 0
Gila "Payson #4" 0 17 98 0 0 0 1 0 0
Gila "Payson #5" 0 11 158 0 0 0 2 0 0
Gila "Payson #6" 0 12 96 0 0 0 0 0 0
Gila "Payson #7" 0 15 86 0 0 0 3 0 0
Gila "Payson #8" 0 12 122 0 0 0 3 0 0
Gila "Pinal Creek" 0 2 24 0 0 0 0 0 0
Gila "Pine-Strawberry East" 0 5 86 0 0 0 1 0 0
Gila "Pine Strawberry West" 0 25 261 0 0 0 2 0 0
Gila Roosevelt 0 1 21 0 0 0 0 0 0
Gila "San Carlos" 0 702 156 0 0 0 8 0 0
Gila "Sierra Ancha" 0 1 13 0 0 0 0 0 0
Gila "Star Valley" 0 23 220 0 0 0 2 0 0
Gila "Tonto Basin" 0 11 206 0 0 0 0 0 0
Gila Wheatfields 0 2 13 0 0 0 0 0 0
Gila "Whispering Pines" 0 1 25 0 0 0 1 0 0
Gila Young 0 2 106 0 0 0 1 0 0
Gila "Zane Grey" 0 7 63 0 0 0 0 0 0
