COUNTY AREA TOTAL DEM REP Other
COUNTY AREA TOTAL Democrat Republican Other
Brevard 234 314 131 124 59
Brevard 235 2410 619 1197 594
Brevard 236 608 159 303 146
Brevard 237 51 16 21 14
Brevard 238 46 11 20 15
Brevard 239 2 0 2 0
Brevard 240 1265 241 783 241
Brevard 300 2474 1320 589 565
Brevard 301 2225 547 1148 530
Brevard 302 3358 809 1678 871
Brevard 303 7085 2689 2258 2138
Brevard 304 4589 1409 1704 1476
Brevard 305 2638 710 1243 685
Brevard 306 1484 1002 179 303
Brevard 307 1445 435 623 387
Brevard 308 3825 1370 1331 1124
Brevard 309 9921 2894 4226 2801
Brevard 310 2556 818 1080 658
Brevard 311 2547 636 1208 703
Brevard 312 2336 651 942 743
Brevard 313 7440 2677 2624 2139
Brevard 314 3673 1383 1235 1055
Brevard 315 4377 1786 1378 1213
Brevard 316 3691 1383 1143 1165
Brevard 317 5323 1889 1880 1554
Brevard 318 3113 796 1499 818
Brevard 319 4 1 2 1
Brevard 320 102 38 48 16
Brevard 321 358 132 124 102
Brevard 322 4917 2004 1456 1457
Brevard 323 471 156 144 171
Brevard 324 808 212 375 221
Brevard 400 4779 1611 1793 1375
Brevard 402 3991 1277 1668 1046
Brevard 403 1415 440 587 388
Brevard 404 5716 1585 2771 1360
Brevard 405 5000 1288 2467 1245
Brevard 406 5822 1474 2811 1537
Brevard 407 471 140 193 138
Brevard 408 1527 500 550 477
Brevard 409 5905 1574 2876 1455
Brevard 410 842 214 371 257
Brevard 411 1065 333 420 312
Brevard 412 1112 298 566 248
Brevard 414 4648 1546 1762 1340
Brevard 415 3039 776 1469 794
Brevard 416 1900 423 986 491
Brevard 417 4318 1243 1956 1119
Brevard 418 2938 658 1485 795
Brevard 419 2477 628 1280 569
Brevard 420 3141 807 1597 737
Brevard 421 3912 817 2197 898
Brevard 422 5274 1257 2676 1341
Brevard 424 3356 804 1573 979
Brevard 425 664 184 356 124
Brevard 426 1813 395 1025 393
Brevard 427 4422 1040 2234 1148
Brevard 428 4950 1337 2380 1233
Brevard 429 2351 626 1168 557
Brevard 430 960 181 569 210
Brevard 431 1475 403 689 383
Brevard 432 165 33 82 50
Brevard 433 28 12 12 4
Brevard 434 9 4 3 2
Brevard 435 93 30 40 23
Brevard 437 586 120 275 191
Brevard 440 12 2 5 5
Brevard 441 522 136 213 173
Brevard 500 1795 610 677 508
Brevard 501 591 215 248 128
Brevard 502 3120 1003 1242 875
Brevard 503 3150 886 1504 760
Brevard 504 814 250 357 207
Brevard 505 3501 841 1770 890
Brevard 506 2441 682 1135 624
Brevard 507 4704 1548 1808 1348
Brevard 508 1937 486 952 499
Brevard 509 852 354 247 251
Brevard 510 8045 2889 3021 2135
Brevard 511 2589 673 1355 561
Brevard 512 2963 740 1535 688
Brevard 513 535 179 215 141
Brevard 515 3227 842 1542 843
Brevard 516 6323 2601 1841 1881
Brevard 517 5682 2230 1806 1646
Brevard 518 3587 975 1543 1069
Brevard 519 6124 2437 1892 1795
Brevard 520 4572 1731 1365 1476
Brevard 521 5011 1895 1629 1487
Brevard 522 409 135 157 117
Brevard 523 888 302 371 215
Brevard 524 13 6 2 5
Brevard 525 789 176 337 276
Brevard 527 2279 799 781 699
Brevard 528 1239 485 366 388
Brevard 529 1614 506 694 414
Brevard 530 914 266 392 256
Brevard 531 6 1 5 0
Brevard 999 1180 263 627 290
Broward A001 4313 1250 1724 1339
Broward A002 1441 575 360 506
Broward A003 1807 911 437 459
Broward A004 1623 652 416 555
Broward A005 1793 494 659 640
Broward A006 2117 1130 347 640
Broward A007 1777 687 538 552
Broward A008 571 445 26 100
Broward A009 3036 1624 654 758
Broward A010 1204 405 421 378
Broward A011 2146 1773 80 293
Broward A012 2044 919 533 592
Broward A013 3205 1237 938 1030
Broward A014 3310 1504 718 1088
Broward A015 2059 1561 107 391
Broward A016 2056 812 615 629
Broward A017 448 208 119 121
Broward A018 1373 930 138 305
Broward A019 1692 669 521 502
Broward A020 1927 910 415 602
Broward A021 1749 947 227 575
Broward A022 1509 1077 110 322
Broward A023 963 635 107 221
Broward A024 1176 738 138 300
Broward B001 1195 181 727 287
Broward B002 1747 435 858 454
Broward B003 1291 315 629 347
Broward B004 2465 496 1357 612
Broward B005 819 279 280 260
Broward B006 751 214 338 199
Broward C001 3105 994 1216 895
Broward C002 1013 275 445 293
Broward C003 990 378 331 281
Broward C004 1545 504 570 471
Broward C005 2372 2042 56 274
Broward C006 3164 2463 132 569
Broward C007 535 192 215 128
Broward C008 1195 388 450 357
Broward C009 623 314 108 201
Broward C010 2303 907 704 692
Broward C011 1763 577 632 554
Broward C012 1589 515 587 487
Broward C013 1134 374 398 362
Broward C014 1232 400 475 357
Broward C015 2578 1932 142 504
Broward C016 3095 1065 1138 892
Broward C017 1181 325 521 335
Broward C018 1675 549 659 467
Broward C019 1469 448 629 392
Broward C020 1003 619 80 304
Broward C021 1745 775 456 514
Broward C022 1645 466 706 473
Broward C023 5411 2565 1334 1512
Broward C024 2574 1236 604 734
Broward C025 938 650 70 218
Broward C026 585 270 85 230
Broward C027 452 285 63 104
Broward C028 2979 2447 91 441
Broward C029 816 266 431 119
Broward C030 2232 1000 526 706
Broward C031 2236 1078 467 691
Broward C032 561 329 63 169
Broward C033 1025 479 208 338
Broward C034 2599 1211 569 819
Broward C035 1432 974 120 338
Broward C036 483 278 54 151
Broward C037 974 431 301 242
Broward C038 190 66 70 54
Broward D001 1578 709 447 422
Broward D002 1764 911 326 527
Broward D003 1732 774 509 449
Broward D004 1360 731 281 348
Broward D005 2369 1485 280 604
Broward D006 1535 746 358 431
Broward D007 1223 859 107 257
Broward D008 1699 904 393 402
Broward D009 2651 1714 261 676
Broward D010 888 559 108 221
Broward D011 341 223 32 86
Broward D012 548 357 52 139
Broward D013 1389 894 163 332
Broward D014 1372 620 292 460
Broward D015 2097 964 533 600
Broward D016 3314 1519 758 1037
Broward E001 589 386 53 150
Broward E002 2058 1053 393 612
Broward E003 2215 870 686 659
Broward E004 3902 1935 810 1157
Broward E005 2436 1153 445 838
Broward E006 4797 2091 1278 1428
Broward E007 4115 1928 970 1217
Broward E008 3164 1501 644 1019
Broward E009 1652 671 460 521
Broward E010 4162 1884 1044 1234
Broward E011 3519 1567 872 1080
Broward E012 1606 818 269 519
Broward E013 2498 1107 691 700
Broward E014 3668 1407 1184 1077
Broward E015 1567 658 475 434
Broward E016 1728 730 499 499
Broward E017 3165 1384 861 920
Broward E018 1105 391 431 283
Broward E019 1910 914 424 572
Broward E020 3651 1775 793 1083
Broward E021 1998 899 493 606
Broward E022 3146 1375 900 871
Broward E023 2116 900 580 636
Broward E024 3605 1560 936 1109
Broward E025 1335 642 278 415
Broward E026 1821 790 511 520
Broward E027 3727 1746 845 1136
Broward E028 1826 973 305 548
Broward E029 1406 760 185 461
Broward E030 679 384 73 222
Broward E031 2140 843 645 652
Broward E032 2239 925 600 714
Broward E033 2078 856 541 681
Broward E034 1019 393 319 307
Broward F001 2269 981 652 636
Broward F002 1514 781 290 443
Broward F003 1434 684 287 463
Broward F004 4671 2742 811 1118
Broward F005 4356 1857 1119 1380
Broward F006 2439 1198 477 764
Broward F007 2731 1164 601 966
Broward F008 2357 1097 539 721
Broward F009 2165 1096 423 646
Broward F010 2657 1145 621 891
Broward F011 1369 503 435 431
Broward F012 4262 1799 1044 1419
Broward F013 1152 520 259 373
Broward F014 1694 818 340 536
Broward G001 1965 1028 306 631
Broward G002 3057 1350 789 918
Broward G003 2545 1203 545 797
Broward G004 2984 1563 622 799
Broward G005 1772 892 360 520
Broward G006 3596 1826 744 1026
Broward G007 687 341 148 198
Broward G008 3096 1790 461 845
Broward G009 902 563 96 243
Broward G010 2236 1018 554 664
Broward G011 2247 1056 501 690
Broward G012 1870 990 355 525
Broward G013 991 585 142 264
Broward G014 2372 1168 430 774
Broward G015 1880 1026 393 461
Broward G016 3380 1663 741 976
Broward H001 2720 1747 248 725
Broward H002 1057 704 86 267
Broward H003 3500 2377 262 861
Broward H004 1395 873 153 369
Broward H005 3020 2029 232 759
Broward H006 1831 1198 223 410
Broward H007 2225 1411 226 588
Broward H008 1681 1146 169 366
Broward H009 1040 699 103 238
Broward H010 447 257 46 144
Broward H011 2810 1669 333 808
Broward J001 1690 963 296 431
Broward J002 1818 905 325 588
Broward J003 1757 907 386 464
Broward J004 2139 1166 331 642
Broward J005 1835 1073 245 517
Broward J006 798 472 137 189
Broward J007 1921 1206 267 448
Broward J008 479 271 115 93
Broward J009 1670 951 289 430
Broward J010 1625 833 291 501
Broward J011 3492 1784 612 1096
Broward J012 4483 2783 669 1031
Broward J013 1837 1130 255 452
Broward J014 1545 879 347 319
Broward J015 1648 866 348 434
Broward J016 707 381 100 226
Broward J017 1763 1094 201 468
Broward J018 2095 1117 375 603
Broward J019 3774 1989 666 1119
Broward J020 1219 793 155 271
Broward J021 2453 1228 521 704
Broward J022 1937 1289 273 375
Broward J023 1583 775 340 468
Broward J024 1097 748 164 185
Broward K001 1548 1200 60 288
Broward K002 1469 1180 49 240
Broward K003 2596 2037 118 441
Broward K004 2190 1703 87 400
Broward K005 1509 1177 47 285
Broward K006 1592 1250 77 265
Broward K007 1921 1561 40 320
Broward K008 1640 1256 89 295
Broward K009 1674 1225 120 329
Broward K010 614 460 38 116
Broward K011 1918 1480 104 334
Broward L001 4901 3013 646 1242
Broward L002 1362 1092 40 230
Broward L003 1173 916 68 189
Broward L004 5539 4374 166 999
Broward L005 1705 1376 61 268
Broward L006 3105 2452 123 530
Broward L007 1145 800 112 233
Broward L008 2227 1816 92 319
Broward L009 2046 1392 211 443
Broward L010 4663 3173 443 1047
Broward L011 1356 975 74 307
Broward L012 1393 1092 60 241
Broward L013 3746 2569 434 743
Broward L014 1490 1269 22 199
Broward L015 1017 890 14 113
Broward L016 1750 1500 38 212
Broward L017 1030 883 27 120
Broward L018 1836 1531 44 261
Broward L019 619 483 24 112
Broward M001 2206 1050 499 657
Broward M002 2861 2018 160 683
Broward M003 3168 2367 163 638
Broward M004 1479 1044 103 332
Broward M005 1691 1049 241 401
Broward M006 1046 530 215 301
Broward M007 1058 635 148 275
Broward M008 1742 1051 265 426
Broward M009 2280 1328 345 607
Broward M010 1055 662 157 236
Broward M011 1090 635 174 281
Broward M012 2547 1245 559 743
Broward M013 1561 956 177 428
Broward M014 2491 1191 555 745
Broward M015 2401 1304 396 701
Broward M016 681 411 109 161
Broward M017 931 568 154 209
Broward M018 1042 576 160 306
Broward M019 1450 748 282 420
Broward M020 3220 1818 457 945
Broward M021 1153 704 196 253
Broward M022 2197 947 482 768
Broward M023 2170 1351 350 469
Broward M024 1641 953 258 430
Broward M025 3534 1372 998 1164
Broward M026 2402 1356 390 656
Broward M027 1019 527 230 262
Broward M028 2047 1121 280 646
Broward M029 2046 983 457 606
Broward M030 4049 1826 915 1308
Broward M031 997 652 118 227
Broward M032 1333 785 155 393
