COUNTY AREA TOTAL DEM REP Writein
COUNTY AREA TOTAL Scholten Feenstra Writein
Audubon "#1- North 1/2" 1697 566 1129 2
Audubon "#2- South 1/2" 1420 568 850 2
Boone "Boone 1st Ward- BN1" 1259 599 651 9
Boone "Boone 2nd Ward- BN2" 1452 697 753 2
Boone "Boone 3rd Ward- BN3" 1341 690 650 1
Boone "Boone 4th Ward/Des Monies" 1686 772 908 6
Boone "Boone 5th Ward- BN5" 1262 567 688 7
Boone "Madrid 1st Ward- MD1" 507 248 259 0
Boone "Madrid 2nd Ward- MD2" 536 222 314 0
Boone "Madrid 3rd Ward- MD3" 443 203 240 0
Boone "Ogden- OG" 1072 428 640 4
Boone "Rural Precinct 1- RP1" 720 315 402 3
Boone "Rural Precinct 2- RP2" 1129 479 650 0
Boone "Rural Precinct 3- RP3" 479 171 308 0
Boone "Rural Precinct 4- RP4" 1228 456 772 0
Boone "Rural Precinct 5- RP5" 418 169 248 1
Boone "Rural Precinct 6- RP6" 1135 437 697 1
"Buena Vista" ACFC 585 152 433 0
"Buena Vista" ALNE 1165 385 776 4
"Buena Vista" LKHM 678 218 459 1
"Buena Vista" NENP 665 169 496 0
"Buena Vista" SMLR 1213 318 891 4
"Buena Vista" SL01 764 434 325 5
"Buena Vista" SL02 425 271 151 3
"Buena Vista" SL03 978 442 536 0
"Buena Vista" SL04 785 472 312 1
"Buena Vista" TRWG 476 155 319 2
Butler 1-GR 1006 395 606 5
Butler 2-CL 1248 456 790 2
Butler 3-DU 724 172 551 1
Butler 4-AL 699 161 538 0
Butler 5-AP 896 198 698 0
Butler 6-SR 1199 447 749 3
Butler 7-PB 1256 380 874 2
Butler 8-NH 556 204 351 1
Calhoun "Butler Williams" 471 161 308 2
Calhoun "Calhoun, Jackson, Elm Grove & Lake City" 1071 374 694 3
Calhoun Cedar 180 48 132 0
Calhoun "Center, Logan, Twin Lakes, Garfield & Lake Creek" 447 113 330 4
Calhoun "Greenfield and Lincoln 2" 217 53 164 0
Calhoun "Lincoln 1" 960 301 657 2
Calhoun Reading 261 72 189 0
Calhoun "Rockwell City" 879 300 576 3
Calhoun Sherman 334 78 256 0
Calhoun Union 239 70 167 2
Carroll "Arcadia Precinct" 382 114 268 0
Carroll "Carroll Ward One" 1356 477 879 0
Carroll "Carroll Ward Two - N1/2 Maple River" 1533 638 891 4
Carroll "Carroll Ward Three - S1/2 Maple River" 1257 504 752 1
Carroll "Carroll Ward Four" 1056 460 593 3
Carroll "Eden Precinct" 339 111 227 1
Carroll "Ewoldt Precinct" 927 343 580 4
Carroll "Glidden-Richland Precinct" 824 253 569 2
Carroll "Pleasant Valley-Newton Precinct" 431 110 320 1
Carroll "Sheridan-Grant-Jasper Precinct" 622 210 410 2
Carroll "Union Precinct" 749 264 485 0
Carroll "Washington - Roselle Precinct" 509 155 353 1
Carroll "Wheatland - Kniest Precinct" 609 166 441 2
"Cerro Gordo" "Clear Lake Ward 1" 1505 578 924 3
"Cerro Gordo" "Clear Lake Ward 2" 1600 647 951 2
"Cerro Gordo" "Clear Lake Ward 3" 1399 588 810 1
"Cerro Gordo" "Clear Lake / Grant / Union Twps Pct" 1351 457 889 5
"Cerro Gordo" "Falls Twp - Plymouth Pct" 331 140 190 1
"Cerro Gordo" "Falls Twp - Rock Falls Pct" 223 93 130 0
"Cerro Gordo" "Geneseo Twp Pct" 661 269 391 1
"Cerro Gordo" "Grimes Twp - Meservey Pct" 146 50 95 1
"Cerro Gordo" "Grimes Twp - Thornton Pct" 241 89 152 0
"Cerro Gordo" "Lake / Lincoln Twps Pct" 302 89 213 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 314 129 185 0
"Cerro Gordo" "Mason City W-1 P-1" 760 448 311 1
"Cerro Gordo" "Mason City W-1 P-2" 1149 639 509 1
"Cerro Gordo" "Mason City W-1 P-3" 1300 664 636 0
"Cerro Gordo" "Mason City W-2 P-1" 727 437 289 1
"Cerro Gordo" "Mason City W-2 P-2" 1586 879 706 1
"Cerro Gordo" "Mason City W-2 P-3" 899 508 387 4
"Cerro Gordo" "Mason City W-3 P-1" 1092 643 449 0
"Cerro Gordo" "Mason City W-3 P-2" 928 501 427 0
"Cerro Gordo" "Mason City W-3 P-3" 1699 858 839 2
"Cerro Gordo" "Mason City W-4 P-1" 825 489 333 3
"Cerro Gordo" "Mason City W-4 P-2" 1024 529 493 2
"Cerro Gordo" "Mason City W-4 P-3" 1355 696 657 2
"Cerro Gordo" "Mason South / Bath Twps Pct" 378 145 233 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 366 126 239 1
"Cerro Gordo" "Portland / Owen / Dougherty Twps Pct" 483 185 298 0
Cherokee "1 - Aurelia" 955 329 624 2
Cherokee "2 - Cleghorn" 1329 380 943 6
Cherokee "3 - Quimby" 780 206 572 2
Cherokee "4 - Cherokee" 745 193 551 1
Cherokee "5 - Cherokee Ward 1" 907 332 572 3
Cherokee "6 - Cherokee Ward 2" 705 308 395 2
Cherokee "7 - Cherokee Ward 3" 854 342 511 1
Chickasaw Bradford 1203 399 801 3
Chickasaw Chickasaw 223 57 166 0
Chickasaw Dayton-Richland 390 99 288 3
Chickasaw "Deerfield-Washington 2" 422 131 291 0
Chickasaw Dresden-Fredericksburg 848 253 594 1
Chickasaw Jacksonville-Utica 349 102 247 0
Chickasaw "New Hampton Rural" 441 105 336 0
Chickasaw Stapleton 457 154 303 0
Chickasaw "Washington 1" 190 74 115 1
Chickasaw "City of New Hampton Ward 1" 431 189 242 0
