COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Baxley Armistead Adams WRITEIN
Barbour "BAKERS STORE" 0 42 29 0 0
Barbour "BEVILL CENTER" 0 221 231 12 5
Barbour "BLUE SPRINGS CITY HALL" 0 139 82 4 0
Barbour "CLAYTON COURTHOUSE" 0 614 184 14 3
Barbour "CLIO CITY HALL" 0 363 121 2 0
Barbour "COGGINS STORE VOTING HOUSE" 0 34 28 0 0
Barbour "COWIKEE VOLUNTEER FIRE" 0 48 19 1 0
Barbour "ELAMVILLE VOLUNTEER FIRE" 0 43 41 2 0
Barbour "EUFAULA WATER BOARD" 0 441 178 11 3
Barbour "FELLOWSHIP BAPTIST CHURCH" 0 308 238 5 1
Barbour "GREENS CROSSROADS" 0 74 40 1 0
Barbour "JOHNNY BOYDS STORE" 0 78 33 8 0
Barbour "JUNIOR TURNER STORE" 0 50 11 1 0
Barbour "LOUISVILLE CITY HALL" 0 333 89 11 1
Barbour "MCCOO SCHOOL" 0 523 177 14 0
Barbour "MT_ ANDREW RECREATION CENTER" 0 117 9 3 0
Barbour "NEW ARMORY" 0 458 310 21 1
Barbour "RICHARDS CABINET SHOP" 0 54 30 3 0
Barbour "SANFORD GYM" 0 472 313 14 4
Barbour "SPRINGHILL VOLUNTEER FIRE" 0 182 52 2 1
Barbour "SUTTONS RESTAURANT" 0 71 22 1 1
Barbour "WHITE OAK METHODIST CHURCH" 0 117 63 2 0
Bibb Absentee 0 54 75 0 0
Bibb Brent-North 0 489 522 13 0
Bibb Brent-South 0 333 126 4 0
Bibb "Cedar Grove" 0 152 146 3 0
Bibb Centreville 0 207 340 9 0
Bibb Centreville-Cent. 0 71 39 0 0
Bibb Eoline 0 118 123 2 0
Bibb Furnace 0 223 306 12 0
Bibb Greenpond 0 394 551 23 0
Bibb Harrisburg 0 120 71 1 0
Bibb Pondville 0 64 114 4 0
Bibb Randolph 0 165 131 2 0
Bibb Tabernacle 0 32 61 1 0
Bibb "West Blocton-East" 0 351 254 3 0
Bibb "West Blocton-West" 0 321 270 8 0
Blount "ABSENTEE VOTERS" 0 99 158 4 0
Blount ALLGOOD 0 118 211 8 0
Blount "BLOUNT SPRINGS" 0 54 128 5 1
Blount BLOUNTSVILLE 0 531 562 22 0
Blount BROOKSVILLE 0 123 159 11 0
Blount CLEVELAND 0 388 359 12 1
Blount "DALLAS - SELFVILLE" 0 295 459 18 1
Blount HAYDEN 0 447 793 26 4
Blount "HOLLY SPRINGS" 0 61 131 6 1
Blount "LOCUST FORK" 0 323 465 21 1
Blount "MT_ HIGH" 0 273 582 25 3
Blount "MURPHREE VALLEY" 0 172 273 11 4
Blount NECTAR 0 283 332 10 2
Blount "ONEONTA . 1" 0 375 433 15 2
Blount "ONEONTA . 2" 0 442 480 9 2
Blount "PINE MOUNTAIN" 0 80 205 5 1
Blount REMLAP 0 193 428 17 3
Blount "ROCK SPRINGS" 0 149 203 4 0
Blount ROSA 0 216 249 8 2
Blount ROYAL 0 108 162 9 0
Blount "SMOKE RISE" 0 244 532 22 0
Blount SNEAD 0 314 447 10 3
Blount "ST_ MOUNTAIN" 0 325 712 19 5
Blount "SUGAR CREEK - BANGOR" 0 123 194 15 0
Blount SUMMIT 0 143 104 9 0
Blount "SUSAN MOORE" 0 195 333 8 1
Bullock Absentee 0 95 34 1 0
Bullock Akerfoil 0 105 35 5 0
Bullock Armory-1 0 132 36 5 0
Bullock Armory-2 0 96 24 3 0
Bullock Armory-3 0 173 28 3 0
Bullock Armory-4 0 92 35 0 0
Bullock Armory-5 0 163 30 3 0
Bullock Armory-6 0 96 40 4 0
Bullock Armory-7 0 113 22 5 0
Bullock Armory-8 0 56 32 2 0
Bullock Armory-9 0 53 32 2 0
Bullock Armory-10 0 128 32 1 0
Bullock Gurreyton 0 59 2 0 0
Bullock Cornerstone 0 142 28 2 0
Bullock Cornith 0 29 17 0 0
Bullock Fitzpatrick 0 122 101 3 0
Bullock "Indian Creek" 0 66 5 1 0
Bullock Inverness 0 52 16 2 0
Bullock Midway-1 0 132 10 9 0
Bullock Midway-2 0 151 15 1 0
Bullock Midway-3 0 93 3 0 0
Bullock Peachburg 0 69 17 1 0
Bullock Perote 0 72 34 4 0
Bullock "Post Oak" 0 96 96 1 0
Bullock Sardis 0 92 23 2 0
Bullock Thompson 0 65 24 3 0
Bullock "Three Notch" 0 53 13 0 0
Butler "ABSENTEE VOTERS" 0 174 92 1 0
Butler "BOLLING VOTING HOUSE" 0 58 38 1 1
Butler "CENTER HILL - VOTING HOUSE" 0 71 22 2 0
Butler "CENTRAL VOL_ FIRE DEPT_" 0 230 104 2 3
Butler "CHAPMAN POST OFFICE" 0 79 83 3 0
Butler "DUNBAR COMMUNITY CENTER .1" 0 243 70 3 3
Butler "DUNBAR COMMUNITY CENTER .2" 0 265 63 2 2
Butler "FOREST HOME - VOTING HOUSE" 0 64 45 0 1
Butler FRIENDSHIP 0 51 75 1 0
Butler "GARLAND - VOTING HOUSE" 0 103 72 3 1
Butler "GEORGIANA ARMORY .1" 0 181 76 2 0
Butler "GEORGIANA ARMORY .2" 0 320 106 2 1
Butler "HARRISON - VOTING HOUSE" 0 77 88 1 1
Butler "HEALTH DEPARTMENT .1" 0 193 256 3 0
Butler "HEALTH DEPARTMENT .2" 0 242 245 8 1
Butler INDUSTRY 0 59 64 2 0
Butler "MANNINGHAM - VOTING HOUSE" 0 106 48 2 0
Butler "MCKENZIE TOWN HALL" 0 176 117 7 0
Butler "MCLAINS - VOTING HOUSE" 0 143 178 9 1
Butler "MIDWAY - VOTING HOUSE" 0 93 93 3 2
Butler "MONTEREY-OLD SCHOOL HOUSE" 0 22 10 0 0
Butler "NEW ARMORY .1" 0 117 71 2 0
Butler "NEW ARMORY .2" 0 486 308 5 1
Butler "PROVIDENCE - VOTING HOUSE" 0 197 120 7 0
Butler "ROCKY CREEK - VOTING HOUSE" 0 95 119 1 0
Butler "SEARCY - VOLUNTEER FIRE DEPT_" 0 48 75 3 0
Butler "STEINERS STORE" 0 58 75 0 0
Calhoun "ABSENTEE VOTERS" 0 312 340 11 1
Calhoun "1ST UNITED METHODIST-WEAVER #1" 0 331 356 18 1
Calhoun "1ST UNITED METHODIST-WEAVER #2" 0 388 347 15 0
Calhoun "ALEXANDRIA-CIVITAN CLUB CNTR" 0 667 737 20 3
Calhoun "ANNISTON - CARVER CENTER" 0 412 7 4 0
Calhoun "ANNISTON - FIRST PRESBYTERIAN" 0 475 255 10 2
Calhoun "ANNISTON - MEETING CENTER" 0 445 44 4 1
Calhoun "ANNISTON - MENTAL HEALTH CNTR" 0 184 200 9 1
Calhoun "ANNISTON - THANKFUL BAPTIST" 0 289 16 4 0
Calhoun "ANNISTON-F & WILMER FIRE ST." 0 478 49 6 0
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 1" 0 636 741 15 0
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 2" 0 422 480 8 2
Calhoun "ASBERRY BAPTIST CHURCH" 0 323 303 12 1
Calhoun "BETHEL UNITED METHODIST CHURCH" 0 90 60 2 0
Calhoun "BYNUM SCHOOL" 0 703 723 28 6
Calhoun "CALHOUN COUNTY HEALTH DEPT." 0 303 137 6 0
Calhoun "CHOCCOLOCCO COMMUNITY CENTER" 0 168 219 9 1
Calhoun "CHURCH OF THE COVENANT" 0 230 86 5 1
Calhoun "COOSA VALLEY SADDLE CLUB" 0 124 143 9 2
Calhoun "DEARMANVILLE SCHOOL" 0 258 361 8 0
Calhoun "EULATON-UNITED METHODIST" 0 263 223 14 3
Calhoun "FOUR MILE - METHODIST CHURCH" 0 149 158 7 0
Calhoun "FRIENDSHIP BAPTIST CHURCH" 0 305 242 5 0
Calhoun "FRIENDSHIP COMMUNITY CENTER" 0 402 511 14 4
Calhoun "GLENWOOD MEADOWS MEETING ROOM" 0 441 291 15 1
Calhoun "GODS COVENANT MINISTRY" 0 183 116 4 1
Calhoun "HOBSON CITY - CITY HALL" 0 251 11 2 0
Calhoun "HOLLEYS CROSSROADS BAPTIST" 0 185 148 7 0
Calhoun "JACKSONVILLE-FIRST BAPTIST" 0 558 580 18 1
Calhoun "JACKSONVILLE-WESTSIDE BAPTIST" 0 256 188 23 4
Calhoun "LEATHERWOOD RD CIVIL DEFENSE" 0 341 474 12 4
Calhoun "MOORE AVENUE CHURCH OF CHRIST" 0 431 44 6 1
Calhoun "NATIONAL GUARD ARMORY" 0 456 339 24 1
Calhoun "OHATCHEE FIRE STATION" 0 476 381 20 4
Calhoun "OXFORD - CHEAHA CLUBHOUSE C.C." 0 242 229 9 0
Calhoun "OXFORD - OXFORD LAKE PARK C.C." 0 268 212 9 1
Calhoun "OXFORD CITY HALL" 0 275 213 5 0
Calhoun "OXFORD ELEMENTARY SCHOOL #1" 0 411 515 15 2
Calhoun "OXFORD ELEMENTARY SCHOOL #2" 0 339 363 12 2
Calhoun "PIEDMONT COMMUNITY BUILDING" 0 186 75 5 0
Calhoun "PIEDMONT FIRE STATION" 0 279 191 11 0
Calhoun "PIEDMONT NATIONAL GUARD ARMORY" 0 271 181 8 0
Calhoun "PIEDMONT RECREATION BUILDING" 0 174 89 6 0
Calhoun "READS MILL - READS STORE" 0 191 237 4 0
Calhoun "S.M. MCCURRY RESIDENCE" 0 153 185 6 1
Calhoun "SAKS - HIGH SCHOOL #1" 0 751 790 26 2
Calhoun "SAKS - HIGH SCHOOL #2" 0 390 403 12 0
Calhoun "THE DONOHO SCHOOL" 0 269 437 5 4
Calhoun "WEBSTERS CHAPEL METHODIST" 0 277 227 14 0
Calhoun "WELLBORN HIGH SCHOOL" 0 576 412 20 2
Calhoun "WELLINGTON - MT.VIEW BAPTIST" 0 193 201 2 1
Calhoun "WHITE PLAINS HIGH SCHOOL" 0 213 272 12 1
Calhoun "WIGGINS COMMUNITY CENTER" 0 436 15 4 0
Chambers Absentee 0 116 87 3 0
Chambers Buffalo 0 107 71 7 0
Chambers Culebra 0 138 23 4 0
Chambers Cusseta 0 123 123 3 0
Chambers Fairfax 0 683 607 15 0
Chambers "Five Points" 0 159 55 3 0
Chambers Fredonia 0 122 89 7 0
Chambers Huguley 0 352 217 10 0
Chambers Lafayette 0 623 260 11 0
Chambers Lakeview 0 71 94 4 0
Chambers Lanett 0 1281 608 14 0
Chambers Langdale 0 362 272 9 0
Chambers Milltown 0 81 53 5 0
Chambers "Mount Olive" 0 67 27 2 0
Chambers Penton 0 50 72 1 0
Chambers Rescue 0 200 159 6 0
Chambers "Ridge Grove" 0 126 87 2 0
Chambers "River View" 0 246 182 10 0
Chambers Shawmut 0 303 400 10 0
Chambers "Sparkling Springs" 0 9 18 0 0
Chambers "Standing Rock" 0 51 63 2 0
Chambers Stroud 0 95 44 4 0
Chambers Sturkie 0 121 79 5 0
Chambers "Union Hall" 0 71 60 4 0
Chambers Waverly 0 40 69 3 0
Cherokee "ABSENTEE VOTERS" 0 91 66 3 0
Cherokee "ADRIANS STORE" 0 82 37 1 0
Cherokee "AMERICAN LEGION BUILDING .1" 0 390 249 14 2
Cherokee "AMERICAN LEGION BUILDING .2" 0 599 351 19 4
Cherokee "BARRETTS CHAPEL FELLOWSHIP" 0 39 25 0 0
Cherokee "BLANCHE CLUBHOUSE" 0 44 57 4 0
Cherokee "BROOMTOWN FIRE DEPARTMENT" 0 36 54 2 0
Cherokee "CEDAR BLUFF COMMUNITY CENTER" 0 351 218 21 2
Cherokee "CURTIS VAUGHN STORE" 0 106 26 1 0
Cherokee "DANIELS CHAPEL FELLOWSHIP HALL" 0 46 31 1 0
Cherokee "ELLISVILLE CLUBHOUSE" 0 47 43 2 0
Cherokee "FRIENDSHIP BAPTIST FELLOWSHIP" 0 30 39 0 0
Cherokee "GAYLESVILLE CITY HALL" 0 59 62 2 0
Cherokee "GOSHEN METHODIST CHURCH" 0 67 47 2 0
Cherokee "LEESBURG CLUBHOUSE" 0 321 189 12 2
Cherokee "LINDSEYS STORE" 0 65 25 2 0
Cherokee "MAYS STORE" 0 137 47 2 0
Cherokee "MCCORDS CROSSROADS FIRE HALL" 0 82 70 3 0
Cherokee "MILL CREEK BAPTIST CHURCH" 0 13 27 1 0
Cherokee "MT CALVARY BAPT_ CHURCH  PAPER" 0 17 20 0 0
Cherokee "MT_ SPRINGS FELLOWSHIP HALL" 0 23 38 1 0
Cherokee "MT_ WEISNER FIRE HALL" 0 59 54 5 1
Cherokee "NEW HOPE METHODIST CHURCH" 0 102 73 4 1
Cherokee "PLEASANT VALLEY BAPTIST .2" 0 56 42 2 0
Cherokee "ROCK RUN CHURCH" 0 45 23 3 0
Cherokee "SAND ROCK TOWN HALL" 0 214 146 6 1
Cherokee "SCHOONHOVEN STORE PAPER" 0 12 13 0 0
Cherokee "SLACKLAND CLUBHOUSE" 0 55 21 1 2
Cherokee "SPRING CREEK FIRE HALL" 0 147 93 5 1
Cherokee "SPRING GARDEN FIRE STATION" 0 130 100 4 0
Cherokee "TUCKERS CHAPEL FIRE DEPARTMENT" 0 38 33 2 0
Cherokee "WATSONS CHAPEL" 0 29 48 2 0
Chilton "ABSENTEE VOTERS" 0 280 222 2 1
Chilton "CANE CREEK-GAP OF MT_ FIRE" 0 207 280 6 1
Chilton "CLANTON FACILITY BLDG_" 0 448 919 20 1
Chilton "COLLINS CHAPEL-FIRE STATION" 0 100 179 1 2
Chilton COURTHOUSE-CLANTON 0 305 507 6 2
Chilton "ENTERPRISE-FIRE STATION" 0 258 429 8 2
Chilton "FAIRVIEW-FIRE STATION" 0 135 322 7 0
Chilton "ISABELLA-FIRE STATION" 0 183 255 5 1
Chilton "JEMISON FIRE DEPARTMENT" 0 580 717 20 1
Chilton LIBRARY-CLANTON 0 274 655 10 2
