COUNTY AREA TOTAL DEM REP CST GRE LIB
COUNTY AREA TOTAL DEM REP CST GRE LIB
BRUNSWICK 05 0 582 1112 36 0 0
BRUNSWICK 06 0 264 499 20 0 0
BRUNSWICK 07 0 821 1048 17 0 0
BRUNSWICK 08 0 1304 1730 53 0 0
BRUNSWICK 09 0 306 421 9 0 0
BRUNSWICK 10A 0 796 1480 31 0 0
BRUNSWICK 10B 0 1591 2542 21 0 0
BRUNSWICK 11 0 499 481 22 0 0
BRUNSWICK 12 0 513 1091 28 0 0
BRUNSWICK 13 0 535 966 35 0 0
BRUNSWICK 14 0 754 1710 40 0 0
BRUNSWICK 15 0 1168 2428 46 0 0
BRUNSWICK 16 0 1152 1911 29 0 0
BRUNSWICK 17 0 1241 2181 39 0 0
BRUNSWICK 18 0 227 616 5 0 0
BRUNSWICK 19 0 980 1834 45 0 0
BRUNSWICK 20 0 495 1338 37 0 0
BRUNSWICK 21 0 689 1544 59 0 0
BRUNSWICK 22 0 606 981 27 0 0
BRUNSWICK 23 0 646 1067 24 0 0
BRUNSWICK "ABSENTEE MAIL" 0 468 504 12 0 0
BRUNSWICK CURBSIDE 0 283 340 6 0 0
BRUNSWICK PROVISIONAL 0 165 257 3 0 0
BUNCOMBE 01.1 0 397 50 0 0 0
BUNCOMBE 02.1 0 695 66 0 0 0
BUNCOMBE 03.1 0 526 45 0 0 0
BUNCOMBE 04.1 0 255 83 0 0 7
BUNCOMBE 05.1 0 292 172 0 0 17
BUNCOMBE 06.1 0 259 120 0 0 0
BUNCOMBE 07.1 0 414 104 0 0 0
BUNCOMBE 08.2 0 433 127 0 0 0
BUNCOMBE 08.3 0 475 123 0 0 0
BUNCOMBE 09.1 0 676 288 0 0 0
BUNCOMBE 10.1 0 317 27 0 0 0
BUNCOMBE 11.1 0 266 26 0 0 0
BUNCOMBE 12.1 0 473 84 0 0 0
BUNCOMBE 13.1 0 402 72 0 0 14
BUNCOMBE 14.2 0 360 91 0 0 1
BUNCOMBE 14.3 0 222 76 0 0 16
BUNCOMBE 15.1 0 395 77 0 0 19
BUNCOMBE 16.2 0 401 82 0 0 19
BUNCOMBE 17.1 0 273 105 0 0 0
BUNCOMBE 18.2 0 425 392 0 0 28
BUNCOMBE 19.1 0 169 92 0 0 0
BUNCOMBE 20.1 0 172 37 0 0 0
BUNCOMBE 21.1 0 422 190 0 0 0
BUNCOMBE 22.2 0 342 156 0 0 0
BUNCOMBE 23.2 0 68 44 0 0 0
BUNCOMBE 23.3 0 162 106 0 0 0
BUNCOMBE 24.1 0 252 195 0 0 24
BUNCOMBE 25.1 0 343 197 0 0 0
BUNCOMBE 26.1 0 290 86 0 0 12
BUNCOMBE 27.2 0 98 68 0 0 0
BUNCOMBE 28.1 0 353 73 0 0 0
BUNCOMBE 29.2 0 403 272 0 0 0
BUNCOMBE 30.2 0 208 290 0 0 11
BUNCOMBE 30.3 0 323 480 0 0 20
BUNCOMBE 31.1 0 253 304 0 0 3
BUNCOMBE 32.1 0 177 267 0 0 0
BUNCOMBE 33.2 0 136 130 0 0 0
BUNCOMBE 33.3 0 203 239 0 0 0
BUNCOMBE 34.1 0 165 136 0 0 0
BUNCOMBE 35.1 0 177 177 0 0 0
BUNCOMBE 36.1 0 190 226 0 0 0
BUNCOMBE 37.1 0 126 267 0 0 0
BUNCOMBE 38.2 0 123 291 0 0 0
BUNCOMBE 38.3 0 257 492 0 0 0
BUNCOMBE 39.2 0 172 173 0 0 0
BUNCOMBE 39.3 0 182 310 0 0 0
BUNCOMBE 40.2 0 221 526 0 0 11
BUNCOMBE 41.1 0 202 466 0 0 15
BUNCOMBE 42.1 0 247 292 0 0 20
