DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Austin "Precinct 210" 0 75 471 1 7 0
NA Austin "Precinct 211" 0 36 253 4 4 0
NA Austin "Precinct 312" 0 41 447 1 0 0
NA Austin "Precinct 313" 0 307 339 3 19 0
NA Austin "Precinct 314" 0 401 1507 12 33 0
NA Austin "Precinct 415" 0 250 744 7 14 0
NA Austin "Precinct 416" 0 216 671 8 23 0
NA Austin "Precinct 417" 0 134 298 0 6 0
NA Austin "Precinct 418" 0 156 894 4 33 0
NA Bailey 1 0 109 419 0 13 1
NA Bailey 2 0 87 596 0 13 4
NA Bailey 3 0 94 250 0 10 2
NA Bailey 4 0 82 113 0 7 3
NA Bandera 101 0 251 1086 10 26 0
NA Bandera 102 0 362 1655 10 46 0
NA Bandera 203 0 348 1290 21 44 0
NA Bandera 204 0 283 945 14 30 0
NA Bandera 305 0 178 1039 12 24 0
NA Bandera "305 CITY" 0 98 365 4 10 0
NA Bandera "305 MISD" 0 28 102 1 3 0
NA Bandera "306 MISD" 0 124 937 6 24 0
NA Bandera 407 0 263 1236 9 29 0
NA Bandera "407 FLYING L" 0 40 228 3 10 0
NA Bandera "407 MISD" 0 1 7 0 0 0
NA Bandera 408 0 35 83 0 3 0
NA Bandera "408 MISD" 0 14 46 4 2 0
NA Bandera "408 UISD" 0 15 35 0 0 0
NA Bandera 409 0 123 426 7 9 0
NA Bandera "410 UISD" 0 68 334 5 3 0
NA Bastrop "Precinct 1001" 0 947 1639 31 89 0
NA Bastrop "Precinct 1002" 0 865 788 26 45 0
NA Bastrop "Precinct 1003" 0 1054 1380 40 62 0
NA Bastrop "Precinct 1004" 0 729 827 24 60 0
NA Bastrop "Precinct 1022" 0 960 1511 21 77 0
NA Bastrop "Precinct 2005" 0 758 1096 22 46 0
NA Bastrop "Precinct 2006" 0 389 787 16 25 0
NA Bastrop "Precinct 2007" 0 432 1244 23 30 0
NA Bastrop "Precinct 2008" 0 218 538 7 24 0
NA Bastrop "Precinct 2009" 0 346 612 20 36 0
NA Bastrop "Precinct 2010" 0 319 719 18 46 0
NA Bastrop "Precinct 2011" 0 680 1183 28 69 0
NA Bastrop "Precinct 3012" 0 176 542 8 20 0
NA Bastrop "Precinct 3013" 0 337 767 18 27 0
NA Bastrop "Precinct 3014" 0 812 781 20 46 0
NA Bastrop "Precinct 3015" 0 1011 658 28 43 0
