DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
1 Nacogdoches 23 0 0 0 0 0 208
1 Nacogdoches 24 0 0 0 0 0 743
1 Nacogdoches 25 0 0 0 0 0 71
1 Nacogdoches 26 0 0 0 0 0 2044
1 Nacogdoches 27 0 0 0 0 0 686
1 Nacogdoches 30 0 0 0 0 0 287
1 Nacogdoches 31 0 0 0 0 0 381
1 Nacogdoches 32 0 0 0 0 0 2171
1 Nacogdoches 33 0 0 0 0 0 3610
1 Nacogdoches 34 0 0 0 0 0 102
1 Nacogdoches 41 0 0 0 0 0 690
1 Nacogdoches 42 0 0 0 0 0 1155
1 Nacogdoches 43 0 0 0 0 0 989
1 Nacogdoches 44 0 0 0 0 0 1340
1 Nacogdoches 45 0 0 0 0 0 636
1 Nacogdoches 46 0 0 0 0 0 742
1 Nacogdoches 47 0 0 0 0 0 739
1 Panola 1 0 0 0 0 0 1331
1 Panola 10 0 0 0 0 0 234
1 Panola 12 0 0 0 0 0 304
1 Panola 13 0 0 0 0 0 227
1 Panola 14 0 0 0 0 0 327
1 Panola 18 0 0 0 0 0 1482
1 Panola 19 0 0 0 0 0 255
1 Panola 2 0 0 0 0 0 1526
1 Panola 20 0 0 0 0 0 253
1 Panola 22 0 0 0 0 0 236
1 Panola 26 0 0 0 0 0 132
1 Panola 27 0 0 0 0 0 674
1 Panola 28 0 0 0 0 0 1478
1 Panola 29 0 0 0 0 0 248
1 Panola 3 0 0 0 0 0 965
1 Panola 5 0 0 0 0 0 352
1 Panola 7 0 0 0 0 0 532
1 Panola 8 0 0 0 0 0 175
1 Panola 9 0 0 0 0 0 501
1 Rusk "PCT 111" 0 101 551 0 0 0
1 Rusk "PCT 112" 0 252 1065 0 0 0
1 Rusk "PCT 113" 0 405 1665 0 0 0
1 Rusk "PCT 114" 0 214 870 0 0 0
1 Rusk "PCT 201" 0 159 480 0 0 0
1 Rusk "PCT 212" 0 100 535 0 0 0
1 Rusk "PCT 213" 0 255 1142 0 0 0
1 Rusk "PCT 214" 0 416 1428 0 0 0
1 Rusk "PCT 215" 0 415 1189 0 0 0
1 Rusk "PCT 302" 0 314 347 0 0 0
1 Rusk "PCT 303" 0 424 490 0 0 0
1 Rusk "PCT 314" 0 107 682 0 0 0
1 Rusk "PCT 315" 0 65 562 0 0 0
1 Rusk "PCT 316" 0 36 298 0 0 0
1 Rusk "PCT 317" 0 161 256 0 0 0
1 Rusk "PCT 318" 0 145 626 0 0 0
1 Rusk "PCT 319" 0 99 156 0 0 0
1 Rusk "PCT 404" 0 227 980 0 0 0
1 Rusk "PCT 405" 0 170 720 0 0 0
1 Rusk "PCT 416" 0 111 532 0 0 0
1 Rusk "PCT 417" 0 214 768 0 0 0
1 Rusk "PCT 418" 0 279 1249 0 0 0
1 Sabine "Precinct 1" 0 132 1213 0 0 0
1 Sabine "Precinct 2" 0 115 966 0 0 0
1 Sabine "Precinct 3" 0 101 260 0 0 0
1 Sabine "Precinct 4" 0 9 180 0 0 0
1 Sabine "Precinct 5" 0 79 761 0 0 0
1 Sabine "Precinct 6" 0 152 1055 0 0 0
1 Sabine "Precinct 7" 0 68 58 0 0 0
1 Sabine "Precinct 8" 0 25 208 0 0 0
1 "San Augustine" 1 0 281 544 0 0 0
1 "San Augustine" 10 0 22 282 0 0 0
1 "San Augustine" 11 0 197 12 0 0 0
1 "San Augustine" 2 0 106 136 0 0 0
1 "San Augustine" 3 0 47 124 0 0 0
1 "San Augustine" 4 0 88 191 0 0 0
1 "San Augustine" 5 0 43 223 0 0 0
1 "San Augustine" 6 0 16 198 0 0 0
1 "San Augustine" 7 0 32 213 0 0 0
1 "San Augustine" 8 0 42 427 0 0 0
1 "San Augustine" 9 0 75 592 0 0 0
1 Shelby 1N 0 142 767 0 0 0
1 Shelby 1S 0 225 938 0 0 0
1 Shelby 1SE 0 490 323 0 0 0
1 Shelby 1SW 0 128 788 0 0 0
1 Shelby 1W 0 48 248 0 0 0
1 Shelby 2 0 59 501 0 0 0
1 Shelby 3 0 12 215 0 0 0
1 Shelby 4 0 103 447 0 0 0
1 Shelby 5 0 119 1296 0 0 0
1 Shelby 6 0 62 350 0 0 0
1 Shelby 7 0 146 430 0 0 0
1 Shelby 8 0 217 503 0 0 0
1 Shelby 9N 0 141 598 0 0 0
1 Shelby 9S 0 99 538 0 0 0
1 Smith 1 0 305 422 0 0 0
1 Smith 10 0 994 1048 0 0 0
1 Smith 11 0 748 217 0 0 0
1 Smith 12 0 807 136 0 0 0
1 Smith 13 0 816 58 0 0 0
1 Smith 14 0 413 819 0 0 0
1 Smith 15 0 523 3117 0 0 0
1 Smith 16 0 623 118 0 0 0
1 Smith 17 0 80 639 0 0 0
1 Smith 18 0 652 61 0 0 0
1 Smith 19 0 556 3006 0 0 0
1 Smith 2 0 298 111 0 0 0
1 Smith 20 0 200 113 0 0 0
1 Smith 21 0 331 856 0 0 0
1 Smith 22 0 120 76 0 0 0
1 Smith 23 0 530 1108 0 0 0
1 Smith 25 0 407 1192 0 0 0
1 Smith 26 0 336 1629 0 0 0
1 Smith 27 0 493 779 0 0 0
1 Smith 28 0 539 2317 0 0 0
1 Smith 29 0 347 1059 0 0 0
1 Smith 3 0 575 1187 0 0 0
1 Smith 30 0 585 2755 0 0 0
1 Smith 31 0 524 2458 0 0 0
1 Smith 32 0 468 1705 0 0 0
1 Smith 34 0 577 185 0 0 0
1 Smith 35 0 941 747 0 0 0
1 Smith 36 0 1247 404 0 0 0
1 Smith 37 0 286 1115 0 0 0
1 Smith 38 0 645 1222 0 0 0
1 Smith 39 0 162 73 0 0 0
1 Smith 4 0 487 569 0 0 0
1 Smith 40 0 678 3133 0 0 0
1 Smith 41 0 495 2588 0 0 0
1 Smith 42 0 616 2446 0 0 0
1 Smith 43 0 231 432 0 0 0
1 Smith 44 0 975 1584 0 0 0
1 Smith 45 0 101 895 0 0 0
1 Smith 46 0 202 554 0 0 0
1 Smith 47 0 101 190 0 0 0
1 Smith 48 0 112 165 0 0 0
1 Smith 49 0 82 69 0 0 0
1 Smith 5 0 469 2789 0 0 0
1 Smith 50 0 491 1340 0 0 0
1 Smith 52 0 267 1369 0 0 0
1 Smith 54 0 647 1617 0 0 0
1 Smith 55 0 1305 2183 0 0 0
1 Smith 56 0 700 1724 0 0 0
1 Smith 58 0 639 1888 0 0 0
1 Smith 59 0 687 1966 0 0 0
1 Smith 6 0 112 586 0 0 0
1 Smith 60 0 172 187 0 0 0
1 Smith 61 0 638 759 0 0 0
1 Smith 63 0 39 13 0 0 0
1 Smith 64 0 49 51 0 0 0
1 Smith 65 0 50 49 0 0 0
1 Smith 66 0 205 231 0 0 0
1 Smith 7 0 320 955 0 0 0
1 Smith 70 0 121 223 0 0 0
1 Smith 71 0 759 2579 0 0 0
1 Smith 72 0 49 100 0 0 0
1 Smith 73 0 187 205 0 0 0
1 Smith 74 0 87 308 0 0 0
1 Smith 75 0 326 2131 0 0 0
1 Smith 76 0 221 125 0 0 0
1 Smith 77 0 121 120 0 0 0
1 Smith 78 0 25 75 0 0 0
1 Smith 79 0 608 2100 0 0 0
1 Smith 8 0 210 793 0 0 0
1 Smith 80 0 3 10 0 0 0
1 Smith 81 0 91 67 0 0 0
1 Smith 82 0 26 38 0 0 0
1 Smith 9 0 117 63 0 0 0
1 Wood 1~1 0 0 0 0 0 0
1 Wood 1~2 0 0 0 0 0 0
1 Wood 1~3 0 0 0 0 0 0
1 Wood 1~4 0 0 0 0 0 0
1 Wood 2~1 0 0 0 0 0 0
1 Wood 2~2 0 0 0 0 0 349
1 Wood 2~3 0 0 0 0 0 0
1 Wood 3~1 0 0 0 0 0 0
1 Wood 3~2 0 0 0 0 0 896
1 Wood 3~3 0 0 0 0 0 2464
1 Wood 4~1 0 0 0 0 0 2422
1 Wood 4~2 0 0 0 0 0 586
1 Wood 4~3 0 0 0 0 0 1900
1 Wood 4~4 0 0 0 0 0 0
2 Harris 1003 0 1 0 0 0 0
2 Harris 108 0 1051 1051 0 51 0
2 Harris 110 0 1176 1301 0 43 0
2 Harris 112 0 852 1501 0 52 0
2 Harris 113 0 966 974 0 28 0
2 Harris 117 0 608 418 0 28 0
2 Harris 120 0 1544 1991 0 67 0
2 Harris 123 0 856 308 0 23 0
2 Harris 125 0 842 956 0 34 0
2 Harris 148 0 1405 723 0 19 0
2 Harris 155 0 1291 2060 0 42 0
2 Harris 165 0 738 1068 0 27 0
2 Harris 179 0 724 691 0 21 0
2 Harris 199 0 757 2254 0 41 0
2 Harris 200 0 1895 1400 0 51 0
2 Harris 204 0 1427 1573 0 48 0
2 Harris 222 0 1364 1043 0 21 0
2 Harris 224 0 1262 831 0 31 0
2 Harris 244 0 1156 1073 0 38 0
2 Harris 246 0 1456 1888 0 59 0
2 Harris 260 0 545 571 0 11 0
2 Harris 262 0 1374 1556 0 62 0
2 Harris 263 0 1020 2248 0 41 0
2 Harris 274 0 706 1146 0 26 0
2 Harris 299 0 562 336 0 23 0
2 Harris 310 0 486 733 0 21 0
2 Harris 313 0 13 28 0 3 0
2 Harris 32 0 1595 805 0 56 0
2 Harris 323 0 708 484 0 29 0
2 Harris 33 0 2208 1083 0 73 0
2 Harris 330 0 970 798 0 46 0
2 Harris 34 0 1841 517 0 49 0
2 Harris 340 0 848 2133 0 54 0
2 Harris 350 0 1652 765 0 41 0
2 Harris 351 0 1000 2912 0 40 0
2 Harris 357 0 757 2008 0 31 0
2 Harris 361 0 996 149 0 9 0
2 Harris 363 0 2232 1265 0 89 0
2 Harris 37 0 1498 650 0 43 0
2 Harris 38 0 1769 809 0 28 0
2 Harris 380 0 2203 2093 0 79 0
2 Harris 388 0 2412 2195 0 93 0
2 Harris 39 0 2003 671 0 33 0
2 Harris 398 0 1426 1287 0 50 0
2 Harris 40 0 256 190 0 5 0
2 Harris 407 0 1226 1725 0 49 0
2 Harris 41 0 629 476 0 30 0
2 Harris 421 0 886 783 0 26 0
2 Harris 424 0 453 512 0 12 0
2 Harris 43 0 688 573 0 25 0
2 Harris 444 0 1198 1500 0 44 0
2 Harris 445 0 625 938 0 19 0
2 Harris 446 0 80 54 0 4 0
2 Harris 447 0 1959 2811 0 43 0
2 Harris 451 0 520 1681 0 16 0
2 Harris 459 0 776 2317 0 28 0
2 Harris 464 0 724 1049 0 34 0
2 Harris 469 0 565 1972 0 18 0
2 Harris 472 0 569 343 0 9 0
2 Harris 477 0 1144 2137 0 51 0
2 Harris 478 0 1339 1904 0 47 0
2 Harris 479 0 799 2104 0 33 0
2 Harris 482 0 1238 2177 0 56 0
2 Harris 484 0 1158 1809 0 50 0
2 Harris 493 0 1344 1000 0 41 0
2 Harris 496 0 854 596 0 28 0
2 Harris 500 0 1100 1684 0 60 0
2 Harris 513 0 778 1601 0 22 0
2 Harris 514 0 1062 2115 0 56 0
2 Harris 515 0 642 1893 0 19 0
2 Harris 516 0 982 979 0 21 0
2 Harris 52 0 1354 938 0 52 0
