COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Cochise "11 DO CASTRO PARK" 0 926 219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "12 DO GADSDEN" 0 682 199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "13 DO SUNNYSIDE" 0 686 342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "14 GREATER SAN PEDRO" 0 425 1044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "15 HEREFORD" 0 583 1187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "16 HUACHUCA" 0 307 459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "17 MCNEAL" 0 239 502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "18 NACO" 0 336 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "19 PALOMINAS" 0 353 780 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "20 PIRTLEVILLE" 0 597 313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "21 POMERENE" 0 288 682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "22 PORTAL" 0 133 150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "23 SAN SIMON" 0 31 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "24 ST DAVID" 0 359 1229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "25 SUNIZONA" 0 130 289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "26 SV AVENIDA DEL SOL" 0 751 1142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "27 SV BUFFALO SOLDIER" 0 915 1485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "28 SV BUSBY" 0 607 728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "29 SV CARMELITA" 0 394 516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "30 SV CLOUD" 0 341 414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "31 SV COLLEGE" 0 644 852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "32 SV COUNTRY CLUB" 0 685 1280 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "33 SV ESTATES" 0 620 933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "34 SV HOPI" 0 547 756 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "35 SV MOSON" 0 460 1185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "36 SV PUEBLO DEL SOL" 0 479 682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "37 SV RAMSEY" 0 444 875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "38 SV SNYDER" 0 418 558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "39 SV SOLDIER CREEK" 0 872 977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "40 SV TOWN & COUNTRY" 0 577 1124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
