DIST COUNTY AREA TOTAL DEM REP NPA NPA OverVotes REF NPA UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Gillum DeSantis Foley Gibson OverVotes Richardson Stanley UnderVotes WriteinVotes
NA Bay 4 0 201 1248 9 9 2 11 6 9 2
NA Bay 40 0 342 605 1 4 0 9 3 4 0
NA Bay 41 0 470 866 4 3 4 12 3 7 1
NA Bay 42 0 231 631 1 1 2 8 4 6 4
NA Bay 43 0 269 587 1 1 0 4 4 4 0
NA Bay 44 0 134 477 1 0 0 8 0 3 1
NA Bay 5 0 200 1291 5 3 1 5 2 7 6
NA Bay 6 0 272 1713 4 7 4 10 7 15 2
NA Bay 7 0 44 206 1 0 2 3 0 6 0
NA Bay 8 0 490 1609 4 5 5 9 3 6 1
NA Bay 9 0 472 1348 4 8 4 22 7 13 5
NA Bradford 1 0 125 977 2 6 0 6 4 9 1
NA Bradford 10 0 68 552 0 1 2 5 0 1 0
NA Bradford 11 0 166 580 3 2 1 5 3 9 0
NA Bradford 12 0 340 947 4 3 4 4 4 6 3
NA Bradford 13 0 29 277 3 0 1 3 2 4 0
NA Bradford 14 0 103 399 3 1 1 0 0 4 0
NA Bradford 2 0 274 216 0 2 0 2 0 3 2
NA Bradford 3 0 55 349 5 0 2 1 4 3 0
NA Bradford 4 0 150 709 0 2 0 7 0 3 0
NA Bradford 5 0 400 660 3 4 4 3 1 6 0
NA Bradford 6 0 65 448 0 1 0 3 0 1 0
NA Bradford 7 0 397 244 3 6 0 1 3 2 0
NA Bradford 8 0 237 868 0 2 1 8 2 5 0
NA Bradford 9 0 262 472 1 2 6 6 0 3 2
NA Brevard 100 0 408 924 7 2 0 16 5 8 1
NA Brevard 102 0 244 398 1 3 0 3 3 8 0
NA Brevard 103 0 718 1717 5 13 5 13 1 12 2
NA Brevard 104 0 821 2050 5 11 10 30 5 25 2
NA Brevard 105 0 1361 2131 11 18 4 34 17 17 6
NA Brevard 106 0 314 1307 5 7 7 16 3 11 3
NA Brevard 107 0 552 877 5 5 4 12 3 8 5
NA Brevard 108 0 1685 1153 8 15 10 24 5 14 0
NA Brevard 109 0 1296 2052 11 18 2 20 6 22 4
NA Brevard 111 0 614 962 8 15 7 17 4 10 5
NA Brevard 112 0 636 1365 3 5 2 16 6 17 1
NA Brevard 113 0 699 1165 8 8 2 27 8 12 2
NA Brevard 114 0 1388 2071 11 19 8 29 5 19 3
NA Brevard 115 0 872 1453 6 12 10 19 5 13 6
NA Brevard 116 0 813 2240 5 11 8 20 3 21 4
NA Brevard 118 0 963 2276 11 18 3 36 9 14 5
NA Brevard 120 0 665 81 0 1 1 0 1 4 0
NA Brevard 121 0 440 1109 4 8 1 12 2 7 2
NA Brevard 122 0 484 927 2 4 1 8 7 12 3
NA Brevard 123 0 753 1228 9 11 1 8 6 13 1
NA Brevard 124 0 897 1401 6 12 2 22 10 8 4
NA Brevard 125 0 832 1590 6 11 2 25 9 16 0
NA Brevard 126 0 0 0 0 0 0 0 0 0 0
NA Brevard 127 0 219 382 0 4 1 6 0 4 2
NA Brevard 128 0 0 2 0 0 0 0 0 0 0
NA Brevard 129 0 0 2 0 0 0 0 0 0 0
NA Brevard 130 0 0 0 0 0 0 0 0 0 0
NA Brevard 131 0 381 605 5 1 1 14 1 9 1
NA Brevard 132 0 0 0 0 0 0 0 0 0 0
NA Brevard 133 0 0 0 0 0 0 0 0 0 0
NA Brevard 134 0 0 0 0 0 0 0 0 0 0
NA Brevard 135 0 369 790 7 5 0 11 5 9 0
NA Brevard 136 0 0 0 0 0 0 0 0 0 0
NA Brevard 200 0 588 744 0 7 2 12 2 10 2
NA Brevard 201 0 720 1532 5 3 6 19 5 10 2
NA Brevard 202 0 668 1225 5 5 2 21 7 11 0
NA Brevard 203 0 999 1462 6 7 6 24 8 11 1
NA Brevard 204 0 1246 1716 8 20 3 24 6 16 1
NA Brevard 205 0 1525 3326 11 15 12 19 7 38 5
NA Brevard 206 0 603 1134 5 8 5 21 4 15 2
NA Brevard 207 0 649 949 3 14 1 10 3 9 5
NA Brevard 208 0 604 873 4 2 5 9 5 14 2
NA Brevard 209 0 551 523 6 10 3 4 3 5 2
NA Brevard 210 0 256 299 0 5 1 6 2 3 0
NA Brevard 211 0 1057 1140 6 9 4 17 5 13 0
NA Brevard 212 0 658 481 1 4 2 3 2 5 2
NA Brevard 213 0 299 132 1 2 0 4 2 2 0
NA Brevard 214 0 876 652 8 6 11 10 5 11 4
NA Brevard 215 0 354 606 1 5 1 5 1 10 2
NA Brevard 216 0 1650 2639 11 18 8 26 5 26 3
NA Brevard 217 0 871 1643 6 8 3 17 1 18 3
