COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Writein
Anderson 0010001 0 357 791 13 1 2
Anderson 0010002 0 205 1548 14 2 0
Anderson 0010003 0 118 746 7 2 0
Anderson 0010004 0 117 1031 8 0 0
Anderson 0010005 0 12 203 0 0 0
Anderson 0010006 0 389 388 2 4 0
Anderson 0010007 0 462 167 3 0 0
Anderson 0010008 0 92 75 3 1 0
Anderson 0010009 0 160 737 5 0 0
Anderson 0010010 0 42 327 0 0 0
Anderson 0010011 0 202 643 8 0 1
Anderson 0010013 0 316 785 9 0 0
Anderson 0010015 0 79 578 2 1 1
Anderson 0010016 0 106 519 4 2 0
Anderson 0010017 0 127 489 5 2 0
Anderson 0010018 0 215 1211 11 1 0
Anderson 0010019 0 346 1118 15 1 1
Anderson 0010020 0 180 551 11 3 0
Anderson 0010021 0 183 1086 3 1 1
Anderson 0010022 0 105 640 5 0 0
Anderson 0010023 0 99 876 2 1 0
Anderson 0010024 0 43 601 4 0 0
Andrews 0030001 0 196 1242 13 1 0
Andrews 0030002 0 233 1661 28 3 0
Andrews 0030003 0 218 1141 12 3 0
Andrews 0030004 0 202 893 7 3 0
Angelina 0050001 0 121 162 0 0 0
Angelina 0050002 0 1011 351 10 6 1
Angelina 0050003 0 234 1047 12 4 0
Angelina 0050004 0 366 452 9 1 5
Angelina 0050005 0 468 611 14 7 2
Angelina 0050006 0 51 275 0 1 0
Angelina 0050007 0 121 909 11 1 3
Angelina 0050008a 0 69 508 5 0 2
Angelina 0050008b 0 42 339 5 0 2
Angelina 0050009 0 70 152 1 1 0
Angelina 0050010a 0 348 375 6 3 2
Angelina 0050010b 0 44 46 0 0 0
Angelina 0050011 0 160 1486 6 2 1
Angelina 0050012 0 100 478 7 0 1
Angelina 0050013 0 200 219 11 1 1
Angelina 0050014 0 443 892 14 2 6
Angelina 0050015 0 73 405 4 0 0
Angelina 0050016 0 561 638 14 3 1
Angelina 0050017 0 120 1151 4 1 1
Angelina 0050018 0 144 313 3 1 1
Angelina 0050019 0 355 700 9 5 4
Angelina 0050020 0 1116 210 3 4 4
Angelina 0050021 0 209 619 7 1 1
Angelina 0050022 0 86 749 5 1 1
Angelina 0050023 0 73 412 6 0 2
Angelina 0050024 0 348 1319 15 4 4
Angelina 0050025 0 241 1287 10 3 4
Angelina 0050026 0 153 1088 6 0 1
Angelina 0050027 0 21 254 5 0 1
Angelina 0050028 0 135 705 6 3 1
Angelina 0050029 0 132 949 7 1 0
Angelina 0050030 0 63 687 7 0 1
Angelina 0050031 0 58 224 2 1 1
Angelina 0050032 0 5 75 0 0 0
Angelina 0050033 0 61 893 3 2 1
Angelina 0050034 0 466 1085 20 5 6
Angelina 0050035 0 325 985 9 3 5
Angelina 0050036 0 0 0 0 0 0
Angelina 0050037 0 59 304 5 2 1
Angelina 0050038 0 49 241 2 0 0
Angelina 0050039 0 108 233 3 1 0
Angelina 0050040 0 200 332 1 1 0
Angelina 005011b 0 116 631 7 3 0
Angelina 005017b 0 18 285 0 1 0
Aransas 0070001 0 319 1317 12 5 0
Aransas 0070002 0 664 1637 21 5 0
Aransas 0070003 0 843 2406 30 11 0
Aransas 0070004 0 687 2307 28 4 1
Aransas 007001a 0 215 888 3 2 0
Aransas 007004a 0 188 684 9 4 0
Archer 0090001 0 85 859 7 2 0
Archer 0090002 0 73 720 7 0 0
Archer 0090003 0 26 257 2 0 0
Archer 0090004 0 28 500 1 1 1
Archer 0090005 0 11 121 2 0 0
Archer 0090006 0 81 747 11 1 0
Archer 0090007 0 11 141 1 0 0
Archer 0090008 0 33 228 5 0 0
Archer 0090009 0 11 127 1 0 0
Archer 0090010 0 79 533 8 0 0
Archer 0090011 0 8 67 0 0 0
