COUNTY AREA TOTAL DEM REP Writein
COUNTY AREA TOTAL Finkenauer Hinson Writein
Allamakee "Pct 1-WL/HV" 266 89 177 0
Allamakee "Pct 2-FC/JF/LL/MK/UP" 1341 441 899 1
Allamakee "Pct - PO/FK" 379 95 284 0
Allamakee "Pct 4 - Postville City" 552 224 327 1
Allamakee "Pct 5 - LT/PC/WV CITY" 434 131 302 1
Allamakee "Pct 6 - FV/TL/HF CITY" 532 207 325 0
Allamakee "Pct 7 - CN/LF/LS/LS CITY" 1239 553 686 0
Allamakee "Pct 8 - IA/UC/NA CITY" 553 182 371 0
Allamakee "Pct 9 - Waukon 1" 697 257 440 0
Allamakee "Pct 10 - Waukon 2" 649 267 382 0
Allamakee "Pct 11 Waukon 3" 653 251 402 0
Benton "Belle Plaine 1" 456 187 269 0
Benton "Belle Plaine 2" 370 130 240 0
Benton "Belle Plaine 3" 315 136 179 0
Benton Benton-Canton-Shellsburg 1615 605 1006 4
Benton "Big Grove-Union-Van Horne" 693 220 473 0
Benton "Bruce-Cedar-Mt Auburn" 511 124 386 1
Benton Eden-Harrison-Taylor 936 293 643 0
Benton Eldorado-Newhall 667 257 409 1
Benton "Florence-St Clair-Norway" 837 305 530 2
Benton Fremont-Atkins 1675 635 1038 2
Benton Homer-Monroe-Jackson-Garrison 580 173 407 0
Benton Iowa-Leroy-Luzerne-Blairstown 874 268 605 1
Benton Kane-Keystone 468 150 318 0
Benton Polk-Urbana 1369 529 838 2
Benton "Vinton 1" 681 299 381 1
Benton "Vinton 2" 509 222 287 0
Benton "Vinton 3" 685 271 413 1
Benton "Vinton 4" 662 253 409 0
Benton Walford 586 250 334 2
"Black Hawk" "Barclay Lester Dunkerton" 1127 416 711 0
"Black Hawk" Bennington 297 81 216 0
"Black Hawk" "Big Creek La Porte City" 1442 606 836 0
"Black Hawk" "Black Hawk Hudson Lincoln" 2035 774 1258 3
"Black Hawk" "Cedar Orange" 1162 532 629 1
"Black Hawk" "CF W1 P1" 1078 564 513 1
"Black Hawk" "CF W1 P2" 1701 1056 644 1
"Black Hawk" "CF W1 P3" 1629 1088 538 3
"Black Hawk" "CF W2 P1" 444 270 174 0
"Black Hawk" "CF W2 P2 CF Twp" 1991 1028 960 3
"Black Hawk" "CF W2 P3" 3042 1542 1496 4
"Black Hawk" "CF W3 P1" 1480 678 801 1
"Black Hawk" "CF W3 P2" 2181 1066 1115 0
"Black Hawk" "CF W3 P3" 743 416 326 1
"Black Hawk" "CF W4 P1" 1675 957 716 2
"Black Hawk" "CF W4 P2" 948 648 299 1
"Black Hawk" "CF W4 P3" 611 425 185 1
"Black Hawk" "CF W5 P1" 1576 913 661 2
"Black Hawk" "CF W5 P2" 1585 931 650 4
"Black Hawk" "CF W5 P3" 1646 801 845 0
"Black Hawk" Eagle 310 81 229 0
"Black Hawk" "Elk Run Heights Raymond" 1115 535 580 0
"Black Hawk" "Evansdale W1" 564 303 261 0
"Black Hawk" "Evansdale W2" 519 254 265 0
"Black Hawk" "Evansdale W3" 487 237 249 1
"Black Hawk" "Evansdale W4" 652 320 329 3
"Black Hawk" "Mt Vernon" 657 274 383 0
"Black Hawk" "Poyner P1 East Wloo" 554 233 321 0
"Black Hawk" "Poyner P2 Gilb Fox Jesup" 1176 491 685 0
"Black Hawk" "Spring Creek" 210 68 142 0
"Black Hawk" Union 648 224 424 0
"Black Hawk" "Washington Janesville" 425 152 273 0
"Black Hawk" "WL W1 P1" 1307 720 586 1
"Black Hawk" "WL W1 P2" 1200 677 523 0
"Black Hawk" "WL W1 P3" 917 608 306 3
"Black Hawk" "WL W1 P4" 1235 645 586 4
"Black Hawk" "WL W1 P5" 1100 611 488 1
"Black Hawk" "WL W1 P6" 1901 848 1050 3
"Black Hawk" "WL W2 P1" 800 459 340 1
"Black Hawk" "WL W2 P2" 718 448 270 0
"Black Hawk" "WL W2 P3" 1127 650 477 0
"Black Hawk" "WL W2 P4" 1736 973 759 4
"Black Hawk" "WL W2 P5" 1351 763 585 3
"Black Hawk" "WL W2 P6" 1287 623 664 0
"Black Hawk" "WL W3 P1" 1019 613 405 1
"Black Hawk" "WL W3 P2" 981 641 340 0
"Black Hawk" "WL W3 P3" 521 437 83 1
"Black Hawk" "WL W3 P4" 615 449 165 1
"Black Hawk" "WL W3 P5" 1376 816 560 0
"Black Hawk" "WL W3 P6" 676 477 196 3
"Black Hawk" "WL W4 P1" 754 662 90 2
"Black Hawk" "WL W4 P2" 555 475 78 2
"Black Hawk" "WL W4 P3" 466 389 77 0
"Black Hawk" "WL W4 P4" 759 514 243 2
"Black Hawk" "WL W4 P5" 858 700 158 0
"Black Hawk" "WL W4 P6" 620 351 269 0
"Black Hawk" "WL W5 P1" 428 288 137 3
"Black Hawk" "WL W5 P2" 1008 632 373 3
"Black Hawk" "WL W5 P3" 867 549 317 1
"Black Hawk" "WL W5 P4" 1157 677 478 2
"Black Hawk" "WL W5 P5" 1331 757 573 1
"Black Hawk" "WL W5 P6" 1088 644 443 1
Bremer "City of Denver/Jefferson Twp" 2014 794 1217 3
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 305 116 189 0
Bremer "City of Janesville/Jackson Twp" 999 399 600 0
Bremer "Lafayette Twp/Warren Twp" 774 325 449 0
Bremer "City of Plainfield/Polk Twp/Douglas Twp" 737 257 480 0
Bremer "City of Readlyn/Franklin Twp/Maxfield Twp" 964 308 655 1
Bremer "City of Sumner/Dayton Twp/Sumner #2 Twp" 1452 488 961 3
Bremer "City of Tripoli/Fremont Twp" 870 370 499 1
Bremer "City of Waverly Ward 1/ East Washington Twp" 1569 752 817 0
Bremer "City of Waverly Ward 2/ NE 1/4 Sec 36 Washington Twp" 1217 568 649 0
Bremer "City of Waverly Ward 3" 643 373 269 1
Bremer "City of Waverly Ward 4" 1197 610 586 1
Bremer "City of Waverly Ward 5/West Washington Twp" 1305 676 629 0
Buchanan Jesup 1251 526 724 1
Buchanan Brandon 428 165 263 0
Buchanan Fairbank 608 250 358 0
Buchanan Perry-Westburg 691 264 427 0
Buchanan "Independence 1st Ward" 1258 538 720 0
Buchanan "Independence 2nd Ward" 668 335 333 0
Buchanan "Independence 3rd Ward" 1143 487 656 0
Buchanan "Independence 4th Ward" 526 281 245 0
Buchanan "Independence 5th Ward" 558 272 286 0
