COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
"Deer Lodge" "PRECINCT 5-77S" 0 309 156 12
Fallon "PRECINCT 1" 0 281 951 57
Fergus "PREC 10" 0 152 168 13
Fergus "PREC 11" 0 177 224 23
Fergus "PREC 12" 0 26 67 2
Fergus "PREC 13" 0 188 308 16
Fergus "PREC 14" 0 110 207 13
Fergus "PREC 16" 0 46 186 9
Fergus "PREC 17" 0 130 275 5
Fergus "PREC 18" 0 27 158 2
Fergus "PREC 2" 0 264 576 24
Fergus "PREC 3" 0 105 277 11
Fergus "PREC 4" 0 99 223 8
Fergus "PREC 5" 0 77 220 9
Fergus "PREC 6" 0 174 181 12
Fergus "PREC 7" 0 137 174 17
Fergus "PREC 8" 0 108 189 15
Fergus "PREC 9" 0 144 207 10
Flathead "PRECINCT 1" 0 295 261 22
Flathead "PRECINCT 11" 0 315 717 19
Flathead "PRECINCT 13" 0 506 845 38
Flathead "PRECINCT 14" 0 221 368 21
Flathead "PRECINCT 15" 0 271 661 29
Flathead "PRECINCT 16" 0 498 409 39
Flathead "PRECINCT 17" 0 174 125 5
Flathead "PRECINCT 18" 0 605 774 43
Flathead "PRECINCT 19" 0 291 747 41
Flathead "PRECINCT 2" 0 407 387 27
Flathead "PRECINCT 20" 0 1251 489 46
Flathead "PRECINCT 21" 0 319 592 22
Flathead "PRECINCT 23" 0 368 426 22
Flathead "PRECINCT 24" 0 150 546 24
Flathead "PRECINCT 25" 0 375 632 48
Flathead "PRECINCT 26" 0 166 438 23
Flathead "PRECINCT 29" 0 451 988 44
Flathead "PRECINCT 3" 0 439 405 32
Flathead "PRECINCT 31" 0 910 1208 56
Flathead "PRECINCT 32" 0 374 377 43
Flathead "PRECINCT 33" 0 137 215 16
Flathead "PRECINCT 34" 0 515 942 32
Flathead "PRECINCT 35" 0 574 629 40
Flathead "PRECINCT 36" 0 490 1055 44
Flathead "PRECINCT 37" 0 658 980 78
Flathead "PRECINCT 38" 0 666 1135 37
Flathead "PRECINCT 39" 0 345 297 22
Flathead "PRECINCT 4" 0 463 441 28
Flathead "PRECINCT 41" 0 662 753 38
Flathead "PRECINCT 42" 0 477 983 37
Flathead "PRECINCT 43" 0 555 1083 33
Flathead "PRECINCT 44" 0 622 674 35
Flathead "PRECINCT 45" 0 765 532 20
Flathead "PRECINCT 47" 0 885 318 12
Flathead "PRECINCT 48" 0 402 453 16
Flathead "PRECINCT 49" 0 592 432 17
Flathead "PRECINCT 5" 0 413 669 38
Flathead "PRECINCT 50" 0 338 695 44
Flathead "PRECINCT 6" 0 952 1477 45
Flathead "PRECINCT 7" 0 385 659 29
Flathead "PRECINCT 8" 0 232 595 22
Flathead "PRECINCT 89" 0 138 347 22
Gallatin "PCT 59A" 0 207 130 4
Gallatin "PCT 61A" 0 1189 678 29
Gallatin "PCT 61B" 0 1148 700 34
Gallatin "PCT 61C" 0 1426 311 32
Gallatin "PCT 61D" 0 1206 642 25
Gallatin "PCT 62A" 0 1240 193 31
Gallatin "PCT 62B" 0 1147 273 30
Gallatin "PCT 62C" 0 1269 455 29
Gallatin "PCT 62D" 0 1571 880 42
Gallatin "PCT 63A" 0 1251 839 62
Gallatin "PCT 63B" 0 993 318 44
Gallatin "PCT 63C" 0 1045 501 53
Gallatin "PCT 64A" 0 420 333 24
Gallatin "PCT 64B" 0 1003 452 42
Gallatin "PCT 64C" 0 921 970 46
Gallatin "PCT 64D" 0 1256 1413 92
Gallatin "PCT 65A" 0 1434 400 47
Gallatin "PCT 65B" 0 1546 684 59
Gallatin "PCT 65C" 0 1886 1020 71
Gallatin "PCT 66A" 0 1480 542 39
Gallatin "PCT 66B" 0 1381 429 51
Gallatin "PCT 66C" 0 1562 218 32
Gallatin "PCT 67A" 0 693 662 37
Gallatin "PCT 67B" 0 1055 966 58
Gallatin "PCT 67C" 0 696 806 72
Gallatin "PCT 68A" 0 974 1185 64
Gallatin "PCT 68B" 0 642 659 50
Gallatin "PCT 68C" 0 532 1034 55
Gallatin "PCT 69A" 0 625 829 66
