COUNTY AREA TOTAL DEM REP LIB Writein
COUNTY AREA TOTAL Axne Young Holder Writein
Polk "DES MOINES 24" 722 420 264 36 2
Polk "DES MOINES 25" 1046 595 389 61 1
Polk "DES MOINES 26" 1268 698 502 64 4
Polk "DES MOINES 27" 907 465 378 60 4
Polk "DES MOINES 28" 1636 918 637 78 3
Polk "DES MOINES 29" 1610 843 716 50 1
Polk "DES MOINES 30" 950 523 366 59 2
Polk "DES MOINES 31" 1231 715 447 66 3
Polk "DES MOINES 32" 923 581 286 53 3
Polk "DES MOINES 33" 685 506 140 38 1
Polk "DES MOINES 34" 389 284 87 18 0
Polk "DES MOINES 35" 430 329 94 6 1
Polk "DES MOINES 36" 893 676 177 35 5
Polk "DES MOINES 37" 731 551 148 32 0
Polk "DES MOINES 38" 589 431 144 14 0
Polk "DES MOINES 39" 1770 1361 358 50 1
Polk "DES MOINES 40" 692 500 168 22 2
Polk "DES MOINES 41" 2120 1612 443 65 0
Polk "DES MOINES 42" 1944 1280 585 79 0
Polk "DES MOINES 43" 1334 1009 298 27 0
Polk "DES MOINES 44" 1454 1117 294 42 1
Polk "DES MOINES 45" 625 516 84 25 0
Polk "DES MOINES 46" 712 557 126 29 0
Polk "DES MOINES 47" 1423 1097 268 56 2
Polk "DES MOINES 48" 257 197 49 11 0
Polk "DES MOINES 49" 500 307 159 34 0
Polk "DES MOINES 50" 1216 775 391 50 0
Polk "DES MOINES 51" 787 535 216 36 0
Polk "DES MOINES 52" 680 448 189 40 3
Polk "DES MOINES 53" 604 387 176 40 1
Polk "DES MOINES 54" 680 465 183 31 1
Polk "DES MOINES 55" 2195 1590 534 68 3
Polk "DES MOINES 56" 1820 1414 352 52 2
Polk "DES MOINES 57" 879 728 129 22 0
Polk "DES MOINES 58" 1250 1001 200 48 1
Polk "DES MOINES 59" 1319 1023 256 40 0
Polk "DES MOINES 60" 1249 979 234 36 0
Polk "DES MOINES 61" 1245 899 327 17 2
Polk "DES MOINES 62" 2323 1741 551 31 0
Polk "DES MOINES 63" 1381 1013 333 32 3
Polk "DES MOINES 64" 1243 819 386 35 3
Polk "DES MOINES 65" 1756 1105 615 35 1
Polk "DES MOINES 66" 1836 1187 584 65 0
Polk "DES MOINES 67" 258 166 76 16 0
Polk "DES MOINES 68" 830 509 271 48 2
Polk "DES MOINES 69" 1246 799 387 59 1
Polk "DES MOINES 70" 824 534 259 31 0
Polk "DES MOINES 71" 1696 990 663 41 2
Polk "DES MOINES 72" 88 39 44 5 0
Polk "DES MOINES 73" 1790 1065 663 61 1
Polk "DES MOINES 74" 628 339 271 18 0
Polk "DES MOINES 75" 1247 755 421 67 4
Polk "DES MOINES 76" 1131 671 405 54 1
Polk "DES MOINES 77" 1041 636 362 43 0
Polk "DES MOINES 78" 1188 712 413 61 2
Polk "DES MOINES 79" 1251 709 460 82 0
Polk "DES MOINES 80" 1635 995 555 84 1
Polk "DES MOINES 81" 1084 607 429 47 1
Polk "DES MOINES 82" 1023 583 408 31 1
Polk "DES MOINES 83" 1433 824 536 71 2
Polk "DES MOINES 84" 750 490 223 36 1
Polk ALLEMAN 619 191 412 15 1
Polk ALLEN 229 92 124 12 1
Polk "ALTOONA 1" 989 471 460 58 0
Polk "ALTOONA 2" 1764 905 765 93 1
Polk "ALTOONA 3" 2434 1237 1093 98 6
Polk "ALTOONA 4" 2262 1061 1103 96 2
Polk "ALTOONA 5" 2798 1264 1442 90 2
Polk "ANKENY 1" 4929 2325 2468 130 6
Polk "ANKENY 2" 2475 1181 1241 52 1
Polk "ANKENY 3" 1897 978 856 61 2
Polk "ANKENY 4" 1895 903 930 61 1
Polk "ANKENY 5" 2020 1048 911 60 1
Polk "ANKENY 6" 2020 993 973 51 3
Polk "ANKENY 7" 1875 960 841 73 1
Polk "ANKENY 8" 2196 1119 1007 69 1
Polk "ANKENY 9" 2316 1211 1016 84 5
Polk "ANKENY 10" 1726 836 829 59 2
Polk "ANKENY 11" 1943 916 936 89 2
Polk "ANKENY 12" 5375 2513 2725 134 3
Polk "ANKENY 13" 3571 1600 1890 77 4
Polk "ANKENY 14" 2629 1292 1256 81 0
Polk "ANKENY 15" 1818 920 838 60 0
Polk "BONDURANT 1" 1587 691 821 74 1
Polk "BONDURANT 2" 1914 785 1034 92 3
Polk CLAY 851 342 481 28 0
Polk "CLIVE 1" 884 523 320 40 1
Polk "CLIVE 2" 1452 864 539 49 0
Polk "CLIVE 3" 2142 1147 959 35 1
Polk "CLIVE 4" 1918 906 989 23 0
Polk "CROCKER 1" 1597 671 888 38 0
Polk "CROCKER 2" 1161 462 670 28 1
Polk "DELAWARE 1" 1074 501 497 71 5
Polk "DELAWARE 2" 341 166 165 9 1
Polk DOUGLAS 1000 362 605 32 1
Polk ELKHART 1117 427 651 39 0
Polk "FOUR MILE 1" 1423 549 823 51 0
Polk "FRANKLIN 1" 1016 356 643 15 2
Polk "GRANGER 1" 250 95 151 4 0
Polk "GRIMES 1" 3924 1724 2092 104 4
Polk "GRIMES 2" 2884 1380 1398 105 1
Polk "GRIMES 3" 1504 782 675 47 0
Polk "JEFFERSON 1" 1561 601 922 38 0
Polk "JOHNSTON 1" 2251 1188 983 75 5
Polk "JOHNSTON 2" 2188 1304 828 55 1
Polk "JOHNSTON 3" 1792 849 914 29 0
Polk "JOHNSTON 4" 2265 1155 1074 36 0
Polk "JOHNSTON 5" 3583 1843 1660 76 4
Polk "JOHNSTON 6" 1307 631 649 27 0
Polk MADISON 83 36 44 3 0
Polk MITCHELLVILLE 1514 636 804 72 2
Polk "PLEASANT HILL 1" 1726 828 830 67 1
Polk "PLEASANT HILL 2" 1774 897 829 45 3
Polk "PLEASANT HILL 3" 2125 967 1086 72 0
Polk "POLK CITY" 3202 1272 1825 103 2
Polk RUNNELLS 1419 494 859 65 1
Polk "SAYLOR 1" 1646 732 826 87 1
Polk "SAYLOR 2" 1413 607 759 46 1
Polk SHELDAHL 298 80 211 7 0
Polk "URBANDALE 1" 1677 897 730 48 2
Polk "URBANDALE 2" 1894 1072 777 45 0
Polk "URBANDALE 3" 1755 1014 675 66 0
Polk "URBANDALE 4" 1761 929 802 30 0
Polk "URBANDALE 5" 1651 914 681 54 2
Polk "URBANDALE 6" 1674 1001 625 48 0
Polk "URBANDALE 7" 2109 1091 972 46 0
Polk "URBANDALE 8" 1764 1004 703 55 2
Polk "URBANDALE 9" 1887 1054 782 49 2
Polk "URBANDALE 10" 1943 973 933 37 0
Polk "URBANDALE 11" 1850 881 954 15 0
Polk WASHINGTON 303 78 212 13 0
Polk WEBSTER 349 170 159 20 0
Polk "WEST DES MOINES 111" 1350 816 472 60 2
Polk "WEST DES MOINES 112" 909 537 349 22 1
Polk "WEST DES MOINES 113" 1313 844 400 67 2
Polk "WEST DES MOINES 114" 1926 1154 733 39 0
Polk "WEST DES MOINES 115" 1247 685 529 32 1
