COUNTY AREA TOTAL DEM REP LMN GLC Writein
COUNTY AREA TOTAL Smith Lewis OConnor Steinberg Writein
Anoka "COLUMBIA HEIGHTS P-4" 1481 969 338 136 38 0
Anoka "COLUMBIA HEIGHTS P-5" 1394 958 343 73 18 2
Anoka "COLUMBIA HEIGHTS P-6" 1133 701 356 63 12 1
Anoka "COLUMBIA HEIGHTS P-7" 1240 738 343 122 36 1
Anoka "COLUMBIA HEIGHTS P-8" 1199 728 319 123 28 1
Anoka "COLUMBUS P-1" 2726 915 1634 142 35 0
Anoka "COON RAPIDS W-1 P-1" 2499 1162 1143 157 37 0
Anoka "COON RAPIDS W-1 P-2" 2095 965 940 158 32 0
Anoka "COON RAPIDS W-1 P-3" 1869 783 895 154 33 4
Anoka "COON RAPIDS W-1 P-4" 1185 547 483 121 33 1
Anoka "COON RAPIDS W-2 P-1" 1783 884 764 110 25 0
Anoka "COON RAPIDS W-2 P-2" 1241 558 559 104 20 0
Anoka "COON RAPIDS W-2 P-3" 1855 904 773 141 37 0
Anoka "COON RAPIDS W-2 P-4" 1188 516 520 126 24 2
Anoka "COON RAPIDS W-2 P-5" 1418 666 570 140 42 0
Anoka "COON RAPIDS W-3 P-1" 1499 683 634 140 42 0
Anoka "COON RAPIDS W-3 P-2" 1565 713 655 150 44 3
Anoka "COON RAPIDS W-3 P-3" 1513 749 569 144 50 1
Anoka "COON RAPIDS W-3 P-4" 1557 761 591 152 51 2
Anoka "COON RAPIDS W-4 P-1" 1703 780 757 117 49 0
Anoka "COON RAPIDS W-4 P-2" 1711 804 727 139 40 1
Anoka "COON RAPIDS W-4 P-3" 1592 786 649 116 39 2
Anoka "COON RAPIDS W-4 P-4" 2104 930 935 185 50 4
Anoka "COON RAPIDS W-5 P-1" 1589 686 681 183 38 1
Anoka "COON RAPIDS W-5 P-2" 1774 785 779 168 41 1
Anoka "COON RAPIDS W-5 P-3" 1097 527 408 129 32 1
Anoka "COON RAPIDS W-5 P-4" 834 400 298 117 17 2
Anoka "COON RAPIDS W-5 P-5" 1403 709 566 99 27 2
Anoka "EAST BETHEL P-1" 2465 672 1535 205 52 1
Anoka "EAST BETHEL P-2" 2431 736 1479 183 33 0
Anoka "EAST BETHEL P-3" 2233 655 1364 178 35 1
Anoka "FRIDLEY W-1 P-1" 1277 723 419 109 25 1
Anoka "FRIDLEY W-1 P-2" 1223 649 467 81 24 2
Anoka "FRIDLEY W-1 P-3" 1532 952 399 138 39 4
Anoka "FRIDLEY W-1 P-4" 1110 635 358 96 20 1
Anoka "FRIDLEY W-2 P-1" 1044 588 321 108 23 4
Anoka "FRIDLEY W-2 P-2" 959 585 273 76 25 0
Anoka "FRIDLEY W-2 P-3" 1469 862 466 111 27 3
Anoka "FRIDLEY W-2 P-4" 1443 834 503 80 26 0
Anoka "FRIDLEY W-3 P-1" 1223 677 384 131 30 1
Anoka "FRIDLEY W-3 P-2" 1536 834 546 132 22 2
Anoka "FRIDLEY W-3 P-3" 842 504 194 117 26 1
Anoka "FRIDLEY W-3 P-4" 1052 564 333 130 25 0
Anoka "HAM LAKE P-1" 1420 470 801 121 25 3
Anoka "HAM LAKE P-2" 1960 669 1143 112 34 2
Anoka "HAM LAKE P-3A" 2016 561 1289 138 28 0
Anoka "HAM LAKE P-4A" 1945 558 1244 115 28 0
Anoka "HAM LAKE P-5" 1414 471 885 47 10 1
Anoka "HAM LAKE P-6A" 1760 550 1078 109 23 0
Anoka "HILLTOP P-1" 211 130 47 29 4 1
Anoka "LEXINGTON P-1" 1179 502 513 129 34 1
Anoka "LINO LAKES P-1" 1320 532 677 83 28 0
Anoka "LINO LAKES P-2" 2028 878 981 137 31 1
Anoka "LINO LAKES P-3" 1530 669 747 96 17 1
Anoka "LINO LAKES P-4" 2469 1135 1203 101 29 1
Anoka "LINO LAKES P-5" 1211 559 586 50 16 0
Anoka "LINO LAKES P-6" 2427 996 1300 109 22 0
Anoka "LINO LAKES P-7" 2264 1020 1107 108 29 0
Anoka "LINWOOD P-1" 2180 627 1367 147 36 3
Anoka "LINWOOD P-2" 1253 402 736 85 29 1
Anoka "NOWTHEN P-1A" 1889 442 1301 118 28 0
Anoka "NOWTHEN P-2A" 1037 264 722 37 14 0
Anoka "OAK GROVE P-1" 1721 514 1071 110 25 1
Anoka "OAK GROVE P-2" 1549 397 1041 86 25 0
Anoka "OAK GROVE P-3" 1552 412 1034 78 25 3
Anoka "OAK GROVE P-4" 1018 297 648 54 19 0
Anoka "RAMSEY W-1 P-1" 2943 1102 1557 212 71 1
Anoka "RAMSEY W-1 P-2" 892 302 526 50 14 0
Anoka "RAMSEY W-2 P-1" 1475 455 918 84 18 0
Anoka "RAMSEY W-2 P-2" 2850 984 1632 198 36 0
Anoka "RAMSEY W-3 P-1" 3022 1176 1487 276 83 0
Anoka "RAMSEY W-3 P-2" 1122 407 595 95 24 1
Anoka "RAMSEY W-4 P-1" 1898 801 914 154 29 0
Anoka "RAMSEY W-4 P-2" 1906 722 1003 145 35 1
Anoka "SAINT FRANCIS P-1" 2284 610 1401 229 43 1
Anoka "SAINT FRANCIS P-2" 2011 559 1235 177 39 1
Anoka "SPRING LAKE PARK P-1A" 942 468 401 56 16 1
Anoka "SPRING LAKE PARK P-2" 1051 536 400 96 19 0
Anoka "SPRING LAKE PARK P-3" 1770 939 663 130 35 3
Becker "ATLANTA TWP" 62 16 40 5 1 0
Becker AUDUBON 265 45 188 23 9 0
Becker "AUDUBON TWP" 424 122 276 22 3 1
Becker "BURLINGTON TWP" 953 283 607 48 14 1
Becker CALLAWAY 75 29 36 8 2 0
Becker "CALLAWAY TWP" 155 58 84 11 0 2
Becker "CARSONVILLE TWP" 134 49 77 5 3 0
Becker "CORMORANT TWP" 759 258 456 36 9 0
Becker "CUBA TWP" 163 48 102 11 2 0
Becker "DETROIT TWP P-1" 748 249 454 38 7 0
Becker "DETROIT TWP P-2" 433 107 285 34 7 0
Becker "DETROIT TWP P-3" 0 0 0 0 0 0
Becker "DETROIT LAKES W1 P1" 1600 571 861 134 34 0
Becker "DETROIT LAKES W2 P1" 1499 633 743 107 16 0
Becker "DETROIT LAKES W3 P1" 2016 764 1125 103 24 0
Becker "EAGLE VIEW TWP" 89 38 43 7 1 0
Becker "ERIE TWP" 1097 352 685 47 13 0
Becker "EVERGREEN TWP" 156 44 104 4 3 1
Becker "FOREST TWP" 79 34 40 5 0 0
Becker FRAZEE 590 137 382 57 13 1
Becker "GREEN VALLEY TWP" 221 71 139 10 1 0
Becker "HAMDEN TWP" 120 42 69 5 4 0
Becker "HEIGHT OF LAND TWP" 437 126 293 16 2 0
Becker "HOLMESVILLE TWP" 326 118 198 6 4 0
Becker "LAKE EUNICE TWP" 1050 372 604 58 16 0
Becker "LAKE PARK" 367 142 190 27 8 0
Becker "LAKE PARK TWP" 322 111 194 9 8 0
Becker "LAKE VIEW TWP" 1126 391 652 56 26 1
Becker "MAPLE GROVE TWP" 219 100 91 21 7 0
Becker OGEMA 59 28 23 7 1 0
Becker "OSAGE TWP" 522 135 366 16 5 0
Becker "PINE POINT TWP" 96 48 35 11 2 0
Becker "RICEVILLE TWP" 52 11 38 1 1 1
Becker "RICHWOOD TWP" 371 119 232 15 4 1
Becker "ROUND LAKE TWP" 105 53 40 8 4 0
Becker "RUNEBERG TWP" 302 57 235 6 4 0
Becker "SAVANNAH TWP" 103 37 64 2 0 0
Becker "SHELL LAKE TWP" 185 56 114 11 4 0
Becker "SILVER LEAF TWP" 267 63 187 14 3 0
Becker "SPRING CREEK TWP" 50 15 33 1 1 0
Becker "SPRUCE GROVE TWP" 209 36 165 6 2 0
