DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
1 "Santa Rosa" "4 Jay" 0 129 1324 0
1 "Santa Rosa" "40 Parkway" 0 500 1084 0
1 "Santa Rosa" "41 Woodlawn" 0 724 1744 0
1 "Santa Rosa" "5 McLellan" 0 14 100 0
1 "Santa Rosa" "6 Red Rock" 0 11 92 0
1 "Santa Rosa" "7 Munson" 0 20 204 0
1 "Santa Rosa" "8 North Milton" 0 477 912 0
1 "Santa Rosa" "9 Ward Basin" 0 485 1787 0
3 Calhoun "Altha Old Gym 201" 0 113 655 42
3 Calhoun "Carr-Clark VFD 302" 0 68 423 38
3 Calhoun "Carr-Clark VFD 502" 0 26 145 3
3 Calhoun "Neal Civic Center 101" 0 178 618 38
3 Calhoun "Neal Civic Center 202" 0 146 606 42
3 Calhoun "Shelton Library 301" 0 162 942 53
3 Calhoun "Westside VFD 102" 0 96 440 38
3 Franklin "0001 Eastpoint" 0 287 1093 74
3 Franklin "0002 Alligator Point" 0 111 219 8
3 Franklin "0003 National Guard Armory" 0 665 479 56
3 Franklin "0004 Fort Coombs Armory" 0 160 161 17
3 Franklin "0005 Carrabelle" 0 334 1018 63
3 Franklin "0006 Lanark Village" 0 136 376 24
3 Franklin "0007 St. George Island" 0 266 523 22
3 Franklin "0008 American Legion" 0 173 585 49
3 Gadsden "Pre 1 Centenary United Methodi" 0 672 477 0
3 Gadsden "Pre 10 Mt. Pleasant Fire Depar" 0 262 145 0
3 Gadsden "Pre 11 Gretna Town Hall" 0 937 238 0
3 Gadsden "Pre 12 Greensboro Town Hall" 0 286 313 0
3 Gadsden "Pre 13 FAMU Research Center" 0 985 110 0
3 Gadsden "Pre 14 Shiloh Church" 0 417 349 0
3 Gadsden "Pre 15 St. James Baptist Churc" 0 327 665 0
3 Gadsden "Pre 16 National Guard Armory" 0 637 162 0
3 Gadsden "Pre 17 New Bethel AME Church" 0 736 83 0
3 Gadsden "Pre 18 St. Matthew Primitive B" 0 603 168 0
3 Gadsden "Pre 19 Hopewell Church" 0 496 589 0
3 Gadsden "Pre 2 Havana Public Library" 0 1211 623 0
3 Gadsden "Pre 20 Assembly of God" 0 398 424 0
3 Gadsden "Pre 21 Green Shade AME Church" 0 245 173 0
3 Gadsden "Pre 22 Second Elizabeth Church" 0 384 129 0
3 Gadsden "Pre 23 New Direction Christian" 0 350 186 0
3 Gadsden "Pre 24 St. Joseph Missionary B" 0 320 23 0
3 Gadsden "Pre 25 Elizabeth AME Church" 0 215 76 0
3 Gadsden "Pre 3 Concordia Baptist Church" 0 373 484 0
3 Gadsden "Pre 4 Eugene Lamb Recreation C" 0 1907 409 0
3 Gadsden "Pre 5 Quincy Recreation Center" 0 1771 271 0
3 Gadsden "Pre 6 Wetumpka Fire Department" 0 338 656 0
3 Gadsden "Pre 7 Union Chapel AME Church" 0 512 229 0
3 Gadsden "Pre 8 Sycamore Methodist Churc" 0 179 343 0
3 Gadsden "Pre 9 Chattahoochee Recreation" 0 707 530 0
3 Gulf "Cape San Blas Fire Station" 0 201 472 0
3 Gulf "Centennial Building" 0 215 1107 0
3 Gulf "First Pentecostal Church Hall" 0 270 838 0
3 Gulf "Highland View Fire Station" 0 70 289 0
3 Gulf "Honeyville Community Center" 0 256 1372 0
3 Gulf "Howard Creek Fire Station" 0 15 164 0
3 Gulf "Overstreet Fire Station" 0 103 398 0
3 Gulf "Port St. Joe Fire Station" 0 555 537 0
3 Gulf "St. Joe Beach Fire Station" 0 195 647 0
3 Gulf "White City Fire Station" 0 31 172 0
3 Hamilton "1 - Jennings City Hall" 0 134 248 0
3 Hamilton "2 - Jasper Courthouse" 0 558 328 0
3 Hamilton "3 - White Springs Library" 0 292 390 0
3 Hamilton "4 - Jasper Civic Center" 0 287 881 0
3 Hamilton "5 - Bright Pond Fellowship" 0 38 171 0
3 Hamilton "6 - Genoa Vol. Fire Dept." 0 158 439 0
3 Hamilton "7 - Bellville Vol. Fire Dept." 0 202 425 0
3 Hamilton "8 - Cross Roads" 0 193 944 0
3 Jefferson 1 0 49 92 0
3 Jefferson 10 0 112 166 0
3 Jefferson 11 0 64 199 0
3 Jefferson 12 0 73 221 0
3 Jefferson 13 0 21 46 0
3 Jefferson 14 0 56 16 0
3 Jefferson 15 0 34 124 0
3 Jefferson 16 0 38 37 0
3 Jefferson 2 0 18 48 0
3 Jefferson 3 0 72 47 0
3 Jefferson 4 0 58 135 0
3 Jefferson 5 0 174 50 0
3 Jefferson 6 0 85 66 0
3 Jefferson 7 0 95 96 0
3 Jefferson 8 0 82 104 0
3 Jefferson 9 0 31 94 0
3 Jefferson Absentee 0 1548 903 0
3 Jefferson "Early Voting" 0 1214 2076 0
3 Jefferson Provisional 0 4 3 0
3 Leon 1203 0 1454 440 55
3 Leon 1205 0 732 206 37
3 Leon 1230 0 337 115 13
3 Leon 1251 0 57 6 2
3 Leon 1255 0 468 227 26
3 Leon 1257 0 198 373 18
3 Leon 1258 0 0 0 0
3 Leon 1259 0 28 52 5
3 Leon 1301 0 585 149 33
3 Leon 1302 0 591 396 80
3 Leon 1303 0 316 138 28
3 Leon 1309 0 981 82 39
3 Leon 1311 0 135 18 7
3 Leon 1313 0 1717 336 127
3 Leon 1314 0 139 117 31
3 Leon 1315 0 177 15 10
3 Leon 1317 0 936 88 17
3 Leon 1319 0 1007 79 20
3 Leon 1321 0 2413 314 77
3 Leon 1327 0 578 73 19
3 Leon 1351 0 99 32 5
3 Leon 1353 0 119 42 6
3 Leon 1355 0 1076 227 37
3 Leon 1359 0 97 35 7
3 Leon 1361 0 678 216 19
3 Leon 1362 0 45 16 1
3 Leon 1501 0 590 126 22
3 Leon 1502 0 484 151 12
3 Leon 1503 0 1255 275 104
3 Leon 1505 0 963 188 53
3 Leon 1507 0 969 670 196
3 Leon 2251 0 227 183 5
3 Leon 2252 0 546 631 33
3 Leon 2253 0 245 305 12
3 Leon 2303 0 255 21 9
3 Leon 2305 0 2571 609 179
3 Leon 2306 0 879 199 32
3 Leon 2307 0 0 0 0
3 Leon 2355 0 71 52 5
3 Leon 2358 0 167 109 8
3 Leon 2359 0 311 141 21
3 Leon 2363 0 271 243 11
3 Leon 2365 0 915 1912 79
3 Leon 2366 0 120 172 3
3 Leon 2380 0 135 43 6
3 Leon 2401 0 249 78 18
3 Leon 2451 0 370 395 15
3 Leon 2502 0 547 217 51
3 Leon 2503 0 149 52 19
3 Leon 2504 0 428 102 24
3 Leon 2506 0 1193 511 145
3 Leon 2507 0 1903 365 88
3 Leon 2509 0 873 267 43
3 Leon 2511 0 2077 423 115
3 Leon 2513 0 798 285 30
3 Leon 3101 0 955 532 25
3 Leon 3103 0 853 534 36
3 Leon 3104 0 344 201 18
3 Leon 3107 0 644 355 20
3 Leon 3109 0 463 240 18
3 Leon 3110 0 925 497 30
3 Leon 3401 0 858 385 24
3 Leon 3403 0 574 351 24
3 Leon 3405 0 366 291 15
3 Leon 3409 0 508 214 23
3 Leon 3411 0 1656 636 57
3 Leon 3412 0 288 120 11
3 Leon 3413 0 0 0 0
3 Leon 3414 0 27 25 0
3 Leon 3451 0 42 23 0
3 Leon 3453 0 793 573 32
3 Leon 3455 0 918 670 39
3 Leon 3457 0 348 309 17
3 Leon 3459 0 639 593 35
3 Leon 3461 0 783 800 28
3 Leon 3467 0 1272 1049 44
3 Leon 3468 0 41 9 0
3 Leon 3469 0 1302 785 55
3 Leon 3473 0 766 645 36
3 Leon 3475 0 147 61 3
3 Leon 3477 0 292 250 13
3 Leon 3501 0 1190 465 48
3 Leon 3502 0 525 142 33
3 Leon 3507 0 1179 461 48
3 Leon 3509 0 1375 695 76
3 Leon 3513 0 1386 527 68
3 Leon 3551 0 0 0 0
3 Leon 4101 0 723 469 38
3 Leon 4103 0 1399 1156 78
3 Leon 4105 0 109 20 5
3 Leon 4106 0 0 0 0
3 Leon 4107 0 228 157 11
3 Leon 4109 0 109 99 6
3 Leon 4119 0 2067 1833 97
3 Leon 4125 0 1979 2010 72
3 Leon 4152 0 39 38 1
3 Leon 4153 0 741 672 33
3 Leon 4154 0 91 13 0
3 Leon 4155 0 339 157 17
3 Leon 4157 0 379 285 15
3 Leon 4159 0 326 229 10
3 Leon 4161 0 1042 1341 43
3 Leon 4162 0 22 22 1
3 Leon 4163 0 788 856 44
3 Leon 4167 0 1110 1441 65
3 Leon 4168 0 45 34 3
3 Leon 4173 0 306 427 25
3 Leon 4184 0 323 268 8
3 Leon 4401 0 287 319 17
3 Leon 4403 0 554 809 47
3 Leon 4405 0 753 969 38
3 Leon 4408 0 752 835 43
3 Leon 4451 0 425 361 20
3 Leon 4453 0 523 742 22
3 Leon 4455 0 991 1435 76
3 Leon 4456 0 91 105 5
3 Leon 4457 0 48 65 1
3 Leon 4458 0 470 600 17
3 Leon 4459 0 1515 1940 91
3 Leon 4461 0 862 1193 53
3 Leon 5101 0 72 32 3
3 Leon 5103 0 685 195 26
3 Leon 5105 0 1805 752 62
3 Leon 5107 0 252 118 7
3 Leon 5110 0 785 383 31
3 Leon 5115 0 992 511 44
3 Leon 5153 0 782 854 32
3 Leon 5154 0 247 294 16
3 Leon 5165 0 114 33 4
3 Leon 5201 0 967 229 33
3 Leon 5203 0 1072 230 26
3 Leon 5204 0 0 0 0
3 Leon 5205 0 223 89 9
3 Leon 5207 0 2095 765 67
3 Leon 5209 0 281 104 14
3 Leon 5211 0 697 267 26
3 Leon 5212 0 86 70 5
3 Leon 5214 0 921 482 33
3 Leon 5219 0 1148 850 57
3 Leon 5220 0 770 402 22
3 Leon 5221 0 1305 584 47
3 Leon 5223 0 117 51 4
3 Leon 5224 0 146 112 7
3 Leon 5225 0 1838 1427 93
3 Leon 5227 0 147 78 7
3 Leon 5228 0 33 36 0
3 Leon 5251 0 881 924 51
3 Leon 5252 0 155 81 4
3 Leon 5258 0 0 0 0
3 Leon 5260 0 2169 1106 77
3 Leon 5261 0 1159 1108 54
3 Leon 5263 0 790 910 39
3 Leon 5264 0 57 21 1
3 Leon 5265 0 60 10 0
3 Leon 5284 0 868 860 43
3 Leon 9000 0 219 91 24
3 Liberty Annex 0 96 101 0
3 Liberty Bristol 0 166 633 0
3 Liberty Hosford 0 105 382 0
3 Liberty "Lake Mystic" 0 119 669 0
3 Liberty Orange 0 52 150 0
3 Liberty "Rock Bluff" 0 184 86 0
3 Liberty Sumatra 0 15 113 0
3 Liberty Telogia 0 114 387 0
3 Madison 1 0 725 934 0
3 Madison 10 0 663 529 0
3 Madison 11 0 488 294 0
3 Madison 2 0 244 73 0
3 Madison 3 0 306 1390 0
3 Madison 4 0 73 258 0
3 Madison 5 0 543 384 0
3 Madison 6 0 46 206 0
3 Madison 7 0 260 673 0
3 Madison 8 0 202 658 0
3 Madison 9 0 97 128 0
3 Taylor "1-1st United Methodist Ch" 0 260 419 8
3 Taylor "10-Lakeside Bapt Church" 0 99 457 14
3 Taylor "11-Kelly Grade Voting House" 0 62 540 12
3 Taylor "12-Perry Shrine Bldg" 0 330 446 22
3 Taylor "13-Jerkins Bldg" 0 635 188 13
3 Taylor "14-Mt Carmel Bapt Church" 0 128 907 28
3 Taylor "2-Big Bend Technical College" 0 136 748 20
3 Taylor "3-Blue Creek Bapt Church" 0 133 702 22
3 Taylor "4-Salem Baptist Church" 0 12 108 8
3 Taylor "5-Steinhatchee Comm Cntr" 0 113 660 31
3 Taylor "6-Shady Gr Missnry Bapt Ch" 0 68 409 15
3 Taylor "7-Johnson Strip Rd Voting" 0 128 1024 23
3 Taylor "8-United Steel Workers Bdg" 0 184 493 24
3 Taylor "9-Forest Capital Hall" 0 70 468 22
3 Wakulla "01 Wakulla Station" 0 686 1589 0
3 Wakulla "02 Crawfordville" 0 1354 3472 0
3 Wakulla "03 Sopchoppy" 0 336 784 0
3 Wakulla "04 Smith Creek" 0 20 166 0
3 Wakulla "05 St. Marks" 0 86 244 0
3 Wakulla "06 Medart" 0 237 1054 0
3 Wakulla "07 Ivan" 0 779 2226 0
3 Wakulla "08 Shell Point" 0 229 546 0
3 Wakulla "09 Panacea" 0 87 367 0
3 Wakulla "10 Ochlockonee Bay" 0 98 302 0
3 Wakulla "11 Bethel" 0 501 972 0
3 Wakulla "12 Shadeville" 0 614 1362 0
5 Baker "Baxter 4A" 0 9 169 5
5 Baker "Cuyler 4D" 0 57 794 25
5 Baker "Glen St. Mary 5A" 0 233 2749 91
5 Baker "Macedonia 4C" 0 158 1652 61
5 Baker "North Macclenny 3A" 0 392 2319 101
5 Baker "Olustee 6A" 0 71 141 11
5 Baker "Sanderson 1A" 0 552 1290 69
5 Baker "South Macclenny 2A" 0 504 2058 97
5 Baker "Taylor 4B" 0 41 474 11
5 Bradford "Precinct 1" 0 137 1202 0
5 Bradford "Precinct 10" 0 83 712 0
5 Bradford "Precinct 11" 0 172 796 0
5 Bradford "Precinct 12" 0 405 1166 0
5 Bradford "Precinct 13" 0 39 379 0
5 Bradford "Precinct 14" 0 99 514 0
5 Bradford "Precinct 2" 0 280 302 0
5 Bradford "Precinct 3" 0 60 447 0
5 Bradford "Precinct 4" 0 163 909 0
5 Bradford "Precinct 5" 0 435 912 0
5 Bradford "Precinct 6" 0 68 580 0
5 Bradford "Precinct 7" 0 457 380 0
5 Bradford "Precinct 8" 0 300 1108 0
5 Bradford "Precinct 9" 0 309 676 0
5 Clay "100 - Clay Hill Baptist Church" 0 203 2061 70
5 Clay "102 - VFW Post #8255" 0 420 2203 89
5 Clay "106 - Cornerstone Bapt Church" 0 447 2711 99
5 Clay "110 - Middleburg Civic Center" 0 529 1870 82
5 Clay "112 - Clay County Util Auth" 0 1618 3593 136
5 Clay "113 - Oakleaf Baptist Church" 0 4165 3550 223
5 Clay "115 - Oakleaf Plant Athl Cntr" 0 1964 2090 146
5 Clay "116 - Argyle Elementary" 0 1891 1830 100
5 Clay "118 - Asbury United Method Chu" 0 846 2306 90
5 Clay "122 - Advent Lutheran Church" 0 988 1996 64
5 Clay "124 - Advent Lutheran Church" 0 550 1316 43
5 Clay "128 - Calvary United" 0 689 853 76
5 Clay "202 - The Springs Church" 0 904 1480 64
5 Clay "204 - Outreach of America" 0 734 1200 53
5 Clay "206 - Orange Park Town" 0 412 736 42
5 Clay "208 - Club Continental" 0 390 799 59
5 Clay "210 - Orange Park Library" 0 763 1719 62
5 Clay "216 - Lakeside Church of Chris" 0 776 2427 94
5 Clay "218 - Orange Park Christian Church" 0 602 1859 95
5 Clay "302 - Thrasher - Horne Conf Cntr" 0 1049 2264 92
5 Clay "304 - Clay county Salvation Ar" 0 965 2161 109
5 Clay "308 - Frat Order of Police #10" 0 668 1539 69
5 Clay "310 - Clay County Shrine Club" 0 448 1938 65
5 Clay "400 - Orange Cove 7th Day Adv" 0 487 1764 76
5 Clay "406 - Eagle Harbor Soccer Club" 0 544 1576 67
5 Clay "408 - Crossroad Luth Chur" 0 905 2849 144
5 Clay "410 - Fleming Island Splsh Pk" 0 1859 4251 228
5 Clay "412 - River Christian Church" 0 575 2382 73
5 Clay "414 - Hibernia Baptist Church" 0 647 1780 78
5 Clay "500 - Pinewood Presb Chur" 0 764 1824 78
5 Clay "503 - American Legion" 0 258 1006 36
5 Clay "504 - Lake Asbury Comm Cntr" 0 257 1907 58
5 Clay "506 - Black Creek Church" 0 276 1467 56
5 Clay "508 - South Middleburg Bapt Ch" 0 379 2585 81
5 Clay "600 - Russell Baptist Church" 0 1005 3182 127
5 Clay "601 - Clay County Ag Cntr" 0 104 527 26
5 Clay "602 - GCS City Hall" 0 208 670 33
5 Clay "604 -GCS City Hall" 0 631 2237 69
5 Clay "606 - First Presbyterian Church" 0 2154 3139 203
5 Clay "610 - Shiloh Missionary Bapt Church" 0 90 795 19
5 Clay "612 -Shiloh Missionary Bapt Church" 0 71 496 18
5 Clay "700 - Kingsley Lake Civic Cent" 0 20 278 7
