COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Valdez Abbott Tippetts
Bee 0250005 0 37 135 1
Bee 0250006 0 176 421 4
Bee 0250008 0 19 101 2
Bee 0250009 0 193 141 3
Bee 0250010 0 251 269 11
Bee 0250011 0 30 111 1
Bee 0250012 0 41 133 1
Bee 0250013 0 186 466 7
Bee 0250014 0 41 96 0
Bee 0250016 0 168 339 13
Bee 0250017 0 199 314 1
Bee 0250018 0 202 758 16
Bee 0250019 0 138 90 5
Bell 0270101 0 847 2886 63
Bell 0270102 0 414 1352 30
Bell 0270103 0 694 1772 43
Bell 0270104 0 922 3346 71
Bell 0270105 0 109 751 7
Bell 0270106 0 1270 782 45
Bell 0270107 0 74 197 6
Bell 0270108 0 131 787 8
Bell 0270109 0 548 414 12
Bell 0270110 0 149 202 8
Bell 0270111 0 913 1776 55
Bell 0270113 0 33 130 2
Bell 0270201 0 665 827 30
Bell 0270202 0 1104 1933 39
Bell 0270203 0 748 3688 76
Bell 0270204 0 513 440 19
Bell 0270205 0 1182 741 34
Bell 0270206 0 503 358 22
Bell 0270207 0 869 493 41
Bell 0270208 0 1855 1105 55
Bell 0270209 0 1778 1884 76
Bell 0270210 0 1534 1217 46
Bell 0270301 0 265 1661 38
Bell 0270302 0 732 1350 31
Bell 0270303 0 950 1343 39
Bell 0270304 0 96 337 3
Bell 0270305 0 436 1153 26
Bell 0270306 0 496 389 18
Bell 0270307 0 733 315 9
Bell 0270308 0 425 488 22
Bell 0270309 0 44 426 1
Bell 0270310 0 33 274 1
Bell 0270311 0 240 1412 14
Bell 0270312 0 148 854 6
Bell 0270313 0 399 1258 25
Bell 0270314 0 507 771 26
Bell 0270315 0 1060 2364 78
Bell 0270317 0 1174 2961 57
Bell 0270401 0 142 528 15
Bell 0270402 0 402 1047 20
Bell 0270404a 0 1171 715 28
Bell 0270404b 0 0 0 0
Bell 0270405 0 1360 610 30
Bell 0270406 0 498 547 19
Bell 0270408 0 1527 985 27
Bell 0270409 0 417 481 23
Bell 0270410 0 429 282 14
Bell 0270412 0 1504 583 34
Bell 0270413 0 1760 942 46
Bexar 0291001 0 303 103 5
Bexar 0291002 0 210 142 5
Bexar 0291003 0 779 199 22
Bexar 0291004 0 273 69 4
Bexar 0291005 0 220 72 5
Bexar 0291006 0 641 220 3
Bexar 0291007 0 424 166 6
Bexar 0291008 0 822 181 18
Bexar 0291009 0 435 339 10
Bexar 0291010 0 241 68 5
Bexar 0291011 0 127 57 2
Bexar 0291012 0 523 301 20
Bexar 0291013 0 746 184 14
Bexar 0291014 0 359 91 4
Bexar 0291015 0 355 110 5
Bexar 0291016 0 325 99 6
Bexar 0291017 0 46 37 0
Bexar 0291018 0 607 221 14
Bexar 0291019 0 224 79 4
Bexar 0291020 0 664 288 16
Bexar 0291021 0 461 188 7
Bexar 0291022 0 264 105 4
Bexar 0291023 0 677 168 10
Bexar 0291024 0 851 585 21
Bexar 0291025 0 139 37 2
Bexar 0291026 0 359 95 4
Bexar 0291027 0 65 49 3
Bexar 0291028 0 265 115 8
Bexar 0291029 0 558 187 7
Bexar 0291030 0 7 8 2
Bexar 0291031 0 409 119 6
Bexar 0291032 0 639 161 14
Bexar 0291033 0 416 252 21
Bexar 0291034 0 801 869 27
Bexar 0291035 0 95 114 4
Bexar 0291036 0 825 648 28
Bexar 0291037 0 607 295 7
Bexar 0291038 0 779 464 16
Bexar 0291039 0 619 210 10
Bexar 0291040 0 709 240 17
Bexar 0291041 0 546 159 9
Bexar 0291042 0 321 110 3
Bexar 0291043 0 384 218 3
Bexar 0291044 0 638 238 11
Bexar 0291045 0 928 363 15
Bexar 0291046 0 618 205 3
Bexar 0291047 0 445 176 5
Bexar 0291048 0 596 245 8
Bexar 0291049 0 659 280 9
Bexar 0291050 0 375 217 9
Bexar 0291051 0 480 333 8
Bexar 0291052 0 522 259 8
Bexar 0291053 0 60 31 0
Bexar 0291054 0 651 292 9
Bexar 0291055 0 623 412 19
Bexar 0291056 0 710 450 15
Bexar 0291057 0 402 455 17
Bexar 0291058 0 477 516 15
Bexar 0291059 0 73 63 2
Bexar 0291060 0 767 255 11
Bexar 0291061 0 632 214 11
Bexar 0291062 0 26 35 0
Bexar 0291063 0 338 397 13
Bexar 0291064a 0 244 254 8
Bexar 0291064b 0 0 0 0
Bexar 0291065 0 452 486 12
Bexar 0291066 0 170 112 4
Bexar 0291067 0 488 827 14
Bexar 0291068 0 274 241 15
Bexar 0291069 0 137 162 6
Bexar 0291070 0 255 162 5
Bexar 0291071 0 502 359 13
Bexar 0291072 0 590 256 15
Bexar 0291073a 0 814 690 22
Bexar 0291073b 0 106 91 4
Bexar 0291074 0 5 4 0
Bexar 0291075 0 511 196 7
Bexar 0291076 0 753 495 23
Bexar 0291077 0 520 157 5
Bexar 0291078 0 156 43 0
Bexar 0291079 0 690 439 26
Bexar 0291080a 0 1185 507 26
Bexar 0291080b 0 12 5 0
Bexar 0291081 0 231 622 18
Bexar 0291082 0 1165 761 36
Bexar 0291083 0 837 643 25
Bexar 0291084 0 464 266 12
Bexar 0291085 0 421 206 3
Bexar 0291086 0 676 397 12
Bexar 0291087 0 385 186 9
Bexar 0291088 0 252 85 2
Bexar 0291089 0 335 316 14
Bexar 0291090 0 0 0 0
Bexar 0291091 0 626 327 15
Bexar 0291092 0 232 85 3
Bexar 0291093 0 238 195 14
Bexar 0291094 0 478 277 14
Bexar 0291095 0 44 37 4
Bexar 0291096 0 7 2 0
Bexar 0291097 0 222 96 4
Bexar 0291098 0 264 56 9
Bexar 0291099 0 786 487 27
Bexar 0291100 0 773 531 17
Bexar 0291101 0 0 0 0
Bexar 0291102 0 174 244 6
Bexar 0291103 0 100 135 2
Bexar 0291104 0 901 698 37
Bexar 0291105 0 142 88 7
Bexar 0291106 0 0 0 0
Bexar 0291107 0 595 510 11
Bexar 0291108a 0 1158 1184 68
Bexar 0291108b 0 8 8 0
Bexar 0291108c 0 23 24 1
Bexar 0291109 0 1 2 0
Bexar 0291110a 0 326 257 8
Bexar 0291110b 0 10 8 0
Bexar 0291111 0 1351 1079 46
Bexar 0291112 0 1174 600 33
Bexar 0291113 0 801 565 34
Bexar 0291114 0 0 0 0
Bexar 0291115 0 46 44 1
Bexar 0291116 0 271 313 6
Bexar 0291117 0 91 62 0
Bexar 0291118 0 600 638 26
Bexar 0291119 0 33 12 2
Bexar 0291120 0 29 10 0
Bexar 0291121 0 796 759 36
Bexar 0291122a 0 1145 1093 38
Bexar 0291122b 0 12 11 0
Bexar 0291122c 0 21 20 0
Bexar 0291123 0 118 132 0
Bexar 0291124 0 179 119 3
Bexar 0291125a 0 509 501 20
Bexar 0291125b 0 0 0 0
Bexar 0291125c 0 10 10 0
Bexar 0291126 0 0 0 0
Bexar 0291127 0 150 70 3
Bexar 0291128 0 317 225 13
Bexar 0291129 0 397 329 13
Bexar 0291130 0 0 0 0
Bexar 0291131 0 0 0 0
Bexar 0291132 0 1 1 0
Bexar 0291133 0 0 1 0
Bexar 0291134 0 0 0 0
Bexar 0291135 0 0 0 0
Bexar 0291136 0 65 69 2
Bexar 0291137 0 0 0 0
Bexar 0291138 0 150 63 9
Bexar 0291139 0 298 145 8
Bexar 0291140 0 316 230 12
Bexar 0291141 0 435 357 27
Bexar 0291142 0 503 292 11
Bexar 0291143 0 709 714 30
Bexar 0291144a 0 508 1135 10
Bexar 0291144b 0 32 71 0
Bexar 0291144c 0 25 57 0
Bexar 0291145 0 145 273 3
Bexar 0291146 0 34 43 1
Bexar 0291147 0 701 449 24
Bexar 0291148 0 109 69 3
Bexar 0291149 0 686 422 22
Bexar 0291150 0 879 697 20
Bexar 0291151 0 531 506 24
Bexar 0292001 0 194 49 5
Bexar 0292002 0 352 86 3
Bexar 0292003 0 545 113 12
Bexar 0292004 0 721 176 10
Bexar 0292005 0 324 116 11
Bexar 0292006 0 5 0 0
Bexar 0292007 0 466 137 2
Bexar 0292008 0 275 77 8
Bexar 0292009 0 566 245 21
Bexar 0292010 0 375 295 33
Bexar 0292011 0 554 129 12
Bexar 0292012 0 396 79 2
Bexar 0292013 0 364 144 4
Bexar 0292014 0 365 146 5
Bexar 0292015 0 461 99 8
Bexar 0292016 0 309 62 3
Bexar 0292017 0 276 59 2
Bexar 0292018 0 399 134 3
Bexar 0292019 0 431 103 10
Bexar 0292020 0 681 122 12
Bexar 0292021 0 690 216 8
Bexar 0292022 0 397 119 5
Bexar 0292023 0 946 311 15
Bexar 0292024 0 497 218 13
Bexar 0292025 0 807 296 19
Bexar 0292026 0 713 375 18
Bexar 0292027 0 463 248 9
Bexar 0292028 0 824 415 24
Bexar 0292029 0 325 102 1
Bexar 0292030 0 387 111 5
Bexar 0292031 0 415 84 5
Bexar 0292032 0 151 46 3
Bexar 0292033 0 169 47 2
Bexar 0292034 0 209 61 5
Bexar 0292035 0 625 226 20
Bexar 0292036 0 680 408 33
Bexar 0292037 0 388 459 17
Bexar 0292038 0 486 334 17
Bexar 0292039 0 535 149 16
Bexar 0292040 0 736 335 23
Bexar 0292041 0 886 351 8
Bexar 0292042 0 439 142 8
Bexar 0292043 0 519 167 6
Bexar 0292044 0 573 205 12
Bexar 0292045 0 886 293 22
Bexar 0292046 0 837 367 24
Bexar 0292047 0 587 300 13
Bexar 0292048 0 498 139 14
Bexar 0292049 0 794 407 19
Bexar 0292050 0 574 298 10
Bexar 0292051 0 177 85 5
Bexar 0292052 0 289 97 4
Bexar 0292053 0 386 126 5
Bexar 0292054 0 852 251 24
Bexar 0292055 0 956 317 30
Bexar 0292056 0 433 173 8
Bexar 0292057 0 610 246 11
Bexar 0292058 0 606 285 14
Bexar 0292059 0 648 256 13
Bexar 0292060 0 436 194 10
Bexar 0292061 0 303 245 12
Bexar 0292062 0 353 228 8
Bexar 0292063a 0 176 349 11
Bexar 0292063b 0 195 383 14
Bexar 0292063c 0 7 13 1
Bexar 0292064 0 672 445 32
Bexar 0292065 0 1236 733 39
Bexar 0292066 0 1020 1169 43
Bexar 0292067 0 123 41 1
Bexar 0292068 0 1131 1096 57
Bexar 0292069 0 829 512 26
Bexar 0292070 0 564 134 8
Bexar 0292071 0 184 53 1
Bexar 0292072 0 902 710 37
Bexar 0292073 0 353 167 10
Bexar 0292074 0 231 74 0
Bexar 0292075 0 278 56 4
Bexar 0292076 0 647 609 39
Bexar 0292077 0 642 654 22
Bexar 0292078 0 670 448 23
Bexar 0292079 0 164 42 4
Bexar 0292080 0 384 198 9
Bexar 0292081 0 258 147 8
Bexar 0292082 0 435 231 7
Bexar 0292083 0 298 102 6
Bexar 0292084 0 850 1223 53
Bexar 0292085 0 439 201 7
Bexar 0292086 0 914 799 33
Bexar 0292087 0 485 576 15
Bexar 0292088 0 1152 774 36
Bexar 0292089 0 111 43 3
Bexar 0292090 0 535 254 15
Bexar 0292091 0 873 402 31
Bexar 0292092 0 114 100 7
Bexar 0292093 0 296 213 9
Bexar 0292094 0 46 76 2
Bexar 0292095a 0 353 692 26
Bexar 0292095b 0 125 249 6
Bexar 0292095c 0 0 0 0
Bexar 0292096 0 654 319 28
Bexar 0292097 0 720 465 25
Bexar 0292098 0 367 223 13
Bexar 0292099 0 449 425 27
Bexar 0292100 0 351 216 14
Bexar 0292101 0 310 475 18
Bexar 0292102 0 750 668 30
Bexar 0292103 0 86 16 1
Bexar 0292104 0 82 20 2
Bexar 0292105 0 170 43 1
Bexar 0292106 0 141 79 6
Bexar 0292107 0 774 594 29
Bexar 0292108 0 306 395 13
Bexar 0292109 0 3 0 0
Bexar 0292110 0 317 268 18
Bexar 0292111 0 315 202 6
Bexar 0292112 0 513 398 16
Bexar 0292113 0 21 12 1
Bexar 0292114 0 639 348 24
Bexar 0292115 0 1002 1291 41
Bexar 0292116 0 2 0 0
Bexar 0292117 0 191 54 1
Bexar 0292118 0 12 1 0
Bexar 0292119 0 111 29 3
Bexar 0292120 0 294 277 11
Bexar 0292121 0 124 100 4
Bexar 0292122 0 496 168 23
Bexar 0292123 0 461 612 16
Bexar 0292124 0 224 197 5
Bexar 0292125 0 820 759 38
Bexar 0292126 0 370 262 8
Bexar 0292127 0 723 654 36
Bexar 0292128 0 576 174 9
Bexar 0292129 0 2 1 0
Bexar 0292130 0 635 462 21
Bexar 0292131 0 114 67 7
Bexar 0292132 0 0 1 0
Bexar 0292133 0 96 88 2
Bexar 0292134 0 354 170 11
Bexar 0292135 0 192 93 4
Bexar 0292136 0 1083 1002 39
Bexar 0292137 0 328 217 12
Bexar 0292138 0 277 198 10
Bexar 0292139 0 518 512 18
Bexar 0292140 0 440 251 13
Bexar 0292141 0 409 315 21
Bexar 0292142 0 166 76 7
Bexar 0292143 0 532 534 18
Bexar 0292144 0 633 387 21
Bexar 0292145 0 113 92 4
Bexar 0292146 0 26 9 0
Bexar 0292147 0 138 97 1
Bexar 0292148a 0 1089 527 38
Bexar 0292148b 0 0 0 0
Bexar 0292149 0 548 281 18
Bexar 0292150 0 3 0 0
Bexar 0292151 0 7 2 0
Bexar 0292152 0 193 57 10
Bexar 0292153 0 99 59 3
Bexar 0292154a 0 402 372 21
Bexar 0292154b 0 161 148 8
Bexar 0292154c 0 25 23 1
Bexar 0292154d 0 40 37 2
Bexar 0292155 0 0 1 0
Bexar 0292156 0 386 185 14
Bexar 0292157 0 0 0 0
Bexar 0292158 0 0 0 0
Bexar 0292159 0 56 44 4
Bexar 0292160 0 2 0 0
Bexar 0293001 0 745 1104 32
Bexar 0293002 0 631 683 21
Bexar 0293003 0 16 27 2
Bexar 0293004 0 1 0 0
Bexar 0293005 0 394 1019 23
Bexar 0293006 0 311 391 13
Bexar 0293007 0 672 874 27
Bexar 0293008 0 16 47 0
Bexar 0293009 0 2 8 0
Bexar 0293010 0 167 113 2
Bexar 0293011 0 297 386 12
Bexar 0293012 0 168 504 4
Bexar 0293013 0 578 494 22
Bexar 0293014 0 155 167 4
Bexar 0293015 0 307 292 13
Bexar 0293016 0 58 71 1
Bexar 0293017a 0 362 1116 22
Bexar 0293017b 0 14 44 1
Bexar 0293018 0 483 746 39
Bexar 0293019 0 198 118 12
Bexar 0293020 0 830 935 40
Bexar 0293021 0 407 1331 33
Bexar 0293022 0 458 610 22
Bexar 0293023 0 742 623 20
Bexar 0293024 0 0 0 0
Bexar 0293025 0 466 684 31
Bexar 0293026 0 401 649 27
Bexar 0293027 0 388 565 26
Bexar 0293028 0 484 631 16
Bexar 0293029 0 362 369 15
Bexar 0293030 0 512 958 23
Bexar 0293031 0 7 8 0
Bexar 0293032 0 654 441 23
Bexar 0293033 0 392 961 27
Bexar 0293034 0 316 1505 33
