COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Woodbury "29 SGT BLUFF EAST/WDBY" 1488 628 833 20 6 1
Woodbury "30 SGT BLUFF WEST" 1162 559 582 16 4 1
Woodbury "31 SALIX/LIB-LAK TWP" 540 243 282 11 3 1
Woodbury "32 BRONSON/FLO-GRG TWP" 534 201 314 10 8 1
Woodbury "33 PIERSON/RUTLAND TWP" 231 79 141 8 3 0
Woodbury "34 C'VILLE/KED-UNI TWP" 461 179 278 4 0 0
Woodbury "35 MOVILLE/ARL-MOV-WOL TW" 1146 453 675 11 7 0
Woodbury "36 LAWTON/BANNER TWP" 603 247 341 12 2 1
Woodbury "37 CLIMBING HILL/GRT-WES" 241 88 152 0 1 0
Woodbury "38 SLOAN/SLOAN TWP" 478 206 266 4 2 0
Woodbury "39 HORNICK/WILLOW TWP" 212 54 152 4 1 1
Woodbury "40 ANTHON/MILLER TWP" 294 115 173 5 1 0
Woodbury "41 DANBURY/LIS-MOR TWP" 299 88 209 1 1 0
Woodbury "42 SMITHLAND/LITTLE SIOUX" 189 64 123 0 2 0
Woodbury "43 OTO/OTO TWP" 90 45 43 2 0 0
Woodbury "44 CUSHING/ROCK TWP" 183 66 111 4 1 1
Wright Belmond 1360 650 669 34 7 0
Wright Clarion 937 395 499 33 9 1
Wright "Big 6" 546 202 340 3 1 0
Wright Dows 308 130 166 11 1 0
Wright "Eagle Grove #1" 209 113 88 7 1 0
Wright "Eagle Grove #2" 239 99 136 4 0 0
Wright "Eagle Grove #3" 344 135 193 12 4 0
Wright "Eagle Grove #4" 263 131 122 9 1 0
Wright "Rural Eagle Grove" 327 101 219 6 1 0
Wright Goldfield 353 129 218 4 1 1
