COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Chickasaw "New Hampton Ward 2" 301 144 141 10 6 0
Chickasaw "New Hampton Ward 3" 435 237 187 7 4 0
Chickasaw "New Hampton Ward 4" 446 246 194 5 1 0
Clay Douglas/Peterson 334 126 196 9 3 0
Clay Garfield/Herdland 199 86 110 0 2 1
Clay Lake/Freeman 237 108 126 2 1 0
Clay Lincoln/Clay 367 158 198 7 3 1
Clay "Logan/Gillett Grove" 217 80 130 3 4 0
Clay "Spencer Ward 1" 656 346 293 14 3 0
Clay "Spencer Ward 2" 763 410 335 14 3 1
Clay "Spencer Ward 3" 861 438 392 21 9 1
Clay "Spencer Ward 4" 1185 498 659 21 5 2
Clay "Spencer Ward 5" 1007 459 520 20 8 0
Clay Summit/Riverton/Sioux/Meadow 634 261 362 6 4 1
Clay "Waterford/Lone Tree" 400 155 234 10 1 0
Crawford "Charter Oak" 428 155 265 6 2 0
Crawford "DCAB Precinct" 540 207 312 19 2 0
Crawford "Denison 1st Ward" 663 318 327 12 5 1
Crawford "Denison 2nd Ward - Denison Township" 750 375 354 16 5 0
Crawford "Denison 3rd Ward - Goodrich Township" 980 439 522 13 6 0
Crawford "Northeast Precinct" 670 248 403 14 5 0
Crawford "Southeast Precinct" 762 298 445 13 6 0
Crawford "SRK Precinct" 622 208 397 10 7 0
Dickinson "Precinct No. 1" 596 240 339 14 3 0
Dickinson "Precinct No. 2" 595 236 351 5 3 0
Dickinson "Precinct No. 3" 577 253 315 6 2 1
Dickinson "Precinct No. 4 - NS Ballot #1" 207 108 95 3 1 0
Dickinson "Precinct No. 5" 860 374 464 12 9 1
Dickinson "Precinct No. 6 - NS Ballot #1" 228 111 110 7 0 0
Dickinson "Precinct No. 7" 98 44 52 2 0 0
Dickinson "Precinct No. 8" 1592 721 837 27 7 0
Dickinson "Precinct No. 9 - NS Ballot #1" 72 25 46 1 0 0
Dickinson "Precinct No. 10" 456 199 251 3 3 0
Dickinson "Precinct No. 11" 595 290 291 9 3 2
Dickinson "Precinct No. 12" 485 185 293 5 2 0
Dickinson "Precinct No. 13 - S Ballot #1" 652 304 334 10 2 2
Dickinson "Precinct No. 14 - S Ballot #1" 416 196 214 3 3 0
Dickinson "Precinct No. 15" 1358 645 684 24 5 0
Emmet AG-IL-Armstrong 487 194 283 6 4 0
Emmet CN-SL-Gruver 195 72 117 4 2 0
Emmet DM-JC-Ringsted 243 105 130 7 1 0
Emmet EL-LN-Dolliver 145 48 90 5 2 0
Emmet Emmet-Estherville 278 88 184 3 3 0
Emmet "Estherville Ward 1" 552 275 269 4 4 0
Emmet "Estherville Ward 2" 443 230 202 5 6 0
Emmet "Estherville Ward 3" 466 268 186 8 4 0
Emmet "Estherville Ward 4" 326 180 139 5 2 0
Emmet "Estherville Ward 5" 309 164 126 13 5 1
Emmet HL-TM-Wallingford 276 119 153 3 1 0
Floyd "Charles City Corp / CC1" 844 477 339 20 8 0
Floyd "Charles City Corp / CC2" 1019 569 424 18 8 0
Floyd "Charles City Corp / CC3" 826 494 303 24 5 0
Floyd "Floyd - Cedar - Niles" 677 295 358 18 5 1
Floyd "Rock Grove - Rudd" 893 482 373 28 9 1
Floyd "Rockford - Ulster" 664 312 331 12 8 1
Floyd "Scott - Union - Pleasant Grove" 451 199 231 13 8 0
Floyd "St. Charles - Riverton" 883 377 482 20 3 1
Franklin "Geneva / Ingham / East Mott" 314 120 181 9 4 0
Franklin "Grant / Osceola" 253 82 166 5 0 0
Franklin "Hamilton / Lee / Reeve" 291 109 176 6 0 0
Franklin "Hampton 1" 279 143 122 10 4 0
Franklin "Hampton 2" 383 194 174 11 4 0
Franklin "Hampton 3" 441 217 210 11 3 0
Franklin "Hampton 4" 340 189 145 5 1 0
Franklin Marion 287 106 176 2 3 0
Franklin "Oakland / Morgan" 281 95 176 6 4 0
Franklin "Richland / Ross / West Fork" 772 312 439 14 7 0
Franklin "West Mott" 213 83 128 1 1 0
Franklin "Wisner / Scott" 213 67 136 8 2 0
Greene "Central Precinct" 576 239 320 14 3 0
Greene "East Precinct" 598 289 288 19 2 0
