COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 364020 10 10 0 0 0 0 0
Alameda 364200 1180 994 158 4 7 5 1
Alameda 364400 2739 2409 249 21 8 10 2
Alameda 364510 837 733 82 2 9 1 0
Alameda 364800 3441 3142 183 17 27 18 8
Alameda 373000 1 1 0 0 0 0 0
Alameda 373010 0 0 0 0 0 0 0
Alameda 373030 0 0 0 0 0 0 0
Alameda 373500 2353 2101 171 13 7 12 8
Alameda 380300 2690 2455 142 16 13 6 9
Alameda 380400 3568 3135 319 24 18 6 14
Alameda 394000 6 3 3 0 0 0 0
Alameda 394200 3 3 0 0 0 0 0
Alameda 400100 666 581 57 7 4 2 0
Alameda 400200 2125 1944 124 9 5 10 7
Alameda 400900 3085 2817 188 20 9 9 8
Alameda 410110 3086 2735 226 24 14 19 16
Alameda 410600 3014 2699 225 17 13 9 14
Alameda 410700 3080 2723 233 20 22 19 11
Alameda 415500 720 627 66 5 3 1 3
Alameda 415800 2415 2136 188 24 21 11 10
Alameda 416220 0 0 0 0 0 0 0
Alameda 420010 0 0 0 0 0 0 0
Alameda 420030 104 78 24 1 0 0 0
Alameda 420220 13 13 0 0 0 0 0
Alameda 420240 0 0 0 0 0 0 0
Alameda 420250 1599 1211 286 4 14 8 12
Alameda 420300 166 122 38 0 0 1 1
Alameda 420310 33 12 20 0 1 0 0
Alameda 420400 2 0 2 0 0 0 0
Alameda 420510 1 1 0 0 0 0 0
Alameda 420900 766 581 146 2 8 1 3
Alameda 421100 4247 3105 907 30 21 26 13
Alameda 421800 2516 1876 494 21 11 11 12
Alameda 422000 3583 2627 793 25 10 5 9
Alameda 422810 3435 2462 783 11 18 6 18
Alameda 422920 3184 2318 712 15 12 8 7
Alameda 422940 0 0 0 0 0 0 0
Alameda 422950 0 0 0 0 0 0 0
Alameda 423000 3755 2829 707 23 16 12 12
Alameda 423100 4249 3010 1025 11 15 16 16
Alameda 423620 0 0 0 0 0 0 0
Alameda 423700 0 0 0 0 0 0 0
Alameda 423800 2 2 0 0 0 0 0
Alameda 423820 0 0 0 0 0 0 0
Alameda 424200 54 38 13 1 0 0 0
Alameda 424500 514 371 118 5 6 1 3
Alameda 424600 2006 1499 422 11 9 9 11
Alameda 430010 0 0 0 0 0 0 0
Alameda 430020 0 0 0 0 0 0 0
Alameda 430110 0 0 0 0 0 0 0
Alameda 430120 0 0 0 0 0 0 0
Alameda 430130 0 0 0 0 0 0 0
Alameda 430150 0 0 0 0 0 0 0
Alameda 430410 4 3 1 0 0 0 0
Alameda 430420 0 0 0 0 0 0 0
Alameda 430500 1 1 0 0 0 0 0
Alameda 430600 1646 1269 286 12 11 5 11
Alameda 430700 410 326 68 0 3 1 2
Alameda 430720 147 108 34 0 0 0 0
Alameda 430730 227 189 19 0 0 1 4
Alameda 430800 432 357 55 1 2 3 1
Alameda 431100 2336 1789 424 16 22 13 9
Alameda 431110 11 10 1 0 0 0 0
Alameda 431120 5 5 0 0 0 0 0
Alameda 431130 540 431 81 6 4 3 1
Alameda 431210 39 31 4 1 0 1 0
Alameda 431300 93 56 30 1 2 0 0
Alameda 431400 321 241 63 2 3 1 1
Alameda 431500 135 109 20 0 1 0 0
Alameda 431610 38 30 8 0 0 0 0
Alameda 431700 189 132 44 3 1 4 0
Alameda 431900 193 152 31 2 0 1 1
Alameda 432010 2941 2264 510 25 21 25 13
Alameda 432200 3774 2829 734 12 27 14 12
Alameda 432600 3202 2377 668 21 14 7 14
Alameda 432810 3672 2734 751 30 22 12 18
Alameda 432900 1336 1029 242 10 8 6 2
Alameda 433200 3315 2548 584 37 19 10 18
Alameda 433400 2915 2199 581 24 15 16 5
Alameda 433630 1016 761 208 5 5 4 1
Alameda 433700 2712 2041 524 24 18 8 14
Alameda 438120 0 0 0 0 0 0 0
Alameda 438130 0 0 0 0 0 0 0
Alameda 438140 0 0 0 0 0 0 0
Alameda 438200 9 6 2 0 0 0 0
Alameda 438500 7 1 5 1 0 0 0
Alameda 440300 3582 2488 901 36 18 18 10
Alameda 440610 2426 1678 616 17 7 7 7
Alameda 440900 3328 2317 831 40 18 7 8
Alameda 441400 3524 2572 762 21 14 14 15
