COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
BERTIE W1 0 176 102 6 6
BERTIE W2 0 20 211 1 2
BERTIE WD 0 74 11 3 0
BERTIE WH 0 53 137 1 4
BLADEN "BAY TREE FIRE DEPT" 0 178 703 15 8
BLADEN "BLAD COUNTY GYM" 0 2739 2449 128 75
BLADEN "BOOK T. WASHINGTON" 0 410 303 13 13
BLADEN "EAST ARCADIA" 0 626 84 11 4
BLADEN "MAIL ABSENTEE" 0 772 496 37 18
BLADEN P10 0 67 98 1 1
BLADEN P15 0 90 292 18 8
BLADEN P201 0 22 130 4 4
BLADEN P202 0 72 163 8 8
BLADEN P25 0 58 119 5 2
BLADEN P30 0 60 43 3 2
BLADEN P35 0 47 40 4 4
BLADEN P40 0 65 209 5 4
BLADEN P45 0 44 95 9 0
BLADEN P501 0 114 102 9 6
BLADEN P502 0 63 66 6 2
BLADEN P55 0 102 154 3 4
BLADEN P60 0 63 76 4 2
BLADEN P65 0 17 40 0 3
BLADEN P70 0 50 70 4 4
BLADEN P75 0 90 87 2 3
BLADEN P80 0 67 162 6 4
BLADEN PROVISIONAL 0 17 27 2 0
BLADEN "SPAULDING MONROE" 0 646 1789 63 36
BLADEN "TAR HEEL MUNI BLD" 0 801 1170 39 20
BLADEN TRANSFER 0 0 0 0 0
BRUNSWICK 01 0 549 702 50 24
BRUNSWICK 02 0 2564 3096 224 91
BRUNSWICK 03 0 713 510 54 21
BRUNSWICK 04A 0 4112 4925 295 88
BRUNSWICK 04B2 0 2507 3040 190 77
BRUNSWICK 05 0 1027 2001 142 65
BRUNSWICK 06 0 383 746 43 26
BRUNSWICK 07 0 1104 1508 75 37
BRUNSWICK 08 0 1691 2528 173 58
BRUNSWICK 09 0 364 564 31 6
BRUNSWICK 10A 0 1188 2262 92 48
BRUNSWICK 10B 0 2075 3327 63 42
BRUNSWICK 11 0 809 929 84 28
BRUNSWICK 12 0 711 1696 96 42
BRUNSWICK 13 0 880 1612 133 38
BRUNSWICK 14 0 1040 2531 109 49
BRUNSWICK 15 0 1786 3781 144 56
BRUNSWICK 16 0 1517 2703 109 53
BRUNSWICK 17 0 1890 3165 117 64
BRUNSWICK 18 0 339 1035 39 27
BRUNSWICK 19 0 1404 2795 133 64
BRUNSWICK 20 0 772 1990 126 50
BRUNSWICK 21 0 988 2377 188 54
BRUNSWICK 22 0 872 1531 69 30
BRUNSWICK 23 0 895 1617 102 32
BUNCOMBE 01.1 0 528 86 23 3
BUNCOMBE 02.1 0 809 62 29 7
BUNCOMBE 03.1 0 634 43 26 5
BUNCOMBE 04.1 0 409 78 9 1
BUNCOMBE 05.1 0 705 201 15 7
BUNCOMBE 06.1 0 378 96 17 2
BUNCOMBE 07.1 0 487 83 20 2
BUNCOMBE 08.2 0 538 136 35 4
BUNCOMBE 08.3 0 559 125 28 3
BUNCOMBE 09.1 0 808 254 47 22
BUNCOMBE 10.1 0 309 33 18 4
BUNCOMBE 11.1 0 369 48 15 2
BUNCOMBE 12.1 0 524 91 34 3
BUNCOMBE 13.1 0 528 90 31 8
BUNCOMBE 14.2 0 491 81 29 5
BUNCOMBE 14.3 0 215 57 25 2
