COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Ashland "ASHLAND CITY 1-B" 394 113 236 8 6 3 0
Ashland "ASHLAND CITY 1-C" 439 84 322 1 6 4 0
Ashland "ASHLAND CITY 1-D" 784 165 555 8 7 13 0
Ashland "ASHLAND CITY 1-E" 543 90 414 1 17 6 0
Ashland "ASHLAND CITY 2-A" 696 154 458 13 17 16 0
Ashland "ASHLAND CITY 2-B" 447 113 271 15 9 12 0
Ashland "ASHLAND CITY 2-C" 369 89 239 7 6 11 0
Ashland "ASHLAND CITY 2-D" 729 168 500 8 13 10 0
Ashland "ASHLAND CITY 3-A" 508 143 316 5 15 9 0
Ashland "ASHLAND CITY 3-B" 766 196 496 7 17 11 0
Ashland "ASHLAND CITY 3-C" 673 132 478 6 13 8 0
Ashland "ASHLAND CITY 3-D" 318 92 190 7 8 6 0
Ashland "ASHLAND CITY 4-A" 492 121 302 7 10 20 0
Ashland "ASHLAND CITY 4-B" 337 100 184 10 20 7 0
Ashland "ASHLAND CITY 4-C" 343 86 213 9 15 5 0
Ashland "ASHLAND CITY 4-D" 209 49 136 2 5 9 0
Ashland "CLEAR CREEK 1" 416 66 307 3 7 12 0
Ashland "GREEN 1" 765 164 519 15 17 21 0
Ashland "GREEN 2" 431 75 299 9 17 11 0
Ashland HANOVER 468 97 336 7 9 5 0
Ashland "LOUDONVILLE 1" 923 213 624 18 22 8 0
Ashland "LOUDONVILLE 2" 353 76 243 5 7 6 0
Ashland "JACKSON 1" 727 171 478 12 25 16 0
Ashland "JACKSON 2" 932 172 675 16 15 14 0
Ashland LAKE 327 66 232 7 4 6 0
Ashland "MILTON 1" 849 125 646 12 19 14 0
Ashland "MILTON 3" 405 68 302 3 12 5 0
Ashland JEROMESVILLE 230 59 143 4 12 3 0
Ashland MOHICAN 806 130 575 12 29 11 0
Ashland "MONTGOMERY 1" 529 76 421 5 7 6 0
Ashland "MONTGOMERY 2" 669 116 475 11 11 17 0
Ashland "MONTGOMERY 3" 416 66 315 3 12 1 0
Ashland "ORANGE 1" 803 135 559 17 25 12 0
Ashland "ORANGE 2" 466 68 346 8 10 13 0
Ashland PERRY 959 155 707 6 34 21 0
Ashland RUGGLES 461 80 339 8 10 10 0
Ashland "SULLIVAN 1" 601 119 409 13 22 10 0
Ashland "SULLIVAN 2" 483 111 301 11 21 8 0
Ashland TROY 600 131 402 4 14 14 0
Ashland "VERMILLION 1" 639 127 453 6 13 16 0
Ashland "VERMILLION 2" 407 80 284 7 8 9 0
Ashland "VERMILLION 3" 427 61 316 10 15 7 0
Ashland MIFFLIN 699 127 508 6 5 15 0
Ashland "CLEAR CREEK 2" 548 87 405 10 15 14 0
Ashtabula "ASHTABULA 1-A" 581 262 262 19 16 5 0
Ashtabula "ASHTABULA 1-B" 461 191 235 12 6 3 0
Ashtabula "ASHTABULA 1-C" 414 217 162 8 9 7 0
Ashtabula "ASHTABULA 1-D" 330 157 143 11 3 5 0
Ashtabula "ASHTABULA 2-A" 481 231 187 17 12 10 0
Ashtabula "ASHTABULA 2-B" 461 219 183 17 13 8 0
Ashtabula "ASHTABULA 2-C" 265 132 100 13 5 5 0
Ashtabula "ASHTABULA 2-D" 211 107 89 4 2 6 0
Ashtabula "ASHTABULA 3-A" 136 89 36 2 2 1 0
Ashtabula "ASHTABULA 3-B" 228 106 83 11 7 7 0
Ashtabula "ASHTABULA 3-C" 212 110 81 5 6 5 0
Ashtabula "ASHTABULA 3-D" 219 143 49 5 7 5 0
Ashtabula "ASHTABULA 4-A" 191 100 68 4 6 3 0
Ashtabula "ASHTABULA 4-B" 203 98 81 5 7 4 0
Ashtabula "ASHTABULA 4-C" 250 101 118 10 8 2 0
Ashtabula "ASHTABULA 4-D" 521 237 228 17 11 9 0
Ashtabula "ASHTABULA 5-A" 160 65 75 8 5 3 0
Ashtabula "ASHTABULA 5-B" 159 75 59 10 4 5 0
Ashtabula "ASHTABULA 5-C" 395 168 192 5 9 4 0
Ashtabula "ASHTABULA 5-D" 272 138 92 4 17 8 0
Ashtabula "CONNEAUT 1-A" 245 101 117 9 9 4 0
Ashtabula "CONNEAUT 1-B" 228 67 140 9 6 3 0
Ashtabula "CONNEAUT 1-C" 446 156 239 11 17 7 0
Ashtabula "CONNEAUT 2-A" 474 207 216 7 15 15 0
Ashtabula "CONNEAUT 2-B" 563 239 274 17 11 6 0
Ashtabula "CONNEAUT 2-C" 457 147 265 8 17 7 0
Ashtabula "CONNEAUT 3-A" 265 90 152 4 8 3 0
Ashtabula "CONNEAUT 3-B" 360 134 189 8 15 5 0
Ashtabula "CONNEAUT 3-C" 339 170 150 3 4 4 0
Ashtabula "CONNEAUT 3-D" 333 147 151 2 11 11 0
Ashtabula "CONNEAUT 4-A" 242 101 101 14 9 8 0
Ashtabula "CONNEAUT 4-B" 430 202 177 13 10 9 0
Ashtabula "CONNEAUT 4-C" 194 79 95 4 6 6 0
Ashtabula "GENEVA 1" 340 121 179 6 5 9 0
Ashtabula "GENEVA 2" 619 232 312 21 23 12 0
Ashtabula "GENEVA 3" 305 130 147 3 11 4 0
Ashtabula "GENEVA 4" 276 96 151 5 8 5 0
Ashtabula "GENEVA 5" 245 92 122 6 8 6 0
Ashtabula "GENEVA 6" 379 144 199 4 5 11 0
Ashtabula "GENEVA 7" 379 132 221 3 8 4 0
Ashtabula "ANDOVER TWP. 1" 429 124 269 8 10 7 0
Ashtabula "ANDOVER TWP. 2" 362 72 251 5 12 11 0
Ashtabula "ANDOVER VILLAGE" 388 108 228 4 20 13 0
Ashtabula "ASHTABULA TWP. 1" 356 132 189 11 6 9 0
Ashtabula "ASHTABULA TWP. 2" 549 189 315 8 16 9 0
