COUNTY AREA TOTAL DEM REP De_La_Fuente Hawkins Jorgensen Others
COUNTY AREA TOTAL Biden Trump De_La_Fuente Hawkins Jorgensen Others
FRA Industry 511 232 253 1 10 8 0
FRA Jay 2688 1220 1375 3 23 44 0
FRA Kingfield 899 407 444 2 6 29 0
FRA "New Sharon" 963 391 528 2 12 23 0
FRA "New Vineyard" 463 154 293 2 4 10 0
FRA "Perkins Twp" 13 10 2 0 1 0 0
FRA Phillips 668 252 385 3 9 7 0
FRA "Rangeley/Adamstown Twp" 768 294 449 1 7 7 0
FRA "Rangeley Plt" 147 57 86 1 0 1 0
FRA "Sandy River Plt" 103 65 36 0 0 1 0
FRA "Strong/Freeman Twp" 819 266 526 2 8 14 0
FRA Temple 337 172 155 0 2 7 0
FRA Weld 309 149 144 1 4 1 0
FRA "Wilton/Washington Twp" 2201 978 1117 2 18 62 0
FRA "Wyman Twp" 39 21 15 0 1 2 0
HAN Amherst 191 64 115 0 5 5 0
HAN Aurora 72 29 42 0 1 0 0
HAN "Bar Harbor" 3608 2678 804 5 45 44 0
HAN "Blue Hill" 1993 1310 624 3 25 15 0
HAN Brooklin 632 426 189 0 4 5 0
HAN Brooksville 697 450 219 1 12 4 0
HAN Bucksport 2874 1278 1481 3 25 68 0
HAN Castine 501 346 136 1 6 10 0
HAN "Cranberry Isles" 140 95 36 1 4 2 0
HAN Dedham 1177 545 582 1 11 27 1
HAN "Deer Isle" 1339 806 496 2 9 10 0
HAN Eastbrook 224 65 148 0 4 5 0
HAN Ellsworth 4891 2274 2359 10 60 121 0
HAN "Franklin/T9 T10 SD" 871 381 459 1 11 8 1
HAN Frenchboro 33 12 19 0 0 0 0
HAN Gouldsboro 1128 477 612 1 9 17 0
HAN "Great Pond" 43 18 25 0 0 0 0
HAN Hancock 1486 659 778 1 11 23 0
HAN Lamoine 1221 616 576 2 8 9 0
HAN Mariaville 311 113 191 0 0 6 0
HAN "Mount Desert" 1511 1066 381 0 17 24 2
HAN Orland 1438 691 693 3 13 24 0
HAN Osborn 44 10 31 0 1 2 0
HAN Otis 491 153 323 0 4 4 0
HAN Penobscot 852 512 306 1 14 12 0
HAN Sedgwick 851 511 321 0 6 5 0
HAN Sorrento 191 89 94 0 4 2 0
HAN "Southwest Harbor" 1141 728 381 1 13 14 0
HAN Stonington 646 409 220 0 9 2 0
HAN Sullivan 730 354 348 1 5 16 0
HAN Surry 1106 596 464 0 13 18 0
HAN "Swans Island" 268 132 129 0 2 3 0
HAN "T22 MD Twp" 8 3 5 0 0 0 0
HAN "T3 ND Twp" 5 3 2 0 0 0 0
HAN Tremont 1049 590 422 1 11 19 0
HAN Trenton 996 509 451 2 12 13 0
HAN "Verona Island" 353 158 182 0 6 4 0
HAN Waltham 231 68 159 0 0 3 0
HAN "Winter Harbor" 333 145 179 0 0 5 0
KEN Albion 1225 385 801 2 10 21 0
KEN Augusta 9855 5248 4155 11 104 218 2
KEN Belgrade 2234 994 1166 1 19 35 1
KEN Benton 1643 607 984 2 15 24 0
KEN Chelsea 1586 605 917 3 15 23 0
KEN China 2616 1107 1395 3 28 54 3
KEN Clinton 1820 641 1098 1 14 34 0
KEN Farmingdale 1755 903 768 6 19 42 0
KEN Fayette 832 388 421 2 4 15 0
KEN Gardiner 3309 1694 1471 4 37 72 0
KEN Hallowell 1797 1277 445 3 26 29 0
KEN Litchfield 2192 850 1260 4 19 44 0
KEN Manchester 1709 832 810 1 13 34 0
KEN Monmouth 2597 1079 1397 3 33 66 0
KEN "Mount Vernon" 1166 576 560 0 6 16 0
KEN Oakland 3667 1681 1853 3 37 54 0
KEN Pittston 1800 691 1034 3 24 26 0
KEN Randolph 1043 467 533 0 13 16 0
KEN Readfield 1840 943 818 3 16 40 0
KEN Rome 719 340 350 2 10 11 0
KEN Sidney 2981 1184 1688 5 17 60 0
KEN Vassalboro 2575 1075 1394 7 22 55 0
KEN Vienna 409 186 208 0 6 5 0
KEN Waterville 8013 5019 2627 11 84 162 2
KEN Wayne 877 506 343 0 7 13 0
KEN "West Gardiner" 2400 1000 1317 4 17 42 0
KEN Windsor 1449 477 899 2 14 41 0
KEN Winslow 4725 2184 2360 4 46 85 0
KEN Winthrop 3781 1963 1649 1 55 69 0
KNO Appleton 924 478 407 0 15 15 0
KNO Camden 3874 2931 832 5 37 32 0
KNO Cushing 971 424 520 0 5 11 0
KNO Friendship 809 309 477 0 2 11 0
KNO Hope 1125 653 443 0 10 11 0
KNO "Isle Au Haut" 67 54 9 0 1 2 0
KNO "Matinicus Isle Plt" 51 36 14 0 0 0 0
KNO "North Haven" 327 221 85 0 4 11 0
KNO "Owls Head" 1089 584 454 1 8 18 0
KNO Rockland 4019 2493 1363 6 54 49 0
KNO Rockport 2563 1694 776 4 17 39 0
KNO "Saint George" 1845 1108 663 6 15 22 0
KNO "South Thomaston" 1006 574 403 0 4 15 1
KNO Thomaston 1685 960 664 2 23 16 3
KNO Union 1575 726 786 4 16 28 1
KNO Vinalhaven 843 531 287 0 4 15 0
KNO Warren 2256 919 1259 3 22 41 0
KNO Washington 1003 415 540 3 11 19 0
LIN Alna 524 320 174 2 8 13 0
LIN Boothbay 2232 1229 922 4 16 37 0
LIN "Boothbay Harbor" 1416 814 545 0 11 25 0
LIN Bremen 571 367 185 0 5 6 0
LIN Bristol 2149 1275 808 1 17 23 0
LIN Damariscotta 1495 980 463 4 14 15 0
LIN Dresden 1170 542 580 1 6 30 0
LIN Edgecomb 894 510 348 2 7 22 0
LIN Jefferson 1709 679 951 0 17 44 0
LIN "Monhegan Island Plt" 63 51 7 0 3 1 0
LIN Newcastle 1377 923 403 3 11 19 0
LIN Nobleboro 1326 729 559 1 6 15 0
LIN Somerville 361 131 213 2 2 9 0
LIN "South Bristol" 726 429 261 2 6 18 0
LIN Southport 496 306 173 0 1 11 0
LIN Waldoboro 2955 1294 1568 5 25 42 0
LIN "Westport Island" 557 303 231 2 4 11 0
LIN Whitefield 1491 688 753 6 14 18 0
LIN Wiscasset 2345 1114 1112 0 26 61 0
OXF "Albany Twp" 336 152 159 0 10 12 0
OXF Andover 542 223 293 0 6 16 0
OXF "Bethel/Mason Twp" 1839 1006 749 2 19 54 0
OXF Brownfield 967 468 466 3 10 10 0
OXF Buckfield 1103 436 636 1 11 14 0
OXF Byron 94 31 58 0 1 2 0
OXF Canton 550 154 374 0 8 8 0
OXF Denmark 834 404 392 2 7 22 0
OXF Dixfield 1313 460 803 2 7 30 0
OXF Fryeburg 1957 1060 813 6 25 33 0
OXF Gilead 125 48 66 0 4 5 0
OXF Greenwood 537 278 242 0 3 10 0
OXF Hanover 201 101 92 0 0 5 0
OXF Hartford 728 278 428 1 7 10 0
OXF Hebron 783 323 427 2 2 24 0
OXF Hiram 931 373 528 0 13 14 0
OXF "Lincoln Plt" 32 12 20 0 0 0 0
OXF Lovell 775 399 353 0 10 4 0
OXF "Magalloway Plt" 16 6 10 0 0 0 0
OXF Mexico 1280 556 676 0 12 27 0
OXF Newry 290 163 119 0 3 4 0
OXF Norway 2892 1400 1363 3 37 51 0
OXF Otisfield 1182 535 605 0 11 20 0
OXF Oxford 2351 807 1456 3 20 39 0
OXF Paris 2884 1280 1494 3 29 49 0
OXF Peru 923 322 561 1 9 15 1
OXF Porter 883 328 521 0 9 17 0
OXF Roxbury 246 89 147 0 5 5 0
OXF Rumford 2900 1275 1502 1 28 57 0
OXF Stoneham 186 83 102 0 0 0 0
OXF Stow 256 126 121 0 2 4 0
OXF Sumner 561 206 324 1 11 11 0
OXF Sweden 283 165 108 1 3 6 0
OXF Upton 64 16 47 1 0 0 0
OXF Waterford 1044 452 557 0 9 20 0
OXF "West Paris" 967 372 552 1 10 22 0
OXF "Woodstock/Milton Twp" 955 368 534 7 6 30 0
PEN Alton 481 169 293 0 5 9 0
PEN "Argyle Twp" 85 36 46 0 0 2 0
PEN Bangor 16387 9452 6065 34 210 411 1
PEN Bradford 694 188 485 0 11 10 0
PEN Bradley 895 378 485 2 8 14 0
PEN Brewer 5332 2533 2568 7 38 132 0
PEN Burlington 209 56 145 0 0 5 0
PEN Carmel 1794 560 1183 3 9 27 0
PEN "Carroll Plt" 88 14 73 0 0 0 0
PEN Charleston 765 164 580 1 4 4 0
PEN Chester 327 61 261 1 1 2 0
PEN Clifton 537 187 324 0 7 14 0
PEN Corinna 1254 363 847 1 7 26 0
PEN Corinth 1579 390 1147 3 9 25 0
PEN Dexter 1863 617 1169 0 25 30 0
PEN Dixmont 737 265 446 1 5 14 0
PEN "Drew Plt" 19 5 13 0 1 0 0
PEN "East Millinocket" 962 370 567 0 6 10 0
PEN Eddington 1473 503 903 4 8 38 0
PEN Edinburg 106 36 66 0 0 3 0
PEN Enfield 887 279 585 0 6 9 0
PEN Etna 731 216 495 0 4 11 0
PEN Exeter 583 190 366 1 5 9 0
PEN Garland 615 177 409 0 6 13 0
PEN Glenburn 2815 1108 1612 4 21 44 0
PEN "Grand Falls Twp" 11 3 7 0 0 0 0
PEN Greenbush 720 193 499 0 4 21 0
PEN Hampden 4930 2451 2265 6 32 123 1
PEN Hermon 3995 1447 2427 5 20 65 1
PEN "Herseytown Twp" 22 2 18 0 1 0 0
PEN Holden 2145 871 1200 2 17 35 0
PEN Howland 649 221 390 1 6 25 0
PEN Hudson 615 120 484 0 3 4 0
PEN Kenduskeag 774 242 514 0 2 12 0
PEN "Kingman Twp" 67 8 59 0 0 0 0
PEN "Lagrange/Orneville Twp" 360 101 248 0 4 5 0
PEN Lakeville 69 29 38 0 1 1 0
PEN Lee 513 140 350 0 7 11 0
PEN Levant 1678 477 1149 1 6 32 0
PEN Lincoln 2617 813 1723 3 17 40 0
PEN Lowell 258 56 193 1 2 3 0
PEN "Mattamiscontis Twp" 52 9 42 0 0 1 0
PEN "Mattawamkeag/Molunkus Twp" 392 120 257 1 3 7 0
PEN Maxfield 70 17 48 0 0 4 0
PEN Medway/Townships 759 195 550 0 1 12 0
