COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
"Black Hawk" "Evansdale W4" 662 300 345 2 0 0 0 12 0 2 1
"Black Hawk" "Mt Vernon" 665 258 392 2 1 3 0 3 1 2 3
"Black Hawk" "Poyner P1 East Wloo" 564 211 348 1 0 0 1 3 0 0 0
"Black Hawk" "Poyner P2 Gilb Fox Jesup" 1207 457 738 0 1 0 2 5 1 2 1
"Black Hawk" "Spring Creek" 213 62 147 0 0 0 0 3 0 0 1
"Black Hawk" Union 652 231 412 0 1 0 0 6 0 0 2
"Black Hawk" "Washington Janesville" 436 147 282 0 0 0 0 5 0 1 1
"Black Hawk" "WL W1 P1" 1330 697 596 2 3 1 2 18 1 4 6
"Black Hawk" "WL W1 P2" 1216 671 522 0 2 0 0 13 0 2 6
"Black Hawk" "WL W1 P3" 924 585 312 1 1 0 1 15 0 5 4
"Black Hawk" "WL W1 P4" 1244 634 583 0 2 0 2 16 0 2 5
"Black Hawk" "WL W1 P5" 1118 593 510 0 0 1 2 8 0 1 3
"Black Hawk" "WL W1 P6" 1916 879 1007 1 2 0 2 19 0 0 6
"Black Hawk" "WL W2 P1" 826 476 337 0 0 1 2 5 2 2 1
"Black Hawk" "WL W2 P2" 722 448 264 0 0 0 1 6 0 1 2
"Black Hawk" "WL W2 P3" 1156 624 499 2 0 0 5 19 0 5 2
"Black Hawk" "WL W2 P4" 1767 964 776 1 1 0 1 14 1 5 4
"Black Hawk" "WL W2 P5" 1365 714 618 1 4 2 3 13 0 5 5
"Black Hawk" "WL W2 P6" 1297 636 644 1 2 2 2 7 0 1 2
"Black Hawk" "WL W3 P1" 1028 582 431 0 1 0 3 5 0 2 4
"Black Hawk" "WL W3 P2" 989 603 361 1 4 1 2 14 1 2 0
"Black Hawk" "WL W3 P3" 531 438 85 0 0 1 1 4 0 2 0
"Black Hawk" "WL W3 P4" 630 440 179 0 1 0 0 4 0 5 1
"Black Hawk" "WL W3 P5" 1408 782 591 1 3 1 3 22 0 3 2
"Black Hawk" "WL W3 P6" 683 466 195 4 2 0 3 7 0 4 2
"Black Hawk" "WL W4 P1" 771 679 87 0 1 0 0 0 0 3 1
"Black Hawk" "WL W4 P2" 573 483 84 0 2 0 1 3 0 0 0
"Black Hawk" "WL W4 P3" 479 382 87 0 1 0 1 6 0 1 1
"Black Hawk" "WL W4 P4" 771 498 256 1 4 0 2 5 0 3 2
"Black Hawk" "WL W4 P5" 878 692 174 0 0 1 2 5 0 2 2
"Black Hawk" "WL W4 P6" 638 330 289 1 2 0 2 7 0 2 5
"Black Hawk" "WL W5 P1" 438 288 136 1 0 0 1 6 1 2 3
"Black Hawk" "WL W5 P2" 1029 624 382 2 0 0 0 15 0 4 2
"Black Hawk" "WL W5 P3" 899 552 330 0 1 0 1 9 1 4 1
