COUNTY AREA TOTAL DEM REP LMN IND Writein
COUNTY AREA TOTAL Smith Housley Wellington Trooien Writein
Anoka "Coon Rapids W-1 P-1" 1958 989 908 42 17 2
Anoka "Coon Rapids W-1 P-2" 1727 812 850 50 15 0
Anoka "Coon Rapids W-1 P-3" 1394 646 675 43 29 1
Anoka "Coon Rapids W-1 P-4" 851 416 371 57 5 2
Anoka "Coon Rapids W-2 P-1" 1469 734 671 47 15 2
Anoka "Coon Rapids W-2 P-2" 983 468 467 40 8 0
Anoka "Coon Rapids W-2 P-3" 1495 735 676 75 9 0
Anoka "Coon Rapids W-2 P-4" 916 446 403 58 8 1
Anoka "Coon Rapids W-2 P-5" 1033 565 404 51 13 0
Anoka "Coon Rapids W-3 P-1" 1199 623 501 62 13 0
Anoka "Coon Rapids W-3 P-2" 1193 601 529 49 14 0
Anoka "Coon Rapids W-3 P-3" 1134 597 462 60 14 1
Anoka "Coon Rapids W-3 P-4" 1093 611 412 55 15 0
Anoka "Coon Rapids W-4 P-1" 1325 692 569 51 13 0
Anoka "Coon Rapids W-4 P-2" 1309 655 577 62 13 2
Anoka "Coon Rapids W-4 P-3" 1285 674 535 67 9 0
Anoka "Coon Rapids W-4 P-4" 1666 791 749 98 28 0
Anoka "Coon Rapids W-5 P-1" 1222 602 529 71 18 2
Anoka "Coon Rapids W-5 P-2" 1423 734 607 64 16 2
Anoka "Coon Rapids W-5 P-3" 812 431 310 62 9 0
Anoka "Coon Rapids W-5 P-4" 610 360 208 35 7 0
Anoka "Coon Rapids W-5 P-5" 1196 636 498 48 14 0
Anoka "East Bethel P-1" 1743 574 1074 81 14 0
Anoka "East Bethel P-2" 1749 611 1046 70 21 1
Anoka "East Bethel P-3" 1694 587 1017 74 16 0
Anoka "Fridley W-1 P-1" 990 577 353 52 6 2
Anoka "Fridley W-1 P-2" 1011 573 386 40 10 2
Anoka "Fridley W-1 P-3" 1134 748 298 71 17 0
Anoka "Fridley W-1 P-4" 905 578 279 42 6 0
Anoka "Fridley W-2 P-1" 829 498 269 56 6 0
Anoka "Fridley W-2 P-2" 756 508 219 27 2 0
Anoka "Fridley W-2 P-3" 1248 750 429 49 20 0
Anoka "Fridley W-2 P-4" 1214 735 424 43 11 1
Anoka "Fridley W-3 P-1" 930 556 300 61 13 0
Anoka "Fridley W-3 P-2" 1323 761 485 64 11 2
Anoka "Fridley W-3 P-3" 615 417 147 45 5 1
Anoka "Fridley W-3 P-4" 784 485 241 50 7 1
Anoka "Ham Lake P-1" 1067 386 624 45 12 0
Anoka "Ham Lake P-2" 1554 552 950 42 9 1
Anoka "Ham Lake P-3A" 1478 486 917 55 19 1
Anoka "Ham Lake P-4A" 1425 462 905 48 10 0
Anoka "Ham Lake P-5" 1111 359 726 16 10 0
Anoka "Ham Lake P-6A" 1345 464 830 40 11 0
Anoka "Hilltop P-1" 152 108 35 7 2 0
Anoka "Lexington P-1" 778 343 365 63 7 0
Anoka "Lino Lakes P-1" 1011 424 526 47 13 1
Anoka "Lino Lakes P-2" 1639 731 823 72 11 2
Anoka "Lino Lakes P-3" 1294 602 622 56 14 0
Anoka "Lino Lakes P-4" 1957 880 1014 45 18 0
Anoka "Lino Lakes P-5" 1018 481 487 36 14 0
Anoka "Lino Lakes P-6" 1810 745 1013 41 11 0
Anoka "Lino Lakes P-7" 1865 833 966 45 19 2
Anoka "Linwood Twp P-1" 1672 553 1018 80 21 0
Anoka "Linwood Twp P-2" 974 356 541 67 10 0
Anoka "Nowthen P-1A" 1481 439 968 61 13 0
Anoka "Nowthen P-2A" 834 242 565 21 5 1
Anoka "Oak Grove P-1" 1328 467 802 44 15 0
Anoka "Oak Grove P-2" 1159 348 749 52 10 0
Anoka "Oak Grove P-3" 1146 330 758 36 22 0
Anoka "Oak Grove P-4" 769 260 470 28 11 0
Anoka "Ramsey W-1 P-1" 2206 946 1140 95 25 0
Anoka "Ramsey W-1 P-2" 697 264 409 20 4 0
Anoka "Ramsey W-2 P-1" 1144 377 721 30 16 0
Anoka "Ramsey W-2 P-2" 2071 770 1182 91 28 0
Anoka "Ramsey W-3 P-1" 1989 878 998 97 16 0
Anoka "Ramsey W-3 P-2" 795 333 412 45 5 0
Anoka "Ramsey W-4 P-1" 1372 640 662 61 9 0
Anoka "Ramsey W-4 P-2" 1426 585 765 61 14 1
Anoka "Saint Francis P-1" 1495 501 860 113 20 1
Anoka "Saint Francis P-2" 1308 432 802 59 13 2
Anoka "Spring Lake Park P-1A" 713 365 305 36 7 0
Anoka "Spring Lake Park P-2" 820 441 316 51 12 0
Anoka "Spring Lake Park P-3" 1316 713 513 68 22 0
Becker "Atlanta Twp" 44 12 32 0 0 0
Becker Audubon 189 59 119 11 0 0
Becker "Audubon Twp" 304 104 189 9 2 0
Becker "Burlington Twp" 733 278 434 17 4 0
Becker Callaway 66 26 26 13 1 0
Becker "Callaway Twp" 113 48 59 5 1 0
Becker "Carsonville Twp" 107 40 60 5 2 0
Becker "Cormorant Twp" 597 249 322 20 6 0
Becker "Cuba Twp" 124 49 73 1 1 0
Becker "Detroit Twp P-1" 587 228 331 24 4 0
Becker "Detroit Twp P-2" 402 118 258 20 5 1
Becker "Detroit Twp P-3" 0 0 0 0 0 0
Becker "Detroit Lakes W-1 P-1" 1068 439 565 59 5 0
