COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Writein
Harris 2010152 0 1062 443 14 10 0
Harris 2010153 0 692 340 2 2 0
Harris 2010154 0 938 367 5 5 0
Harris 2010155 0 1532 1864 36 5 0
Harris 2010156 0 1923 116 17 5 0
Harris 2010157 0 1176 106 8 4 0
Harris 2010158 0 1497 56 8 8 0
Harris 2010159 0 633 143 9 1 0
Harris 2010160 0 357 22 4 0 0
Harris 2010161 0 577 44 5 2 0
Harris 2010162 0 447 287 5 2 0
Harris 2010163 0 1002 705 13 4 0
Harris 2010164 0 670 50 2 4 0
Harris 2010165 0 861 963 18 8 0
Harris 2010166 0 767 301 17 3 0
Harris 2010167 0 7 2 0 0 0
Harris 2010168 0 233 14 0 1 0
Harris 2010169 0 1253 73 7 11 0
Harris 2010170 0 543 558 15 2 0
Harris 2010171 0 646 85 3 3 0
Harris 2010172 0 292 128 1 0 0
Harris 2010173 0 1253 2725 44 7 0
Harris 2010174 0 1280 1540 51 11 0
Harris 2010175 0 1373 823 22 8 0
Harris 2010176 0 655 464 7 2 0
Harris 2010177 0 973 586 17 3 0
Harris 2010178 0 848 859 13 1 0
Harris 2010179 0 832 614 23 3 0
Harris 2010180 0 1367 106 16 13 0
Harris 2010181 0 868 393 8 10 0
Harris 2010182 0 2137 1271 28 10 0
Harris 2010183 0 1154 1021 27 6 0
Harris 2010184 0 441 180 7 1 0
Harris 2010185 0 846 404 5 6 0
Harris 2010186 0 355 76 1 5 0
Harris 2010187 0 100 43 1 2 0
Harris 2010188 0 526 357 9 4 0
Harris 2010189 0 740 564 20 2 0
Harris 2010190 0 588 374 10 8 0
Harris 2010191 0 417 263 3 4 0
Harris 2010192 0 1017 119 6 7 0
Harris 2010193 0 595 32 2 7 0
Harris 2010194 0 1557 375 27 5 0
Harris 2010195 0 975 166 13 4 0
Harris 2010196 0 207 40 3 3 0
Harris 2010197 0 1431 99 3 6 0
Harris 2010198 0 300 32 5 3 0
Harris 2010199 0 906 2119 36 8 0
Harris 2010200 0 2146 1166 57 11 0
Harris 2010201 0 328 32 0 3 0
Harris 2010202 0 671 49 5 5 0
Harris 2010203 0 380 116 5 3 0
Harris 2010204 0 1675 1331 45 9 0
Harris 2010205 0 929 73 6 6 0
Harris 2010206 0 1706 629 40 7 0
Harris 2010207 0 621 247 10 4 1
Harris 2010208 0 874 495 7 8 0
Harris 2010209 0 0 0 0 0 0
Harris 2010210 0 1805 283 23 10 0
Harris 2010211 0 1087 723 16 17 0
Harris 2010212 0 488 204 4 4 0
Harris 2010213 0 924 2048 33 3 0
Harris 2010214 0 934 698 20 3 0
Harris 2010215 0 1144 852 19 4 0
Harris 2010216 0 1030 113 7 5 0
Harris 2010217 0 1223 1126 23 4 0
Harris 2010218 0 1340 476 15 8 0
Harris 2010219 0 1619 137 12 6 0
Harris 2010220 0 446 817 5 9 0
Harris 2010221 0 1029 663 10 7 0
Harris 2010222 0 1586 809 31 0 0
Harris 2010223 0 2180 479 34 14 0
Harris 2010224 0 1419 699 21 5 1
Harris 2010225 0 1579 844 22 13 0
Harris 2010226 0 975 377 11 7 0
Harris 2010227 0 647 797 15 3 0
Harris 2010228 0 788 58 6 3 0
Harris 2010229 0 271 164 5 2 0
Harris 2010230 0 471 52 1 2 0
Harris 2010231 0 916 406 4 7 0
Harris 2010232 0 906 653 26 0 0
Harris 2010233 0 3054 1465 74 7 0
Harris 2010234 0 1529 2140 18 3 0
Harris 2010235 0 774 57 2 7 0
Harris 2010236 0 920 82 7 5 0
Harris 2010237 0 1020 56 5 6 0
Harris 2010238 0 875 65 1 2 0
Harris 2010239 0 931 62 11 3 0
Harris 2010240 0 1329 78 4 12 0
Harris 2010241 0 784 482 11 3 0
Harris 2010242 0 501 458 7 7 0
Harris 2010243 0 363 12 2 3 0
Harris 2010244 0 1294 984 20 7 0
Harris 2010245 0 1445 2026 59 6 0
Harris 2010246 0 1644 1763 30 11 0
Harris 2010247 0 746 47 1 6 0
Harris 2010248 0 604 323 15 5 0
Harris 2010249 0 675 1085 18 8 0
Harris 2010250 0 487 32 1 1 0
Harris 2010251 0 1210 217 17 3 0
Harris 2010252 0 1179 53 5 1 0
Harris 2010253 0 1016 82 5 4 0
Harris 2010254 0 567 258 6 6 0
Harris 2010255 0 1314 669 19 6 0
Harris 2010256 0 1383 736 24 14 1
Harris 2010257 0 1412 553 14 8 0
Harris 2010258 0 1083 1740 34 3 0
Harris 2010259 0 1364 66 4 5 0
Harris 2010260 0 609 523 7 1 0
Harris 2010261 0 496 279 4 2 0
Harris 2010262 0 1605 1407 30 9 0
Harris 2010263 0 1221 2083 35 12 0
Harris 2010264 0 1122 906 21 6 0
Harris 2010265 0 1210 1776 26 5 0
Harris 2010266 0 724 523 15 2 0
Harris 2010267 0 478 344 7 2 0
Harris 2010268 0 1214 847 23 10 0
Harris 2010269 0 753 1191 16 3 0
Harris 2010270 0 1506 1238 37 9 0
Harris 2010271 0 1644 55 6 1 0
Harris 2010272 0 1035 427 12 11 0
Harris 2010273 0 691 1414 24 2 0
Harris 2010274 0 850 1003 27 2 0
Harris 2010275 0 718 197 6 9 0
Harris 2010276 0 1250 48 5 4 0
Harris 2010277 0 616 414 8 7 0
Harris 2010278 0 922 787 9 9 0
Harris 2010279 0 560 833 15 4 0
Harris 2010280 0 591 282 4 3 0
Harris 2010281 0 1206 690 10 5 0
Harris 2010282 0 930 749 24 9 0
Harris 2010283 0 3679 935 29 23 1
Harris 2010284 0 1467 813 24 5 1
Harris 2010285 0 1390 208 5 3 0
Harris 2010286 0 2201 323 7 10 0
Harris 2010287 0 856 541 18 4 0
Harris 2010288 0 1192 47 1 5 0
Harris 2010289 0 548 389 11 4 0
Harris 2010290 0 379 888 21 6 0
Harris 2010291 0 551 304 13 1 0
Harris 2010292 0 694 152 5 1 0
Harris 2010293 0 933 459 13 5 0
Harris 2010294 0 1077 47 4 3 0
Harris 2010295 0 416 19 5 1 0
Harris 2010296 0 577 563 10 5 1
Harris 2010297 0 803 457 11 7 0
Harris 2010298 0 920 698 28 6 0
Harris 2010299 0 638 301 11 3 0
Harris 2010300 0 1616 3180 59 5 0
Harris 2010301 0 720 564 7 4 0
Harris 2010302 0 919 1049 15 4 0
Harris 2010303 0 1029 1946 21 3 0
Harris 2010304 0 1013 815 24 6 0
Harris 2010305 0 2550 1274 37 22 0
Harris 2010306 0 669 879 10 2 0
Harris 2010307 0 1003 1433 32 4 0
Harris 2010308 0 649 249 8 1 0
Harris 2010309 0 1266 1955 35 4 0
Harris 2010310 0 565 678 12 1 0
Harris 2010311 0 940 862 16 3 0
Harris 2010312 0 1460 1124 21 12 0
Harris 2010313 0 19 29 0 0 0
Harris 2010314 0 2253 2414 52 10 0
Harris 2010315 0 686 595 12 2 0
Harris 2010316 0 731 498 16 3 0
Harris 2010317 0 722 190 2 8 0
Harris 2010318 0 2187 217 16 8 0
Harris 2010319 0 1196 148 5 4 0
Harris 2010320 0 525 394 3 4 0
Harris 2010321 0 888 436 9 3 0
Harris 2010322 0 404 163 7 6 0
Harris 2010323 0 817 414 12 5 0
Harris 2010324 0 1084 1097 34 6 2
Harris 2010325 0 956 305 3 6 0
Harris 2010326 0 284 197 4 5 0
Harris 2010327 0 855 86 4 3 0
Harris 2010328 0 527 289 10 5 0
Harris 2010329 0 657 347 6 9 0
Harris 2010330 0 1106 723 21 11 0
Harris 2010331 0 2291 2115 53 10 0
Harris 2010332 0 2003 426 17 14 0
Harris 2010333 0 961 1850 33 6 0
Harris 2010334 0 416 100 2 1 0
Harris 2010335 0 651 258 7 1 0
Harris 2010336 0 3909 551 29 15 0
Harris 2010337 0 541 109 3 1 0
Harris 2010338 0 1772 1165 21 10 0
Harris 2010339 0 910 289 14 5 0
Harris 2010340 0 1034 1959 47 10 0
Harris 2010341 0 545 214 7 1 0
Harris 2010342 0 441 140 2 1 0
Harris 2010343 0 925 371 11 5 0
Harris 2010344 0 586 54 2 2 0
Harris 2010345 0 947 246 8 2 0
Harris 2010346 0 0 1 0 0 0
Harris 2010347 0 1118 1362 20 8 0
Harris 2010348 0 469 738 13 3 0
Harris 2010349 0 404 537 17 5 0
Harris 2010350 0 1853 609 38 8 0
Harris 2010351 0 1188 2727 51 10 0
Harris 2010352 0 974 2281 39 11 0
Harris 2010353 0 2117 645 24 6 0
Harris 2010354 0 1666 625 9 10 0
Harris 2010355 0 1159 137 5 4 0
Harris 2010356 0 1388 1096 48 3 0
Harris 2010357 0 925 1842 29 1 0
Harris 2010358 0 1209 208 7 12 0
Harris 2010359 0 1252 260 8 3 0
