COUNTY AREA TOTAL DEM REP GRN ALN LIB
COUNTY AREA TOTAL Biden Trump Hawkins DeLaFuente Jorgensen
Anderson "Bishop's Branch" 1475 387 1059 4 4 21
Anderson "Bowling Green" 561 85 471 0 1 4
Anderson Broadway 619 179 435 0 0 5
Anderson "Brushy Creek" 2007 401 1573 4 1 28
Anderson "Cedar Grove" 1017 188 818 0 0 11
Anderson "Centerville Station A" 2147 614 1504 4 2 23
Anderson "Chiquola Mill" 425 190 229 1 0 5
Anderson Concrete 2382 653 1688 6 1 34
Anderson Craytonville 766 70 691 2 0 3
Anderson "Denver-Sandy Springs" 1220 302 899 6 1 12
Anderson "Edgewood Station A" 1506 566 921 1 0 18
Anderson "Five Forks" 1270 322 931 2 1 14
Anderson "Flat Rock" 1006 188 805 2 0 11
Anderson "Fork No 1" 1122 215 892 2 1 12
Anderson "Fork No 2" 1265 240 999 3 1 22
Anderson Friendship 738 111 625 0 0 2
Anderson "Gluck Mill" 834 311 515 2 0 6
Anderson "Green Pond Station A" 1848 408 1418 0 1 21
Anderson Hall 981 205 768 0 0 8
Anderson "Hammond School" 1972 561 1377 3 2 29
Anderson "High Point" 450 55 391 0 0 4
Anderson "Homeland Park" 360 59 296 1 1 3
Anderson "Honea Path" 1032 209 810 4 0 9
Anderson Hopewell 1373 369 980 4 0 20
Anderson Iva 1111 175 921 2 2 11
Anderson "Jackson Mill" 988 132 851 0 0 5
Anderson "La France" 741 207 513 2 1 18
Anderson Melton 521 121 389 3 0 8
Anderson "Mount Tabor" 1895 533 1340 2 1 19
Anderson "Mountain Creek" 563 158 401 2 0 2
Anderson "Neal's Creek" 1436 495 931 4 0 6
Anderson "North Pointe" 1623 420 1180 4 1 18
Anderson Pelzer 538 84 447 1 0 6
Anderson Pendleton 2173 1059 1052 10 3 49
Anderson Piedmont 659 151 494 1 1 12
Anderson Piercetown 1786 388 1380 1 0 17
Anderson "Rock Mill" 996 207 777 1 0 11
Anderson "Rock Spring" 619 151 463 0 0 5
Anderson "Shirley's Store" 617 109 504 0 0 4
Anderson Simpsonville 2054 487 1540 3 0 24
Anderson Starr 658 68 581 2 0 7
Anderson "Three and Twenty" 1931 329 1575 1 0 26
Anderson "Toney Creek" 550 84 463 0 0 3
Anderson Townville 608 112 488 2 0 6
Anderson "Town Creek" 1438 367 1058 3 0 10
Anderson "West Pelzer" 1362 231 1110 2 0 19
Anderson "West Savannah" 429 115 311 0 0 3
Anderson "White Plains" 2418 450 1928 6 2 32
Anderson Williamston 1695 419 1249 3 1 23
Anderson "Williamston Mill" 1903 298 1570 4 3 28
Anderson "Wright's School" 617 57 557 0 1 2
Anderson "Anderson 1/1" 1058 421 623 1 2 11
Anderson "Anderson 1/2" 1051 297 736 1 2 15
Anderson "Anderson 2/1" 1026 322 683 1 0 20
Anderson "Anderson 2/2" 1804 678 1096 2 0 28
Anderson "Anderson 3/1" 516 313 191 1 2 9
Anderson "Anderson 3/2" 671 359 304 1 0 7
Anderson "Anderson 4/1" 674 552 117 2 0 3
Anderson "Anderson 4/2" 1358 988 352 7 0 11
Anderson "Anderson 5/B" 754 603 148 2 0 1
Anderson "Anderson 6/1" 1330 514 786 4 2 24
Anderson "Anderson 6/2" 660 447 208 1 0 4
Anderson Varennes 703 302 388 2 1 10
Anderson Lakeside 1746 644 1085 2 2 13
Anderson "Centerville Station B" 2049 645 1367 4 1 32
Anderson "Edgewood Station B" 1620 418 1180 2 1 19
Anderson "Cox's Creek" 875 289 569 2 0 15
Anderson "Mt Airy" 1917 369 1517 1 2 28
Anderson "Belton Annex" 1311 345 941 3 1 21
Anderson Powdersville 2470 632 1802 4 1 31
Anderson Glenview 1547 514 1017 2 0 14
Anderson "Hammond Annex" 1475 429 1032 5 0 9
Anderson "Center Rock" 1903 472 1414 4 3 10
Anderson "Hunt Meadows" 3464 757 2649 8 2 48
Anderson "South Fant" 659 447 199 4 2 7
Anderson Failsafe 107 35 72 0 0 0
Anderson Provisional 145 45 97 0 0 3
Anderson "Failsafe Provisional" 229 66 159 0 0 4
Bamberg COLSTON 144 47 97 0 0 0
Bamberg EDISTO 243 81 160 0 0 2
Bamberg EHRHARDT 517 220 294 0 1 2
Bamberg "EAST DENMARK" 1223 969 242 4 2 6
Bamberg GOVAN 111 70 39 0 0 2
Bamberg "HIGHTOWERS MILL" 64 30 34 0 0 0
Bamberg "HUNTER'S CHAPEL" 157 72 85 0 0 0
Bamberg KEARSE 90 10 80 0 0 0
Bamberg "LITTLE SWAMP" 101 10 90 0 0 1
Bamberg OLAR 231 95 134 0 0 2
Bamberg "SOUTH BAMBERG" 1425 1049 363 7 2 4
Bamberg "WEST DENMARK" 816 669 143 1 1 2
Bamberg "NORTH BAMBERG" 1350 683 652 5 1 9
Bamberg Failsafe 0 0 0 0 0 0
Bamberg Provisional 0 0 0 0 0 0
Bamberg "Failsafe Provisional" 10 5 4 0 0 1
Barnwell "BARNWELL 1" 485 256 227 1 0 1
Barnwell "BARNWELL 2" 1107 406 690 0 1 10
Barnwell "BARNWELL 3" 1241 494 727 2 2 16
Barnwell "BARNWELL 4" 975 578 383 4 0 10
Barnwell "BLACKVILLE 1" 648 436 210 1 1 0
Barnwell "BLACKVILLE 2" 397 256 132 0 2 7
Barnwell ELKO 437 188 248 0 0 1
Barnwell FRIENDSHIP 495 38 455 0 0 2
Barnwell KLINE 409 168 234 3 2 2
Barnwell "HEALING SPRINGS" 622 454 163 0 0 5
Barnwell HILDA 648 66 576 1 0 5
Barnwell SNELLING 875 397 474 2 0 2
Barnwell "WILLISTON 1" 939 592 330 3 4 10
Barnwell "WILLISTON 2" 423 131 286 1 0 5
Barnwell "WILLISTON 3" 595 247 345 1 0 2
Barnwell Failsafe 18 10 8 0 0 0
Barnwell Provisional 7 3 4 0 0 0
Barnwell "Failsafe Provisional" 0 0 0 0 0 0
Beaufort "BEAUFORT 1" 726 507 204 8 1 6
Beaufort "BEAUFORT 2" 824 432 380 3 0 9
Beaufort "BEAUFORT 3" 1035 474 535 4 2 20
Beaufort "BURTON 1A" 1404 621 761 2 1 19
Beaufort "BURTON 1B" 821 646 159 5 3 8
Beaufort "BURTON 1C" 1379 798 566 1 1 13
Beaufort "BURTON 2A" 1185 497 669 5 0 14
Beaufort "BURTON 2B" 1297 566 697 7 0 27
Beaufort "BURTON 2C" 1524 551 952 4 2 15
Beaufort "BURTON 3" 355 213 138 2 0 2
Beaufort "CHECHESSEE 1" 1415 531 876 1 0 7
Beaufort "CHECHESSEE 2" 1412 553 841 1 1 16
Beaufort "Ladys Island 1A" 1139 529 590 1 1 18
Beaufort "Ladys Island 1B" 1272 616 640 4 0 12
Beaufort "Ladys Island 2A" 1185 380 781 3 1 20
Beaufort "Ladys Island 2B" 1014 399 604 1 0 10
Beaufort "Ladys Island 3A" 810 320 479 0 1 10
Beaufort "Ladys Island 3B" 981 336 624 4 1 16
Beaufort "Mossy Oaks 1A" 670 246 406 0 1 17
Beaufort "Mossy Oaks 1B" 848 322 500 5 0 21
Beaufort "Mossy Oaks 2" 790 351 422 4 1 12
Beaufort "PORT ROYAL 1" 830 405 413 2 0 10
Beaufort "PORT ROYAL 2" 787 433 338 3 1 12
Beaufort "DALE LOBECO" 843 579 256 1 1 6
Beaufort "SEABROOK 1" 717 388 321 3 0 5
Beaufort "SEABROOK 2" 660 449 204 3 0 4
Beaufort "SEABROOK 3" 906 520 382 1 1 2
Beaufort "SHELDON 1" 801 435 354 3 0 9
Beaufort "SHELDON 2" 538 466 68 0 0 4
Beaufort "BURTON 1D" 403 192 192 1 0 18
Beaufort "Saint Helena 1A" 924 746 167 2 1 8
Beaufort "Saint Helena 1B" 1010 747 254 1 2 6
Beaufort "Saint Helena 1C" 1206 508 686 0 1 11
Beaufort "Saint Helena 2A" 983 599 374 2 0 8
Beaufort "Saint Helena 2B" 914 683 227 1 1 2
Beaufort "Saint Helena 2C" 882 337 540 4 0 1
Beaufort "Ladys Island 2C" 713 262 441 1 1 8
Beaufort "Ladys Island 3C" 748 278 454 3 1 12
Beaufort DAUFUSKIE 342 125 214 0 0 3
Beaufort "HILTON HEAD 1A" 926 462 449 4 0 11
Beaufort "HILTON HEAD 1B" 930 493 434 0 1 2
Beaufort "HILTON HEAD 2A" 1066 515 542 2 0 7
Beaufort "HILTON HEAD 2B" 943 570 358 3 1 11
Beaufort "HILTON HEAD 2C" 1393 531 851 0 1 10
Beaufort "HILTON HEAD 3" 761 269 491 0 0 1
Beaufort "HILTON HEAD 4A" 718 311 396 4 0 7
Beaufort "HILTON HEAD 4B" 1053 457 592 0 1 3
Beaufort "HILTON HEAD 4C" 842 359 475 1 1 6
Beaufort "HILTON HEAD 4D" 891 420 465 1 1 4
Beaufort "HILTON HEAD 5A" 849 376 465 5 0 3
Beaufort "HILTON HEAD 5B" 805 344 455 1 0 5
Beaufort "HILTON HEAD 5C" 754 295 445 2 2 10
Beaufort "HILTON HEAD 6" 1128 451 667 3 1 6
Beaufort "HILTON HEAD 7A" 1024 426 593 1 0 4
Beaufort "HILTON HEAD 7B" 1159 454 696 3 0 6
Beaufort "HILTON HEAD 8" 675 302 369 1 0 3
Beaufort "HILTON HEAD 9A" 1210 552 641 4 1 12
Beaufort "HILTON HEAD 9B" 1128 351 769 1 2 5
Beaufort "HILTON HEAD 10" 1369 610 737 4 1 17
Beaufort "HILTON HEAD 11" 943 401 538 0 0 4
Beaufort "HILTON HEAD 12" 560 245 312 0 0 3
Beaufort "HILTON HEAD 13" 781 345 421 2 1 12
Beaufort "HILTON HEAD 14" 792 309 474 1 0 8
Beaufort "HILTON HEAD 15A" 448 198 247 2 0 1
Beaufort "HILTON HEAD 15B" 751 316 433 1 0 1
Beaufort BELFAIR 1651 584 1056 4 1 6
Beaufort "Bluffton 1A" 1260 595 635 5 0 25
Beaufort "Bluffton 1B" 743 272 456 5 0 10
Beaufort "Bluffton 1C" 1271 462 792 3 0 14
Beaufort "Bluffton 1D" 1081 552 507 4 2 16
Beaufort "Bluffton 2A" 801 368 414 4 1 14
Beaufort "Bluffton 2B" 1008 432 560 2 1 13
Beaufort "Bluffton 2C" 2164 844 1286 4 1 29
Beaufort "MOSS CREEK" 1310 535 772 2 0 1
Beaufort "Bluffton 3" 871 267 595 0 0 9
Beaufort "Bluffton 4A" 1000 290 704 1 1 4
Beaufort "Bluffton 4B" 1306 488 808 1 0 9
Beaufort "Bluffton 4C" 1790 655 1119 3 1 12
Beaufort "Bluffton 5A" 1436 536 883 4 1 12
Beaufort "Bluffton 2D" 1684 607 1050 4 0 23
Beaufort "Bluffton 2E" 1061 644 397 5 2 13
Beaufort "ROSE HILL" 1468 465 992 1 0 10
Beaufort "Bluffton 4D" 1634 572 1039 1 0 22
Beaufort "Bluffton 5B" 903 360 536 2 0 5
Beaufort "PALMETTO BLUFF" 574 198 372 0 0 4
Beaufort "New River" 1866 671 1159 4 1 31
Beaufort "SANDY POINTE" 847 386 442 3 1 15
Beaufort "SUN CITY 1" 1248 541 702 2 1 2
Beaufort "SUN CITY 2" 965 414 540 3 1 7
Beaufort "SUN CITY 3" 1399 585 803 0 2 9
Beaufort "SUN CITY 4" 1140 473 653 0 2 12
Beaufort "SUN CITY 5" 1273 515 751 0 0 7
Beaufort "SUN CITY 6" 1173 501 664 2 3 3
Beaufort "SUN CITY 7" 966 416 546 1 0 3
Beaufort "SUN CITY 8" 1162 540 614 2 2 4
Beaufort Failsafe 156 63 87 0 0 6
Beaufort Provisional 353 153 194 0 2 4
Beaufort "Failsafe Provisional" 79 33 42 0 0 4
Berkeley ALVIN 673 379 285 2 0 7
Berkeley BETHERA 190 18 172 0 0 0
Berkeley BONNEAU 942 326 609 1 0 6
Berkeley "BONNEAU BEACH" 1164 246 912 1 0 5
Berkeley CENTRAL 1747 824 883 14 0 26
Berkeley CAINHOY 940 655 279 2 0 4
Berkeley "CARNES CROSS ROADS 1" 954 149 795 1 0 9
Berkeley "CARNES CROSS ROADS 2" 818 271 531 2 0 14
Berkeley CORDESVILLE 903 329 567 1 1 5
Berkeley CROSS 802 348 443 2 0 9
Berkeley "DANIEL ISLAND 1" 1856 648 1187 5 1 15
Berkeley "DANIEL ISLAND 2" 1447 704 722 4 1 16
Berkeley "DEVON FOREST 1" 1481 669 780 7 1 24
Berkeley "DEVON FOREST 2" 1165 500 636 0 0 29
Berkeley EADYTOWN 471 326 143 1 0 1
Berkeley "HANAHAN 1" 1751 518 1205 2 1 25
Berkeley "HANAHAN 2" 944 381 542 2 0 19
Berkeley "HANAHAN 3" 991 311 657 8 2 13
Berkeley "HANAHAN 4" 882 401 448 11 3 19
Berkeley "HILTON CROSS RD" 1145 662 474 1 0 8
Berkeley HUGER 955 582 361 2 0 10
Berkeley JAMESTOWN 396 225 164 1 1 5
Berkeley LEBANON 621 135 475 0 0 11
Berkeley MACEDONIA 1118 130 972 1 0 15
Berkeley MCBETH 732 261 467 1 2 1
Berkeley "MONCKS CORNER 1" 1323 539 764 4 1 15
Berkeley "MONCKS CORNER 2" 1179 599 566 2 0 12
Berkeley "MONCKS CORNER 3" 1543 885 627 6 1 24
Berkeley "MONCKS CORNER 4" 1210 293 897 2 3 15
Berkeley PIMLICO 960 199 756 1 0 4
Berkeley PINOPOLIS 1467 284 1170 0 0 13
Berkeley RUSSELLVILLE 1016 851 161 0 1 3
Berkeley "SANGAREE 1" 741 295 436 1 0 9
Berkeley "SANGAREE 2" 1099 429 647 3 0 20
Berkeley "SANGAREE 3" 934 396 522 2 0 14
Berkeley SHULERVILLE 294 116 174 1 1 2
Berkeley "ST. STEPHEN 1" 997 819 172 3 1 2
Berkeley "ST. STEPHEN 2" 1005 518 474 4 0 9
Berkeley "STRATFORD 1" 989 441 536 6 1 5
Berkeley "STRATFORD 2" 1555 492 1045 2 2 14
Berkeley "STRATFORD 3" 1489 641 818 0 2 28
Berkeley "STRATFORD 4" 1199 503 675 4 0 17
Berkeley "WASSAMASSAW 1" 819 460 352 0 0 7
Berkeley "WASSAMASSAW 2" 1820 713 1073 6 2 26
Berkeley "WESTVIEW 1" 1136 352 764 3 1 16
Berkeley "WESTVIEW 2" 1287 467 793 1 2 24
Berkeley "WESTVIEW 3" 1143 376 743 4 1 19
Berkeley "BEVERLY HILLS" 901 458 422 7 0 14
Berkeley "HOWE HALL 1" 1535 884 627 3 1 20
Berkeley "HOWE HALL 2" 765 375 372 4 1 13
Berkeley "LIBERTY HALL" 1741 940 765 10 0 26
Berkeley MEDWAY 1786 1006 744 5 2 29
Berkeley "WHITESVILLE 1" 1470 789 654 5 1 21
Berkeley "WHITESVILLE 2" 734 358 367 0 0 9
Berkeley "DANIEL ISLAND 3" 1528 682 822 4 0 20
Berkeley "DANIEL ISLAND 4" 2355 977 1337 2 0 39
Berkeley "THE VILLAGE" 1955 663 1244 1 3 44
Berkeley "YELLOW HOUSE" 2021 903 1082 4 0 32
Berkeley "CANE BAY" 2210 939 1198 9 3 61
Berkeley DISCOVERY 1499 769 697 2 2 29
Berkeley "FOX BANK" 1804 732 1023 7 1 41
Berkeley "HANAHAN 5" 953 220 714 2 0 17
Berkeley MOULTRIE 964 749 208 3 1 3
Berkeley "OLD 52" 819 309 495 1 0 14
Berkeley ROYLE 896 365 506 5 1 19
Berkeley "SEVENTY EIGHT" 1093 503 578 3 0 9
Berkeley "STONE LAKE" 1097 392 679 2 1 23
Berkeley "STRATFORD 5" 965 531 411 7 1 15
Berkeley "WESTVIEW 4" 1181 397 754 4 3 23
Berkeley "FOSTER CREEK 1" 849 372 461 2 0 14
Berkeley "FOSTER CREEK 2" 1577 604 924 5 3 41
Berkeley "FOSTER CREEK 3" 1272 560 692 3 1 16
Berkeley "HARBOUR LAKE" 1044 703 315 4 1 21
Berkeley "ST. JAMES" 1065 489 558 3 0 15
Berkeley "SEDGEFIELD 1" 1132 628 485 3 2 14
Berkeley "SEDGEFIELD 2" 405 194 194 1 0 16
Berkeley TRAMWAY 1082 408 652 4 3 15
Berkeley WEATHERSTONE 1361 647 682 2 2 28
Berkeley CYPRESS 1386 687 674 2 0 23
Berkeley "NORTH CREEK" 439 195 232 1 0 11
Berkeley "BOULDER BLUFF" 1558 859 667 6 4 22
Berkeley "BUSHY PARK" 38 5 33 0 0 0
Berkeley "CANE BAY EAST" 1562 606 944 6 2 4
Berkeley "CANE BAY NORTH" 1202 443 742 5 0 12
Berkeley "CANE BAY SOUTH" 1375 548 800 2 1 24
Berkeley COBBLESTONE 933 517 402 2 0 12
Berkeley Fifty-two 1047 606 422 1 2 16
Berkeley HORSESHOE 892 379 502 0 0 11
Berkeley "LIVE OAK" 1096 172 912 0 3 9
Berkeley "MACEDONIA 2" 138 7 130 0 0 1
Berkeley NEXTON 1372 566 775 2 0 29
Berkeley "PINE GROVE" 0 0 0 0 0 0
Berkeley POMFLANT 0 0 0 0 0 0
Berkeley "SEDGEFIELD 3" 418 173 237 2 0 6
Berkeley "WILDCAT TRAIL" 290 105 180 1 0 4
Berkeley "YEAMAN'S CLUB" 113 34 74 2 0 3
Berkeley Failsafe 43 16 26 0 0 1
Berkeley Provisional 130 70 58 0 0 2
Berkeley "Failsafe Provisional" 74 23 51 0 0 0
Calhoun Bethel 714 211 499 2 0 2
Calhoun Cameron 555 281 262 2 0 10
Calhoun "Center Hill" 880 430 443 2 0 5
Calhoun Creston 162 71 88 1 0 2
Calhoun Dixie 1517 1141 359 5 2 10
Calhoun "Fall Branch" 374 155 216 1 1 1
Calhoun "Fort Motte" 194 93 101 0 0 0
Calhoun "Lone Star" 791 350 438 0 0 3
Calhoun Midway 256 60 196 0 0 0
Calhoun "Murph Hill" 350 209 140 0 0 1
Calhoun "Sandy Run" 1284 348 918 3 1 14
Calhoun "St. Matthews" 1181 538 630 2 1 10
Calhoun Failsafe 28 16 12 0 0 0
Calhoun Provisional 0 0 0 0 0 0
Calhoun "Failsafe Provisional" 5 2 3 0 0 0
Charleston Awendaw 1117 605 500 1 0 11
Charleston "Christ Church" 734 379 346 2 0 7
Charleston "Isle Of Palms 1A" 861 325 513 3 0 20
Charleston "Isle of Palms 1B" 1168 482 659 4 1 22
Charleston "Isle of Palms 1C" 1410 539 852 1 0 18
Charleston "Sullivans Island" 1491 793 676 2 0 20
Charleston McClellanville 1351 888 449 3 0 11
Charleston "Deer Park 1A" 892 617 252 7 0 16
Charleston "Deer Park 1B" 2095 1192 860 11 2 30
Charleston "Deer Park 2A" 1757 1042 679 9 1 26
Charleston "Deer Park 2B" 1196 812 359 3 1 21
Charleston "Deer Park 2C" 797 413 365 3 1 15
Charleston "Deer Park 3" 1474 1038 412 2 2 20
Charleston Lincolnville 1434 816 596 9 2 11
Charleston Ladson 2137 1306 795 7 1 28
Charleston "Edisto Island" 1330 681 636 1 1 11
Charleston "Wadmalaw Island 1" 923 541 371 1 0 10
Charleston "Wadmalaw Island 2" 898 584 304 3 1 6
Charleston "Kiawah Island" 1603 748 832 2 4 17
Charleston "Town of Seabrook" 1753 840 900 2 1 10
Charleston "Folly Beach 1" 755 407 334 3 0 11
Charleston "Folly Beach 2" 994 492 489 4 0 9
Charleston "Charleston 1" 637 265 363 1 0 8
Charleston "Charleston 2" 725 324 396 0 0 5
Charleston "Charleston 3" 780 459 301 5 0 15
Charleston "Charleston 4" 633 387 233 2 0 11
Charleston "Charleston 5" 609 368 231 2 1 7
Charleston "Charleston 6" 808 520 273 5 0 10
Charleston "Charleston 7" 804 518 273 4 1 8
Charleston "Charleston 8" 756 657 82 5 0 12
Charleston "Charleston 9" 546 415 121 5 1 4
Charleston "Charleston 10" 294 236 51 1 0 6
Charleston "Charleston 11" 880 609 252 4 0 15
Charleston "Charleston 12" 1112 862 225 4 1 20
Charleston "Charleston 13" 829 719 95 5 0 10
Charleston "Charleston 14" 664 510 133 7 0 14
Charleston "Charleston 15" 753 634 101 8 2 8
Charleston "Charleston 16" 827 692 114 3 1 17
Charleston "Charleston 17" 866 711 126 6 1 22
Charleston "Charleston 18" 982 836 126 10 0 10
Charleston "Charleston 19" 580 499 74 4 0 3
Charleston "Charleston 20" 1032 829 183 2 1 17
Charleston "Charleston 21" 529 477 49 2 0 1
Charleston "Mt. Pleasant 1" 1293 635 641 5 0 12
Charleston "Mt. Pleasant 2" 900 416 466 3 0 15
Charleston "Mt. Pleasant 3" 1372 750 595 3 1 23
Charleston "Mt. Pleasant 4" 1280 634 626 2 1 17
Charleston "Mt. Pleasant 5" 1112 466 625 3 2 16
Charleston "Mt. Pleasant 6" 1622 747 837 7 0 31
Charleston "Mt. Pleasant 7" 840 389 434 1 3 13
Charleston "Mt. Pleasant 8" 757 371 372 1 0 13
Charleston "Mt. Pleasant 9" 915 412 480 4 1 18
Charleston "Mt. Pleasant 10" 957 380 558 4 1 14
Charleston "Mt. Pleasant 11" 1031 444 569 3 0 15
Charleston "Mt. Pleasant 12" 2010 995 988 8 0 19
Charleston "Mt. Pleasant 13" 796 406 374 2 0 14
Charleston "Mt. Pleasant 14" 995 483 486 3 0 23
Charleston "Mt. Pleasant 15" 2092 1099 952 8 0 33
Charleston "Mt. Pleasant 16" 672 244 411 2 1 14
Charleston "Mt. Pleasant 17" 2346 1003 1300 7 2 34
Charleston "Mt. Pleasant 18" 1041 412 606 5 0 18
Charleston "Mt. Pleasant 19" 1666 826 820 3 1 16
Charleston "Mt. Pleasant 20" 1226 594 604 2 1 25
Charleston "Mt. Pleasant 21" 1354 624 714 6 1 9
