COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL Bullock Daines
Beaverhead "PRECINCT 01" 0 187 188
Beaverhead "PRECINCT 02" 0 222 645
Beaverhead "PRECINCT 03" 0 246 627
Beaverhead "PRECINCT 04" 0 46 175
Beaverhead "PRECINCT 05" 0 30 119
Beaverhead "PRECINCT 06" 0 198 275
Beaverhead "PRECINCT 07" 0 89 231
Beaverhead "PRECINCT 08" 0 16 60
Beaverhead "PRECINCT 09" 0 145 342
Beaverhead "PRECINCT 12" 0 274 335
Beaverhead "PRECINCT 14" 0 240 276
Beaverhead "PRECINCT 17" 0 39 97
Beaverhead "PRECINCT 19" 0 34 108
Beaverhead "PRECINCT 20" 0 10 87
Beaverhead "PRECINCT 21" 0 53 114
Beaverhead "PRECINCT 23" 0 61 96
"Big Horn" "PRECINCT #1" 0 60 112
"Big Horn" "PRECINCT #10" 0 12 53
"Big Horn" "PRECINCT #14" 0 96 69
"Big Horn" "PRECINCT #15" 0 161 122
"Big Horn" "PRECINCT #17" 0 186 217
"Big Horn" "PRECINCT #18" 0 154 208
"Big Horn" "PRECINCT #19" 0 257 304
"Big Horn" "PRECINCT #2" 0 66 71
"Big Horn" "PRECINCT #21" 0 237 100
"Big Horn" "PRECINCT #25" 0 64 58
"Big Horn" "PRECINCT #26" 0 310 81
"Big Horn" "PRECINCT #3" 0 28 122
"Big Horn" "PRECINCT #4" 0 21 69
"Big Horn" "PRECINCT #4N" 0 33 134
"Big Horn" "PRECINCT #5" 0 169 54
"Big Horn" "PRECINCT #6" 0 15 39
"Big Horn" "PRECINCT #7" 0 627 157
"Big Horn" "PRECINCT #8" 0 63 102
"Big Horn" "PRECINCT #9" 0 128 34
Blaine "BELKNAP 3-32" 0 396 39
Blaine "CHINOOK 11-33" 0 253 422
Blaine "HARLEM 8-32" 0 262 95
Blaine "HARLEM 9-32" 0 171 16
Blaine "HAYS 15-32" 0 525 45
Blaine "NO CHINOOK 13-33" 0 25 102
Blaine "SO CHINOOK 10-32" 0 93 387
Blaine "TURNER 1-33" 0 67 237
Broadwater "PRECINCT 1" 0 239 667
Broadwater "PRECINCT 11" 0 173 633
Broadwater "PRECINCT 12" 0 207 514
Broadwater "PRECINCT 13" 0 213 838
Broadwater "PRECINCT 7" 0 171 455
Carbon "P 1" 0 161 483
Carbon "P 10" 0 345 188
Carbon "P 11" 0 555 561
Carbon "P 15" 0 127 510
Carbon "P 16" 0 119 261
Carbon "P 2" 0 102 208
Carbon "P 3" 0 140 532
Carbon "P 4" 0 84 268
Carbon "P 5" 0 101 328
Carbon "P 6" 0 102 264
Carbon "P 7" 0 183 449
Carbon "P 8" 0 349 226
Carbon "P 9" 0 223 126
Carter "PRECINCT #1 ALZADA" 0 11 114
Carter "PRECINCT #13 EKALAKA" 0 43 210
Carter "PRECINCT #14 RURAL EKALAKA" 0 34 369
Carter "PRECINCT #3 HAMMOND" 0 6 74
Cascade P19A1 0 130 372
Cascade P19A2 0 257 830
Cascade P19A3 0 110 334
Cascade P19A4 0 202 375
Cascade P19B1 0 21 70
Cascade P19B2 0 364 847
Cascade P19C 0 224 496
Cascade P19D 0 181 352
Cascade P19E 0 116 213
Cascade P20A 0 1916 3129
Cascade P20B 0 630 942
Cascade P21A 0 2283 2598
Cascade P21B 0 243 214
Cascade P22A 0 1681 1594
Cascade P22B. 0 450 769
Cascade P22C 0 13 28
Cascade P23 0 2171 2012
Cascade P24 0 2292 2249
Cascade P25 0 2263 2194
Cascade P26A 0 1492 1370
Cascade P26B 0 185 260
Cascade P27 0 343 649
Cascade P30 0 160 415
Chouteau "BIG SANDY 8" 0 91 196
