COUNTY AREA TOTAL DEM REP LIB GRN IA IND1 IND2 SAL SWP Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente West Pierce Riva Kennedy Writein
Aitkin TAMARACK 27 7 18 0 0 0 2 0 0 0 0
Aitkin "TURNER TWP" 112 42 68 1 0 0 1 0 0 0 0
Aitkin "VERDON TWP" 28 9 19 0 0 0 0 0 0 0 0
Aitkin "WAGNER TWP" 213 74 135 2 1 0 0 1 0 0 0
Aitkin "WAUKENABO TWP" 204 67 134 0 0 2 0 0 0 0 1
Aitkin "WEALTHWOOD TWP" 212 78 130 3 0 0 0 1 0 0 0
Aitkin "WHITE PINE TWP" 30 7 23 0 0 0 0 0 0 0 0
Aitkin "WILLIAMS TWP" 84 25 59 0 0 0 0 0 0 0 0
Aitkin "WORKMAN TWP" 146 37 105 2 0 1 0 0 0 0 1
Aitkin "NE AITKIN UNORG" 23 2 20 0 0 0 0 1 0 0 0
Aitkin "UNORG 48-27 (BLIND LAKE UNORG)" 28 10 18 0 0 0 0 0 0 0 0
Aitkin "NW AITKIN UNORG P-2" 87 34 53 0 0 0 0 0 0 0 0
Aitkin "UNORG 51-27 (LEMAY UNORG)" 42 16 26 0 0 0 0 0 0 0 0
Aitkin "NW AITKIN UNORG P-1" 48 11 34 3 0 0 0 0 0 0 0
Anoka "ANDOVER P-1" 2225 773 1409 22 0 5 5 6 1 0 4
Anoka "ANDOVER P-2" 1953 811 1098 19 7 5 4 2 1 1 5
Anoka "ANDOVER P-3" 2254 922 1262 38 8 3 9 2 1 1 8
Anoka "ANDOVER P-4" 1844 814 986 15 8 4 6 3 2 0 6
Anoka "ANDOVER P-5" 2489 1053 1374 28 7 8 7 6 1 0 5
Anoka "ANDOVER P-6" 1924 663 1210 27 5 1 7 4 0 0 7
Anoka "ANDOVER P-7" 1800 743 1004 24 4 10 4 4 0 0 7
Anoka "ANDOVER P-8" 1915 756 1115 22 6 5 4 2 0 0 5
Anoka "ANDOVER P-9" 2099 906 1147 20 5 3 2 10 0 0 6
Anoka "ANDOVER P-10" 2325 1047 1236 23 4 2 1 5 0 1 6
Anoka "ANOKA P-1" 954 505 411 22 5 5 2 0 0 0 4
Anoka "ANOKA P-2" 1224 642 547 22 4 3 4 1 0 0 1
Anoka "ANOKA P-3" 1295 627 642 15 3 1 2 1 2 0 2
Anoka "ANOKA P-4" 1201 635 529 15 4 7 3 2 0 0 6
Anoka "ANOKA P-5" 1083 511 519 27 8 3 8 3 3 0 1
Anoka "ANOKA P-6" 1448 709 694 27 7 6 2 0 0 0 3
Anoka "ANOKA P-7" 1239 601 600 19 6 3 1 2 0 0 7
Anoka "ANOKA P-8" 1128 538 554 20 3 3 4 6 0 0 0
Anoka "BETHEL P-1" 286 74 209 1 1 1 0 0 0 0 0
Anoka "BLAINE W-1 P-1" 1411 780 593 17 7 4 4 2 0 1 3
Anoka "BLAINE W-1 P-2" 1690 934 708 17 11 4 6 5 1 1 3
Anoka "BLAINE W-1 P-3" 1253 633 568 26 10 4 3 3 0 1 5
Anoka "BLAINE W-1 P-4" 942 451 462 14 1 1 6 2 1 0 4
Anoka "BLAINE W-1 P-5" 2141 1075 1004 27 9 2 9 4 0 0 11
Anoka "BLAINE W-1 P-6" 1380 685 662 12 4 2 3 5 2 0 5
Anoka "BLAINE W-1 P-7" 1154 572 557 14 2 5 0 1 0 0 3
Anoka "BLAINE W-1 P-8" 1222 597 585 20 3 6 4 4 0 0 3
Anoka "BLAINE W-2 P-1" 1320 702 578 17 8 4 3 3 0 0 5
Anoka "BLAINE W-2 P-2A" 1251 663 559 13 4 5 3 2 1 1 0
Anoka "BLAINE W-2 P-2B" 1476 783 655 16 5 5 4 6 0 0 2
Anoka "BLAINE W-2 P-3" 1476 824 615 15 8 5 5 1 0 0 3
Anoka "BLAINE W-2 P-4A" 1704 931 740 17 4 3 4 2 0 0 3
Anoka "BLAINE W-2 P-4B" 1502 752 715 15 3 5 3 1 0 0 8
Anoka "BLAINE W-2 P-5" 1257 596 628 21 3 2 2 2 0 0 3
Anoka "BLAINE W-2 P-6" 2800 1353 1393 30 6 4 3 2 2 0 7
Anoka "BLAINE W-3 P-1" 1608 804 757 14 9 5 8 4 0 0 7
Anoka "BLAINE W-3 P-2" 1573 764 767 17 10 4 3 2 0 0 6
Anoka "BLAINE W-3 P-3" 1547 820 692 15 5 1 5 4 1 0 4
Anoka "BLAINE W-3 P-4" 1779 878 861 14 7 4 2 6 0 0 7
Anoka "BLAINE W-3 P-5" 1604 790 779 12 6 2 8 2 1 0 4
Anoka "BLAINE W-3 P-6" 3485 1794 1609 38 8 7 10 8 0 1 10
Anoka "BLAINE W-3 P-7" 2824 1522 1233 32 12 5 6 5 0 0 9
Anoka "BLAINE W-3 P-8" 1463 728 700 22 5 1 3 2 0 0 2
Anoka "CENTERVILLE P-1" 2486 1070 1353 27 10 5 5 7 0 1 8
Anoka "CIRCLE PINES P-1" 1226 592 601 17 5 4 1 0 0 0 6
Anoka "CIRCLE PINES P-2" 1964 1123 782 27 9 2 6 5 0 0 10
Anoka "COLUMBIA HEIGHTS P-1" 1896 1490 371 14 8 2 3 4 0 0 4
Anoka "COLUMBIA HEIGHTS P-2" 1415 1048 328 11 8 1 3 2 6 0 8
Anoka "COLUMBIA HEIGHTS P-3" 1338 986 316 9 1 7 4 4 1 2 8
Anoka "COLUMBIA HEIGHTS P-4" 1557 1173 353 9 7 3 6 1 0 0 5
Anoka "COLUMBIA HEIGHTS P-5" 1409 1021 356 11 1 3 7 1 1 0 8
Anoka "COLUMBIA HEIGHTS P-6" 1159 783 353 8 4 2 4 0 0 0 5
Anoka "COLUMBIA HEIGHTS P-7" 1281 870 376 13 6 1 4 5 1 0 5
Anoka "COLUMBIA HEIGHTS P-8" 1250 855 364 11 6 2 1 3 2 1 5
Anoka "COLUMBUS P-1" 2758 977 1718 33 5 6 5 7 0 0 7
Anoka "COON RAPIDS W-1 P-1" 2544 1275 1211 31 8 5 2 4 0 0 8
Anoka "COON RAPIDS W-1 P-2" 2136 1080 1001 23 9 6 8 6 0 0 3
Anoka "COON RAPIDS W-1 P-3" 1928 937 930 33 7 0 9 7 0 0 5
Anoka "COON RAPIDS W-1 P-4" 1223 634 550 20 2 4 6 0 0 2 5
Anoka "COON RAPIDS W-2 P-1" 1808 979 794 14 5 4 2 5 0 0 5
Anoka "COON RAPIDS W-2 P-2" 1267 629 596 17 6 4 5 2 0 1 7
Anoka "COON RAPIDS W-2 P-3" 1895 1037 816 17 6 3 4 6 1 1 4
Anoka "COON RAPIDS W-2 P-4" 1214 599 582 13 6 4 5 1 0 0 4
Anoka "COON RAPIDS W-2 P-5" 1456 784 631 26 2 3 3 6 0 0 1
Anoka "COON RAPIDS W-3 P-1" 1541 785 702 26 11 3 7 3 0 0 4
Anoka "COON RAPIDS W-3 P-2" 1610 840 722 24 7 6 6 2 0 0 3
Anoka "COON RAPIDS W-3 P-3" 1554 872 633 21 4 2 9 4 3 0 6
Anoka "COON RAPIDS W-3 P-4" 1595 893 652 25 8 4 8 2 0 1 2
Anoka "COON RAPIDS W-4 P-1" 1729 896 799 16 5 3 4 2 1 0 3
Anoka "COON RAPIDS W-4 P-2" 1750 906 790 21 7 3 6 7 0 0 10
Anoka "COON RAPIDS W-4 P-3" 1620 879 709 11 2 2 7 1 1 0 8
Anoka "COON RAPIDS W-4 P-4" 2151 1070 1014 33 7 6 6 2 0 0 13
Anoka "COON RAPIDS W-5 P-1" 1621 792 786 27 8 1 0 2 1 1 3
Anoka "COON RAPIDS W-5 P-2" 1808 905 859 21 4 4 4 5 1 0 5
Anoka "COON RAPIDS W-5 P-3" 1109 619 458 16 5 2 7 0 0 1 1
Anoka "COON RAPIDS W-5 P-4" 856 506 326 9 5 4 0 2 1 0 3
Anoka "COON RAPIDS W-5 P-5" 1426 790 593 16 9 8 4 3 1 0 2
Anoka "EAST BETHEL P-1" 2521 740 1728 31 7 4 4 3 2 1 1
Anoka "EAST BETHEL P-2" 2480 775 1636 34 9 5 6 6 1 1 7
Anoka "EAST BETHEL P-3" 2267 726 1492 24 2 6 4 4 2 0 7
Anoka "FRIDLEY W-1 P-1" 1301 820 451 9 5 1 6 3 1 0 5
Anoka "FRIDLEY W-1 P-2" 1252 758 464 10 1 6 2 2 0 0 9
Anoka "FRIDLEY W-1 P-3" 1579 1088 443 18 9 4 5 1 1 0 10
Anoka "FRIDLEY W-1 P-4" 1136 743 360 7 11 4 2 2 0 0 7
Anoka "FRIDLEY W-2 P-1" 1085 683 370 20 5 3 0 1 0 1 2
Anoka "FRIDLEY W-2 P-2" 982 655 305 5 2 1 3 3 1 2 5
Anoka "FRIDLEY W-2 P-3" 1488 974 473 21 4 0 5 2 0 0 9
Anoka "FRIDLEY W-2 P-4" 1465 936 486 15 6 3 7 3 1 0 8
Anoka "FRIDLEY W-3 P-1" 1255 798 432 6 3 3 5 2 1 0 5
Anoka "FRIDLEY W-3 P-2" 1568 950 575 23 4 3 4 2 1 0 6
Anoka "FRIDLEY W-3 P-3" 874 613 221 12 9 4 6 4 1 1 3
Anoka "FRIDLEY W-3 P-4" 1077 655 372 17 11 6 8 5 0 0 3
Anoka "HAM LAKE P-1" 1450 531 887 15 5 6 1 1 0 0 4
Anoka "HAM LAKE P-2" 1987 737 1203 21 8 6 2 4 0 1 5
Anoka "HAM LAKE P-3A" 2046 623 1373 29 7 3 0 5 1 0 5
Anoka "HAM LAKE P-4A" 1976 621 1298 21 6 5 5 7 1 1 11
Anoka "HAM LAKE P-5" 1442 507 903 14 1 2 3 0 0 0 12
Anoka "HAM LAKE P-6A" 1789 623 1136 20 2 0 0 5 0 0 3
Anoka "HILLTOP P-1" 229 152 67 3 3 1 1 1 0 0 1
Anoka "LEXINGTON P-1" 1220 587 596 14 14 5 0 2 1 0 1
Anoka "LINO LAKES P-1" 1346 578 740 10 3 4 4 3 0 1 3
Anoka "LINO LAKES P-2" 2063 946 1063 24 8 7 1 6 3 0 5
Anoka "LINO LAKES P-3" 1555 733 785 23 2 2 6 2 0 0 2
Anoka "LINO LAKES P-4" 2497 1279 1160 31 12 1 2 3 0 0 9
Anoka "LINO LAKES P-5" 1220 617 579 11 2 1 2 3 0 0 5
Anoka "LINO LAKES P-6" 2472 1111 1303 29 1 4 5 8 0 0 11
Anoka "LINO LAKES P-7" 2294 1108 1125 27 12 3 2 7 0 0 10
Anoka "LINWOOD P-1" 2234 694 1490 22 5 5 3 8 0 1 6
Anoka "LINWOOD P-2" 1276 441 797 22 4 1 4 5 0 2 0
Anoka "NOWTHEN P-1A" 1927 472 1418 18 7 3 2 1 0 1 5
Anoka "NOWTHEN P-2A" 1062 282 765 12 1 0 1 0 0 0 1
Anoka "OAK GROVE P-1" 1763 560 1175 15 3 2 1 4 0 0 3
Anoka "OAK GROVE P-2" 1573 449 1095 13 6 4 1 1 0 0 4
Anoka "OAK GROVE P-3" 1578 447 1085 26 6 4 2 2 1 2 3
Anoka "OAK GROVE P-4" 1034 321 696 7 2 3 1 1 0 0 3
Anoka "RAMSEY W-1 P-1" 2988 1210 1695 40 11 7 7 4 3 1 10
Anoka "RAMSEY W-1 P-2" 901 317 572 6 2 0 1 0 0 0 3
Anoka "RAMSEY W-2 P-1" 1515 498 993 9 5 3 2 2 1 0 2
Anoka "RAMSEY W-2 P-2" 2904 1073 1771 35 3 7 6 2 1 0 6
Anoka "RAMSEY W-3 P-1" 3091 1361 1661 35 13 7 7 3 1 0 3
Anoka "RAMSEY W-3 P-2" 1158 467 656 20 5 4 3 1 0 0 2
Anoka "RAMSEY W-4 P-1" 1929 899 979 27 3 3 10 4 0 0 4
Anoka "RAMSEY W-4 P-2" 1944 802 1081 18 9 9 3 6 0 1 15
Anoka "SAINT FRANCIS P-1" 2333 705 1574 31 7 5 4 4 0 0 3
Anoka "SAINT FRANCIS P-2" 2058 601 1421 24 4 1 1 4 0 0 2
Anoka "SPRING LAKE PARK P-1A" 962 536 408 10 2 2 0 2 0 0 2
Anoka "SPRING LAKE PARK P-2" 1062 602 433 12 6 3 3 1 0 0 2
Anoka "SPRING LAKE PARK P-3" 1796 1033 720 18 5 4 7 5 0 0 4
Becker "ATLANTA TWP" 64 15 46 0 1 0 0 0 0 0 2
Becker AUDUBON 270 49 215 2 1 1 2 0 0 0 0
Becker "AUDUBON TWP" 433 124 302 4 0 0 1 0 0 0 2
Becker "BURLINGTON TWP" 971 281 671 9 2 2 2 1 0 0 3
Becker CALLAWAY 74 30 44 0 0 0 0 0 0 0 0
Becker "CALLAWAY TWP" 153 55 97 0 0 0 0 1 0 0 0
Becker "CARSONVILLE TWP" 136 51 82 0 1 0 0 0 0 1 1
Becker "CORMORANT TWP" 770 267 493 4 1 0 0 1 1 0 3
Becker "CUBA TWP" 166 49 112 5 0 0 0 0 0 0 0
Becker "DETROIT TWP P-1" 758 264 485 6 1 1 1 0 0 0 0
Becker "DETROIT TWP P-2" 439 107 323 4 0 1 0 1 0 1 2
Becker "DETROIT TWP P-3" 0 0 0 0 0 0 0 0 0 0 0
Becker "DETROIT LAKES W1 P1" 1634 632 960 28 2 2 4 2 1 1 2
Becker "DETROIT LAKES W2 P1" 1551 691 821 16 2 3 7 1 1 0 9
Becker "DETROIT LAKES W3 P1" 2052 798 1204 24 3 6 8 2 2 0 5
Becker "EAGLE VIEW TWP" 90 40 48 1 0 0 0 0 1 0 0
Becker "ERIE TWP" 1121 354 746 7 1 5 5 2 0 0 1
Becker "EVERGREEN TWP" 157 37 118 0 0 0 0 0 1 0 1
Becker "FOREST TWP" 80 36 42 0 0 2 0 0 0 0 0
Becker FRAZEE 600 131 453 2 3 4 5 1 1 0 0
Becker "GREEN VALLEY TWP" 221 71 145 3 0 0 2 0 0 0 0
Becker "HAMDEN TWP" 122 45 77 0 0 0 0 0 0 0 0
Becker "HEIGHT OF LAND TWP" 451 122 328 1 0 0 0 0 0 0 0
Becker "HOLMESVILLE TWP" 331 113 215 1 1 0 0 1 0 0 0
Becker "LAKE EUNICE TWP" 1078 377 685 5 1 1 1 5 0 0 3
Becker "LAKE PARK" 374 141 222 5 2 1 2 0 0 0 1
Becker "LAKE PARK TWP" 324 109 208 5 1 0 0 0 0 0 1
Becker "LAKE VIEW TWP" 1151 409 726 7 0 0 2 3 0 0 4
Becker "MAPLE GROVE TWP" 223 120 101 0 1 0 1 0 0 0 0
Becker OGEMA 60 30 30 0 0 0 0 0 0 0 0
Becker "OSAGE TWP" 534 125 398 6 2 1 2 0 0 0 0
Becker "PINE POINT TWP" 99 55 41 1 0 0 2 0 0 0 0
Becker "RICEVILLE TWP" 54 12 41 0 0 0 0 1 0 0 0
Becker "RICHWOOD TWP" 379 115 258 2 0 1 2 1 0 0 0
Becker "ROUND LAKE TWP" 108 58 44 4 0 0 1 0 0 1 0
Becker "RUNEBERG TWP" 308 53 248 3 1 1 0 2 0 0 0
Becker "SAVANNAH TWP" 108 39 66 2 0 0 0 0 0 0 1
Becker "SHELL LAKE TWP" 190 55 130 1 2 1 1 0 0 0 0
Becker "SILVER LEAF TWP" 273 53 214 3 1 2 0 0 0 0 0
Becker "SPRING CREEK TWP" 51 11 40 0 0 0 0 0 0 0 0
Becker "SPRUCE GROVE TWP" 209 32 177 0 0 0 0 0 0 0 0
Becker "SUGAR BUSH TWP" 332 144 181 3 2 1 0 1 0 0 0
Becker "TOAD LAKE TWP" 273 65 204 1 2 0 1 0 0 0 0
Becker "TWO INLETS TWP" 156 50 102 0 1 1 0 1 0 0 1
Becker "WALWORTH TWP" 48 23 25 0 0 0 0 0 0 0 0
Becker "WHITE EARTH TWP" 232 120 111 1 0 0 0 0 0 0 0
Becker "WOLF LAKE" 32 7 25 0 0 0 0 0 0 0 0
Becker "WOLF LAKE TWP" 161 24 134 2 0 0 0 0 0 0 1
Beltrami "ALASKA TWP" 119 70 48 1 0 0 0 0 0 0 0
Beltrami "BATTLE TWP" 16 5 10 0 0 0 0 1 0 0 0
Beltrami "BEMIDJI TWP" 1723 686 983 23 11 3 6 3 0 0 8
Beltrami "BEMIDJI W-1" 984 577 353 28 12 1 7 2 2 0 2
Beltrami "BEMIDJI W-2" 1204 673 502 15 3 2 3 1 1 1 3
Beltrami "BEMIDJI W-3 P-1" 1142 582 527 20 3 1 3 1 0 2 3
Beltrami "BEMIDJI W-3 P-2" 629 295 305 11 4 0 6 0 1 1 6
Beltrami "BEMIDJI W-4" 1494 829 608 29 5 3 8 5 2 1 4
Beltrami "BEMIDJI W-5" 1651 833 773 17 10 1 6 6 0 0 5
Beltrami "BENVILLE TWP" 63 16 47 0 0 0 0 0 0 0 0
Beltrami "BIRCH TWP" 68 24 42 0 0 1 0 1 0 0 0
Beltrami BLACKDUCK 321 106 211 2 1 0 1 0 0 0 0
Beltrami "BUZZLE TWP" 179 54 123 2 0 0 0 0 0 0 0
Beltrami "CORMANT TWP" 104 24 80 0 0 0 0 0 0 0 0
Beltrami "DURAND TWP" 127 36 90 1 0 0 0 0 0 0 0
Beltrami "ECKLES TWP" 1026 341 668 7 2 2 2 1 0 0 3
Beltrami "FROHN TWP" 989 399 574 4 2 1 1 2 1 1 4
Beltrami FUNKLEY 6 2 4 0 0 0 0 0 0 0 0
Beltrami "GRANT VALLEY TWP" 1275 515 734 16 1 0 3 1 1 1 3
Beltrami "HAGALI TWP" 222 49 165 6 0 1 0 0 0 1 0
Beltrami "HAMRE TWP" 13 5 8 0 0 0 0 0 0 0 0
Beltrami "HINES TWP" 420 105 306 4 0 1 2 2 0 0 0
Beltrami "HORNET TWP" 121 22 96 1 1 0 0 1 0 0 0
Beltrami "JONES TWP" 143 26 113 2 2 0 0 0 0 0 0
Beltrami KELLIHER 120 40 79 1 0 0 0 0 0 0 0
Beltrami "KELLIHER TWP" 84 27 57 0 0 0 0 0 0 0 0
Beltrami "LAMMERS TWP" 337 83 247 4 0 2 0 0 1 0 0
Beltrami "LANGOR TWP" 116 19 95 0 1 1 0 0 0 0 0
Beltrami "LEE TWP" 23 4 19 0 0 0 0 0 0 0 0
Beltrami "LIBERTY TWP" 460 165 283 6 0 2 3 0 1 0 0
Beltrami "MAPLE RIDGE TWP" 67 27 37 0 0 0 0 2 0 0 1
Beltrami "MINNIE TWP" 17 6 11 0 0 0 0 0 0 0 0
Beltrami "MOOSE LAKE TWP" 157 60 93 1 1 0 2 0 0 0 0
Beltrami "NEBISH TWP" 165 60 103 0 0 0 0 0 0 0 2
