DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Bell "Precinct 101" 0 1334 3660 20 77 3
NA Bell "Precinct 102" 0 628 1713 11 43 1
NA Bell "Precinct 103" 0 1245 2697 26 79 5
NA Bell "Precinct 104" 0 1472 4377 15 103 3
NA Bell "Precinct 105" 0 171 996 8 18 0
NA Bell "Precinct 106" 0 1955 1027 36 78 5
NA Bell "Precinct 107" 0 92 247 1 4 0
NA Bell "Precinct 108" 0 177 1039 3 15 3
NA Bell "Precinct 109" 0 813 559 9 33 3
NA Bell "Precinct 110" 0 418 474 8 37 3
NA Bell "Precinct 111" 0 1592 2536 27 74 4
NA Bell "Precinct 113" 0 40 194 1 6 0
NA Bell "Precinct 201" 0 1048 1042 16 67 2
NA Bell "Precinct 202" 0 1935 2499 29 99 3
NA Bell "Precinct 203" 0 1156 4899 19 90 2
NA Bell "Precinct 204" 0 861 608 13 38 3
NA Bell "Precinct 205" 0 1734 914 19 70 3
NA Bell "Precinct 206" 0 733 423 13 32 1
NA Bell "Precinct 207" 0 1371 765 17 77 0
NA Bell "Precinct 208" 0 2678 1526 26 109 4
NA Bell "Precinct 209" 0 3002 2639 28 141 7
NA Bell "Precinct 210" 0 2796 1861 21 100 5
NA Bell "Precinct 301" 0 420 2238 11 54 0
NA Bell "Precinct 302" 0 1088 1640 15 57 2
NA Bell "Precinct 303" 0 1371 1611 12 60 2
NA Bell "Precinct 304" 0 138 437 2 4 0
NA Bell "Precinct 305" 0 604 1352 7 24 0
NA Bell "Precinct 306" 0 735 563 19 22 0
NA Bell "Precinct 307" 0 1026 462 5 23 2
NA Bell "Precinct 308" 0 769 730 12 42 1
NA Bell "Precinct 309" 0 76 519 2 8 0
NA Bell "Precinct 310" 0 34 366 0 6 0
NA Bell "Precinct 311" 0 380 1820 10 34 3
NA Bell "Precinct 312" 0 221 1215 4 24 0
NA Bell "Precinct 313" 0 643 1341 10 29 1
NA Bell "Precinct 314" 0 803 990 13 39 1
NA Bell "Precinct 315" 0 1913 3600 24 125 4
NA Bell "Precinct 317" 0 1873 3730 21 98 5
NA Bell "Precinct 401" 0 226 680 5 16 0
NA Bell "Precinct 402" 0 615 1308 6 32 0
NA Bell "Precinct 404" 0 1655 946 18 67 6
NA Bell "Precinct 405" 0 2214 974 27 106 4
NA Bell "Precinct 406" 0 824 670 7 36 0
NA Bell "Precinct 408" 0 2440 1388 26 106 3
NA Bell "Precinct 409" 0 696 639 8 37 1
NA Bell "Precinct 410" 0 707 413 16 37 1
NA Bell "Precinct 412" 0 2308 880 35 90 7
NA Bell "Precinct 413" 0 3383 1727 46 159 9
NA Bexar 1001 0 396 123 4 10 0
NA Bexar 1002 0 283 173 5 5 0
NA Bexar 1003 0 1029 294 11 29 2
NA Bexar 1004 0 366 116 9 7 0
NA Bexar 1005 0 319 102 7 5 0
NA Bexar 1006 0 803 297 13 20 0
NA Bexar 1007 0 541 184 10 10 0
NA Bexar 1008 0 1003 225 11 25 1
NA Bexar 1009 0 660 468 9 21 2
NA Bexar 1010 0 299 79 6 8 0
NA Bexar 1011 0 191 82 7 3 0
NA Bexar 1012 0 733 426 13 25 1
NA Bexar 1013 0 969 285 14 34 1
NA Bexar 1014 0 467 137 12 13 1
NA Bexar 1015 0 499 175 4 17 0
NA Bexar 1016 0 422 129 4 11 1
NA Bexar 1017 0 77 47 1 2 0
NA Bexar 1018 0 807 321 11 15 1
NA Bexar 1019 0 288 98 7 12 2
NA Bexar 1020 0 910 354 10 20 2
NA Bexar 1021 0 609 211 13 20 1
NA Bexar 1022 0 341 128 2 7 0
NA Bexar 1023 0 878 256 14 25 0
NA Bexar 1024 0 1207 728 19 43 2
NA Bexar 1025 0 200 70 1 8 0
NA Bexar 1026 0 428 158 12 8 0
NA Bexar 1027 0 165 125 2 5 0
NA Bexar 1028 0 358 145 3 9 0
NA Bexar 1029 0 731 254 13 13 0
NA Bexar 1030 0 21 16 1 2 0
NA Bexar 1031 0 531 180 15 19 0
NA Bexar 1032 0 804 235 22 31 0
NA Bexar 1033 0 618 343 7 20 2
NA Bexar 1034 0 1581 1400 23 80 3
NA Bexar 1035 0 195 236 6 15 1
NA Bexar 1036 0 1209 773 16 52 1
NA Bexar 1037 0 857 359 9 30 1
NA Bexar 1038 0 1107 624 24 48 4
NA Bexar 1039 0 917 359 33 26 0
NA Bexar 1040 0 860 308 16 22 1
NA Bexar 1041 0 725 249 13 27 0
NA Bexar 1042 0 405 168 6 8 0
NA Bexar 1043 0 553 298 15 29 0
NA Bexar 1044 0 855 336 12 15 2
NA Bexar 1045 0 1225 546 16 38 2
NA Bexar 1046 0 774 288 11 21 0
NA Bexar 1047 0 612 223 10 11 0
NA Bexar 1048 0 806 358 14 14 1
NA Bexar 1049 0 878 403 17 27 0
NA Bexar 1050 0 504 257 4 13 1
NA Bexar 1051 0 638 423 17 15 0
NA Bexar 1052 0 781 397 14 23 0
NA Bexar 1053 0 79 42 2 1 0
NA Bexar 1054 0 986 441 22 24 1
NA Bexar 1055 0 822 507 17 30 0
NA Bexar 1056 0 1117 711 18 33 0
NA Bexar 1057 0 607 683 7 19 2
