COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DEM REP
Anderson "Three and Twenty" 2776 1 2775
Anderson "Toney Creek" 773 1 772
Anderson Townville 858 1 857
Anderson "Town Creek" 1805 1 1804
Anderson "West Pelzer" 2033 1 2032
Anderson "West Savannah" 603 1 602
Anderson "White Plains" 3367 1 3366
Anderson Williamston 2401 1 2400
Anderson "Williamston Mill" 2968 1 2967
Anderson "Wright's School" 816 1 815
Anderson "Anderson 1/1" 1898 1 1897
Anderson "Anderson 1/2" 1375 1 1374
Anderson "Anderson 2/1" 1402 1 1401
Anderson "Anderson 2/2" 2635 1 2634
Anderson "Anderson 3/1" 1026 1 1025
Anderson "Anderson 3/2" 1215 1 1214
Anderson "Anderson 4/1" 1440 1 1439
Anderson "Anderson 4/2" 2139 1 2138
Anderson "Anderson 5/B" 1482 1 1481
Anderson "Anderson 6/1" 2035 1 2034
Anderson "Anderson 6/2" 1478 1 1477
Anderson Varennes 1308 1 1307
Anderson Lakeside 2615 1 2614
Anderson "Centerville Station B" 2988 1 2987
Anderson "Edgewood Station B" 2200 1 2199
Anderson "Cox's Creek" 1323 1 1322
Anderson "Mt Airy" 2497 1 2496
Anderson "Belton Annex" 1895 1 1894
Anderson Powdersville 3478 1 3477
Anderson Glenview 2049 1 2048
Anderson "Hammond Annex" 2055 1 2054
Anderson "Center Rock" 2650 1 2649
Anderson "Hunt Meadows" 4575 1 4574
Anderson "South Fant" 1334 1 1333
Bamberg COLSTON 191 1 190
Bamberg EDISTO 327 1 326
Bamberg EHRHARDT 756 1 755
Bamberg "EAST DENMARK" 2244 1 2243
Bamberg GOVAN 168 1 167
Bamberg "HIGHTOWERS MILL" 89 1 88
Bamberg "HUNTER'S CHAPEL" 208 1 207
Bamberg KEARSE 111 1 110
Bamberg "LITTLE SWAMP" 143 1 142
Bamberg OLAR 343 1 342
Bamberg "SOUTH BAMBERG" 2418 1 2417
Bamberg "WEST DENMARK" 1249 1 1248
Bamberg "NORTH BAMBERG" 2007 1 2006
Barnwell "BARNWELL 1" 738 1 737
Barnwell "BARNWELL 2" 1480 1 1479
Barnwell "BARNWELL 3" 1656 1 1655
Barnwell "BARNWELL 4" 1453 1 1452
Barnwell "BLACKVILLE 1" 943 1 942
Barnwell "BLACKVILLE 2" 567 1 566
Barnwell ELKO 547 1 546
Barnwell FRIENDSHIP 622 1 621
Barnwell KLINE 575 1 574
Barnwell "HEALING SPRINGS" 837 1 836
Barnwell HILDA 841 1 840
Barnwell SNELLING 1259 1 1258
Barnwell "WILLISTON 1" 1358 1 1357
Barnwell "WILLISTON 2" 580 1 579
Barnwell "WILLISTON 3" 831 1 830
Beaufort "BEAUFORT 1" 1150 1 1149
Beaufort "BEAUFORT 2" 1193 1 1192
Beaufort "BEAUFORT 3" 1512 1 1511
Beaufort "BURTON 1A" 2258 1 2257
Beaufort "BURTON 1B" 1422 1 1421
Beaufort "BURTON 1C" 2053 1 2052
Beaufort "BURTON 2A" 1979 1 1978
Beaufort "BURTON 2B" 2152 1 2151
Beaufort "BURTON 2C" 2164 1 2163
Beaufort "BURTON 3" 703 1 702
Beaufort "CHECHESSEE 1" 1890 1 1889
Beaufort "CHECHESSEE 2" 1981 1 1980
Beaufort "Ladys Island 1A" 1710 1 1709
Beaufort "Ladys Island 1B" 1687 1 1686
Beaufort "Ladys Island 2A" 1694 1 1693
Beaufort "Ladys Island 2B" 1369 1 1368
Beaufort "Ladys Island 3A" 1058 1 1057
Beaufort "Ladys Island 3B" 1317 1 1316
Beaufort "Mossy Oaks 1A" 1034 1 1033
Beaufort "Mossy Oaks 1B" 1281 1 1280
Beaufort "Mossy Oaks 2" 1238 1 1237
Beaufort "PORT ROYAL 1" 1295 1 1294
Beaufort "PORT ROYAL 2" 1474 1 1473
Beaufort "DALE LOBECO" 1222 1 1221
Beaufort "SEABROOK 1" 1226 1 1225
Beaufort "SEABROOK 2" 988 1 987
Beaufort "SEABROOK 3" 1414 1 1413
Beaufort "SHELDON 1" 1156 1 1155
Beaufort "SHELDON 2" 853 1 852
Beaufort "BURTON 1D" 1109 1 1108
Beaufort "Saint Helena 1A" 1394 1 1393
Beaufort "Saint Helena 1B" 1441 1 1440
Beaufort "Saint Helena 1C" 1578 1 1577
Beaufort "Saint Helena 2A" 1375 1 1374
Beaufort "Saint Helena 2B" 1384 1 1383
Beaufort "Saint Helena 2C" 1251 1 1250
Beaufort "Ladys Island 2C" 967 1 966
Beaufort "Ladys Island 3C" 1191 1 1190
Beaufort DAUFUSKIE 448 1 447
Beaufort "HILTON HEAD 1A" 1425 1 1424
Beaufort "HILTON HEAD 1B" 1299 1 1298
Beaufort "HILTON HEAD 2A" 1650 1 1649
Beaufort "HILTON HEAD 2B" 1684 1 1683
Beaufort "HILTON HEAD 2C" 1743 1 1742
Beaufort "HILTON HEAD 3" 954 1 953
Beaufort "HILTON HEAD 4A" 914 1 913
Beaufort "HILTON HEAD 4B" 1401 1 1400
Beaufort "HILTON HEAD 4C" 1105 1 1104
Beaufort "HILTON HEAD 4D" 1178 1 1177
Beaufort "HILTON HEAD 5A" 1108 1 1107
Beaufort "HILTON HEAD 5B" 1016 1 1015
Beaufort "HILTON HEAD 5C" 991 1 990
Beaufort "HILTON HEAD 6" 1439 1 1438
Beaufort "HILTON HEAD 7A" 1451 1 1450
Beaufort "HILTON HEAD 7B" 1574 1 1573
Beaufort "HILTON HEAD 8" 1009 1 1008
Beaufort "HILTON HEAD 9A" 1738 1 1737
Beaufort "HILTON HEAD 9B" 1534 1 1533
Beaufort "HILTON HEAD 10" 1915 1 1914
Beaufort "HILTON HEAD 11" 1207 1 1206
Beaufort "HILTON HEAD 12" 878 1 877
Beaufort "HILTON HEAD 13" 1238 1 1237
Beaufort "HILTON HEAD 14" 1041 1 1040
