COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Cochise "47 WI KANSAS SETTLEMENT" 0 285 804 0 0 0 16 0 0
Cochise "48 WI STEWART" 0 205 758 0 0 0 9 0 0
Cochise "49 WI WILLCOX" 0 228 496 0 0 0 12 0 0
Coconino "BELLEMONT 40" 0 282 338 0 0 0 14 0 0
Coconino "BLUE RIDGE 41" 0 143 467 0 0 0 3 0 0
Coconino "BODAWAY 42" 0 566 174 0 0 0 17 0 0
Coconino "CAMERON 43" 0 653 140 0 0 0 20 0 0
Coconino "COALMINE 48" 0 186 23 0 0 0 3 0 0
Coconino "COPPERMINE 47" 0 319 88 0 0 0 16 0 0
Coconino "DONEY PARK 50" 0 752 1019 0 0 0 41 0 0
Coconino "FLAGSTAFF 1" 0 1178 357 0 0 0 20 0 0
Coconino "FLAGSTAFF 10" 0 162 35 0 0 0 5 0 0
Coconino "FLAGSTAFF 11" 0 595 240 0 0 0 16 0 0
Coconino "FLAGSTAFF 12" 0 872 174 0 0 0 31 0 0
Coconino "FLAGSTAFF 13" 0 248 63 0 0 0 13 0 0
Coconino "FLAGSTAFF 14" 0 903 282 0 0 0 38 0 0
Coconino "FLAGSTAFF 15" 0 1622 647 0 0 0 52 0 0
Coconino "FLAGSTAFF 16" 0 1181 533 0 0 0 32 0 0
Coconino "FLAGSTAFF 17" 0 382 216 0 0 0 11 0 0
Coconino "FLAGSTAFF 18" 0 382 279 0 0 0 15 0 0
Coconino "FLAGSTAFF 19" 0 1000 612 0 0 0 34 0 0
Coconino "FLAGSTAFF 2" 0 1060 202 0 0 0 16 0 0
Coconino "FLAGSTAFF 20" 0 427 118 0 0 0 18 0 0
Coconino "FLAGSTAFF 21" 0 1303 699 0 0 0 45 0 0
Coconino "FLAGSTAFF 22" 0 1658 973 0 0 0 62 0 0
Coconino "FLAGSTAFF 23" 0 994 455 0 0 0 52 0 0
Coconino "FLAGSTAFF 24" 0 1502 1032 0 0 0 43 0 0
Coconino "FLAGSTAFF 25" 0 1119 645 0 0 0 40 0 0
Coconino "FLAGSTAFF 26" 0 549 411 0 0 0 31 0 0
Coconino "FLAGSTAFF 3" 0 798 125 0 0 0 20 0 0
Coconino "FLAGSTAFF 4" 0 1149 347 0 0 0 20 0 0
Coconino "FLAGSTAFF 5" 0 1342 623 0 0 0 31 0 0
Coconino "FLAGSTAFF 6" 0 1091 655 0 0 0 43 0 0
Coconino "FLAGSTAFF 7" 0 860 418 0 0 0 45 0 0
Coconino "FLAGSTAFF 8" 0 611 196 0 0 0 10 0 0
Coconino "FLAGSTAFF 9" 0 1193 405 0 0 0 56 0 0
Coconino "FOREST LAKES 53" 0 40 111 0 0 0 2 0 0
Coconino "FORT VALLEY EAST 55" 0 197 117 0 0 0 3 0 0
Coconino "FORT VALLEY WEST 56" 0 363 307 0 0 0 9 0 0
Coconino "FREDONIA 58" 0 116 482 0 0 0 7 0 0
Coconino "GRAND CANYON 59" 0 495 149 0 0 0 21 0 0
Coconino "HAVASUPAI 60" 0 57 5 0 0 0 1 0 0
Coconino "INSCRIPTION HOUSE 61" 0 307 154 0 0 0 11 0 0
Coconino "KAIBAB NORTH 64" 0 4 12 0 0 0 1 0 0
Coconino "KAIBAB WEST 66" 0 135 430 0 0 0 13 0 0
Coconino "KAIBETO 65" 0 735 218 0 0 0 23 0 0
Coconino "LECHEE 67" 0 534 186 0 0 0 25 0 0
Coconino "LEUPP 69" 0 844 198 0 0 0 17 0 0
Coconino "MOENKOPI 70" 0 257 26 0 0 0 7 0 0
Coconino "MORMON LAKE 63" 0 61 114 0 0 0 3 0 0
Coconino "MOUNTAIN VIEW 86" 0 101 141 0 0 0 2 0 0
Coconino "NAVAJO MOUNTAIN 71" 0 71 19 0 0 0 6 0 0
Coconino "PAGE CENTRAL 72" 0 350 452 0 0 0 17 0 0
Coconino "PAGE EAST 73" 0 313 519 0 0 0 12 0 0
Coconino "PAGE SOUTH 74" 0 330 285 0 0 0 11 0 0
Coconino "PAGE WEST 75" 0 387 544 0 0 0 23 0 0
Coconino "PARKS 79" 0 303 700 0 0 0 16 0 0
Coconino "PINEWOOD 80" 0 316 552 0 0 0 19 0 0
Coconino "PUMPHOUSE WASH 62" 0 1696 1063 0 0 0 63 0 0
Coconino "RANCHES 84" 0 228 252 0 0 0 7 0 0
Coconino "SCHULTZ 51" 0 39 36 0 0 0 1 0 0
Coconino "SEDONA NORTH 82" 0 456 331 0 0 0 7 0 0
Coconino "SEDONA SOUTH 83" 0 797 607 0 0 0 15 0 0
Coconino "SUNSET CRATER 85" 0 692 966 0 0 0 39 0 0
Coconino "TIMBERLINE FERNWOOD 52" 0 688 946 0 0 0 29 0 0
Coconino "TOLANI LAKE 88" 0 269 40 0 0 0 5 0 0
Coconino "TONALEA 90" 0 1140 241 0 0 0 36 0 0
Coconino "TUBA CITY NORTHEAST 93" 0 654 136 0 0 0 12 0 0
Coconino "TUBA CITY NORTHWEST 94" 0 564 83 0 0 0 16 0 0
Coconino "TUBA CITY SOUTH 95" 0 2302 350 0 0 0 45 0 0
Coconino "TUSAYAN 97" 0 258 335 0 0 0 9 0 0
Coconino "WILLIAMS NORTHSIDE 98" 0 525 1568 0 0 0 33 0 0
Coconino "WILLIAMS SOUTHSIDE 99" 0 298 538 0 0 0 12 0 0
Coconino "WINONA 92" 0 694 848 0 0 0 31 0 0
Gila "Canyon Day" 0 264 47 0 0 0 1 0 0
Gila Carrizo 0 12 2 0 0 0 0 0 0
Gila "Central Heights" 0 110 234 0 0 0 1 0 0
Gila "Claypool #1" 0 165 416 0 0 0 16 0 0
Gila "Claypool #2" 0 205 361 0 0 0 13 0 0
Gila "Claypool #3" 0 148 181 0 0 0 12 0 0
Gila "Copper Basin" 0 328 148 0 0 0 4 0 0
Gila "East Globe" 0 260 474 0 0 0 6 0 0
Gila Gisela 0 97 374 0 0 0 4 0 0
Gila "Globe #1" 0 142 348 0 0 0 7 0 0
Gila "Globe #11" 0 162 403 0 0 0 9 0 0
Gila "Globe #2" 0 81 96 0 0 0 1 0 0
Gila "Globe #3" 0 47 57 0 0 0 2 0 0
Gila "Globe #4" 0 229 248 0 0 0 15 0 0
Gila "Globe #6" 0 262 444 0 0 0 12 0 0
Gila "Globe #7" 0 138 231 0 0 0 3 0 0
Gila "Globe #8" 0 187 206 0 0 0 12 0 0
Gila "Miami #1" 0 148 211 0 0 0 6 0 0
Gila "Miami #3" 0 168 156 0 0 0 6 0 0
Gila "Payson #1" 0 263 851 0 0 0 19 0 0
Gila "Payson #2" 0 414 1268 0 0 0 24 0 0
Gila "Payson #3" 0 639 1708 0 0 0 18 0 0
Gila "Payson #4" 0 322 694 0 0 0 21 0 0
Gila "Payson #5" 0 369 1140 0 0 0 14 0 0
Gila "Payson #6" 0 255 744 0 0 0 10 0 0
Gila "Payson #7" 0 217 589 0 0 0 9 0 0
Gila "Payson #8" 0 313 881 0 0 0 21 0 0
Gila "Pinal Creek" 0 85 124 0 0 0 1 0 0
Gila "Pine-Strawberry East" 0 149 413 0 0 0 8 0 0
Gila "Pine Strawberry West" 0 430 1188 0 0 0 12 0 0
Gila Roosevelt 0 48 152 0 0 0 1 0 0
Gila "San Carlos" 0 1265 260 0 0 0 15 0 0
Gila "Sierra Ancha" 0 20 106 0 0 0 1 0 0
Gila "Star Valley" 0 480 1685 0 0 0 20 0 0
Gila "Tonto Basin" 0 209 906 0 0 0 5 0 0
Gila Wheatfields 0 36 68 0 0 0 0 0 0
Gila "Whispering Pines" 0 52 165 0 0 0 1 0 0
Gila Young 0 65 417 0 0 0 6 0 0
Gila "Zane Grey" 0 159 381 0 0 0 6 0 0
Graham "Artesia #20" 0 100 531 0 0 0 5 0 0
Graham "Bonita #13" 0 12 113 0 0 0 1 0 0
Graham "Bylas #11" 0 606 87 0 0 0 3 0 0
Graham "Cactus #17" 0 46 123 0 0 0 3 0 0
Graham "Central #8" 0 37 449 0 0 0 3 0 0
Graham "Desert Hills #19" 0 152 754 0 0 0 27 0 0
Graham "Ft Thomas #10" 0 22 196 0 0 0 1 0 0
Graham "Gila River #22" 0 11 19 0 0 0 0 0 0
Graham "Jackson #18" 0 174 788 0 0 0 14 0 0
Graham "Klondyke #12" 0 14 41 0 0 0 3 0 0
Graham "Layton #4" 0 177 305 0 0 0 2 0 0
Graham "Layton #5" 0 296 876 0 0 0 19 0 0
Graham "Peridot #16" 0 471 88 0 0 0 3 0 0
Graham "Pima #9" 0 289 1715 0 0 0 31 0 0
Graham "Quatro Cerros #21" 0 13 64 0 0 0 1 0 0
Graham "Safford #15" 0 415 856 0 0 0 15 0 0
Graham "Safford #2" 0 382 791 0 0 0 24 0 0
Graham "Safford #3" 0 134 412 0 0 0 4 0 0
Graham "Solomon #1" 0 242 534 0 0 0 5 0 0
Graham "Thatcher #6" 0 90 623 0 0 0 15 0 0
Graham "Thatcher #7" 0 296 1149 0 0 0 25 0 0
Graham "Thunderbird #14" 0 55 235 0 0 0 8 0 0
Greenlee "001 Eagle" 0 1 14 0 0 0 0 0 0
Greenlee "002 Blue" 0 2 23 0 0 0 0 0 0
Greenlee "003 Clifton 1" 0 329 400 0 0 0 16 0 0
Greenlee "004 Clifton 2" 0 226 227 0 0 0 6 0 0
Greenlee "005 Morenci" 0 278 594 0 0 0 17 0 0
