COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Amherst County" "202 - Temperance" 518 148 362 8 0
"Amherst County" "301 - Monroe" 571 150 416 5 0
"Amherst County" "302 - Elon" 1414 315 1084 13 2
"Amherst County" "303 - Pleasant View" 341 88 252 1 0
"Amherst County" "401 - Amelon" 1481 484 983 11 3
"Amherst County" "402 - Lonco" 341 111 226 4 0
"Amherst County" "501 - Madison" 1407 517 877 12 1
"Amherst County" "Ab - Central Absentee Precinct" 445 208 229 1 7
"Amherst County" Provisional 0 0 0 0 0
"Appomattox County" "101 - Vera" 391 69 317 5 0
"Appomattox County" "102 - Pamplin" 680 181 492 7 0
"Appomattox County" "201 - Chap" 230 76 152 2 0
"Appomattox County" "202 - Spout Spring" 833 152 672 9 0
"Appomattox County" "301 - Us 460" 507 98 403 6 0
"Appomattox County" "302 - Stonewall" 598 137 456 5 0
"Appomattox County" "401 - Courthouse" 789 192 589 8 0
"Appomattox County" "501 - Oakville" 665 185 474 5 1
"Appomattox County" "502 - Agee" 282 84 196 2 0
"Appomattox County" "Ab - Central Absentee Precinct" 196 53 142 1 0
"Appomattox County" Provisional 1 0 1 0 0
"Arlington County" "1 - Arlington" 1199 1004 183 10 2
"Arlington County" "2 - Ashton Heights" 1558 1276 266 14 2
"Arlington County" "3 - Aurora Hills" 1081 778 295 8 0
"Arlington County" "4 - Ballston" 1435 1139 274 21 1
"Arlington County" "5 - Barcroft" 1312 1034 256 20 2
"Arlington County" "6 - Crystal City" 1061 812 238 11 0
"Arlington County" "7 - Cherrydale" 1542 1210 322 10 0
"Arlington County" "8 - Hume" 1697 1293 382 21 1
"Arlington County" "9 - Columbia" 1856 1522 309 24 1
"Arlington County" "10 - Wilson" 1728 1351 364 11 2
"Arlington County" "11 - East Falls Church" 1132 859 265 8 0
"Arlington County" "12 - Fairlington" 1637 1259 364 12 2
"Arlington County" "13 - Glen Carlyn" 1044 840 196 8 0
"Arlington County" "14 - Clarendon" 1107 897 193 16 1
"Arlington County" "15 - Lyon Park" 849 681 159 9 0
"Arlington County" "16 - Lyon Village" 1588 1243 321 24 0
"Arlington County" "17 - Overlee Knolls" 1713 1333 368 11 1
"Arlington County" "18 - Park Lane" 1909 1528 365 15 1
"Arlington County" "19 - Rosslyn" 1585 1282 286 16 1
"Arlington County" "20 - Thrifton" 1602 1135 456 11 0
