COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DemReg RepReg
Ashtabula "ASHTABULA 1-D" 509 508 1
Ashtabula "ASHTABULA 2-A" 834 833 1
Ashtabula "ASHTABULA 2-B" 689 688 1
Ashtabula "ASHTABULA 2-C" 393 392 1
Ashtabula "ASHTABULA 2-D" 336 335 1
Ashtabula "ASHTABULA 3-A" 302 301 1
Ashtabula "ASHTABULA 3-B" 509 508 1
Ashtabula "ASHTABULA 3-C" 402 401 1
Ashtabula "ASHTABULA 3-D" 502 501 1
Ashtabula "ASHTABULA 4-A" 397 396 1
Ashtabula "ASHTABULA 4-B" 504 503 1
Ashtabula "ASHTABULA 4-C" 355 354 1
Ashtabula "ASHTABULA 4-D" 872 871 1
Ashtabula "ASHTABULA 5-A" 375 374 1
Ashtabula "ASHTABULA 5-B" 368 367 1
Ashtabula "ASHTABULA 5-C" 722 721 1
Ashtabula "ASHTABULA 5-D" 474 473 1
Ashtabula "CONNEAUT 1-A" 367 366 1
Ashtabula "CONNEAUT 1-B" 356 355 1
Ashtabula "CONNEAUT 1-C" 760 759 1
Ashtabula "CONNEAUT 2-A" 671 670 1
Ashtabula "CONNEAUT 2-B" 877 876 1
Ashtabula "CONNEAUT 2-C" 616 615 1
Ashtabula "CONNEAUT 3-A" 346 345 1
Ashtabula "CONNEAUT 3-B" 516 515 1
Ashtabula "CONNEAUT 3-C" 417 416 1
Ashtabula "CONNEAUT 3-D" 538 537 1
Ashtabula "CONNEAUT 4-A" 424 423 1
Ashtabula "CONNEAUT 4-B" 620 619 1
Ashtabula "CONNEAUT 4-C" 356 355 1
Ashtabula "GENEVA 1" 465 464 1
Ashtabula "GENEVA 2" 896 895 1
Ashtabula "GENEVA 3" 511 510 1
Ashtabula "GENEVA 4" 490 489 1
Ashtabula "GENEVA 5" 395 394 1
Ashtabula "GENEVA 6" 537 536 1
Ashtabula "GENEVA 7" 497 496 1
Ashtabula "ANDOVER TWP. 1" 708 707 1
Ashtabula "ANDOVER TWP. 2" 463 462 1
Ashtabula "ANDOVER VILLAGE" 582 581 1
Ashtabula "ASHTABULA TWP. 1" 532 531 1
Ashtabula "ASHTABULA TWP. 2" 800 799 1
Ashtabula "ASHTABULA TWP. 3" 420 419 1
Ashtabula "ASHTABULA TWP. 4" 816 815 1
Ashtabula "ASHTABULA TWP. 5" 553 552 1
Ashtabula "ASHTABULA TWP. 6" 485 484 1
Ashtabula "AUSTINBURG TWP. 1" 874 873 1
Ashtabula "AUSTINBURG TWP. 2" 785 784 1
Ashtabula "CHERRY VALLEY" 502 501 1
Ashtabula "COLEBROOK TWP." 543 542 1
Ashtabula "DENMARK TWP." 532 531 1
Ashtabula "DORSET TWP." 512 511 1
Ashtabula "GENEVA TWP. 1" 1147 1146 1
Ashtabula "GENEVA TWP. 2" 556 555 1
Ashtabula "GENEVA TWP. 3" 427 426 1
Ashtabula "GEN ON LAKE VILL" 709 708 1
Ashtabula "HARPERSFLD TWP 1" 584 583 1
Ashtabula "HARPERSFLD TWP 2" 803 802 1
Ashtabula "HARPERSFLD TWP 3" 608 607 1
Ashtabula "HARTSGROVE TWP" 920 919 1
Ashtabula "JEFFERSON TWP. 1" 503 502 1
Ashtabula "JEFFERSON TWP. 2" 435 434 1
Ashtabula "JEFFERSON TWP 3" 537 536 1
Ashtabula "JEFF VILL 1" 469 468 1
Ashtabula "JEFF VILL 2" 1009 1008 1
Ashtabula "JEFF VILL 3" 577 576 1
Ashtabula "KINGSVILLE TWP. 1" 621 620 1
Ashtabula "KINGSVILLE TWP. 2" 609 608 1
Ashtabula "LENOX TWP. 1" 492 491 1
Ashtabula "LENOX TWP. 2" 498 497 1
Ashtabula "MONROE TWP. 1" 720 719 1
Ashtabula "MONROE TWP. 2" 631 630 1
Ashtabula "ROCK CREEK VILLAGE" 418 417 1
Ashtabula "MORGAN TWP." 589 588 1
Ashtabula "NEW LYME TWP." 649 648 1
Ashtabula "N KINGS VILL 1" 725 724 1
Ashtabula "N KINGS VILL 2" 950 949 1
Ashtabula "N KINGS VILL 3" 329 328 1
Ashtabula "ORWELL TWP." 751 750 1
Ashtabula "ORWELL VILLAGE" 898 897 1
Ashtabula "PIERPONT TWP." 682 681 1
Ashtabula "PLYMOUTH TWP. 1" 526 525 1
Ashtabula "PLYMOUTH TWP. 2" 930 929 1
Ashtabula "RICHMOND TWP." 559 558 1
Ashtabula "ROME TWP." 565 564 1
Ashtabula "SAYBROOK TWP. 1" 425 424 1
Ashtabula "SAYBROOK TWP. 2" 544 543 1
Ashtabula "SAYBROOK TWP. 3" 560 559 1
Ashtabula "SAYBROOK TWP. 4" 561 560 1
Ashtabula "SAYBROOK TWP. 5" 677 676 1
Ashtabula "SAYBROOK TWP. 6" 719 718 1
Ashtabula "SAYBROOK TWP. 7" 441 440 1
Ashtabula "SAYBROOK TWP. 8" 432 431 1
Ashtabula "SHEFFIELD TWP. 1" 436 435 1
Ashtabula "SHEFFIELD TWP. 2" 615 614 1
Ashtabula "TRUMBULL TWP." 955 954 1
Ashtabula "WAYNE TWP." 369 368 1
Ashtabula "WMSFLD TWP 1" 365 364 1
Ashtabula "WMSFLD TWP 2" 557 556 1
Ashtabula "WINDSOR TWP." 823 822 1
Ashtabula "ROAMING SHORES VILLAGE" 1158 1157 1
Athens "ATHENS 1-1" 1186 1185 1
Athens "ATHENS 1-2" 532 531 1
Athens "ATHENS 1-3" 930 929 1
Athens "ATHENS 1-4" 585 584 1
Athens "ATHENS 1-5" 213 212 1
Athens "ATHENS 2-1" 616 615 1
Athens "ATHENS 2-2" 495 494 1
Athens "ATHENS 2-3" 634 633 1
Athens "ATHENS 2-4" 851 850 1
Athens "ATHENS 3-1" 413 412 1
Athens "ATHENS 3-2" 601 600 1
Athens "ATHENS 3-3" 461 460 1
Athens "ATHENS 3-4" 780 779 1
Athens "ATHENS 3-5" 828 827 1
Athens "ATHENS 3-6" 523 522 1
Athens "ATHENS 4-1" 782 781 1
Athens "ATHENS 4-2" 602 601 1
Athens "ATHENS 4-3" 511 510 1
Athens "ATHENS 4-4" 619 618 1
Athens "NELSONVILLE 1" 599 598 1
Athens "NELSONVILLE 2" 482 481 1
Athens "NELSONVILLE 3" 752 751 1
Athens "NELSONVILLE 4" 832 831 1
Athens "ALEXANDER EAST" 1235 1234 1
Athens "ALEXANDER WEST" 739 738 1
Athens "AMES TOWNSHIP" 761 760 1
Athens "AMESVILLE VLG" 121 120 1
Athens "ATHENS BAKER" 1258 1257 1
Athens "ATHENS EAST" 450 449 1
Athens "ATHENS SOUTH" 858 857 1
Athens "PLAINS 1" 1012 1011 1
Athens "PLAINS 2" 1181 1180 1
Athens "BERN TOWNSHIP" 366 365 1
Athens "CANAAN TOWNSHIP" 1052 1051 1
Athens "CARTHAGE TOWNSHIP" 961 960 1
Athens "CHAUNCEY VLG" 518 517 1
Athens "CIRCLE HILL" 667 666 1
Athens MILLFIELD 635 634 1
Athens "SUGAR CREEK" 375 374 1
Athens "ALBANY VILLAGE" 625 624 1
Athens "LEE TOWNSHIP" 1427 1426 1
Athens "LODI TOWNSHIP" 1013 1012 1
Athens "ROME TOWNSHIP" 843 842 1
Athens JACKSONVILLE 300 299 1
Athens "TRIMBLE TOWNSHIP" 1107 1106 1
Athens "TRIMBLE VILLAGE" 200 199 1
Athens "GLOUSTER VILLAGE" 1016 1015 1
Athens "COOLVILLE VILLAGE" 349 348 1
Athens "TROY EAST" 839 838 1
Athens "TROY WEST" 574 573 1
Athens "NEW MARSHFIELD" 730 729 1
Athens WATERLOO 874 873 1
Athens "BUCHTEL VLG" 336 335 1
Athens "YORK TOWNSHIP" 1166 1165 1
Athens "ATHENS 2-5" 420 419 1
Athens "ATHENS 4-5" 509 508 1
Auglaize "ST. MARYS 1A" 955 954 1
Auglaize "ST. MARYS 1B" 592 591 1
Auglaize "ST. MARYS 2A" 684 683 1
Auglaize "ST. MARYS 2B" 1092 1091 1
Auglaize "ST. MARYS 3A" 1179 1178 1
Auglaize "ST. MARYS 4A" 964 963 1
Auglaize "WAPAKONETA 1A" 1157 1156 1
Auglaize "WAPAKONETA 1B" 1030 1029 1
Auglaize "WAPAKONETA 2A" 672 671 1
Auglaize "WAPAKONETA 2B" 820 819 1
Auglaize "WAPAKONETA 3A" 656 655 1
Auglaize "WAPAKONETA 3B" 656 655 1
Auglaize "WAPAKONETA 4A" 523 522 1
Auglaize "WAPAKONETA 4B" 1095 1094 1
Auglaize CLAY 550 549 1
Auglaize "DUCHOUQUET E" 1273 1272 1
Auglaize "DUCHOUQUET W" 895 894 1
Auglaize "CRIDERSVILLE E" 515 514 1
Auglaize GERMAN 598 597 1
Auglaize "NEW BREMEN E" 1379 1378 1
Auglaize "NEW BREMEN W" 850 849 1
Auglaize GOSHEN 348 347 1
Auglaize JACKSON 641 640 1
Auglaize "MINSTER N" 1204 1203 1
Auglaize "MINSTER S" 999 998 1
Auglaize BUCKLAND 160 159 1
Auglaize LOGAN 698 697 1
Auglaize MOULTON 1252 1251 1
Auglaize NOBLE 886 885 1
Auglaize PUSHETA 923 922 1
Auglaize "ST. MARYS E" 1106 1105 1
Auglaize "ST. MARYS W" 1346 1345 1
Auglaize SALEM 338 337 1
Auglaize UNION 1269 1268 1
Auglaize "NEW KNOXVILLE" 661 660 1
Auglaize WASHINGTON 743 742 1
Auglaize WAYNE 558 557 1
Auglaize WAYNESFIELD 497 496 1
Auglaize "CRIDERSVILLE W" 725 724 1
Belmont "BELLAIRE VILLAGE 1" 955 954 1
Belmont "BELLAIRE VILLAGE 2" 902 901 1
Belmont "BELLAIRE VILLAGE 3" 800 799 1
Belmont "MARTINS FERRY 1-A" 1123 1122 1
Belmont "MARTINS FERRY 2-A" 1294 1293 1
Belmont "MARTINS FERRY 3-A" 362 361 1
Belmont "MARTINS FERRY 3-B" 545 544 1
Belmont "MARTINS FERRY 4-A" 1142 1141 1
Belmont "ST CLAIRSVILLE 1-A" 633 632 1
Belmont "ST CLAIRSVILLE 2-A" 535 534 1
Belmont "ST CLAIRSVILLE 2-B" 769 768 1
Belmont "ST CLAIRSVILLE 3-A" 456 455 1
Belmont "ST CLAIRSVILLE 3-B" 572 571 1
Belmont "ST CLAIRSVILLE 4-A" 488 487 1
Belmont "ST CLAIRSVILLE 4-B" 475 474 1
Belmont "COLERAIN TWP 2" 335 334 1
