COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Clinton Trump Johnson Stein Writein
Bandera 0190407 0 214 1148 24 11 1
Bandera 0190408 0 48 135 2 3 0
Bandera 0190409 0 89 356 9 3 0
Bandera 0190410 0 55 317 6 1 0
Bastrop 0211001 0 641 1206 90 22 41
Bastrop 0211002 0 731 691 52 27 16
Bastrop 0211003 0 705 1125 80 17 27
Bastrop 0211004 0 505 702 46 14 21
Bastrop 0211022 0 646 1028 69 15 22
Bastrop 0212005 0 617 1012 58 20 16
Bastrop 0212006 0 245 620 28 5 12
Bastrop 0212007 0 310 999 48 20 15
Bastrop 0212008 0 173 470 26 4 5
Bastrop 0212009 0 247 471 29 7 10
Bastrop 0212010 0 222 571 28 5 15
Bastrop 0212011 0 492 928 54 27 20
Bastrop 0213012 0 134 437 29 6 4
Bastrop 0213013 0 296 658 22 11 11
Bastrop 0213014 0 570 683 62 18 16
Bastrop 0213015 0 697 579 48 13 20
Bastrop 0213016 0 684 897 59 17 23
Bastrop 0214017 0 721 643 55 21 27
Bastrop 0214018 0 119 276 15 2 9
Bastrop 0214019 0 580 874 53 20 22
Bastrop 0214020 0 994 908 80 21 28
Bastrop 0214021 0 240 550 32 8 5
Baylor 0230001 0 48 359 11 1 3
Baylor 0230002 0 49 309 8 0 2
Baylor 0230003 0 44 268 5 1 1
Baylor 0230004 0 50 331 7 1 1
Bee 0250001 0 473 704 31 6 5
Bee 0250002 0 16 169 3 0 4
Bee 0250003 0 306 465 36 6 0
Bee 0250004 0 54 151 1 1 2
Bee 0250005 0 63 146 9 2 0
Bee 0250006 0 203 433 10 5 0
Bee 0250008 0 37 105 3 0 0
Bee 0250009 0 312 117 14 3 1
Bee 0250010 0 519 235 28 2 0
Bee 0250011 0 50 106 3 0 0
Bee 0250012 0 52 134 5 0 1
Bee 0250013 0 310 450 27 2 3
Bee 0250014 0 54 84 0 0 0
Bee 0250016 0 204 334 14 2 2
Bee 0250017 0 332 312 15 1 4
Bee 0250018 0 248 711 29 2 3
Bee 0250019 0 211 88 10 2 0
Bell 0270101 0 835 2837 184 29 74
Bell 0270102 0 435 1332 97 13 29
Bell 0270103 0 729 1679 86 19 25
Bell 0270104 0 928 3428 170 26 83
Bell 0270105 0 152 798 28 4 5
Bell 0270106 0 1550 817 102 31 24
Bell 0270107 0 105 200 3 0 2
Bell 0270108 0 136 809 30 4 6
Bell 0270109 0 667 471 45 15 9
Bell 0270110 0 225 319 47 6 26
Bell 0270111 0 1012 1917 125 25 36
Bell 0270113 0 30 144 8 2 2
Bell 0270201 0 857 919 67 18 23
Bell 0270202 0 1156 1991 175 26 56
Bell 0270203 0 837 3484 134 25 61
Bell 0270204 0 576 521 40 16 12
Bell 0270205 0 1446 751 66 15 21
Bell 0270206 0 577 337 45 12 6
Bell 0270207 0 975 575 90 20 11
Bell 0270208 0 2065 1121 149 37 46
Bell 0270209 0 1905 1957 207 37 78
Bell 0270210 0 1531 1143 129 27 28
Bell 0270301 0 302 1735 70 8 17
Bell 0270302 0 809 1349 109 29 28
Bell 0270303 0 1082 1433 93 19 24
Bell 0270304 0 113 340 11 2 6
Bell 0270305 0 496 1168 78 13 37
Bell 0270306 0 533 386 27 10 9
Bell 0270307 0 901 353 37 4 11
Bell 0270308 0 479 484 61 18 15
Bell 0270309 0 76 416 13 1 4
Bell 0270310 0 41 284 4 4 3
Bell 0270311 0 269 1406 46 10 13
Bell 0270312 0 190 972 21 4 7
Bell 0270313 0 502 1191 66 16 34
Bell 0270314 0 568 843 62 11 20
Bell 0270315 0 993 2267 203 30 77
Bell 0270317 0 1243 2780 168 25 94
Bell 0270401 0 157 500 31 9 13
Bell 0270402 0 420 1071 48 13 12
Bell 0270404a 0 1316 752 88 26 24
Bell 0270404b 0 0 0 0 0 0
Bell 0270405 0 1574 717 103 30 28
Bell 0270406 0 706 558 40 17 7
Bell 0270408 0 1749 1034 111 26 36
Bell 0270409 0 444 427 47 8 9
Bell 0270410 0 595 349 45 14 14
Bell 0270412 0 1689 693 91 29 28
Bell 0270413 0 1825 940 124 29 33
Bexar 0291001 0 335 85 12 6 3
Bexar 0291002 0 233 113 10 9 5
Bexar 0291003 0 708 136 20 16 10
Bexar 0291004 0 330 55 4 3 2
Bexar 0291005 0 287 56 8 0 0
Bexar 0291006 0 829 181 19 5 7
Bexar 0291007 0 502 151 11 4 0
Bexar 0291008 0 857 154 40 18 16
Bexar 0291009 0 472 310 32 9 10
Bexar 0291010 0 233 55 7 9 6
Bexar 0291011 0 172 51 2 1 0
Bexar 0291012 0 696 319 28 11 11
Bexar 0291013 0 908 177 14 13 5
Bexar 0291014 0 449 77 3 6 3
Bexar 0291015 0 453 117 17 3 1
Bexar 0291016 0 433 83 7 8 4
Bexar 0291017 0 50 34 8 2 1
Bexar 0291018 0 754 204 22 11 5
Bexar 0291019 0 277 71 11 7 2
Bexar 0291020 0 811 264 22 14 11
Bexar 0291021 0 613 155 23 6 9
Bexar 0291022 0 351 85 11 4 1
Bexar 0291023 0 872 162 23 6 4
Bexar 0291024 0 1037 555 51 17 18
Bexar 0291025 0 185 30 6 0 3
Bexar 0291026 0 472 106 10 6 3
Bexar 0291027 0 37 24 2 1 1
Bexar 0291028 0 337 87 9 5 3
Bexar 0291029 0 710 138 13 15 5
Bexar 0291030 0 11 12 4 2 0
Bexar 0291031 0 529 95 10 8 7
Bexar 0291032 0 821 137 23 6 11
Bexar 0291033 0 538 279 29 12 5
Bexar 0291034 0 772 811 62 19 27
Bexar 0291035 0 112 181 22 9 22
Bexar 0291036 0 996 644 50 19 16
Bexar 0291037 0 764 310 28 14 10
