COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Modoc 020 4 3 1 0 0 0 0
Modoc 020A 92 36 51 2 0 0 0
Modoc 040 3 1 2 0 0 0 0
Modoc 040A 108 29 77 0 0 0 0
Modoc 060 76 11 62 2 0 0 1
Modoc 060A 298 115 176 0 2 0 1
Modoc 080 1 0 1 0 0 0 0
Modoc 080A 70 15 51 3 0 0 0
Modoc 100 6 1 5 0 0 0 0
Modoc 100A 141 42 96 0 1 1 0
Modoc 140 4 2 2 0 0 0 0
Modoc 140A 79 21 56 0 0 1 0
Modoc 160 1 0 1 0 0 0 0
Modoc 160A 66 13 52 1 0 0 0
Modoc 180 47 1 45 1 0 0 0
Modoc 180A 408 88 313 1 0 2 0
Modoc 200 21 7 14 0 0 0 0
Modoc 200A 129 27 96 2 0 2 0
Modoc 260 59 10 45 2 0 0 1
Modoc 260A 389 130 245 3 1 1 3
Modoc 280 44 8 35 0 0 1 0
Modoc 280A 240 63 160 4 1 1 2
Modoc 320 42 10 32 0 0 0 0
Modoc 320A 273 108 151 4 2 2 0
Modoc 360 0 0 0 0 0 0 0
Modoc 360A 147 32 113 0 0 0 0
Modoc 380 3 0 3 0 0 0 0
Modoc 380A 94 22 70 0 0 0 0
Modoc 400 39 3 35 0 0 1 0
Modoc 400A 272 50 220 0 1 0 0
Modoc 410 31 2 29 0 0 0 0
Modoc 410A 261 87 163 5 3 0 2
Modoc 420 5 0 5 0 0 0 0
Modoc 420A 162 42 113 4 0 1 0
Modoc 440 0 0 0 0 0 0 0
Modoc 440A 190 36 145 0 2 0 0
Modoc 460 0 0 0 0 0 0 0
Modoc 460A 199 40 154 0 0 0 1
Modoc 480 0 0 0 0 0 0 0
Modoc 480A 59 18 38 2 0 0 1
Modoc 500 82 6 75 1 0 0 0
Modoc 500A 258 71 177 2 2 0 0
Modoc SOV_CD01 0 0 0 0 0 0 0
Modoc SOV_SD01 0 0 0 0 0 0 0
Modoc SOV_AD01 0 0 0 0 0 0 0
Modoc SOV_BE01 0 0 0 0 0 0 0
Modoc SOV_AD00 0 0 0 0 0 0 0
Modoc SOV_CD00 0 0 0 0 0 0 0
Modoc SOV_SD00 0 0 0 0 0 0 0
Modoc SOV_BE00 0 0 0 0 0 0 0
Madera 1002A 444 221 212 4 0 2 2
Madera 1004A 152 60 88 0 0 0 0
Madera 1300A 0 0 0 0 0 0 0
Madera 1307A 290 105 180 0 0 1 0
Madera 1308A 208 61 141 2 0 0 1
Madera 1309A 1402 550 807 14 2 2 4
Madera 1311A 24 14 10 0 0 0 0
Madera 1312A 106 44 60 0 1 0 0
Madera 1313A 0 0 0 0 0 0 0
Madera 1314A 0 0 0 0 0 0 0
Madera 1315A 24 6 15 1 0 0 0
Madera 1316A 404 303 82 3 1 3 6
Madera 1317A 328 214 106 0 1 3 3
Madera 1318A 741 535 179 3 2 6 9
Madera 1319A 0 0 0 0 0 0 0
Madera 1320A 0 0 0 0 0 0 0
Madera 1502A 1805 548 1192 31 8 6 0
Madera 1505A 152 49 92 5 1 1 2
Madera 1509A 3033 953 1997 31 12 4 2
Madera 1515A 1485 561 863 26 4 8 0
Madera 2001A 474 113 345 5 2 0 0
Madera 2003A 425 240 176 2 1 1 3
Madera 2007A 5 5 0 0 0 0 0
Madera 2012A 3084 1540 1422 34 19 14 13
Madera 2104A 421 145 260 5 2 0 0
Madera 2105A 352 165 169 2 4 5 1
Madera 2106A 1202 501 665 14 3 2 4
Madera 2108A 630 272 333 8 2 3 5
Madera 2109A 1137 391 712 14 1 1 2
Madera 2305A 0 0 0 0 0 0 0
Madera 2306A 510 148 341 11 2 1 3
Madera 2309A 361 80 273 5 0 0 0
Madera 2324A 0 0 0 0 0 0 0
Madera 2327A 0 0 0 0 0 0 0
Madera 3200A 724 443 242 4 13 5 5
Madera 3202A 550 290 235 11 1 3 1
Madera 3203A 391 242 136 2 4 2 1
Madera 3207A 671 288 359 5 1 4 0
Madera 3208A 748 371 347 12 2 4 3
Madera 3210A 1702 809 829 13 10 7 4
Madera 3211A 1165 541 587 14 6 3 4
Madera 3212A 1031 453 535 15 9 3 5
Madera 3213A 709 438 239 9 1 1 11
Madera 3214A 1071 610 426 10 6 4 5
Madera 3215A 890 471 394 4 3 2 2
Madera 3216A 62 8 53 0 0 0 0
Madera 3217A 30 15 15 0 0 0 0
Madera 3218A 36 27 8 1 0 0 0
Madera 3219A 22 15 7 0 0 0 0
Madera 3223A 0 0 0 0 0 0 0
Madera 4200A 433 287 138 1 3 0 3
Madera 4201A 354 244 99 2 0 3 1
Madera 4202A 1201 845 319 11 5 4 8
Madera 4203A 521 368 132 9 2 3 1
Madera 4204A 247 141 103 0 1 2 0
Madera 4205A 666 480 158 2 5 3 9
Madera 4207A 363 287 66 2 1 3 3
Madera 4208A 223 154 58 3 2 0 4
Madera 4310A 451 297 147 5 0 1 0
Madera 4311A 10 9 1 0 0 0 0
Madera 4312A 0 0 0 0 0 0 0
Madera 5400A 1706 568 1078 19 6 0 1
Madera 5403A 513 177 322 7 1 0 0
Madera 5404A 1671 658 941 31 10 5 2
Madera 5409A 3673 1406 2123 64 14 11 3
Madera 5418A 3243 1091 2061 36 12 7 3
Madera 5424A 56 8 47 0 0 0 0
Madera 5425A 2486 930 1446 49 12 5 4
Madera 5429A 569 155 394 9 2 2 1
Madera 5430A 601 152 441 1 1 3 0
Madera 5431A 4 1 3 0 0 0 0
Madera 5432A 8 6 2 0 0 0 0
Madera 1002 49 23 25 0 0 1 0
Madera 1004 8 1 7 0 0 0 0
Madera 1300 0 0 0 0 0 0 0
Madera 1307 18 5 13 0 0 0 0
Madera 1308 12 7 5 0 0 0 0
Madera 1309 181 56 120 4 0 0 1
Madera 1311 2 1 1 0 0 0 0
Madera 1312 9 7 2 0 0 0 0
Madera 1313 0 0 0 0 0 0 0
Madera 1314 1 0 1 0 0 0 0
