COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Calhoun "SANDY RUN" 990 228 734 13 5 1 8 1
Calhoun "ST. MATTHEWS" 749 301 426 15 4 0 3 0
Calhoun Absentee 1777 1122 627 18 1 3 5 1
Calhoun Emergency 0 0 0 0 0 0 0 0
Calhoun Failsafe 55 25 28 1 0 0 0 1
Calhoun Provisional 0 0 0 0 0 0 0 0
Calhoun "Failsafe Provisional" 3 1 2 0 0 0 0 0
Charleston AWENDAW 603 325 261 8 4 1 3 1
Charleston "CHRIST CHURCH" 428 229 181 11 3 1 2 1
Charleston "ISLE OF PALMS 1A" 565 190 323 32 11 2 7 0
Charleston "ISLE OF PALMS 1B" 752 240 449 47 4 2 10 0
Charleston "ISLE OF PALMS 1C" 698 219 432 38 3 2 4 0
Charleston "SULLIVANS ISLAND" 913 420 414 64 3 1 11 0
Charleston MCCLELLANVILLE 824 555 231 24 5 1 7 1
Charleston "DEER PARK 1A" 523 308 170 21 11 6 6 1
Charleston "DEER PARK 1B" 1000 473 444 56 14 4 7 2
Charleston "DEER PARK 2A" 1122 552 514 34 8 3 9 2
Charleston "DEER PARK 2B" 750 381 321 30 8 2 8 0
Charleston "DEER PARK 2C" 448 198 225 16 3 1 4 1
Charleston "DEER PARK 3" 820 479 285 32 8 2 12 2
Charleston LINCOLNVILLE 765 387 331 22 8 6 8 3
Charleston LADSON 1129 632 429 29 13 4 18 4
Charleston "EDISTO ISLAND" 762 360 368 19 2 2 9 2
Charleston "WADMALAW ISLAND 1" 543 272 240 16 4 1 9 1
Charleston "WADMALAW ISLAND 2" 543 348 171 11 3 3 6 1
Charleston "KIAWAH ISLAND" 879 281 531 49 6 1 11 0
Charleston "TOWN OF SEABROOK" 1186 467 637 57 3 3 18 1
Charleston "FOLLY BEACH 1" 550 238 265 29 14 0 2 2
Charleston "FOLLY BEACH 2" 692 301 334 43 5 3 5 1
Charleston "CHARLESTON 1" 442 150 257 28 1 0 6 0
Charleston "CHARLESTON 2" 470 194 236 26 3 0 10 1
Charleston "CHARLESTON 3" 531 267 209 40 8 0 7 0
Charleston "CHARLESTON 4" 452 251 149 34 8 0 10 0
Charleston "CHARLESTON 5" 437 242 157 29 3 1 4 1
Charleston "CHARLESTON 6" 509 294 165 30 11 3 6 0
Charleston "CHARLESTON 7" 589 341 189 35 16 1 6 1
Charleston "CHARLESTON 8" 501 427 34 22 11 1 5 1
Charleston "CHARLESTON 9" 404 296 75 19 6 1 5 2
Charleston "CHARLESTON 10" 284 213 42 16 12 0 1 0
Charleston "CHARLESTON 11" 614 382 157 47 7 3 17 1
Charleston "CHARLESTON 12" 607 454 108 28 8 0 8 1
Charleston "CHARLESTON 13" 536 430 62 33 4 2 5 0
Charleston "CHARLESTON 14" 463 345 78 23 10 0 7 0
Charleston "CHARLESTON 15" 530 490 19 9 7 0 4 1
Charleston "CHARLESTON 16" 548 442 60 27 12 1 6 0
Charleston "CHARLESTON 17" 479 359 67 37 6 0 10 0
Charleston "CHARLESTON 18" 645 568 43 11 14 1 8 0
Charleston "CHARLESTON 19" 425 348 48 15 7 2 4 1
Charleston "CHARLESTON 20" 667 456 144 41 9 1 15 1
Charleston "CHARLESTON 21" 321 273 33 11 2 1 1 0
Charleston "MT. PLEASANT 1" 739 328 353 47 7 0 4 0
Charleston "MT. PLEASANT 2" 408 164 192 39 4 1 8 0
Charleston "MT. PLEASANT 3" 664 289 307 48 10 0 9 1
Charleston "MT. PLEASANT 4" 708 301 343 49 4 0 10 1
Charleston "MT. PLEASANT 5" 612 212 338 47 5 1 7 2
Charleston "MT. PLEASANT 6" 859 325 449 48 17 0 19 1
Charleston "MT. PLEASANT 7" 401 160 204 30 4 0 2 1
Charleston "MT. PLEASANT 8" 413 173 206 25 3 0 6 0
Charleston "MT. PLEASANT 9" 458 149 270 26 5 1 6 1
Charleston "MT. PLEASANT 10" 439 143 258 27 5 0 6 0
Charleston "MT. PLEASANT 11" 507 203 255 33 6 0 9 1
Charleston "MT. PLEASANT 12" 877 350 459 40 8 6 12 2
Charleston "MT. PLEASANT 13" 521 206 259 40 11 0 4 1
Charleston "MT. PLEASANT 14" 663 275 315 44 10 4 15 0
Charleston "MT. PLEASANT 15" 995 435 485 48 9 2 15 1
Charleston "MT. PLEASANT 16" 330 109 185 27 3 0 5 1
Charleston "MT. PLEASANT 17" 1129 374 646 87 10 1 10 1
Charleston "MT. PLEASANT 18" 601 183 352 44 6 2 14 0
Charleston "MT. PLEASANT 19" 804 336 386 47 13 1 18 3
Charleston "MT. PLEASANT 20" 660 299 312 25 9 2 12 1
Charleston "MT. PLEASANT 21" 553 217 284 33 7 1 10 1
Charleston "MT. PLEASANT 22" 507 225 240 26 1 3 11 1
Charleston "MT. PLEASANT 23" 750 365 315 46 7 4 11 2
Charleston "MT. PLEASANT 24" 356 141 179 25 7 0 3 1
Charleston "MT. PLEASANT 25" 354 111 210 23 2 1 7 0
Charleston "MT. PLEASANT 26" 224 212 9 1 0 0 2 0
Charleston "MT. PLEASANT 27" 1168 397 659 74 12 4 20 2
Charleston "MT. PLEASANT 28" 588 193 323 47 9 3 13 0
Charleston "MT. PLEASANT 29" 141 50 80 7 0 2 2 0
Charleston "MT. PLEASANT 30" 1147 401 656 59 7 2 19 3
Charleston "MT. PLEASANT 31" 547 224 297 16 1 0 9 0
Charleston "MT. PLEASANT 32" 1114 350 685 49 6 0 23 1
Charleston "MT. PLEASANT 33" 1642 469 1062 73 3 3 28 4
Charleston "MT. PLEASANT 34" 621 215 362 30 7 2 5 0
Charleston "MT. PLEASANT 35" 1868 609 1112 85 26 4 29 3
Charleston "MT. PLEASANT 36" 805 319 405 47 10 3 19 2
Charleston "MT. PLEASANT 37" 1494 705 692 61 14 1 21 0
Charleston "MT. PLEASANT 38" 649 179 418 32 6 1 13 0
Charleston "MT. PLEASANT 39" 1055 333 663 40 5 1 13 0
Charleston "JAMES ISLAND 1A" 945 473 384 62 12 5 6 3
Charleston "JAMES ISLAND 1B" 330 262 51 9 3 3 2 0
Charleston "JAMES ISLAND 3" 376 312 48 7 8 0 1 0
Charleston "JAMES ISLAND 5A" 625 240 312 48 9 2 14 0
Charleston "JAMES ISLAND 5B" 327 104 197 20 4 0 1 1
Charleston "JAMES ISLAND 6" 720 355 313 37 9 2 4 0
Charleston "JAMES ISLAND 7" 849 393 376 56 13 0 10 1
Charleston "JAMES ISLAND 8A" 517 298 180 24 4 1 10 0
Charleston "JAMES ISLAND 8B" 888 432 371 64 10 3 8 0
Charleston "JAMES ISLAND 9" 747 341 331 48 14 1 10 2
Charleston "JAMES ISLAND 10" 724 325 322 52 14 0 8 3
Charleston "JAMES ISLAND 11" 814 325 402 63 8 1 14 1
Charleston "JAMES ISLAND 12" 573 214 296 46 6 4 7 0
Charleston "JAMES ISLAND 13" 634 281 299 38 7 2 5 2
Charleston "JAMES ISLAND 14" 507 196 271 27 7 0 6 0
Charleston "JAMES ISLAND 15" 829 369 378 56 17 1 8 0
Charleston "JAMES ISLAND 17" 803 404 307 66 13 1 12 0
Charleston "JAMES ISLAND 19" 742 363 301 60 10 0 7 1
Charleston "JAMES ISLAND 20" 732 360 297 43 18 3 10 1
Charleston "JAMES ISLAND 22" 713 360 271 54 14 2 12 0
Charleston "JOHNS ISLAND 1A" 713 236 443 13 9 2 8 2
Charleston "JOHNS ISLAND 1B" 671 385 249 22 10 0 5 0
Charleston "JOHNS ISLAND 2" 1727 718 845 117 17 7 22 1
Charleston "JOHNS ISLAND 3A" 1267 481 672 75 21 3 14 1
Charleston "JOHNS ISLAND 3B" 786 392 359 17 4 6 7 1
Charleston "JOHNS ISLAND 4" 492 255 201 16 5 3 10 2
Charleston "ST. PAULS 1" 512 383 115 9 0 0 4 1
Charleston "ST. PAULS 2A" 423 260 157 3 0 0 2 1
Charleston "ST. PAULS 2B" 630 378 230 12 2 3 4 1
Charleston "ST. PAULS 3" 914 281 595 25 5 3 4 1
Charleston "ST. PAULS 4" 734 546 168 9 3 3 3 2
Charleston "ST. PAULS 5" 458 224 218 9 4 2 1 0
Charleston "ST. PAULS 6" 745 263 451 16 3 0 11 1
Charleston "ST. ANDREWS 1" 267 155 89 10 5 2 5 1
Charleston "ST. ANDREWS 2" 550 335 148 48 10 0 9 0
Charleston "ST. ANDREWS 3" 591 465 91 22 6 1 4 2
Charleston "ST. ANDREWS 4" 643 273 308 41 8 2 11 0
Charleston "ST. ANDREWS 5" 559 290 219 29 14 0 6 1
Charleston "ST. ANDREWS 6" 635 212 362 46 5 1 8 1
Charleston "ST. ANDREWS 7" 789 317 390 51 9 3 17 2
Charleston "ST. ANDREWS 8" 320 253 41 13 9 0 4 0
Charleston "ST. ANDREWS 9" 470 419 34 10 5 1 1 0
Charleston "ST. ANDREWS 10" 502 275 181 26 8 2 9 1
Charleston "ST. ANDREWS 11" 430 164 223 27 6 1 8 1
Charleston "ST. ANDREWS 12" 478 193 219 44 5 2 14 1
Charleston "ST. ANDREWS 13" 514 233 228 31 9 0 12 1
Charleston "ST. ANDREWS 14" 661 301 289 41 14 2 13 1
Charleston "ST. ANDREWS 15" 428 316 83 20 2 2 4 1
Charleston "ST. ANDREWS 16" 472 167 248 35 10 0 10 2
Charleston "ST. ANDREWS 17" 750 287 389 46 13 2 13 0
Charleston "ST. ANDREWS 18" 718 478 196 27 9 2 5 1
Charleston "ST. ANDREWS 19" 118 97 12 3 4 1 1 0
Charleston "ST. ANDREWS 20" 980 554 328 44 26 5 22 1
Charleston "ST. ANDREWS 21" 368 178 150 24 6 3 7 0
Charleston "ST. ANDREWS 22" 422 182 202 27 7 1 3 0
Charleston "ST. ANDREWS 23" 424 214 162 26 11 4 6 1
Charleston "ST. ANDREWS 24" 462 296 131 21 6 1 7 0
Charleston "ST. ANDREWS 25" 478 269 152 37 8 3 8 1
Charleston "ST. ANDREWS 26" 535 269 212 39 6 1 7 1
Charleston "ST. ANDREWS 27" 1540 737 662 89 14 5 27 6
Charleston "ST. ANDREWS 28" 1003 458 468 61 3 5 8 0
Charleston "ST. ANDREWS 29" 1328 575 615 94 16 6 17 5
Charleston "ST. ANDREWS 30" 706 334 288 50 15 6 11 2
Charleston "ST. ANDREWS 31" 509 217 241 29 6 2 14 0
Charleston "ST. ANDREWS 32" 555 192 317 30 6 1 9 0
Charleston "ST. ANDREWS 33" 310 112 180 15 3 0 0 0
Charleston "ST. ANDREWS 34" 889 303 505 51 13 1 14 2
Charleston "ST. ANDREWS 35" 751 261 428 41 8 1 12 0
Charleston "ST. ANDREWS 36" 822 277 469 48 7 3 16 2
Charleston "ST. ANDREWS 37" 1507 594 776 86 14 0 33 4
Charleston "NORTH CHARLESTON 1" 365 344 13 1 2 0 4 1
Charleston "NORTH CHARLESTON 2" 158 147 8 2 1 0 0 0
Charleston "NORTH CHARLESTON 3" 568 216 316 23 6 0 6 1
Charleston "NORTH CHARLESTON 4" 430 371 47 6 3 2 0 1
Charleston "NORTH CHARLESTON 5" 680 629 37 6 5 1 0 2
Charleston "NORTH CHARLESTON 6" 547 511 20 3 3 4 3 3
Charleston "NORTH CHARLESTON 7" 562 513 41 4 3 1 0 0
Charleston "NORTH CHARLESTON 8" 369 193 133 30 9 0 3 1
Charleston "NORTH CHARLESTON 9" 655 382 213 41 11 2 5 1
Charleston "NORTH CHARLESTON 10" 582 449 108 12 3 2 7 1
Charleston "NORTH CHARLESTON 11" 466 202 213 30 9 1 11 0
Charleston "NORTH CHARLESTON 12" 418 202 149 39 6 3 18 1
Charleston "NORTH CHARLESTON 13" 402 352 39 0 3 3 4 1
Charleston "NORTH CHARLESTON 14" 300 194 79 14 10 2 1 0
Charleston "NORTH CHARLESTON 15" 489 398 66 14 8 3 0 0
Charleston "NORTH CHARLESTON 16" 379 297 68 7 6 1 0 0
Charleston "NORTH CHARLESTON 17" 283 253 24 2 2 0 0 2
Charleston "NORTH CHARLESTON 18" 672 522 118 17 10 3 2 0
Charleston "NORTH CHARLESTON 19" 403 327 64 3 3 2 3 1
Charleston "NORTH CHARLESTON 20" 295 145 138 6 5 1 0 0
Charleston "NORTH CHARLESTON 21" 503 341 133 17 10 0 2 0
Charleston "NORTH CHARLESTON 22" 587 415 142 13 9 2 6 0
Charleston "NORTH CHARLESTON 23" 748 427 283 28 5 1 4 0
Charleston "NORTH CHARLESTON 24" 923 640 230 24 22 1 5 1
Charleston "NORTH CHARLESTON 25" 294 251 32 2 5 1 0 3
Charleston "NORTH CHARLESTON 26" 216 183 29 2 1 1 0 0
Charleston "NORTH CHARLESTON 27" 426 307 106 7 2 1 2 1
Charleston "NORTH CHARLESTON 28" 275 214 49 7 1 3 1 0
Charleston "NORTH CHARLESTON 29" 345 224 111 6 2 0 2 0
Charleston "NORTH CHARLESTON 30" 801 568 193 16 15 1 3 5
Charleston Absentee 59104 30328 26384 1427 297 125 489 54
Charleston Emergency 0 0 0 0 0 0 0 0
Charleston Failsafe 356 251 95 5 0 0 5 0
Charleston Provisional 170 79 81 3 5 0 2 0
Charleston Failsafe/Provisional 303 157 122 17 3 1 2 1
Cherokee Allens 569 51 505 4 5 1 1 2
Cherokee "Alma Mill" 764 404 343 4 5 1 4 3
Cherokee "Antioch and Kings Creek" 721 77 621 10 2 2 6 3
Cherokee Ashworth 658 60 582 6 6 0 3 1
Cherokee "Blacksburg Ward No. 1" 502 129 365 6 0 1 1 0
Cherokee "Blacksburg Ward No. 2" 733 120 584 20 2 3 1 3
Cherokee Draytonville 816 168 630 9 2 2 3 2
Cherokee "Ezells and Butler" 798 122 655 6 4 4 7 0
Cherokee "Gaffney Ward No. 1" 330 231 94 4 0 0 0 1
Cherokee "Gaffney Ward No. 2" 520 406 102 5 3 0 4 0
Cherokee "Gaffney Ward No. 3" 452 370 71 8 1 0 2 0
Cherokee "Gaffney Ward No. 4" 659 331 306 10 5 1 6 0
Cherokee "Gaffney Ward No. 5" 530 193 319 9 3 1 4 1
Cherokee "Gaffney Ward No. 6" 598 150 431 8 2 4 2 1
Cherokee "Grassy Pond" 1170 223 918 17 8 0 4 0
Cherokee "Goucher and Thicketty" 650 83 552 5 2 5 2 1
Cherokee "Holly Grove-Buffalo" 678 69 581 14 7 1 6 0
Cherokee "Limestone Mill" 353 163 185 4 1 0 0 0
Cherokee "Littlejohn's and Sarratt's" 230 22 204 1 0 2 0 1
Cherokee Macedonia 766 126 628 9 2 0 1 0
Cherokee Morgan 673 75 585 6 4 0 3 0
Cherokee "Musgrove Mill" 663 172 473 5 2 4 6 1
Cherokee "Ninety Nine and Cherokee Falls" 496 45 445 3 0 0 3 0
Cherokee "Pleasant Grove" 490 230 251 4 0 0 5 0
Cherokee "Pleasant Meadows" 347 244 98 0 1 0 3 1
Cherokee "Timber Ridge" 536 55 468 9 1 0 3 0
Cherokee "White Plains" 729 126 592 9 0 1 0 1
Cherokee "Wilkinsville and Metcalf" 334 14 310 4 0 2 2 2
Cherokee Woods 601 74 507 9 1 8 2 0
Cherokee Absentee 4232 1491 2672 33 11 8 11 6
Cherokee Emergency 0 0 0 0 0 0 0 0
Cherokee Failsafe 156 65 88 1 0 1 1 0
Cherokee Provisional 5 3 2 0 0 0 0 0
Cherokee "Failsafe Provisional" 0 0 0 0 0 0 0 0
Chester "Baldwin Mill" 438 257 176 5 0 0 0 0
Chester "Baton Rouge" 360 68 282 5 0 0 5 0
Chester Beckhamville 573 268 291 7 1 2 2 2
Chester Blackstock 325 120 192 6 3 0 3 1
Chester Edgemoor 636 163 450 13 2 3 3 2
Chester "Eureka Mill" 603 357 231 9 4 0 0 2
Chester "Fort Lawn" 813 300 496 9 2 1 5 0
Chester Halsellville 142 71 69 0 2 0 0 0
Chester Hazelwood 403 100 291 7 1 1 3 0
Chester Lowrys 535 125 395 8 6 0 1 0
Chester Richburg 753 262 464 12 3 3 6 3
Chester Rodman 585 169 396 7 4 3 5 1
Chester Rossville 250 76 171 2 0 0 0 1
Chester Wilksburg 288 153 133 1 1 0 0 0
Chester "Chester Ward 1" 538 357 164 9 4 1 1 2
Chester "Chester Ward 2" 338 268 64 4 1 1 0 0
Chester "Chester Ward 3" 467 247 206 8 2 1 2 1
Chester "Chester Ward 4" 393 281 101 10 0 0 1 0
Chester "Chester Ward 5" 300 113 181 0 3 2 1 0
Chester Lando/Lansford 551 149 387 9 2 0 3 1
Chester "Great Falls" 557 249 297 3 2 2 1 3
Chester Absentee 4343 2426 1827 41 7 10 22 10
Chester Emergency 0 0 0 0 0 0 0 0
Chester Failsafe 1 0 1 0 0 0 0 0
Chester Provisional 0 0 0 0 0 0 0 0
Chester "Failsafe Provisional" 0 0 0 0 0 0 0 0
Chesterfield ANGELUS-CARARRH 380 128 243 2 2 4 1 0
Chesterfield "BAY SPRINGS" 215 31 175 1 1 3 3 1
Chesterfield "BLACK CREEK" 200 71 126 2 0 1 0 0
Chesterfield "BROCKS MILL" 751 430 306 7 1 2 3 2
Chesterfield CASH 570 302 256 7 0 2 2 1
Chesterfield "CENTER GROVE-WINZO" 501 279 219 0 0 1 0 2
Chesterfield "CHERAW NO. 1" 700 267 411 12 4 3 1 2
Chesterfield "CHERAW NO. 2" 493 240 240 6 1 3 3 0
Chesterfield "CHERAW NO. 3" 827 597 213 5 1 3 6 2
Chesterfield "CHERAW NO. 4" 667 352 291 13 4 2 4 1
Chesterfield COURTHOUSE 894 279 603 7 1 0 3 1
Chesterfield DUDLEY-MANGUM 487 107 369 7 1 0 3 0
Chesterfield "GRANTS MILL" 633 204 415 2 1 3 8 0
Chesterfield JEFFERSON 919 364 532 13 2 7 1 0
Chesterfield MCBEE 929 330 574 9 9 0 7 0
Chesterfield MIDDENDORF 401 52 334 9 3 0 3 0
Chesterfield "MT. GROGHAN" 210 53 151 2 1 2 1 0
Chesterfield OUSLEYDALE 431 56 360 5 1 4 5 0
Chesterfield "PAGELAND NO. 1" 885 390 478 7 2 6 2 0
Chesterfield "PAGELAND NO. 2" 818 335 465 10 1 2 3 2
Chesterfield PATRICK 355 131 208 9 2 1 2 2
Chesterfield "PEE DEE" 166 29 136 1 0 0 0 0
Chesterfield RUBY 543 205 328 5 1 1 3 0
Chesterfield SHILOH 353 112 234 3 0 0 4 0
Chesterfield "SNOW HILL-VAUGHN" 282 55 209 8 1 4 3 2
Chesterfield Absentee 2966 1459 1433 33 6 6 23 6
Chesterfield Emergency 0 0 0 0 0 0 0 0
Chesterfield Failsafe 0 0 0 0 0 0 0 0
Chesterfield Provisional 5 0 3 0 1 0 1 0
Chesterfield "Failsafe Provisional" 0 0 0 0 0 0 0 0
Clarendon Alcolu 391 184 198 6 1 1 0 1
Clarendon Barrineau 305 29 275 0 0 0 0 1
Clarendon "Barrows Mill" 104 26 74 1 0 0 3 0
Clarendon Bloomville 232 67 163 2 0 0 0 0
Clarendon Calvary 276 212 57 5 0 0 2 0
Clarendon "Davis Station" 719 272 427 11 3 2 2 2
Clarendon Harmony 337 146 187 3 0 0 1 0
Clarendon Hicks 367 49 313 2 0 0 1 2
Clarendon "Home Branch" 211 29 180 1 0 0 1 0
Clarendon Jordan 791 193 581 4 4 1 7 1
Clarendon "Manning No. 1" 249 140 106 2 0 0 1 0
Clarendon "Manning No. 2" 354 181 164 7 0 0 1 1
Clarendon "Manning No. 3" 515 145 350 11 0 2 7 0
Clarendon "Manning No. 4" 382 305 71 2 0 1 3 0
Clarendon "Manning No. 5" 413 198 204 3 2 0 5 1
Clarendon "New Zion" 278 90 184 1 1 1 0 1
Clarendon Paxville 492 259 204 13 3 1 10 2
Clarendon Panola 126 89 34 1 1 0 1 0
Clarendon Sardina-Gable 223 144 78 0 0 0 0 1
Clarendon "Summerton No. 1" 764 264 479 10 1 1 8 1
Clarendon "Summerton No. 2" 134 92 38 0 1 0 3 0
Clarendon "Summerton No. 3" 404 316 85 3 0 0 0 0
Clarendon Turbeville 590 143 441 2 0 0 1 3
Clarendon "Wilson Foreston" 515 286 219 2 2 3 2 1
Clarendon Oakdale 178 83 91 1 1 1 1 0
Clarendon Absentee 6023 3773 2178 34 7 11 14 6
Clarendon Emergency 0 0 0 0 0 0 0 0
Clarendon Failsafe 15 13 2 0 0 0 0 0
Clarendon Provisional 7 4 3 0 0 0 0 0
Clarendon "Failsafe Provisional" 0 0 0 0 0 0 0 0
Colleton BELLS 162 54 106 1 1 0 0 0
Colleton CANADYS 270 105 153 8 0 1 2 1
Colleton COTTAGEVILLE 703 184 492 10 5 6 5 1
Colleton EDISTO 186 117 65 0 1 1 2 0
Colleton "GREEN POND" 463 330 118 4 4 3 3 1
Colleton HENDERSONVILLE 500 305 184 2 3 1 3 2
Colleton "HORSE PEN" 357 98 247 3 2 3 2 2
Colleton "HUDSON MILL" 297 82 206 4 1 2 2 0
Colleton JACKSONBORO 216 166 47 0 1 0 2 0
Colleton "MAPLE CANE" 480 78 378 11 7 2 4 0
Colleton MASHAWVILLE 364 192 159 9 1 1 2 0
Colleton PEEPLES 506 191 295 14 1 1 4 0
Colleton PETITS 129 43 75 6 4 0 1 0
Colleton PENIEL 380 152 208 11 2 2 4 1
Colleton RITTER 343 233 105 1 0 2 2 0
Colleton "ROUND O" 467 146 296 10 2 5 7 1
Colleton "RICE PATCH" 340 117 213 7 0 2 1 0
Colleton RUFFIN 142 61 79 0 0 0 1 1
Colleton SIDNEYS 289 59 222 5 0 1 1 1
Colleton STOKES 384 76 294 7 2 1 1 3
Colleton SNIDERS 311 77 228 3 2 1 0 0
Colleton "WALTERBORO NO. 1" 434 192 226 8 5 0 3 0
Colleton "WALTERBORO NO. 2" 421 254 148 9 4 1 4 1
Colleton "WALTERBORO NO. 3" 514 427 76 6 3 0 1 1
Colleton "WALTERBORO NO. 4" 513 174 314 18 4 2 1 0
Colleton WILLIAMS 167 75 88 0 0 2 2 0
Colleton "WOLF CREEK" 203 27 171 5 0 0 0 0
Colleton "EDISTO BEACH" 619 139 462 13 1 0 3 1
Colleton "WALTERBORO NO. 5" 489 128 336 11 4 1 9 0
Colleton ASHTON-LODGE 288 62 213 6 0 2 5 0
Colleton BEREA-SMOAKS 519 308 202 7 1 0 1 0
Colleton "WALTERBORO NO. 6" 416 196 205 6 3 2 3 1
Colleton Absentee 5360 2769 2472 57 15 14 22 11
Colleton Emergency 0 0 0 0 0 0 0 0
Colleton Failsafe 0 0 0 0 0 0 0 0
Colleton Provisional 0 0 0 0 0 0 0 0
Colleton "Failsafe Provisional" 19 10 8 0 0 1 0 0
Darlington ANTIOCH 942 388 533 10 3 3 4 1
Darlington AUBURN 380 297 75 4 0 2 1 1
Darlington BETHEL 404 181 209 5 1 1 7 0
Darlington "BLACK CREEK-CLYDE" 693 167 515 5 2 3 0 1
Darlington "BURNT BRANCH" 395 121 258 6 1 2 6 1
Darlington "DARLINGTON NO. 1" 154 79 68 3 0 0 2 2
Darlington "DARLINGTON NO. 2" 651 431 212 4 2 2 0 0
Darlington "DARLINGTON NO. 4" 552 364 176 7 1 1 2 1
Darlington "DARLINGTON NO. 5" 665 614 38 6 4 1 2 0
Darlington DOVESVILLE 802 492 294 4 6 1 4 1
Darlington "HARTSVILLE NO. 1" 665 164 447 28 9 2 14 1
Darlington "HARTSVILLE NO. 4" 452 315 120 6 6 2 3 0
Darlington "HARTSVILLE NO. 5" 1096 423 620 25 11 5 10 2
Darlington "HARTSVILLE NO. 6" 680 665 11 1 2 0 0 1
Darlington "HARTSVILLE NO. 7" 536 239 276 12 4 0 3 2
Darlington "HARTSVILLE NO. 8" 1444 301 1076 36 10 1 19 1
Darlington "HIGH HILL" 1193 581 590 14 3 1 4 0
Darlington "INDIAN BRANCH" 341 104 228 6 1 0 1 1
Darlington KELLEYTOWN 1000 180 780 23 4 6 5 2
Darlington "LAKE SWAMP" 748 308 411 15 5 3 5 1
Darlington "LAMAR NO. 1" 441 269 167 2 0 1 1 1
Darlington "LAMAR NO. 2" 901 323 555 12 1 6 3 1
Darlington LYDIA 414 277 129 3 1 2 1 1
Darlington MECHANICSVILLE 770 399 356 8 3 0 4 0
Darlington "NEW MARKET" 603 77 509 9 1 3 2 2
Darlington OATES 582 204 363 6 1 5 3 0
Darlington PALMETTO 942 477 431 16 9 3 4 2
Darlington "SOCIETY HILL" 495 333 156 2 2 1 1 0
Darlington "SWIFT CREEK" 482 157 314 7 1 0 1 2
Darlington "DARLINGTON NO. 3" 1129 420 667 18 10 1 11 2
Darlington "DARLINGTON NO. 6" 730 341 373 9 1 3 2 1
Darlington "HARTSVILLE NO. 9" 902 346 525 16 5 1 8 1
Darlington Absentee 7415 3807 3476 57 23 11 35 6
Darlington Emergency 12 8 4 0 0 0 0 0
Darlington Failsafe 25 14 11 0 0 0 0 0
Darlington Provisional 25 13 12 0 0 0 0 0
Darlington "Failsafe Provisional" 13 9 4 0 0 0 0 0
Dillon "EAST DILLON" 1027 190 817 5 4 3 5 3
Dillon "WEST DILLON" 890 701 167 4 8 5 4 1
Dillon "SOUTH DILLON" 793 640 135 3 4 5 4 2
Dillon LATTA 1343 689 629 8 8 1 3 5
Dillon "NEW HOLLY" 225 74 148 2 0 0 1 0
Dillon "LAKE VIEW" 725 304 409 5 4 1 1 1
Dillon KEMPER 280 151 122 1 2 2 2 0
Dillon "GADDY'S MILL" 138 44 93 1 0 0 0 0
Dillon "MT. CALVARY" 1074 704 347 9 3 0 8 3
Dillon BERMUDA 167 61 103 0 1 0 1 1
Dillon "PLEASANT HILL" 121 38 82 0 1 0 0 0
Dillon HAMER 461 188 263 7 0 0 2 1
Dillon OAKLAND 529 316 204 2 2 0 3 2
Dillon CAROLINA 154 104 50 0 0 0 0 0
Dillon "LITTLE ROCK" 415 265 144 2 2 0 2 0
Dillon MINTURN 117 67 46 1 2 0 1 0
Dillon "OAK GROVE" 493 146 335 6 3 0 0 3
Dillon MANNING 184 69 112 0 1 0 1 1
Dillon FLOYDALE 381 86 289 2 1 1 1 1
Dillon FORK 275 64 208 3 0 0 0 0
Dillon Absentee 1904 931 934 18 8 5 4 4
Dillon Emergency 0 0 0 0 0 0 0 0
Dillon Failsafe 2 2 0 0 0 0 0 0
Dillon Provisional 0 0 0 0 0 0 0 0
Dillon "Failsafe Provisional" 0 0 0 0 0 0 0 0
Dorchester Rosinville 728 322 394 7 0 2 3 0
Dorchester "St. George No. 2" 356 137 207 7 2 1 2 0
Dorchester "St. George No. 1" 514 217 281 7 3 0 6 0
Dorchester Grover 460 198 250 9 2 0 1 0
Dorchester Reevesville 547 257 278 6 2 2 0 2
Dorchester Harleyville 394 152 231 4 1 4 2 0
Dorchester "Four Hole" 589 244 329 9 1 5 0 1
Dorchester Rosses 574 213 348 9 1 1 2 0
Dorchester Ridgeville 443 197 234 4 2 2 3 1
Dorchester Givhans 499 165 321 6 0 2 4 1
Dorchester Delemars 347 275 66 3 2 1 0 0
Dorchester "Saul Dam" 214 50 146 11 2 1 3 1
Dorchester Coastal 535 261 225 27 8 3 9 2
Dorchester Trolley 565 262 260 27 8 1 7 0
Dorchester Tranquil 286 75 199 7 2 1 2 0
Dorchester "Beech Hill" 608 145 428 19 5 2 8 1
Dorchester Flowertown 679 183 453 29 3 1 9 1
Dorchester Knightsville 601 176 398 10 3 6 7 1
Dorchester Clemson 610 127 446 20 5 0 11 1
Dorchester Germantown 641 199 411 17 6 1 7 0
Dorchester Greenwave 491 197 272 11 5 2 4 0
Dorchester Newington 661 172 440 33 5 3 8 0
Dorchester Carolina 856 388 406 33 13 5 9 2
Dorchester Dorchester 459 148 271 20 6 2 12 0
Dorchester Archdale 620 275 307 19 8 3 8 0
Dorchester Stallsville 531 139 365 14 4 2 6 1
Dorchester "Indian Field" 274 172 94 2 1 1 4 0
Dorchester Spann 675 164 452 32 7 4 15 1
Dorchester "North Summerville" 208 70 126 9 3 0 0 0
