COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Aiken Emergency 0 0 0 0 0 0 0 0
Aiken Failsafe 171 87 82 2 0 0 0 0
Aiken Provisional 6 2 4 0 0 0 0 0
Aiken "Failsafe Provisional" 51 16 31 2 1 0 1 0
Allendale "ALLENDALE #1" 333 255 66 3 2 3 2 2
Allendale "ALLENDALE #2" 318 302 10 3 2 0 0 1
Allendale "FAIRFAX #1" 235 144 83 1 0 0 4 3
Allendale "FAIRFAX #2" 450 385 56 3 2 2 0 2
Allendale MARTIN 165 128 33 0 0 1 1 2
Allendale SYCAMORE 208 49 156 2 0 0 1 0
Allendale ULMER 119 46 71 2 0 0 0 0
Allendale WOODS 340 210 127 1 2 0 0 0
Allendale Absentee 1410 1203 186 7 3 5 4 2
Allendale Emergency 0 0 0 0 0 0 0 0
Allendale Failsafe 0 0 0 0 0 0 0 0
Allendale Provisional 14 13 1 0 0 0 0 0
Allendale "Failsafe Provisional" 0 0 0 0 0 0 0 0
Anderson Appleton-Equinox 348 171 161 9 4 1 1 1
Anderson "Barker's Creek-McAdams" 243 24 218 1 0 0 0 0
Anderson Belton 890 208 653 17 3 4 4 1
Anderson Broadview 341 217 119 3 0 1 1 0
Anderson "Bishop's Branch" 1127 254 821 23 9 7 9 4
Anderson "Bowling Green" 361 56 294 7 0 0 3 1
Anderson Broadway 650 212 412 10 4 5 7 0
Anderson "Brushy Creek" 1392 215 1130 26 6 5 9 1
Anderson "Cedar Grove" 746 132 596 8 3 0 7 0
Anderson "Centerville Station A" 1415 338 1034 22 12 3 5 1
Anderson "Chiquola Mill" 306 125 168 7 1 0 5 0
Anderson Concrete 1672 332 1260 38 14 6 19 3
Anderson Craytonville 604 49 536 11 2 2 4 0
Anderson "Denver-Sandy Springs" 764 155 573 21 7 1 6 1
Anderson "Edgewood Station A" 980 337 585 33 8 1 15 1
Anderson "Five Forks" 966 228 704 21 3 1 8 1
Anderson "Flat Rock" 736 146 574 8 2 0 5 1
Anderson "Fork No.1" 735 154 561 11 2 0 6 1
Anderson "Fork No.2" 872 141 695 20 5 2 8 1
Anderson Friendship 680 100 565 5 4 3 2 1
Anderson "Gluck Mill" 213 92 115 1 1 0 3 1
Anderson "Green Pond Station A" 1356 266 1043 30 6 2 6 3
