COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
Clark 1619 0 737 549 1 25 24 1
Clark 1621 0 441 264 4 22 28 4
Clark 1623 0 201 142 2 11 13 0
Clark 1624 0 238 201 1 9 23 1
Clark 1625 0 367 280 3 19 22 2
Clark 1631 0 581 357 1 21 27 2
Clark 1632 0 339 197 2 8 26 1
Clark 1633 0 678 328 5 12 17 3
Clark 1634 0 478 184 5 12 17 5
Clark 1635 0 352 129 0 8 16 3
Clark 1641 0 388 251 3 9 13 2
Clark 1642 0 307 130 3 12 11 1
Clark 1643 0 170 171 3 5 10 0
Clark 1644 0 1 1 1 1 1 1
Clark 1645 0 78 51 0 5 6 0
Clark 1651 0 131 312 0 7 12 0
Clark 1652 0 790 393 5 18 33 5
Clark 1653 0 723 273 5 26 22 6
Clark 1655 0 685 296 4 24 27 0
Clark 1661 0 570 301 6 21 24 2
Clark 1662 0 487 293 2 22 23 5
Clark 1664 0 306 368 1 15 16 0
Clark 1665 0 0 0 0 0 0 0
Clark 1668 0 596 766 5 21 31 1
Clark 1669 0 230 243 1 11 15 0
Clark 1670 0 502 387 3 19 30 4
Clark 1671 0 4 14 0 1 1 0
Clark 1672 0 457 365 2 25 31 1
Clark 1673 0 0 0 0 0 0 0
Clark 1674 0 311 469 0 12 9 1
Clark 1675 0 409 558 2 26 31 0
Clark 1676 0 199 287 0 19 12 2
Clark 1677 0 416 402 1 25 35 0
Clark 1678 0 334 479 2 26 22 0
Clark 1679 0 425 475 8 33 42 4
Clark 1680 0 650 618 7 40 46 0
Clark 1681 0 9 33 0 0 1 0
Clark 1682 0 565 351 11 38 35 3
Clark 1683 0 602 421 5 24 33 2
Clark 1684 0 133 194 2 11 6 0
Clark 1685 0 1 1 1 1 1 1
Clark 1686 0 306 452 1 12 36 1
Clark 1687 0 508 418 3 21 45 0
Clark 1688 0 411 348 0 22 27 1
Clark 1689 0 385 360 2 17 6 1
Clark 1691 0 0 0 0 0 0 0
Clark 1692 0 39 117 0 6 1 0
Clark 1693 0 138 270 3 6 9 3
Clark 1694 0 0 0 0 0 0 0
Clark 1695 0 299 164 0 6 14 0
Clark 1702 0 498 430 4 22 46 2
Clark 1703 0 657 332 2 16 38 2
Clark 1704 0 365 345 6 21 19 0
Clark 1711 0 1 1 1 1 1 1
Clark 1712 0 1037 1190 7 48 57 3
Clark 1715 0 313 566 1 10 4 0
Clark 1717 0 420 589 0 22 5 0
Clark 1718 0 563 753 3 19 16 1
Clark 1719 0 412 540 0 19 11 0
Clark 1720 0 348 420 1 19 8 0
Clark 1721 0 401 635 1 17 12 4
Clark 1722 0 266 378 1 19 12 1
Clark 1727 0 773 987 6 50 33 0
Clark 1732 0 50 24 1 1 3 0
Clark 1750 0 264 457 3 12 20 3
Clark 1751 0 227 658 1 14 16 0
Clark 1753 0 39 108 0 2 0 1
Clark 2008 0 454 548 2 31 27 4
Clark 2037 0 461 497 4 19 28 2
Clark 2044 0 472 644 3 23 30 7
Clark 2078 0 1 1 1 1 1 1
Clark 2126 0 215 167 6 4 11 2
Clark 2352 0 319 413 7 19 22 4
Clark 2353 0 364 567 1 15 17 0
Clark 2354 0 337 307 2 11 18 0
Clark 2356 0 0 0 0 0 0 0
Clark 2360 0 781 332 6 21 24 6
Clark 2366 0 617 449 5 23 36 4
Clark 2371 0 463 360 6 31 22 2
Clark 2372 0 577 320 6 20 41 0
Clark 2373 0 362 291 1 11 20 2
Clark 2380 0 627 288 3 37 24 5
Clark 2381 0 734 350 6 29 33 4
Clark 2382 0 824 373 7 26 48 3
Clark 2383 0 721 473 10 19 30 2
Clark 2384 0 625 527 7 41 58 4
Clark 2385 0 498 368 2 19 26 5
Clark 2386 0 644 490 7 22 22 2
Clark 2387 0 832 499 8 31 44 4
Clark 2390 0 646 409 1 21 32 3
Clark 2391 0 308 326 6 21 16 2
Clark 2392 0 489 299 9 27 28 1
Clark 2393 0 698 467 6 38 46 2
Clark 2394 0 849 410 6 29 37 3
Clark 2400 0 953 354 6 38 41 5
Clark 2401 0 1 1 1 1 1 1
Clark 2405 0 1 1 1 1 1 1
Clark 2406 0 1 1 1 1 1 1
Clark 2407 0 1 1 1 1 1 1
Clark 2408 0 1 1 1 1 1 1
Clark 2409 0 872 463 8 16 40 2
Clark 2417 0 103 82 2 4 12 2
Clark 2430 0 587 259 7 20 23 5
Clark 2436 0 1 1 1 1 1 1
Clark 2440 0 573 733 1 17 14 0
Clark 2444 0 141 120 1 4 5 1
Clark 2445 0 0 0 0 0 0 0
Clark 2446 0 1021 597 9 39 66 5
Clark 2447 0 1 1 1 1 1 1
Clark 2449 0 729 508 2 34 48 4
Clark 2456 0 563 334 6 26 20 4
Clark 2457 0 751 829 14 47 80 1
Clark 2458 0 1 1 1 1 1 1
Clark 2463 0 1027 366 13 32 47 8
Clark 2464 0 1066 789 12 42 46 6
