COUNTY AREA TOTAL DEM REP Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
COUNTY AREA TOTAL Clinton Trump Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
"Black Hawk" Eagle 0 57 220 3 1 1 6 0 0 2 0 3
"Black Hawk" "Elk Run Heights Raymond" 0 412 546 7 2 2 40 0 0 2 0 8
"Black Hawk" "Evansdale W1" 0 250 260 4 5 2 21 1 0 1 0 7
"Black Hawk" "Evansdale W2" 0 208 249 0 1 0 29 0 0 3 0 1
"Black Hawk" "Evansdale W3" 0 231 247 1 7 4 15 0 0 1 0 4
"Black Hawk" "Evansdale W4" 0 282 290 2 0 1 27 0 0 0 0 11
"Black Hawk" "Mt Vernon" 0 257 348 0 3 0 31 0 0 0 0 3
"Black Hawk" "Poyner P1 East Wloo" 0 210 298 2 3 0 19 0 0 3 0 1
"Black Hawk" "Poyner P2 Gilb Fox Jesup" 0 426 580 2 3 0 35 1 1 7 0 10
"Black Hawk" "Spring Creek" 0 45 127 1 1 1 13 0 0 0 0 2
"Black Hawk" Union 0 194 361 1 3 0 18 0 0 12 0 12
"Black Hawk" "Washington Janesville" 0 157 237 3 4 1 15 0 1 2 0 7
"Black Hawk" "WL W1 P1" 0 581 549 3 14 0 41 0 1 11 0 7
"Black Hawk" "WL W1 P2" 0 554 529 2 14 2 52 2 1 8 0 17
"Black Hawk" "WL W1 P3" 0 548 311 1 12 3 47 0 0 11 0 14
"Black Hawk" "WL W1 P4" 0 571 543 0 16 5 42 0 0 17 1 20
"Black Hawk" "WL W1 P5" 0 511 456 6 3 1 33 1 0 6 0 11
"Black Hawk" "WL W1 P6" 0 657 893 5 11 1 40 3 0 17 0 25
"Black Hawk" "WL W2 P1" 0 406 339 1 6 1 22 0 1 3 1 18
"Black Hawk" "WL W2 P2" 0 464 260 5 5 1 22 1 0 6 0 9
"Black Hawk" "WL W2 P3" 0 602 436 2 14 2 42 0 0 3 0 14
"Black Hawk" "WL W2 P4" 0 894 726 5 7 2 44 2 2 3 0 12
"Black Hawk" "WL W2 P5" 0 571 613 4 12 1 47 1 0 8 0 17
"Black Hawk" "WL W2 P6" 0 561 630 1 4 1 29 1 1 12 1 12
"Black Hawk" "WL W3 P1" 0 517 385 4 11 3 26 2 0 7 0 11
"Black Hawk" "WL W3 P2" 0 610 306 10 7 2 26 1 0 7 1 11
"Black Hawk" "WL W3 P3" 0 470 79 1 10 2 15 1 0 2 0 8
"Black Hawk" "WL W3 P4" 0 518 181 1 8 0 12 1 0 3 0 10
"Black Hawk" "WL W3 P5" 0 694 522 9 19 5 57 3 1 5 1 20
"Black Hawk" "WL W3 P6" 0 405 142 0 15 0 18 2 0 3 0 7
"Black Hawk" "WL W4 P1" 0 717 66 2 5 1 5 3 0 1 0 5
"Black Hawk" "WL W4 P2" 0 467 56 2 8 0 12 0 0 1 0 7
"Black Hawk" "WL W4 P3" 0 382 73 2 7 1 6 0 0 0 0 4
"Black Hawk" "WL W4 P4" 0 491 216 2 23 4 16 2 0 1 0 10
"Black Hawk" "WL W4 P5" 0 763 138 1 8 3 10 2 0 2 0 9
"Black Hawk" "WL W4 P6" 0 338 247 0 18 1 24 1 0 2 0 11
"Black Hawk" "WL W5 P1" 0 295 107 0 8 0 14 0 0 0 0 10
"Black Hawk" "WL W5 P2" 0 540 383 11 13 1 35 1 0 9 0 14
"Black Hawk" "WL W5 P3" 0 501 306 1 12 1 28 1 1 0 0 14
"Black Hawk" "WL W5 P4" 0 598 497 4 11 1 40 0 0 14 1 16
"Black Hawk" "WL W5 P5" 0 636 538 4 11 2 52 1 0 18 0 23
"Black Hawk" "Black Hawk-WL W5 P6 Total" 0 572 425 2 5 3 39 1 0 9 0 15
Boone "BN4/DSM Twp" 0 654 845 5 19 3 74 4 2 26 0 27
Boone "Boone 1st Ward - BN1" 0 521 579 7 10 1 66 4 0 14 0 17
Boone "Boone 2nd Ward - BN2" 0 593 675 5 12 2 51 2 1 14 0 11
Boone "Boone 3rd Ward - BN3" 0 576 617 9 9 2 76 1 1 23 0 30
Boone "Boone 5th Ward - BN5" 0 552 631 0 10 1 68 2 0 17 0 14
Boone "Madrid 1st Ward - MD1" 0 209 244 2 1 2 21 0 0 4 0 3
Boone "Madrid 2nd Ward - MD2" 0 204 276 1 3 2 23 0 0 6 0 4
Boone "Madrid 3rd Ward" 0 186 225 1 5 3 20 1 0 0 0 2
Boone "Ogden - OG" 0 392 612 6 11 1 48 4 0 12 0 10
Boone "Rural Precinct 1 - RP1" 0 277 347 3 5 1 28 1 1 9 0 9
Boone "Rural Precinct 2 - RP2" 0 384 623 9 3 0 36 0 0 7 0 12
Boone "Rural Precinct 3 - RP3" 0 150 266 0 1 0 17 1 0 2 0 6
Boone "Rural Precinct 4 - RP4" 0 356 706 3 7 2 51 1 1 13 0 7
Boone "Rural Precinct 5 - RP5" 0 143 251 2 2 0 18 0 0 2 0 3
Boone "Boone-Rural Precinct 6 - RP6 Total" 0 344 587 3 6 0 46 1 0 9 0 7
Bremer "City of Denver/Jefferson Twp" 0 660 1110 6 13 3 71 1 0 8 0 22
Bremer "City of Frederika/Frederika Twp/Leroy Twp" 0 107 203 4 1 0 5 1 0 0 0 1
Bremer "City of Janesville/Jackson Twp" 0 313 549 3 4 6 49 1 0 4 0 13
Bremer "City of Plainfield/ Polk Twp/Douglas Twp" 0 205 454 3 2 0 22 0 0 6 0 5
Bremer "City of Readlyn/Maxfield Twp/Franklin Twp" 0 254 642 2 4 0 26 1 0 8 0 16
Bremer "City of Sumner/Sumner #2 Twp/ Dayton Twp" 0 422 888 11 5 1 68 3 0 7 0 17
Bremer "City of Tripoli/Fremont Twp" 0 344 468 1 7 2 37 1 0 1 0 12
Bremer "City of Waverly Ward III" 0 426 269 6 13 1 32 0 2 7 0 13
Bremer "City of Waverly Ward IV" 0 532 466 2 9 2 46 0 1 17 1 12
Bremer "Lafayette Twp/Warren Twp" 0 312 384 1 4 1 33 0 1 1 0 7
Bremer "Waverly Ward I/East Washington Twp" 0 619 667 6 10 3 53 1 1 12 0 23
Bremer "Waverly Ward II/NE 1/4 Sec. 36 Washington Twp" 0 512 527 4 4 1 46 0 0 5 0 17
Bremer "Bremer-Waverly Ward V/West Washington Twp Total" 0 650 581 5 5 1 55 1 0 12 0 13
