DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Panola 3650026 0 34 98 0 0 0
1 Panola 3650027 0 286 388 0 0 0
1 Panola 3650028 0 223 1255 0 0 0
1 Panola 3650029 0 13 235 0 0 0
1 Rusk 4010111 0 101 551 0 0 0
1 Rusk 4010112 0 252 1065 0 0 0
1 Rusk 4010113 0 405 1665 0 0 0
1 Rusk 4010114 0 214 870 0 0 0
1 Rusk 4010201 0 159 480 0 0 0
1 Rusk 4010212 0 100 535 0 0 0
1 Rusk 4010213 0 255 1142 0 0 0
1 Rusk 4010214 0 416 1428 0 0 0
1 Rusk 4010215 0 415 1189 0 0 0
1 Rusk 4010302 0 314 347 0 0 0
1 Rusk 4010303 0 424 490 0 0 0
1 Rusk 4010314a 0 97 617 0 0 0
1 Rusk 4010314b 0 10 65 0 0 0
1 Rusk 4010315 0 65 562 0 0 0
1 Rusk 4010316 0 36 298 0 0 0
1 Rusk 4010317 0 161 256 0 0 0
1 Rusk 4010318 0 145 626 0 0 0
1 Rusk 4010319 0 99 156 0 0 0
1 Rusk 4010404 0 227 980 0 0 0
1 Rusk 4010405 0 170 720 0 0 0
1 Rusk 4010416 0 111 532 0 0 0
1 Rusk 4010417 0 214 768 0 0 0
1 Rusk 4010418 0 279 1249 0 0 0
1 Sabine 4030001 0 132 1213 0 0 0
1 Sabine 4030002 0 115 966 0 0 0
1 Sabine 4030003 0 101 260 0 0 0
1 Sabine 4030004 0 9 180 0 0 0
1 Sabine 4030005 0 79 761 0 0 0
1 Sabine 4030006 0 152 1055 0 0 0
1 Sabine 4030007 0 68 58 0 0 0
1 Sabine 4030008 0 25 208 0 0 0
1 "San Augustine" 4050001 0 281 544 0 0 0
1 "San Augustine" 4050002 0 106 136 0 0 0
1 "San Augustine" 4050003 0 47 124 0 0 0
1 "San Augustine" 4050004 0 88 191 0 0 0
1 "San Augustine" 4050005 0 43 223 0 0 0
1 "San Augustine" 4050006 0 16 198 0 0 0
1 "San Augustine" 4050007 0 32 213 0 0 0
1 "San Augustine" 4050008 0 42 427 0 0 0
1 "San Augustine" 4050009 0 75 592 0 0 0
1 "San Augustine" 4050010 0 22 282 0 0 0
1 "San Augustine" 4050011 0 197 12 0 0 0
1 Shelby 4190002 0 59 501 0 0 0
1 Shelby 4190003 0 12 215 0 0 0
1 Shelby 4190004 0 103 447 0 0 0
1 Shelby 4190005 0 119 1296 0 0 0
1 Shelby 4190006 0 62 350 0 0 0
1 Shelby 4190007 0 146 430 0 0 0
1 Shelby 4190008 0 217 503 0 0 0
1 Shelby 419001n 0 142 767 0 0 0
1 Shelby 419001s 0 225 938 0 0 0
1 Shelby 419001w 0 48 248 0 0 0
1 Shelby 419009n 0 141 598 0 0 0
1 Shelby 419009s 0 99 538 0 0 0
1 Shelby 41901se 0 490 323 0 0 0
1 Shelby 41901sw 0 128 788 0 0 0
1 Smith 4230001 0 305 422 0 0 0
1 Smith 4230002 0 298 111 0 0 0
1 Smith 4230003 0 575 1187 0 0 0
1 Smith 4230004 0 487 569 0 0 0
1 Smith 4230005 0 469 2789 0 0 0
1 Smith 4230006 0 112 586 0 0 0
1 Smith 4230007 0 320 955 0 0 0
1 Smith 4230008 0 210 793 0 0 0
1 Smith 4230009 0 117 63 0 0 0
1 Smith 4230010 0 994 1048 0 0 0
1 Smith 4230011 0 748 217 0 0 0
1 Smith 4230012 0 807 136 0 0 0
1 Smith 4230013 0 816 58 0 0 0
1 Smith 4230014 0 413 819 0 0 0
1 Smith 4230015 0 523 3117 0 0 0
1 Smith 4230016 0 623 118 0 0 0
1 Smith 4230017 0 80 639 0 0 0
1 Smith 4230018 0 652 61 0 0 0
1 Smith 4230019 0 556 3006 0 0 0
1 Smith 4230020 0 200 113 0 0 0
1 Smith 4230021 0 331 856 0 0 0
1 Smith 4230022 0 120 76 0 0 0
1 Smith 4230023 0 530 1108 0 0 0
1 Smith 4230025 0 407 1192 0 0 0
1 Smith 4230026 0 336 1629 0 0 0
1 Smith 4230027 0 493 779 0 0 0
1 Smith 4230028 0 539 2317 0 0 0
1 Smith 4230029 0 347 1059 0 0 0
1 Smith 4230030 0 585 2755 0 0 0
1 Smith 4230031 0 524 2458 0 0 0
1 Smith 4230032 0 468 1705 0 0 0
1 Smith 4230034 0 577 185 0 0 0
1 Smith 4230035 0 941 747 0 0 0
1 Smith 4230036 0 1247 404 0 0 0
1 Smith 4230037 0 286 1115 0 0 0
1 Smith 4230038 0 645 1222 0 0 0
1 Smith 4230039 0 162 73 0 0 0
1 Smith 4230040 0 678 3133 0 0 0
1 Smith 4230041 0 495 2588 0 0 0
1 Smith 4230042 0 616 2446 0 0 0
